,mean,slp,chg,pvalue
0,0.26,0.0,0.0,0.685
1,0.25,-0.001,-0.045,0.704
2,0.256,-0.002,-0.07,0.685
3,0.271,-0.001,-0.06,0.628
4,0.286,-0.002,-0.065,0.592
5,0.255,-0.0,-0.016,0.844
6,0.295,0.0,0.0,0.937
7,0.24,-0.001,-0.041,0.886
8,0.236,-0.001,-0.029,0.906
9,0.235,0.0,0.0,0.628
10,0.31,0.0,0.0,0.784
11,0.328,0.005,0.194,0.12
12,0.328,0.004,0.17,0.061
13,0.278,0.003,0.14,0.162
14,0.274,0.002,0.084,0.628
15,0.269,0.001,0.047,0.425
16,0.264,0.002,0.078,0.314
17,0.288,0.002,0.097,0.301
18,0.274,0.001,0.039,0.744
19,0.27,0.0,0.017,0.704
20,0.24,-0.0,-0.014,0.969
21,0.22,-0.001,-0.037,0.744
22,0.246,-0.001,-0.045,0.505
23,0.275,0.0,0.0,0.886
24,0.295,0.0,0.0,0.99
25,0.282,-0.003,-0.123,0.278
26,0.272,-0.002,-0.105,0.187
27,0.27,-0.001,-0.053,0.539
28,0.25,-0.001,-0.04,0.367
29,0.251,-0.001,-0.042,0.301
30,0.252,-0.003,-0.14,0.195
31,0.242,-0.003,-0.14,0.289
32,0.231,-0.003,-0.117,0.234
33,0.257,-0.005,-0.21,0.278
34,0.273,-0.005,-0.21,0.205
35,0.257,-0.003,-0.14,0.395
36,0.271,-0.002,-0.084,0.647
37,0.29,0.0,0.0,0.865
38,0.279,0.0,0.019,0.574
39,0.28,0.0,0.0,0.906
40,0.275,0.0,0.0,0.927
41,0.269,0.001,0.033,0.685
42,0.24,-0.001,-0.026,0.824
43,0.256,-0.001,-0.023,0.628
44,0.316,-0.001,-0.06,0.472
45,0.3,-0.001,-0.047,0.505
46,0.281,-0.001,-0.062,0.314
47,0.296,-0.003,-0.12,0.41
48,0.296,-0.002,-0.094,0.472
49,0.326,-0.001,-0.053,0.539
50,0.316,-0.001,-0.041,0.647
51,0.34,-0.001,-0.025,0.647
52,0.31,-0.001,-0.049,0.41
53,0.31,-0.001,-0.033,0.574
54,0.36,0.0,0.017,0.948
55,0.397,0.005,0.229,0.395
56,0.338,0.005,0.193,0.327
57,0.293,0.004,0.168,0.178
58,0.304,0.004,0.149,0.367
59,0.288,0.002,0.099,0.539
60,0.329,0.003,0.112,0.628
61,0.344,0.003,0.112,0.381
62,0.304,0.002,0.07,0.784
63,0.372,-0.002,-0.099,0.556
64,0.366,-0.002,-0.096,0.425
65,0.331,-0.002,-0.09,0.784
66,0.352,-0.003,-0.117,0.505
67,0.361,-0.001,-0.056,0.704
68,0.355,0.0,0.0,0.906
69,0.38,0.001,0.039,0.556
70,0.35,0.001,0.049,0.927
71,0.339,0.001,0.056,0.824
