,mean,slp,chg,pvalue
01-01,0.578,0.004,0.157,0.763
01-02,0.577,0.003,0.14,0.821
01-03,0.626,0.003,0.131,0.782
01-04,0.684,0.002,0.08,0.841
01-05,0.653,0.001,0.06,0.98
01-06,0.623,0.002,0.068,0.94
01-07,0.625,0.002,0.1,0.744
01-08,0.644,0.002,0.073,0.821
01-09,0.622,0.001,0.038,0.94
01-10,0.656,0.003,0.117,0.96
01-11,0.614,0.002,0.084,0.88
01-12,0.604,0.002,0.084,0.92
01-13,0.621,0.001,0.035,0.821
01-14,0.65,0.0,0.0,0.86
01-15,0.65,0.0,0.0,0.801
01-16,0.629,-0.001,-0.033,0.98
01-17,0.607,-0.001,-0.058,0.94
01-18,0.589,-0.001,-0.028,0.92
01-19,0.568,-0.001,-0.042,0.88
01-20,0.667,-0.001,-0.056,0.98
01-21,0.674,-0.003,-0.124,0.9
01-22,0.637,-0.007,-0.28,0.801
01-23,0.669,-0.006,-0.231,0.725
01-24,1.136,-0.012,-0.513,0.96
01-25,1.12,-0.005,-0.21,0.98
01-26,1.245,-0.003,-0.106,0.821
01-27,1.209,-0.001,-0.026,0.801
01-28,1.131,-0.004,-0.18,0.86
01-29,1.193,0.002,0.07,0.53
01-30,1.197,0.003,0.14,0.352
01-31,1.162,0.006,0.259,0.28
02-01,1.593,0.007,0.28,0.209
02-02,1.607,0.003,0.14,0.365
02-03,1.526,0.003,0.115,0.436
02-04,1.622,0.006,0.252,0.365
02-05,1.521,0.01,0.437,0.2
02-06,1.415,0.018,0.736,0.131
02-07,1.326,0.018,0.735,0.183
02-08,1.261,0.006,0.241,0.801
02-09,1.243,0.001,0.058,0.92
02-10,1.188,-0.001,-0.033,0.801
02-11,1.098,-0.001,-0.044,0.782
02-12,1.027,-0.001,-0.06,0.744
02-13,1.039,-0.001,-0.03,0.821
02-14,1.085,-0.003,-0.112,0.92
02-15,1.083,0.002,0.07,0.94
02-16,1.021,0.001,0.024,0.96
02-17,0.942,-0.004,-0.173,0.841
02-18,0.949,-0.005,-0.224,0.597
02-19,0.812,-0.004,-0.163,0.763
02-20,0.744,-0.003,-0.115,0.782
02-21,0.662,-0.004,-0.173,0.706
02-22,0.639,-0.006,-0.234,0.436
02-23,0.637,-0.007,-0.28,0.497
02-24,0.793,-0.009,-0.36,0.365
02-25,0.82,-0.015,-0.63,0.209
02-26,0.94,-0.025,-1.031,0.2
02-27,1.092,-0.019,-0.787,0.269
02-28,1.063,-0.019,-0.778,0.421
03-01,1.02,-0.015,-0.63,0.365
03-02,0.999,-0.016,-0.654,0.303
03-03,1.256,-0.022,-0.933,0.152
03-04,1.346,-0.022,-0.915,0.237
03-05,1.26,-0.02,-0.84,0.209
03-06,1.171,-0.024,-1.02,0.145
03-07,1.207,-0.047,-1.96,0.07
03-08,1.288,-0.051,-2.135,0.063
03-09,1.014,-0.043,-1.804,0.056
03-10,0.922,-0.034,-1.417,0.039
03-11,0.86,-0.035,-1.47,0.025
03-12,0.8,-0.04,-1.68,0.025
03-13,0.751,-0.039,-1.652,0.059
03-14,0.838,-0.036,-1.512,0.029
03-15,0.71,-0.04,-1.68,0.009
03-16,0.618,-0.046,-1.945,0.004
03-17,0.569,-0.04,-1.697,0.007
03-18,0.69,-0.035,-1.451,0.012
03-19,0.626,-0.027,-1.14,0.015
03-20,0.6,-0.025,-1.044,0.037
03-21,0.497,-0.022,-0.91,0.056
03-22,0.55,-0.02,-0.84,0.059
03-23,0.558,-0.016,-0.672,0.108
03-24,0.614,-0.018,-0.773,0.125
03-25,0.556,-0.017,-0.725,0.138
03-26,0.617,-0.016,-0.675,0.183
03-27,0.511,-0.014,-0.606,0.152
03-28,0.513,-0.013,-0.56,0.113
03-29,0.619,-0.015,-0.641,0.042
03-30,0.54,-0.015,-0.63,0.047
03-31,0.67,-0.02,-0.84,0.027
04-01,0.7,-0.02,-0.84,0.029
04-02,0.718,-0.021,-0.873,0.022
04-03,0.67,-0.02,-0.84,0.039
04-04,0.552,-0.019,-0.807,0.029
04-05,0.551,-0.019,-0.816,0.011
04-06,0.646,-0.017,-0.729,0.008
04-07,0.617,-0.016,-0.677,0.014
04-08,0.594,-0.013,-0.549,0.016
04-09,0.588,-0.011,-0.46,0.018
04-10,0.55,-0.01,-0.42,0.021
04-11,0.462,-0.009,-0.389,0.024
04-12,0.493,-0.009,-0.364,0.031
04-13,0.542,-0.009,-0.382,0.025
04-14,0.534,-0.008,-0.34,0.029
04-15,0.473,-0.008,-0.35,0.037
04-16,0.442,-0.009,-0.378,0.022
04-17,0.403,-0.008,-0.341,0.022
04-18,0.356,-0.007,-0.305,0.024
04-19,0.377,-0.007,-0.28,0.019
04-20,0.367,-0.007,-0.28,0.018
04-21,0.351,-0.004,-0.18,0.039
04-22,0.332,-0.004,-0.157,0.28
04-23,0.322,-0.004,-0.149,0.393
04-24,0.331,-0.004,-0.18,0.393
04-25,0.31,-0.005,-0.21,0.291
04-26,0.297,-0.007,-0.28,0.421
04-27,0.269,-0.006,-0.24,0.407
04-28,0.271,-0.004,-0.186,0.466
04-29,0.253,-0.004,-0.154,0.436
04-30,0.262,-0.004,-0.157,0.407
05-01,0.413,-0.003,-0.14,0.58
05-02,0.342,-0.004,-0.153,0.53
05-03,0.336,-0.002,-0.093,0.615
05-04,0.308,-0.001,-0.025,0.98
05-05,0.3,0.0,0.0,1.0
05-06,0.28,0.0,0.015,0.96
05-07,0.23,0.0,0.0,0.94
05-08,0.31,0.0,0.0,1.0
05-09,0.309,-0.001,-0.022,0.88
05-10,0.309,-0.001,-0.03,0.821
05-11,0.298,-0.001,-0.033,0.669
05-12,0.27,0.0,0.0,0.88
05-13,0.271,0.001,0.033,0.687
05-14,0.266,0.003,0.133,0.421
05-15,0.248,0.004,0.157,0.2
05-16,0.224,0.002,0.073,0.209
05-17,0.226,0.002,0.105,0.145
05-18,0.216,0.003,0.124,0.227
05-19,0.204,0.002,0.077,0.303
05-20,0.218,0.004,0.168,0.125
05-21,0.219,0.005,0.192,0.113
05-22,0.229,0.004,0.18,0.2
05-23,0.284,0.002,0.087,0.633
05-24,0.244,0.002,0.091,0.92
05-25,0.224,0.002,0.084,0.9
05-26,0.203,0.002,0.066,0.96
