,mean,slp,chg,pvalue
0,0.324,-0.005,-0.196,0.408
1,0.38,-0.003,-0.14,0.884
2,0.466,-0.005,-0.224,0.57
3,0.476,-0.008,-0.353,0.427
4,0.39,-0.007,-0.273,0.506
5,0.388,-0.006,-0.252,0.339
6,0.362,-0.004,-0.165,0.638
7,0.4,-0.01,-0.42,0.039
8,0.364,-0.008,-0.334,0.236
9,0.328,-0.006,-0.259,0.25
10,0.34,-0.007,-0.28,0.315
11,0.444,-0.008,-0.332,0.323
12,0.412,-0.007,-0.31,0.168
13,0.454,-0.011,-0.472,0.067
14,0.312,-0.007,-0.315,0.2
15,0.326,-0.009,-0.366,0.277
16,0.358,-0.006,-0.254,0.466
17,0.476,-0.012,-0.504,0.123
18,0.48,-0.02,-0.84,0.036
19,0.532,-0.024,-1.014,0.003
20,0.495,-0.015,-0.63,0.089
21,0.511,-0.01,-0.436,0.466
22,0.53,-0.007,-0.273,0.733
23,0.834,-0.005,-0.194,0.758
24,0.684,-0.015,-0.611,0.101
25,0.476,-0.009,-0.37,0.212
26,0.414,-0.008,-0.327,0.25
27,0.478,-0.006,-0.246,0.615
28,0.47,-0.007,-0.282,0.549
29,0.6,-0.014,-0.571,0.149
30,0.567,-0.012,-0.522,0.224
31,0.544,-0.008,-0.327,0.355
32,0.522,-0.004,-0.165,0.858
33,0.566,-0.009,-0.373,0.661
34,0.532,-0.007,-0.315,0.355
35,0.51,-0.007,-0.28,0.427
36,0.643,-0.008,-0.315,0.372
37,0.704,-0.008,-0.334,0.593
38,0.736,-0.008,-0.357,0.408
39,0.603,-0.011,-0.469,0.132
40,0.607,-0.016,-0.656,0.026
41,0.56,-0.01,-0.42,0.593
42,0.543,-0.008,-0.326,0.615
43,0.534,-0.008,-0.338,0.355
44,0.536,-0.009,-0.364,0.2
45,0.56,-0.01,-0.42,0.277
46,0.723,-0.014,-0.608,0.043
47,0.657,-0.016,-0.66,0.02
48,0.624,-0.018,-0.749,0.009
49,0.616,-0.015,-0.649,0.008
50,0.599,-0.016,-0.688,0.002
51,0.59,-0.017,-0.709,0.007
52,0.661,-0.014,-0.572,0.089
53,0.83,-0.017,-0.704,0.25
54,0.906,-0.009,-0.361,0.372
55,0.677,-0.009,-0.376,0.236
56,0.641,-0.007,-0.298,0.685
57,0.567,-0.009,-0.378,0.189
58,0.622,-0.014,-0.597,0.062
59,0.734,-0.018,-0.751,0.083
60,0.737,-0.019,-0.794,0.083
61,0.815,-0.025,-1.05,0.039
62,0.796,-0.015,-0.644,0.054
63,0.706,-0.012,-0.509,0.067
64,0.752,-0.017,-0.725,0.02
65,0.651,-0.013,-0.567,0.054
66,0.64,-0.017,-0.7,0.046
67,0.616,-0.015,-0.638,0.077
68,0.588,-0.016,-0.672,0.058
69,0.514,-0.012,-0.485,0.108
70,0.55,-0.01,-0.42,0.212
71,0.548,-0.013,-0.532,0.02
72,0.572,-0.014,-0.583,0.026
73,0.532,-0.011,-0.457,0.116
74,0.644,-0.008,-0.338,0.355
75,0.552,-0.011,-0.461,0.062
76,0.502,-0.011,-0.452,0.083
77,0.651,-0.01,-0.434,0.149
78,0.684,-0.008,-0.331,0.39
79,0.61,-0.007,-0.278,0.355
80,0.58,-0.003,-0.14,0.884
81,0.57,-0.01,-0.42,0.168
82,0.566,-0.009,-0.362,0.149
83,0.586,-0.015,-0.648,0.029
84,0.654,-0.018,-0.754,0.007
85,0.682,-0.017,-0.732,0.01
86,0.606,-0.012,-0.506,0.189
87,0.624,-0.018,-0.754,0.02
88,0.63,-0.02,-0.84,0.026
89,0.596,-0.019,-0.786,0.024
90,0.712,-0.011,-0.452,0.733
91,0.591,-0.01,-0.432,0.446
92,0.568,-0.009,-0.388,0.178
93,0.544,-0.008,-0.334,0.236
94,0.57,-0.007,-0.275,0.527
95,0.511,-0.007,-0.298,0.408
96,0.59,-0.007,-0.289,0.549
97,0.534,-0.008,-0.336,0.224
98,0.607,-0.012,-0.514,0.036
99,0.538,-0.013,-0.537,0.002
100,0.495,-0.015,-0.63,0.002
101,0.58,-0.02,-0.84,0.0
102,0.554,-0.015,-0.614,0.006
103,0.545,-0.012,-0.492,0.039
104,0.542,-0.011,-0.451,0.101
105,0.573,-0.011,-0.466,0.077
106,0.48,-0.01,-0.42,0.006
107,0.433,-0.011,-0.46,0.01
108,0.482,-0.011,-0.455,0.083
109,0.432,-0.01,-0.437,0.031
110,0.44,-0.013,-0.547,0.01
111,0.383,-0.011,-0.464,0.007
112,0.436,-0.012,-0.5,0.008
113,0.47,-0.01,-0.42,0.236
114,0.44,-0.007,-0.289,0.2
115,0.422,-0.007,-0.315,0.072
116,0.392,-0.007,-0.313,0.05
117,0.416,-0.009,-0.367,0.036
118,0.38,-0.006,-0.271,0.089
119,0.36,-0.007,-0.28,0.25
