,mean,slp,chg,pvalue
0,0.57,0.0,0.0,0.753
1,0.617,0.005,0.21,0.2
2,0.617,0.005,0.211,0.073
3,0.58,0.0,0.0,0.327
4,0.554,-0.001,-0.041,0.847
5,0.53,-0.003,-0.129,0.384
6,0.546,-0.003,-0.112,0.358
7,0.536,-0.003,-0.125,0.175
8,0.552,-0.002,-0.093,0.681
9,0.57,0.0,0.0,0.753
10,0.544,-0.001,-0.043,0.942
11,0.527,-0.002,-0.08,0.578
12,0.519,-0.004,-0.164,0.425
13,0.538,-0.008,-0.324,0.018
14,0.534,-0.004,-0.164,0.183
15,0.535,-0.003,-0.138,0.411
16,0.532,-0.005,-0.21,0.595
17,0.54,0.0,0.0,0.799
18,0.488,-0.002,-0.069,0.923
19,0.515,0.0,0.0,0.923
20,0.526,-0.003,-0.106,0.717
21,0.498,-0.004,-0.179,0.345
22,0.486,-0.003,-0.108,0.483
23,0.5,-0.003,-0.14,0.439
24,0.536,-0.003,-0.118,0.646
25,0.492,-0.002,-0.088,0.923
26,0.561,-0.003,-0.116,0.371
27,0.53,-0.004,-0.147,0.397
28,0.51,0.0,0.0,0.333
29,0.566,-0.003,-0.117,0.904
30,0.528,-0.001,-0.056,0.453
31,0.54,0.0,0.0,0.364
32,0.535,0.0,0.0,0.364
33,0.511,0.001,0.026,0.772
34,0.523,-0.001,-0.056,0.904
35,0.5,-0.007,-0.28,0.153
36,0.476,-0.003,-0.127,0.735
37,0.486,0.001,0.024,0.226
38,0.532,-0.005,-0.21,0.498
39,0.475,-0.004,-0.153,0.397
40,0.475,-0.003,-0.132,0.646
41,0.505,-0.003,-0.132,0.923
42,0.496,-0.003,-0.114,0.772
43,0.53,0.0,0.0,0.933
44,0.552,-0.003,-0.109,0.646
45,0.555,-0.007,-0.28,0.595
46,0.519,-0.004,-0.168,0.384
47,0.481,0.001,0.03,0.468
48,0.554,0.006,0.24,0.035
49,0.568,0.008,0.345,0.134
50,0.555,0.0,0.0,0.961
51,0.495,0.0,0.0,0.545
52,0.56,-0.007,-0.291,0.208
53,0.548,-0.005,-0.213,0.191
54,0.512,-0.009,-0.359,0.047
55,0.6,-0.007,-0.28,0.222
56,0.615,0.0,0.0,0.847
57,0.601,0.001,0.037,0.453
58,0.674,0.006,0.237,0.07
59,0.544,0.003,0.125,0.276
60,0.565,0.003,0.14,0.397
61,0.572,0.001,0.061,0.646
62,0.595,0.0,0.0,0.681
63,0.613,0.002,0.086,0.498
64,0.613,0.002,0.101,0.681
65,0.706,0.008,0.329,0.153
66,0.646,0.004,0.157,0.321
67,0.749,0.006,0.26,0.358
68,0.65,0.0,0.0,0.561
69,0.507,-0.002,-0.095,0.345
70,0.562,-0.003,-0.109,0.333
71,0.505,-0.003,-0.14,0.175
72,0.543,-0.005,-0.21,0.059
73,0.564,-0.004,-0.164,0.161
74,0.61,-0.004,-0.153,0.127
75,0.534,-0.004,-0.149,0.082
76,0.656,-0.006,-0.26,0.266
77,0.675,-0.007,-0.276,0.09
78,0.591,-0.003,-0.116,0.226
79,0.662,-0.002,-0.078,0.595
80,0.639,-0.001,-0.047,0.411
81,0.667,-0.006,-0.237,0.276
82,0.684,-0.004,-0.16,0.498
83,0.637,-0.002,-0.097,0.981
84,0.722,0.001,0.045,0.942
85,0.777,-0.009,-0.362,0.345
86,0.624,-0.007,-0.293,0.266
87,0.74,0.0,0.0,0.735
88,0.738,-0.005,-0.205,0.333
89,0.61,-0.003,-0.14,0.127
90,0.588,-0.008,-0.34,0.026
91,0.736,-0.006,-0.267,1.0
92,0.615,-0.003,-0.142,1.0
93,0.541,-0.003,-0.112,0.498
94,0.647,-0.005,-0.21,0.411
95,0.768,0.002,0.071,0.628
96,0.804,0.006,0.252,0.333
97,0.631,0.001,0.038,0.981
98,0.625,0.0,0.0,0.961
99,0.79,0.0,0.0,0.923
100,0.793,0.009,0.364,0.358
101,0.716,0.004,0.149,0.847
102,0.754,0.013,0.549,0.529
103,0.666,-0.003,-0.122,0.236
104,0.806,-0.013,-0.532,0.095
105,0.864,-0.011,-0.457,0.287
106,0.835,-0.007,-0.282,0.753
107,0.738,-0.005,-0.215,0.453
108,0.692,-0.005,-0.203,0.425
109,0.856,-0.006,-0.258,0.514
110,0.704,-0.004,-0.157,0.453
111,0.686,-0.016,-0.663,0.023
112,0.636,-0.01,-0.413,0.073
113,0.86,-0.01,-0.42,0.105
114,0.788,-0.008,-0.345,0.276
115,0.611,-0.006,-0.237,0.255
116,0.74,-0.003,-0.136,0.498
117,0.616,-0.006,-0.241,0.276
118,0.715,-0.007,-0.28,0.168
119,0.632,-0.006,-0.245,0.885
120,0.708,-0.018,-0.747,0.246
121,0.617,-0.009,-0.37,0.175
122,0.648,-0.011,-0.476,0.498
123,0.652,-0.005,-0.23,0.561
124,0.7,-0.007,-0.288,0.498
125,0.618,-0.008,-0.33,0.05
126,0.677,-0.005,-0.228,0.321
127,0.894,-0.001,-0.045,0.847
128,0.84,0.003,0.127,0.611
129,0.637,0.001,0.05,0.79
130,0.742,-0.005,-0.228,0.153
131,0.735,0.0,0.0,0.847
132,0.743,-0.005,-0.196,0.847
133,0.752,-0.002,-0.067,0.847
134,0.772,-0.003,-0.107,0.866
135,0.631,-0.006,-0.267,0.298
136,0.646,-0.009,-0.395,0.122
137,0.644,-0.004,-0.175,0.287
138,0.588,-0.004,-0.187,0.266
139,0.678,-0.001,-0.057,0.611
140,0.588,-0.001,-0.05,0.885
141,0.568,-0.001,-0.048,0.578
142,0.572,0.002,0.065,0.828
143,0.577,-0.002,-0.084,0.287
144,0.619,-0.001,-0.021,0.961
145,0.575,-0.003,-0.144,0.397
146,0.576,-0.003,-0.123,0.578
147,0.566,-0.003,-0.108,0.371
148,0.583,-0.005,-0.19,0.134
149,0.517,-0.005,-0.228,0.031
150,0.616,-0.003,-0.105,0.663
151,0.643,-0.002,-0.065,0.904
152,0.558,-0.004,-0.175,0.358
153,0.544,-0.001,-0.025,0.866
154,0.548,-0.001,-0.05,0.345
155,0.654,-0.008,-0.319,0.045
156,0.668,-0.005,-0.211,0.321
157,0.798,-0.001,-0.06,0.529
158,0.69,-0.007,-0.28,0.082
159,0.688,-0.005,-0.2,0.122
160,0.705,-0.003,-0.138,0.578
161,0.62,-0.01,-0.42,0.026
162,0.676,-0.003,-0.125,0.79
163,0.615,-0.004,-0.15,0.333
164,0.736,-0.003,-0.12,0.628
165,0.556,-0.006,-0.241,0.255
166,0.594,-0.007,-0.315,0.086
167,0.646,-0.003,-0.107,0.578
168,0.648,-0.008,-0.353,0.2
169,0.706,-0.003,-0.123,0.735
170,0.587,-0.002,-0.078,0.735
171,0.662,-0.002,-0.065,1.0
172,0.665,-0.007,-0.283,0.439
173,0.605,0.0,0.0,0.432
174,0.71,0.0,0.0,1.0
175,0.876,-0.012,-0.505,0.153
176,0.791,-0.016,-0.66,0.037
177,0.607,-0.009,-0.366,0.208
178,0.657,-0.005,-0.21,0.222
179,0.549,-0.004,-0.166,0.371
180,0.649,-0.007,-0.302,0.077
181,0.617,-0.005,-0.221,0.035
182,0.633,-0.005,-0.206,0.11
183,0.784,-0.001,-0.03,0.545
184,0.67,-0.014,-0.57,0.011
185,0.649,-0.011,-0.454,0.217
186,0.648,-0.008,-0.332,0.059
187,0.744,-0.005,-0.195,0.904
188,0.678,-0.001,-0.045,0.923
189,0.762,-0.005,-0.216,0.255
190,0.622,-0.005,-0.21,0.321
191,0.704,-0.011,-0.452,0.026
192,0.665,-0.007,-0.28,0.037
193,0.686,-0.002,-0.097,0.663
194,0.639,-0.004,-0.154,0.358
195,0.684,-0.004,-0.18,0.753
196,0.77,-0.004,-0.153,0.453
197,0.83,-0.004,-0.155,0.345
198,0.862,-0.009,-0.381,0.153
199,0.786,-0.003,-0.11,0.628
200,0.684,-0.014,-0.592,0.002
201,0.844,-0.004,-0.185,0.885
202,0.879,-0.001,-0.04,0.699
203,0.72,-0.004,-0.153,0.681
204,0.615,-0.006,-0.269,0.175
205,0.629,-0.008,-0.315,0.077
206,0.677,-0.009,-0.36,0.008
207,0.641,-0.009,-0.394,0.147
208,0.728,-0.011,-0.48,0.236
209,0.828,0.005,0.222,0.411
210,0.72,-0.003,-0.125,0.578
211,0.63,-0.004,-0.159,0.276
