,mean,slp,chg,pvalue
0,0.965,0.011,0.46,0.387
1,1.12,0.01,0.42,0.552
2,1.083,0.016,0.66,0.387
3,1.129,0.008,0.344,0.661
4,1.162,0.006,0.243,0.645
5,0.994,0.007,0.315,0.661
6,1.153,0.006,0.24,0.598
7,1.068,0.006,0.262,0.537
8,0.752,0.004,0.158,0.694
9,0.874,0.007,0.297,0.363
10,0.868,0.006,0.264,0.522
11,0.862,0.004,0.164,0.745
12,0.65,0.0,0.0,0.866
13,0.537,0.003,0.14,0.728
14,0.636,0.003,0.115,0.849
15,0.698,0.005,0.211,0.779
16,0.682,0.004,0.18,0.849
17,0.621,0.002,0.092,0.955
18,0.61,0.001,0.021,1.0
19,0.666,0.003,0.115,0.884
20,0.675,0.0,0.0,0.866
21,0.837,0.006,0.233,0.582
22,0.838,0.007,0.287,0.286
23,0.794,0.008,0.348,0.221
24,0.778,0.006,0.247,0.552
25,0.764,0.008,0.347,0.479
26,0.744,0.009,0.389,0.425
27,0.858,0.016,0.681,0.181
28,0.913,0.016,0.682,0.387
29,0.808,0.008,0.315,0.493
30,0.775,0.01,0.42,0.363
31,0.812,0.015,0.63,0.196
32,0.872,0.013,0.566,0.257
33,0.956,0.012,0.504,0.328
34,0.815,0.01,0.402,0.375
35,0.9,0.01,0.42,0.598
36,0.95,0.011,0.45,0.508
37,0.943,0.017,0.7,0.196
38,0.944,0.017,0.72,0.204
39,1.08,0.01,0.401,0.582
40,1.286,0.011,0.476,0.363
41,1.205,0.01,0.42,0.582
42,1.101,0.012,0.512,0.4
43,1.01,0.01,0.42,0.438
44,1.039,0.009,0.36,0.582
45,0.979,0.009,0.36,0.678
46,0.955,0.01,0.42,0.745
47,1.036,0.002,0.084,0.814
48,1.212,-0.005,-0.201,0.884
49,1.522,-0.007,-0.311,0.745
50,1.794,-0.012,-0.486,0.438
51,2.003,-0.034,-1.42,0.129
52,1.932,-0.037,-1.571,0.16
53,1.987,-0.016,-0.686,0.375
54,2.136,-0.007,-0.293,0.629
55,1.764,-0.002,-0.097,0.745
56,1.94,0.0,0.0,0.582
57,2.06,0.0,0.0,0.762
58,1.884,-0.001,-0.055,0.814
59,1.94,0.002,0.073,0.745
60,2.034,-0.001,-0.047,0.629
61,2.24,-0.021,-0.877,0.479
62,2.172,-0.025,-1.05,0.493
63,2.356,-0.029,-1.219,0.375
64,2.364,-0.022,-0.916,0.613
65,2.462,-0.016,-0.676,0.973
66,2.768,-0.013,-0.535,0.955
67,3.254,-0.003,-0.133,0.973
68,3.29,-0.009,-0.392,0.711
69,4.096,-0.006,-0.271,0.613
70,4.114,-0.002,-0.09,1.0
71,4.376,0.013,0.549,0.645
72,3.806,0.003,0.135,0.465
73,3.793,-0.024,-1.002,0.849
74,3.848,-0.036,-1.493,0.711
75,3.831,-0.038,-1.596,0.902
76,4.086,-0.006,-0.271,0.919
77,4.132,-0.006,-0.252,0.991
78,4.033,-0.004,-0.177,0.745
79,3.724,0.009,0.378,0.745
80,3.299,0.008,0.336,0.955
81,3.975,0.0,0.0,0.902
82,4.147,0.004,0.16,0.567
83,4.222,0.014,0.595,0.412
84,3.942,0.015,0.623,0.452
85,3.86,0.03,1.274,0.266
86,3.762,0.025,1.05,0.351
87,3.75,0.032,1.327,0.307
88,3.963,0.026,1.11,0.4
89,4.172,0.024,1.022,0.465
90,4.124,0.009,0.373,0.363
91,3.934,0.007,0.287,0.412
92,4.052,-0.026,-1.092,0.728
93,3.77,-0.04,-1.68,1.0
94,4.195,-0.039,-1.638,0.991
95,4.192,-0.026,-1.112,0.849
96,4.224,-0.012,-0.514,0.762
97,3.861,-0.008,-0.344,0.814
98,3.858,-0.015,-0.63,0.866
99,3.864,-0.003,-0.116,0.849
100,3.976,0.002,0.082,0.779
101,4.79,-0.009,-0.385,0.937
102,3.805,0.0,0.0,0.884
103,4.382,0.025,1.03,0.598
104,4.912,0.032,1.365,0.645
105,4.953,-0.006,-0.233,0.884
106,5.182,0.004,0.177,0.711
107,4.872,0.014,0.598,0.831
108,4.749,0.018,0.762,0.779
109,5.804,0.009,0.385,0.567
110,5.298,0.016,0.657,0.678
111,4.94,0.01,0.42,0.711
112,4.405,0.01,0.402,0.694
113,4.424,0.019,0.805,0.552
114,4.313,0.026,1.102,0.522
115,4.581,0.023,0.96,0.598
116,4.475,0.04,1.68,0.452
117,4.724,0.058,2.436,0.317
118,4.794,0.049,2.055,0.247
119,5.131,0.072,3.016,0.108
120,5.582,0.105,4.41,0.052
121,5.649,0.088,3.706,0.108
122,6.09,0.09,3.763,0.061
123,5.946,0.093,3.895,0.055
124,5.562,0.093,3.915,0.078
125,5.374,0.078,3.29,0.124
126,5.699,0.058,2.436,0.363
127,5.256,0.063,2.637,0.266
128,5.54,0.05,2.118,0.465
129,5.791,0.042,1.764,0.452
130,6.036,0.051,2.129,0.425
131,6.275,0.07,2.94,0.387
132,6.651,0.082,3.428,0.238
133,6.073,0.056,2.364,0.711
134,5.689,0.057,2.4,0.814
135,5.525,0.04,1.7,0.973
136,6.124,0.108,4.515,0.438
137,5.696,0.093,3.897,0.307
138,6.033,0.066,2.778,0.181
139,5.774,0.079,3.298,0.113
140,5.68,0.091,3.808,0.118
141,5.285,0.07,2.94,0.266
142,5.112,0.063,2.664,0.221
143,5.408,0.058,2.423,0.552
144,6.084,0.087,3.675,0.317
145,6.951,0.124,5.195,0.266
146,6.488,0.137,5.74,0.055
147,8.157,0.125,5.234,0.16
148,8.41,0.12,5.04,0.247
149,7.811,0.082,3.448,0.465
150,7.482,0.085,3.577,0.387
151,6.958,0.106,4.452,0.221
152,6.704,0.098,4.103,0.276
153,6.506,0.071,2.963,0.522
154,6.031,0.062,2.59,0.328
155,5.716,0.061,2.543,0.412
156,5.61,0.071,2.991,0.317
157,5.595,0.07,2.922,0.181
158,5.822,0.045,1.901,0.174
159,5.662,0.033,1.4,0.387
160,5.712,0.044,1.848,0.212
161,5.362,0.053,2.24,0.238
162,5.316,0.084,3.515,0.099
163,5.332,0.054,2.255,0.425
164,6.062,0.015,0.631,0.902
165,7.768,-0.034,-1.447,0.613
166,6.444,-0.022,-0.916,0.387
167,6.062,0.033,1.4,0.537
168,6.288,0.007,0.289,0.678
169,6.972,0.085,3.551,0.629
170,6.444,0.067,2.817,0.508
171,6.755,0.09,3.78,0.154
