,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.11319999999999979,-210.0850499999996,0.3995666898442778,0.0,42.0,4.754,0.157,13.938,18.692
01-02,0.12451999999999998,-233.31368999999995,0.3512068945263751,0.0,42.0,5.23,0.185,13.111,18.341
01-03,0.12686206896551724,-235.83170689655174,0.28595642810117994,0.0,42.0,5.329,0.196,15.228,20.557
01-04,0.16314117647058815,-308.272732352941,0.32848073232961217,0.0,42.0,6.852,0.265,14.584,21.436
01-05,0.07292692307692303,-127.0827826923076,0.8485702914543127,0.0,42.0,3.063,0.118,17.24,20.303
01-06,0.08666874999999996,-154.85671562499994,0.9552145926892925,0.0,42.0,3.64,0.132,16.661,20.301
01-07,0.14150000000000182,-263.7843000000036,0.6942324524938992,0.0,42.0,5.943,0.206,16.244,22.187
01-08,0.16980000000000003,-321.31820000000005,0.6777161122500928,0.0,42.0,7.132,0.189,14.716,21.848
01-09,0.1891631578947369,-358.3226842105264,0.6942324524938992,0.0,42.0,7.945,0.215,16.031,23.976
01-10,0.18866666666666662,-358.8015499999999,0.6777161122500928,0.0,42.0,7.924,0.221,14.57,22.494
01-11,0.17294444444444443,-326.9263166666666,0.661353237644444,0.0,42.0,7.263,0.211,15.331,22.594
01-12,0.07894210526315786,-138.17623947368412,0.9373320419227238,0.0,42.0,3.316,0.106,18.05,21.366
01-13,0.02358333333333329,-25.81667499999991,0.8485702914543127,0.0,42.0,0.99,0.032,20.855,21.845
01-14,0.009004545454545461,4.550511363636353,0.7108952874500365,0.0,42.0,0.378,0.011,22.371,22.749
01-15,-0.04333437499999998,108.15508281249996,0.507532735474822,-0.0,42.0,-1.82,-0.05,22.396,20.576
01-16,-0.06721250000000001,157.47004375,0.507532735474822,-0.0,42.0,-2.823,-0.071,24.457,21.634
01-17,-0.08925384615384625,202.23506538461558,0.7108952874500365,-0.0,42.0,-3.749,-0.082,25.602,21.853
01-18,0.0,23.8286,1.0,0.0,42.0,0.0,0.0,23.829,23.829
01-19,0.10290909090909088,-181.7824772727272,0.661353237644444,0.0,42.0,4.322,0.11,21.875,26.197
01-20,0.1297658536585366,-236.00612439024394,0.5667605869699317,0.0,42.0,5.451,0.154,20.8,26.251
01-21,0.1157727272727273,-209.44186818181825,0.7446315154396081,0.0,42.0,4.863,0.148,19.672,24.535
01-22,0.11319999999999993,-204.55239999999984,0.761689952058004,0.0,42.0,4.755,0.151,19.47,24.225
01-23,0.14150000000000004,-261.2797500000001,0.7108952874500365,0.0,42.0,5.943,0.196,18.749,24.692
01-24,0.07075000000000002,-117.72092500000004,0.883909392651155,0.0,42.0,2.972,0.096,22.293,25.265
01-25,0.0,27.88965,0.5367357981091128,0.0,42.0,0.0,0.0,27.89,27.89
01-26,0.01131999999999998,5.241160000000043,0.4517264720866896,0.0,42.0,0.476,0.013,27.643,28.119
01-27,0.01286363636363642,-0.18009090909102454,0.761689952058004,0.0,42.0,0.54,0.015,25.277,25.817
01-28,0.0,27.12555,0.6291146665070553,0.0,42.0,0.0,0.0,27.126,27.126
01-29,0.05240740740740751,-80.1676111111113,0.8310096580691151,0.0,42.0,2.201,0.067,23.547,25.748
01-30,0.12128571428571432,-215.6965357142858,0.9910383984121822,0.0,42.0,5.094,0.152,24.328,29.422
01-31,0.08085714285714296,-131.25135714285733,0.9910383984121822,0.0,42.0,3.396,0.093,28.765,32.161
02-01,0.11433199999999999,-201.467134,0.9552145926892925,0.0,42.0,4.802,0.109,24.796,29.598
02-02,0.12499166666666668,-223.21978750000002,0.9910383984121822,0.0,42.0,5.249,0.13,24.139,29.388
02-03,0.1697999999999998,-312.1065499999996,0.8310096580691151,0.0,42.0,7.131,0.192,23.928,31.059
02-04,0.1610172413793103,-294.927474137931,0.7108952874500365,0.0,42.0,6.762,0.184,23.726,30.488
02-05,0.250455,-471.3527725,0.4791861756075628,0.0,42.0,10.519,0.258,24.298,34.817
02-06,0.2830000000000001,-536.7378000000001,0.4517264720866896,0.0,42.0,11.886,0.308,23.319,35.205
02-07,0.23347500000000032,-437.8257625000007,0.6451505807102356,0.0,42.0,9.806,0.235,24.221,34.027
02-08,0.16980000000000003,-311.30000000000007,0.7961487032320338,0.0,42.0,7.132,0.14,24.734,31.866
02-09,0.12408461538461533,-220.69863846153837,0.761689952058004,0.0,42.0,5.211,0.085,24.865,30.076
02-10,0.07975454545454545,-133.02286363636364,0.9373320419227238,0.0,42.0,3.35,0.059,24.811,28.161
02-11,0.051097222222222155,-75.8923458333332,0.9373320419227238,0.0,42.0,2.146,0.044,25.229,27.375
02-12,0.03918461538461534,-51.39388846153837,0.761689952058004,0.0,42.0,1.646,0.039,26.152,27.798
02-13,0.09339000000000001,-157.15980500000003,0.507532735474822,0.0,42.0,3.922,0.097,27.659,31.581
02-14,-0.12735000000000002,286.332325,0.7788649901956481,-0.0,42.0,-5.349,-0.127,34.307,28.958
02-15,-0.14316470588235283,319.6518294117645,0.8048167280364196,-0.0,42.0,-6.013,-0.126,36.329,30.316
02-16,-0.0771818181818182,188.56804545454548,0.7788649901956481,-0.0,42.0,-3.241,-0.063,35.825,32.584
02-17,-0.0404285714285711,112.10842857142791,0.661353237644444,-0.0,42.0,-1.698,-0.03,32.1,30.402
02-18,-0.07759677419354839,184.44525000000002,0.661353237644444,-0.0,42.0,-3.259,-0.06,30.881,27.622
02-19,-0.13932307692307716,309.70649230769277,0.9373320419227238,-0.0,42.0,-5.851,-0.098,33.986,28.135
02-20,-0.22382727272727268,483.05913181818175,0.7961487032320338,-0.0,42.0,-9.401,-0.131,40.105,30.704
02-21,-0.3006874999999998,635.7506562499996,0.8310096580691151,-0.0,42.0,-12.629,-0.176,40.69,28.061
02-22,-0.2547000000000006,544.7891500000012,0.661353237644444,-0.0,42.0,-10.698,-0.174,40.738,30.04
02-23,-0.21225000000000005,460.61787500000014,0.4383374552726653,-0.0,42.0,-8.914,-0.164,40.575,31.661
02-24,-0.22972941176470585,495.0019588235293,0.41225516799167616,-0.0,42.0,-9.648,-0.178,40.367,30.719
02-25,-0.27467647058823524,583.4586029411763,0.21249096477133422,-0.0,42.0,-11.537,-0.22,39.874,28.337
02-26,-0.3962,825.0299,0.16711655519767832,-0.0,42.0,-16.64,-0.327,40.95,24.31
02-27,-0.4245,883.73825,0.1603211528324091,-0.0,42.0,-17.829,-0.369,43.653,25.824
02-28,-0.5417428571428569,1119.5803428571423,0.0671295173343105,-1.0,42.0,-22.753,-0.486,47.471,24.718
03-01,-0.5628555555555556,1160.0971833333335,0.08570790881071688,-1.0,42.0,-23.64,-0.499,46.206,22.566
03-02,-0.5595681818181819,1151.9675795454548,0.049346085963436925,-2.0,42.0,-23.502,-0.5,44.582,21.08
03-03,-0.6190625000000001,1274.4639687500003,0.012254760270346887,-2.0,42.0,-26.0,-0.541,49.339,23.339
03-04,-0.7950952380952381,1626.4414285714286,0.0157409694014905,-2.0,42.0,-33.394,-0.659,52.948,19.554
03-05,-0.7032121212121213,1442.4381363636364,0.049346085963436925,-2.0,42.0,-29.535,-0.574,50.781,21.246
03-06,-0.5447750000000005,1126.492112500001,0.0942173452500632,-1.0,42.0,-22.88,-0.424,48.382,25.502
03-07,-0.7684538461538458,1578.8319653846147,0.03192885401922463,-2.0,42.0,-32.275,-0.568,58.062,25.787
03-08,-0.8624761904761902,1768.8106428571423,0.03983607406591694,-2.0,42.0,-36.224,-0.619,61.97,25.746
03-09,-0.7641000000000001,1571.5414500000002,0.05200102143353713,-1.0,42.0,-32.093,-0.538,59.388,27.295
03-10,-0.6908102564102564,1424.5741076923077,0.08570790881071688,-1.0,42.0,-29.014,-0.432,57.461,28.447
03-11,-0.7013478260869566,1446.9174782608695,0.049346085963436925,-2.0,42.0,-29.456,-0.437,58.95,29.494
03-12,-0.7289393939393941,1506.7563181818184,0.08988158946826497,-1.0,42.0,-30.615,-0.437,64.185,33.57
03-13,-0.5053571428571425,1061.1186071428565,0.24731745742367428,-0.0,42.0,-21.225,-0.292,61.017,39.792
03-14,-0.20214285714285804,458.37914285714464,0.36293485816471427,-0.0,42.0,-8.49,-0.117,58.338,49.848
03-15,-0.21225000000000036,480.2863750000007,0.46534374401080925,-0.0,42.0,-8.915,-0.11,60.244,51.329
03-16,-0.12577777777777832,311.7716666666677,0.4932503912028541,-0.0,42.0,-5.282,-0.059,62.857,57.575
03-17,-0.016647058823529487,95.4042941176472,0.5220292746208863,-0.0,42.0,-0.699,-0.009,62.46,61.761
03-18,-0.014150000000000062,89.42092500000012,0.6132517855744677,-0.0,42.0,-0.594,-0.008,61.418,60.824
03-19,-0.06883783783783795,197.21275675675696,0.7276974359007813,-0.0,42.0,-2.892,-0.035,60.983,58.091
03-20,-0.1306153846153852,325.4064615384627,0.8310096580691151,-0.0,42.0,-5.486,-0.068,66.919,61.433
03-21,-0.16980000000000003,399.79410000000007,0.883909392651155,-0.0,42.0,-7.132,-0.088,63.76,56.628
03-22,0.0606428571428569,-59.27839285714237,0.8310096580691151,0.0,42.0,2.547,0.032,60.734,63.281
03-23,0.19295454545454535,-320.5811136363634,0.661353237644444,0.0,42.0,8.104,0.095,61.276,69.38
03-24,0.14150000000000063,-217.6977500000013,0.6942324524938992,0.0,42.0,5.943,0.07,62.331,68.274
03-25,0.22857692307692298,-392.2325576923075,0.4932503912028541,0.0,42.0,9.6,0.115,60.121,69.721
03-26,0.2653124999999994,-460.4498437499988,0.46534374401080925,0.0,42.0,11.143,0.127,64.604,75.747
03-27,0.18258064516129066,-290.64100000000064,0.6942324524938992,0.0,42.0,7.668,0.086,70.686,78.354
03-28,0.43015999999999965,-787.7984199999994,0.41225516799167616,0.0,42.0,18.067,0.208,63.488,81.555
03-29,0.7029354838709678,-1336.3260000000002,0.32848073232961217,0.0,42.0,29.524,0.348,54.783,84.307
03-30,0.7782499999999999,-1479.983875,0.06069186057338816,1.0,42.0,32.686,0.37,60.173,92.859
03-31,1.0237941176470589,-1969.5343382352942,0.07055328302873853,1.0,42.0,43.0,0.44,56.554,99.554
04-01,1.1411290322580645,-2201.457,0.14735992016656674,0.0,42.0,47.928,0.48,56.837,104.765
04-02,1.1617894736842105,-2242.3430526315788,0.10339115177329683,0.0,42.0,48.795,0.501,56.838,105.633
