,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.1685695652173914,-314.4991304347828,0.5584004547635599,0.0,43.0,7.08,0.097,19.1,26.18
01-02,0.16373571428571423,-302.5674285714285,0.6646547813082151,0.0,43.0,6.876,0.104,21.466,28.342
01-03,0.19038181818181824,-354.1616363636365,0.6804707785321866,0.0,43.0,7.996,0.138,22.604,30.6
01-04,0.19517241379310357,-365.49742758620715,0.5155350369501335,0.0,43.0,8.197,0.136,20.749,28.946
01-05,0.1804125000000001,-336.74170000000015,0.6029278873524366,0.0,43.0,7.577,0.115,20.295,27.872
01-06,0.035374999999999934,-48.25149999999987,0.7125218881022106,0.0,43.0,1.485,0.021,21.756,23.241
01-07,0.03930555555555553,-56.25411111111107,0.7450889812709389,0.0,43.0,1.65,0.027,21.532,23.182
01-08,-0.016293939393939423,53.699678787878845,0.7125218881022106,-0.0,43.0,-0.684,-0.013,21.454,20.77
01-09,-0.08207000000000005,184.2613000000001,1.0,-0.0,43.0,-3.447,-0.071,21.845,18.398
01-10,0.054423076923076893,-89.03615384615378,0.8794050603461727,0.0,43.0,2.286,0.049,18.667,20.953
01-11,0.20537714285714287,-389.4726857142857,0.46115733267686343,0.0,43.0,8.626,0.189,16.969,25.595
01-12,0.283,-540.5299999999999,0.1135904922785751,0.0,43.0,11.886,0.241,19.527,31.413
01-13,0.3304709677419354,-638.7264354838709,0.0791469808907781,1.0,43.0,13.879,0.231,15.276,29.155
01-14,0.331676,-640.7120000000001,0.05647132973198765,1.0,43.0,13.93,0.247,15.675,29.605
01-15,0.36789999999999995,-713.6976999999999,0.04856340764759537,2.0,43.0,15.452,0.303,14.376,29.828
01-16,0.2924333333333333,-564.5189666666666,0.07551365619029937,1.0,43.0,12.282,0.259,14.207,26.489
01-17,0.3642086956521738,-706.2584913043476,0.041607050718883265,2.0,43.0,15.296,0.318,14.511,29.807
01-18,0.4213555555555557,-821.6559111111114,0.03948427930446696,2.0,43.0,17.697,0.33,12.207,29.904
01-19,0.3581718749999999,-693.9867499999998,0.11862192122260584,0.0,43.0,15.044,0.281,14.835,29.879
01-20,0.3519812499999999,-682.8506999999998,0.1405125707499737,0.0,43.0,14.783,0.272,13.72,28.503
01-21,0.2919368421052631,-564.1768842105263,0.053723997263216416,1.0,43.0,12.261,0.234,13.566,25.827
01-22,0.283,-547.3785999999999,0.07551365619029937,1.0,43.0,11.886,0.224,12.678,24.564
01-23,0.3693894736842105,-717.865247368421,0.233217008256964,0.0,43.0,15.514,0.24,13.157,28.671
01-24,0.30281,-585.4421,0.22482884061570196,0.0,43.0,12.718,0.195,13.819,26.537
01-25,0.21508000000000002,-411.0858,0.158876387923079,0.0,43.0,9.033,0.165,14.558,23.591
01-26,0.24526666666666672,-471.4308333333334,0.1405125707499737,0.0,43.0,10.301,0.21,13.952,24.253
01-27,0.23175405405405405,-445.4810081081081,0.13476842433139025,0.0,43.0,9.734,0.211,13.16,22.894
01-28,0.21561904761904754,-414.0882952380951,0.21665846771152952,0.0,43.0,9.056,0.208,12.622,21.678
01-29,0.21224999999999988,-405.3125999999998,0.22482884061570196,0.0,43.0,8.915,0.235,14.73,23.645
01-30,0.35689444444444446,-692.5638888888889,0.21665846771152952,0.0,43.0,14.99,0.385,13.73,28.72
01-31,0.482764705882353,-942.889411764706,0.16538510374217363,0.0,43.0,20.276,0.427,12.502,32.778
02-01,0.3962000000000001,-766.9300000000002,0.24182473164655205,0.0,43.0,16.64,0.296,17.15,33.79
02-02,0.24440909090909094,-461.5086818181819,0.6804707785321866,0.0,43.0,10.265,0.176,22.177,32.442
02-03,0.014149999999999885,0.2830000000002286,0.9827073827546051,0.0,43.0,0.594,0.01,28.286,28.88
02-04,-0.2931071428571429,614.4576857142857,0.35132852409266,-0.0,43.0,-12.311,-0.23,34.399,22.088
02-05,-0.1886666666666667,405.9163333333334,0.20096328781426642,-0.0,43.0,-7.924,-0.153,32.545,24.621
02-06,0.07718181818181788,-124.08263636363577,0.5016358122745783,0.0,43.0,3.242,0.066,28.66,31.902
02-07,0.08490000000000002,-139.23600000000002,0.828404904759906,0.0,43.0,3.566,0.068,28.781,32.347
02-08,0.14674074074074073,-265.6059814814815,0.9481546239300995,0.0,43.0,6.163,0.105,24.794,30.957
02-09,0.15297297297297288,-279.4005459459458,0.9654228872862332,0.0,43.0,6.425,0.114,23.333,29.758
02-10,0.17734666666666665,-330.1855333333333,0.828404904759906,0.0,43.0,7.448,0.139,20.784,28.232
02-11,0.20309411764705884,-384.7085352941177,0.6804707785321866,0.0,43.0,8.53,0.158,17.215,25.745
02-12,0.11320000000000015,-199.5150000000003,0.8794050603461727,0.0,43.0,4.754,0.081,24.508,29.262
02-13,0.05842580645161292,-91.94761290322583,0.8623384168158528,0.0,43.0,2.454,0.043,23.677,26.131
02-14,0.15125862068965518,-278.4622413793104,0.6964285776954346,0.0,43.0,6.352,0.131,20.879,27.231
02-15,0.05345555555555551,-82.54481111111102,0.930910680164664,0.0,43.0,2.245,0.047,23.244,25.489
02-16,-0.10533888888888872,235.07237777777743,0.5296315348267777,-0.0,43.0,-4.425,-0.095,26.607,22.182
02-17,-0.23980526315789474,503.9485263157895,0.3741826491069973,-0.0,43.0,-10.072,-0.215,29.374,19.302
02-18,-0.29378095238095236,610.3717047619048,0.12920748707657004,-0.0,43.0,-12.339,-0.266,28.979,16.64
02-19,-0.23772000000000001,498.02340000000004,0.158876387923079,-0.0,43.0,-9.985,-0.224,27.576,17.591
02-20,-0.0997947368421053,227.60647368421058,0.3187451826272518,-0.0,43.0,-4.192,-0.088,30.113,25.921
02-21,-0.014150000000000062,73.29700000000012,0.6029278873524366,-0.0,43.0,-0.594,-0.011,45.294,44.7
02-22,-0.2001214285714286,443.54185714285717,0.5155350369501335,-0.0,43.0,-8.406,-0.119,47.502,39.096
02-23,-0.3773333333333334,797.9656666666667,0.3859468605971168,-0.0,43.0,-15.848,-0.195,51.223,35.375
02-24,-0.09988235294117608,237.68670588235216,0.7125218881022106,-0.0,43.0,-4.196,-0.048,40.02,35.824
02-25,-0.008843749999999928,51.64749999999986,0.6646547813082151,-0.0,43.0,-0.372,-0.004,34.146,33.774
02-26,0.1365058823529413,-231.12776470588264,0.30833848049191515,0.0,43.0,5.734,0.061,39.017,44.751
02-27,0.1536285714285715,-267.92014285714305,0.5296315348267777,0.0,43.0,6.452,0.074,36.111,42.563
02-28,0.41834782608695653,-795.943652173913,0.5296315348267777,0.0,43.0,17.57,0.222,31.967,49.537
03-01,0.44172608695652177,-846.6621739130435,0.36264285850970546,0.0,43.0,18.552,0.25,27.514,46.066
03-02,0.4306521739130434,-823.6653478260868,0.24182473164655205,0.0,43.0,18.088,0.269,28.595,46.683
03-03,0.33959999999999996,-642.6929999999999,0.34024045120657065,0.0,43.0,14.264,0.218,29.375,43.639
03-04,0.21067777777777785,-389.3765555555557,0.648986688212116,0.0,43.0,8.848,0.128,27.555,36.403
03-05,-0.080655,192.44000000000003,0.9136991092503179,-0.0,43.0,-3.388,-0.043,32.824,29.436
03-06,-0.23347499999999993,500.62699999999984,0.5730643403857183,-0.0,43.0,-9.806,-0.126,38.58,28.774
03-07,-0.3348833333333334,703.4436666666669,0.3187451826272518,-0.0,43.0,-14.066,-0.198,40.71,26.644
03-08,-0.385909090909091,808.3251818181819,0.22482884061570196,-0.0,43.0,-16.208,-0.249,44.611,28.403
03-09,-0.1863083333333333,412.8026666666666,0.4101432374855567,-0.0,43.0,-7.824,-0.12,44.098,36.274
03-10,-0.0827230769230768,204.7831538461536,0.648986688212116,-0.0,43.0,-3.474,-0.048,41.074,37.6
03-11,0.08392413793103441,-116.34227586206883,0.448081548716583,0.0,43.0,3.524,0.05,49.744,53.268
03-12,0.1831176470588235,-320.67229411764697,0.48793753671895557,0.0,43.0,7.69,0.12,41.718,49.408
03-13,0.07026206896551722,-88.16913793103444,0.7125218881022106,0.0,43.0,2.952,0.047,50.879,53.831
03-14,0.058486666666666666,-66.31633333333335,0.6334724060856933,0.0,43.0,2.456,0.038,49.429,51.885
03-15,0.23771999999999963,-426.19799999999924,0.4744436456632575,0.0,43.0,9.984,0.15,44.25,54.234
03-16,0.17998800000000004,-311.30000000000007,0.4101432374855567,0.0,43.0,7.56,0.104,44.896,52.456
03-17,0.09669166666666669,-149.23533333333336,1.0,0.0,43.0,4.062,0.062,42.117,46.179
03-18,0.15329166666666674,-251.39833333333348,0.9827073827546051,0.0,43.0,6.438,0.098,51.966,58.404
03-19,-0.18286153846153835,414.6820769230767,0.8965279189482995,-0.0,43.0,-7.68,-0.105,52.799,45.119
03-20,-0.3499766666666666,747.7803333333333,0.6181176400135011,-0.0,43.0,-14.7,-0.191,55.177,40.477
03-21,-0.35375000000000006,747.969,0.6804707785321866,-0.0,43.0,-14.858,-0.194,47.898,33.04
03-22,-0.4182111111111111,872.9292222222222,0.6804707785321866,-0.0,43.0,-17.564,-0.258,45.289,27.725
03-23,-0.36385714285714293,760.8252857142858,0.35132852409266,-0.0,43.0,-15.282,-0.249,40.752,25.47
03-24,-0.35067391304347817,734.4588260869563,0.34024045120657065,-0.0,43.0,-14.728,-0.253,40.475,25.747
03-25,-0.2886599999999994,615.2419999999988,0.5730643403857183,-0.0,43.0,-12.124,-0.21,43.984,31.86
03-26,-0.15788421052631582,356.5204210526316,0.9827073827546051,-0.0,43.0,-6.632,-0.113,44.068,37.436
03-27,0.036913043478261034,-36.47008695652207,0.35132852409266,0.0,43.0,1.55,0.026,36.581,38.131
03-28,0.19810000000000003,-361.10800000000006,0.22482884061570196,0.0,43.0,8.32,0.141,30.932,39.252
03-29,0.0771818181818182,-114.7436363636364,0.30833848049191515,0.0,43.0,3.242,0.052,37.999,41.241
03-30,-0.3274714285714287,699.9398571428575,0.828404904759906,-0.0,43.0,-13.754,-0.192,51.874,38.12
03-31,-0.07075000000000009,194.9870000000002,0.7450889812709389,-0.0,43.0,-2.972,-0.037,54.973,52.001
04-01,0.0994324324324325,-143.679864864865,0.7615493074182684,0.0,43.0,4.176,0.05,53.097,57.273
04-02,0.06452399999999997,-85.46599999999994,1.0,0.0,43.0,2.71,0.034,42.227,44.937
04-03,0.21225000000000005,-373.27700000000016,0.5296315348267777,0.0,43.0,8.914,0.115,46.766,55.68
04-04,0.36224,-663.0690000000001,0.4352190017892559,0.0,43.0,15.214,0.185,53.804,69.018
04-05,0.2008387096774192,-351.3034193548384,0.5155350369501335,0.0,43.0,8.436,0.106,46.156,54.592
04-06,0.42974074074074053,-813.069481481481,0.6181176400135011,0.0,43.0,18.05,0.229,37.387,55.437
04-07,0.34452173913043477,-649.1404782608695,0.6964285776954346,0.0,43.0,14.47,0.201,32.668,47.138
04-08,0.22074,-402.70899999999995,0.48793753671895557,0.0,43.0,9.272,0.133,34.135,43.407
04-09,0.09433333333333316,-148.19766666666632,0.5879084322109032,0.0,43.0,3.962,0.061,38.488,42.45
04-10,-0.016171428571428566,81.58485714285712,0.5879084322109032,-0.0,43.0,-0.68,-0.01,49.582,48.902
04-11,0.18111999999999998,-312.99799999999993,0.5016358122745783,0.0,43.0,7.608,0.11,45.438,53.046
04-12,0.24362608695652177,-442.25517391304356,0.3859468605971168,0.0,43.0,10.232,0.15,39.881,50.113
04-13,0.07416551724137932,-105.31503448275863,0.5296315348267777,0.0,43.0,3.114,0.044,41.459,44.573
04-14,-0.21696666666666647,481.477333333333,0.9827073827546051,-0.0,43.0,-9.112,-0.134,52.1,42.988
04-15,-0.3921571428571429,833.8392857142859,0.7450889812709389,-0.0,43.0,-16.47,-0.243,57.76,41.29
04-16,-0.5745757575757575,1195.280515151515,0.6964285776954346,-0.0,43.0,-24.132,-0.354,58.195,34.063
04-17,-0.5660000000000002,1181.8080000000002,0.6334724060856933,-0.0,43.0,-23.772,-0.339,61.694,37.922
04-18,-0.5321972222222223,1107.9764444444447,0.48793753671895557,-0.0,43.0,-22.352,-0.336,54.758,32.406
04-19,-0.40273076923076917,843.1005384615383,0.32937921868675035,-0.0,43.0,-16.914,-0.253,46.096,29.182
04-20,-0.2202478260869565,476.719652173913,0.9827073827546051,-0.0,43.0,-9.25,-0.124,40.849,31.599
04-21,-0.15062903225806448,338.048064516129,0.7450889812709389,-0.0,43.0,-6.326,-0.083,39.953,33.627
04-22,-0.15808965517241386,353.8183103448277,0.8965279189482995,-0.0,43.0,-6.64,-0.087,40.959,34.319
04-23,-0.18736551724137937,408.6910344827587,0.930910680164664,-0.0,43.0,-7.87,-0.097,37.895,30.025
04-24,-0.18192857142857122,396.68514285714247,0.7287442378062505,-0.0,43.0,-7.641,-0.103,36.649,29.008
04-25,-0.16465454545454553,360.15609090909106,0.930910680164664,-0.0,43.0,-6.916,-0.099,34.305,27.389
04-26,-0.03415517241379313,99.44034482758626,0.5439213911923737,-0.0,43.0,-1.434,-0.022,31.847,30.413
04-27,0.2385285714285715,-445.361142857143,0.17900133567214382,0.0,43.0,10.018,0.153,26.687,36.705
