,mean,slp,chg,pvalue
0,124.52,0.42,17.652,0.965
1,121.12,0.903,37.946,0.862
2,119.14,0.991,41.6,0.696
3,128.2,1.367,57.435,0.778
4,136.41,0.707,29.704,0.914
5,124.8,0.457,19.19,0.879
6,122.82,0.485,20.376,0.845
7,124.52,0.283,11.888,0.845
8,122.82,0.314,13.206,0.862
9,120.28,0.283,11.9,0.914
10,119.14,0.996,41.848,0.618
11,116.03,1.441,60.518,0.423
12,109.52,1.405,59.01,0.308
13,109.52,1.345,56.49,0.288
14,114.62,1.415,59.43,0.251
15,111.22,1.415,59.43,0.269
16,118.86,1.415,59.43,0.34
17,119.43,1.499,62.954,0.298
18,118.29,1.497,62.868,0.288
19,113.2,1.33,55.86,0.351
20,119.14,1.079,45.32,0.423
21,121.69,1.165,48.942,0.502
22,120.28,1.327,55.716,0.278
23,120.28,1.745,73.302,0.172
24,124.52,2.167,90.996,0.104
25,127.35,2.176,91.376,0.193
26,131.03,2.187,91.866,0.225
27,123.1,1.887,79.24,0.233
28,120.28,1.91,80.241,0.298
29,121.97,1.824,76.604,0.193
30,138.1,1.898,79.73,0.153
31,138.1,1.757,73.776,0.278
32,134.99,1.353,56.846,0.288
33,140.08,1.132,47.544,0.374
34,135.84,0.66,27.74,0.812
35,132.44,0.707,29.715,0.778
36,127.35,0.056,2.352,0.965
37,127.35,0.252,10.604,0.965
38,130.18,0.809,33.96,0.762
39,130.46,0.977,41.046,0.588
40,130.18,1.245,52.304,0.423
41,117.44,1.415,59.43,0.374
42,116.03,1.179,49.526,0.516
43,113.2,1.099,46.168,0.558
44,110.37,0.966,40.58,0.745
45,115.18,0.717,30.114,0.828
46,141.5,0.396,16.632,0.914
47,152.82,0.314,13.206,0.862
48,147.73,0.339,14.252,0.862
49,144.33,-0.25,-10.488,0.588
50,137.26,-0.013,-0.56,0.713
51,141.5,-0.085,-3.57,0.713
52,141.5,-0.507,-21.298,0.729
53,182.25,-0.965,-40.542,0.435
54,174.89,-0.915,-38.414,0.351
55,172.63,-0.647,-27.18,0.34
56,186.78,-0.644,-27.032,0.351
57,166.97,-0.106,-4.462,0.558
58,166.97,0.469,19.688,0.983
59,168.95,1.792,75.282,0.618
60,176.31,1.253,52.64,0.845
61,183.95,0.872,36.645,0.879
62,175.18,0.056,2.352,0.745
63,187.63,-0.744,-31.248,0.502
64,182.25,-1.38,-57.946,0.351
65,182.54,-1.502,-63.096,0.329
66,194.14,-1.318,-55.348,0.423
67,195.84,-1.47,-61.74,0.461
68,219.61,-0.538,-22.586,0.665
69,219.89,-0.437,-18.366,0.948
70,209.99,-0.232,-9.736,1.0
71,237.44,-0.349,-14.658,0.965
72,239.98,0.511,21.474,0.795
73,233.48,0.836,35.108,0.68
74,230.64,-0.109,-4.592,1.0
75,225.83,-0.773,-32.47,0.603
76,216.5,-1.334,-56.04,0.713
77,222.72,-1.491,-62.628,0.633
78,222.44,-1.026,-43.102,0.729
79,216.5,-0.745,-31.278,0.828
80,206.87,-0.877,-36.834,0.879
81,189.61,-0.999,-41.95,0.696
82,176.88,-1.026,-43.084,0.558
83,174.89,-0.74,-31.08,0.544
84,168.95,-0.979,-41.128,0.474
85,185.08,-0.93,-39.04,0.558
86,187.35,-0.978,-41.084,0.665
87,184.8,-1.288,-54.076,0.965
88,220.17,-1.043,-43.79,0.897
89,219.61,-1.061,-44.572,1.0
90,216.21,-1.132,-47.55,0.795
91,203.48,-1.415,-59.43,0.862
92,190.18,-1.491,-62.636,0.649
93,203.19,-1.858,-78.015,0.633
94,191.31,-1.757,-73.776,0.558
95,175.18,-1.506,-63.236,0.588
96,169.23,-1.462,-61.39,0.573
97,183.95,-1.227,-51.52,0.665
