,mean,slp,chg,pvalue
0,9.941,0.161,6.78,0.229
1,8.396,0.123,5.16,0.212
2,10.263,0.115,4.831,0.135
3,10.97,0.149,6.274,0.04
4,10.783,0.085,3.57,0.196
5,10.302,0.062,2.625,0.363
6,9.008,0.016,0.676,0.582
7,7.725,0.03,1.26,0.387
8,6.988,0.057,2.38,0.465
9,7.578,0.157,6.603,0.058
10,8.532,0.273,11.48,0.009
11,8.042,0.405,16.999,0.004
12,7.679,0.358,15.05,0.006
13,7.185,0.25,10.514,0.025
14,7.406,0.231,9.693,0.047
15,6.705,0.19,7.962,0.04
16,6.873,0.216,9.066,0.025
17,8.263,0.227,9.52,0.025
18,9.01,0.281,11.793,0.008
19,8.215,0.21,8.84,0.019
20,8.263,0.147,6.16,0.04
21,8.093,0.195,8.197,0.038
22,8.039,0.258,10.834,0.02
23,8.235,0.22,9.24,0.034
24,8.078,0.197,8.275,0.038
25,7.867,0.194,8.148,0.034
26,6.726,0.183,7.683,0.052
27,6.592,0.165,6.911,0.061
28,6.768,0.175,7.36,0.032
29,7.758,0.097,4.06,0.317
30,7.607,0.093,3.903,0.257
31,8.314,0.127,5.333,0.154
32,8.378,0.088,3.675,0.452
33,9.576,0.052,2.201,0.955
34,11.36,0.02,0.84,0.902
35,9.997,0.044,1.844,0.745
36,9.384,0.087,3.651,0.351
37,8.505,0.111,4.656,0.296
38,8.411,0.182,7.632,0.09
39,8.537,0.204,8.568,0.055
40,8.503,0.167,7.007,0.141
41,8.25,0.15,6.3,0.189
42,7.411,0.111,4.676,0.229
43,6.416,0.102,4.289,0.307
44,5.714,0.079,3.302,0.465
45,6.355,0.09,3.78,0.412
46,8.387,0.044,1.864,0.796
47,8.809,0.038,1.592,0.937
48,8.455,0.02,0.852,0.831
49,11.216,0.042,1.758,0.661
50,15.256,0.032,1.338,0.955
51,14.376,0.062,2.625,0.745
52,15.262,-0.127,-5.355,0.286
53,15.165,-0.23,-9.66,0.257
54,13.05,-0.13,-5.46,0.412
55,12.2,0.001,0.057,0.711
56,12.108,0.136,5.722,0.238
57,12.286,0.152,6.366,0.16
58,12.038,0.134,5.635,0.099
59,13.68,0.159,6.683,0.129
60,11.687,0.173,7.284,0.189
61,12.201,0.142,5.958,0.212
62,11.316,0.072,3.028,0.552
63,12.68,0.03,1.26,0.973
64,13.645,-0.071,-2.966,0.831
65,15.629,-0.101,-4.26,0.493
66,14.53,-0.12,-5.024,0.296
67,14.485,-0.01,-0.42,0.991
68,17.61,0.15,6.282,0.212
