,mean,slp,chg,pvalue
01-01,1.25,0.007,0.308,0.129
01-02,1.25,0.007,0.296,0.095
01-03,1.25,0.007,0.292,0.109
01-04,1.23,0.008,0.336,0.159
01-05,1.27,0.007,0.28,0.209
01-06,1.24,0.008,0.336,0.172
01-07,1.24,0.007,0.304,0.153
01-08,1.24,0.009,0.364,0.079
01-09,1.23,0.008,0.32,0.119
01-10,1.22,0.008,0.334,0.114
01-11,1.25,0.009,0.37,0.124
01-12,1.25,0.008,0.342,0.225
01-13,1.25,0.009,0.384,0.099
01-14,1.25,0.009,0.36,0.119
01-15,1.22,0.01,0.41,0.072
01-16,1.22,0.009,0.36,0.099
01-17,1.2,0.009,0.36,0.114
01-18,1.2,0.008,0.35,0.129
01-19,1.27,0.008,0.326,0.109
01-20,1.2,0.009,0.382,0.069
01-21,1.25,0.007,0.304,0.129
01-22,1.25,0.008,0.336,0.104
01-23,1.25,0.008,0.354,0.087
01-24,1.25,0.007,0.312,0.095
01-25,1.25,0.007,0.312,0.129
01-26,1.25,0.007,0.284,0.159
01-27,1.28,0.008,0.344,0.119
01-28,1.27,0.008,0.322,0.114
01-29,1.25,0.008,0.34,0.129
01-30,1.28,0.007,0.288,0.269
01-31,1.27,0.008,0.315,0.308
02-01,1.3,0.008,0.318,0.435
02-02,1.3,0.007,0.28,0.386
02-03,1.3,0.007,0.315,0.448
02-04,1.3,0.008,0.315,0.423
02-05,1.3,0.009,0.364,0.269
02-06,1.27,0.008,0.336,0.26
02-07,1.27,0.008,0.35,0.26
02-08,1.27,0.008,0.332,0.225
02-09,1.22,0.008,0.318,0.091
02-10,1.22,0.008,0.326,0.095
02-11,1.27,0.01,0.406,0.119
02-12,1.22,0.009,0.36,0.087
02-13,1.25,0.009,0.376,0.099
02-14,1.25,0.008,0.332,0.114
02-15,1.26,0.008,0.332,0.146
02-16,1.27,0.01,0.42,0.07
02-17,1.27,0.009,0.398,0.069
02-18,1.27,0.009,0.376,0.095
02-19,1.27,0.01,0.42,0.081
02-20,1.27,0.008,0.33,0.172
02-21,1.27,0.008,0.324,0.159
02-22,1.25,0.008,0.32,0.135
02-23,1.22,0.01,0.42,0.076
02-24,1.28,0.007,0.288,0.135
02-25,1.3,0.008,0.344,0.095
02-26,1.25,0.009,0.36,0.095
02-27,1.27,0.009,0.368,0.091
02-28,1.25,0.008,0.33,0.059
03-01,1.25,0.008,0.342,0.056
03-02,1.25,0.01,0.42,0.059
03-03,1.25,0.011,0.45,0.037
03-04,1.27,0.01,0.404,0.03
03-05,1.25,0.009,0.364,0.049
03-06,1.27,0.01,0.42,0.062
03-07,1.27,0.01,0.42,0.051
03-08,1.27,0.01,0.42,0.069
03-09,1.28,0.009,0.378,0.079
03-10,1.3,0.008,0.336,0.093
03-11,1.31,0.008,0.326,0.165
03-12,1.35,0.008,0.344,0.119
03-13,1.33,0.008,0.342,0.119
03-14,1.33,0.008,0.33,0.201
03-15,1.33,0.008,0.328,0.179
03-16,1.33,0.007,0.304,0.165
03-17,1.34,0.007,0.286,0.165
03-18,1.34,0.006,0.242,0.242
03-19,1.35,0.007,0.296,0.165
03-20,1.34,0.007,0.312,0.141
03-21,1.36,0.008,0.324,0.099
03-22,1.35,0.008,0.356,0.104
03-23,1.34,0.008,0.315,0.119
03-24,1.33,0.007,0.306,0.104
03-25,1.36,0.007,0.284,0.109
03-26,1.33,0.007,0.288,0.109
03-27,1.33,0.006,0.262,0.062
03-28,1.37,0.007,0.284,0.039
03-29,1.41,0.009,0.36,0.104
03-30,1.38,0.008,0.326,0.059
03-31,1.41,0.008,0.35,0.135
04-01,1.41,0.008,0.318,0.109
04-02,1.41,0.007,0.298,0.119
04-03,1.43,0.008,0.332,0.159
04-04,1.49,0.008,0.336,0.165
04-05,1.47,0.008,0.318,0.165
04-06,1.46,0.007,0.28,0.146
04-07,1.47,0.007,0.315,0.153
04-08,1.43,0.007,0.284,0.076
04-09,1.42,0.007,0.306,0.076
04-10,1.44,0.006,0.266,0.242
04-11,1.43,0.006,0.262,0.319
04-12,1.46,0.007,0.28,0.398
04-13,1.42,0.008,0.334,0.363
04-14,1.42,0.006,0.252,0.502
04-15,1.4,0.006,0.258,0.588
04-16,1.58,0.007,0.304,0.633
04-17,1.47,0.006,0.264,0.68
04-18,1.47,0.007,0.29,0.633
04-19,1.59,0.005,0.202,0.729
04-20,1.59,0.005,0.21,0.845
04-21,1.56,0.006,0.238,0.812
04-22,1.56,0.006,0.236,0.762
04-23,1.67,0.005,0.202,0.68
04-24,1.76,0.006,0.248,0.729
04-25,1.81,0.006,0.244,0.745
04-26,2.03,0.008,0.326,0.633
04-27,2.24,0.007,0.3,0.34
04-28,1.88,0.003,0.14,0.423
04-29,1.83,0.005,0.204,0.26
04-30,1.79,0.005,0.194,0.308
05-01,1.84,0.006,0.252,0.251
05-02,2.01,0.006,0.254,0.298
05-03,2.04,0.006,0.27,0.288
05-04,2.09,0.007,0.3,0.374
05-05,2.18,0.008,0.326,0.319
05-06,2.21,0.007,0.28,0.278
05-07,2.86,0.008,0.315,0.374
05-08,2.8,0.006,0.258,0.398
05-09,2.8,0.006,0.252,0.448
05-10,2.83,0.006,0.252,0.461
05-11,2.8,0.005,0.21,0.474
05-12,2.8,0.005,0.23,0.544
05-13,3.06,0.004,0.16,0.795
05-14,3.23,0.006,0.232,0.845
05-15,2.77,0.007,0.315,0.778
05-16,2.26,0.006,0.266,0.649
05-17,2.21,0.007,0.312,0.618
05-18,2.18,0.01,0.42,0.558
05-19,2.29,0.008,0.352,0.649
05-20,2.21,0.011,0.476,0.665
05-21,2.15,0.008,0.354,0.696
05-22,2.09,0.01,0.406,0.633
05-23,2.09,0.009,0.362,0.649
05-24,2.12,0.006,0.27,0.603
05-25,2.09,0.006,0.234,0.398
05-26,2.07,0.007,0.29,0.298
05-27,2.07,0.006,0.252,0.308
05-28,2.04,0.006,0.242,0.351
