,mean,slp,chg,pvalue
0,1.87,0.028,1.184,0.114
1,1.88,0.026,1.108,0.119
2,1.67,0.026,1.088,0.072
3,1.87,0.028,1.155,0.201
4,1.9,0.025,1.07,0.186
5,1.74,0.024,1.008,0.129
6,1.81,0.02,0.84,0.095
7,1.65,0.02,0.861,0.091
8,1.56,0.021,0.872,0.042
9,1.56,0.025,1.06,0.022
10,1.6,0.018,0.77,0.032
11,1.74,0.041,1.722,0.003
12,1.64,0.049,2.062,0.002
13,1.67,0.035,1.449,0.017
14,1.56,0.027,1.152,0.091
15,1.65,0.027,1.12,0.083
16,1.53,0.024,1.026,0.069
17,1.7,0.022,0.914,0.269
18,2.15,0.016,0.654,0.448
19,2.17,0.004,0.158,0.68
20,1.87,-0.005,-0.21,0.713
21,1.77,-0.007,-0.29,0.931
22,2.07,0.008,0.34,0.278
23,2.09,0.011,0.466,0.26
24,2.09,0.024,1.02,0.076
25,2.04,0.011,0.47,0.351
26,1.64,0.01,0.42,0.319
27,1.58,0.015,0.63,0.186
28,1.61,0.013,0.532,0.225
29,1.58,0.01,0.402,0.319
30,1.64,0.008,0.318,0.319
31,1.67,0.013,0.564,0.165
32,2.12,0.003,0.12,0.649
33,2.21,-0.005,-0.232,1.0
34,2.23,-0.008,-0.315,0.745
35,2.15,0.001,0.05,0.845
36,2.21,0.015,0.616,0.351
37,2.15,0.028,1.186,0.087
38,2.09,0.029,1.2,0.051
39,1.87,0.026,1.092,0.065
40,1.81,0.023,0.98,0.099
41,1.87,0.016,0.688,0.448
42,2.0,0.02,0.826,0.374
43,1.9,0.024,0.99,0.233
44,1.95,0.021,0.89,0.288
45,2.09,0.025,1.05,0.201
46,2.32,0.018,0.765,0.423
47,2.21,0.025,1.04,0.363
48,2.17,0.018,0.756,0.603
49,2.29,0.011,0.466,0.778
50,2.38,-0.015,-0.646,0.209
51,2.24,-0.013,-0.554,0.423
52,2.15,-0.009,-0.399,1.0
53,2.12,-0.016,-0.68,0.618
54,2.46,-0.05,-2.12,0.251
55,2.38,-0.02,-0.83,0.696
56,2.35,-0.012,-0.514,0.879
57,2.79,0.012,0.51,0.488
58,2.69,0.008,0.332,0.544
59,2.891,0.014,0.595,0.53
60,2.94,0.025,1.05,0.165
61,2.89,0.018,0.742,0.363
62,2.97,0.015,0.63,0.26
63,2.83,0.016,0.686,0.269
64,3.25,0.011,0.452,0.573
65,3.23,-0.01,-0.42,1.0
66,3.34,-0.002,-0.104,0.812
67,3.11,0.004,0.158,0.68
68,3.0,0.008,0.322,0.474
69,2.97,-0.001,-0.026,0.68
70,3.03,0.003,0.116,0.762
71,3.11,0.001,0.06,0.745
72,3.08,-0.001,-0.046,0.897
73,3.2,-0.008,-0.336,0.828
74,2.86,-0.013,-0.56,0.713
75,2.72,-0.023,-0.952,0.41
76,3.17,-0.03,-1.24,0.217
77,3.17,-0.02,-0.84,0.435
78,2.97,-0.013,-0.555,0.618
79,3.28,-0.026,-1.108,0.298
80,2.91,-0.019,-0.778,0.448
81,3.62,-0.024,-0.996,0.298
82,3.65,-0.038,-1.596,0.201
83,3.23,-0.044,-1.848,0.172
84,3.2,-0.037,-1.572,0.193
85,3.0,-0.035,-1.456,0.251
86,2.89,-0.015,-0.648,0.544
87,3.2,-0.001,-0.056,0.897
88,3.57,-0.003,-0.12,0.516
89,3.42,-0.008,-0.33,0.618
90,3.23,-0.003,-0.12,0.914
91,3.17,-0.006,-0.234,0.914
92,2.97,-0.026,-1.098,0.374
93,3.34,-0.05,-2.1,0.027
94,2.97,-0.042,-1.764,0.024
95,2.97,-0.034,-1.436,0.026
96,2.72,-0.03,-1.248,0.109
97,2.6,-0.028,-1.186,0.135
98,2.66,-0.039,-1.634,0.099
99,2.36,-0.049,-2.064,0.114
100,2.57,-0.043,-1.812,0.091
101,3.08,-0.037,-1.554,0.141
102,2.91,-0.029,-1.214,0.588
103,2.63,-0.029,-1.21,0.435
104,2.72,-0.023,-0.956,0.374
105,3.11,-0.026,-1.076,0.573
106,3.11,-0.028,-1.176,0.448
107,2.89,-0.029,-1.216,0.242
108,2.66,-0.024,-0.992,0.278
109,3.03,0.01,0.4,0.474
110,2.86,0.001,0.05,0.713
111,2.86,0.004,0.172,0.862
112,2.86,0.014,0.588,0.68
113,2.52,0.009,0.36,0.729
114,2.41,0.017,0.7,0.308
115,2.38,0.016,0.692,0.53
116,2.41,0.003,0.105,0.914
117,2.18,-0.001,-0.024,0.948
118,2.07,0.001,0.056,0.879
119,2.01,0.005,0.2,0.278
120,2.09,0.001,0.046,0.544
121,1.96,-0.001,-0.038,0.745
122,1.9,0.009,0.36,0.745
123,1.9,0.012,0.488,0.516
124,2.15,0.02,0.84,0.329
125,2.18,0.025,1.05,0.386
126,2.45,0.032,1.365,0.153
127,2.26,0.033,1.4,0.233
128,2.46,0.024,1.02,0.201
129,2.26,0.018,0.764,0.435
130,2.12,0.019,0.805,0.448
131,2.09,0.018,0.756,0.34
132,2.01,0.012,0.526,0.448
133,2.01,0.02,0.84,0.153
134,1.9,0.035,1.47,0.109
135,2.05,0.024,1.022,0.087
136,1.81,0.024,1.0,0.242
137,1.94,0.018,0.756,0.812
138,1.98,0.016,0.672,0.461
139,1.95,0.0,0.0,0.729
140,1.83,0.005,0.21,0.713
141,1.9,0.01,0.42,0.649
142,2.109,0.008,0.315,0.649
143,1.86,-0.001,-0.04,0.862
144,1.69,0.006,0.258,0.448
145,2.04,0.002,0.09,0.544
146,1.87,0.007,0.28,0.398
147,1.67,0.006,0.27,0.435
148,1.83,0.001,0.058,0.778
149,1.58,0.003,0.12,0.665
150,1.39,-0.001,-0.024,0.729
151,1.38,0.005,0.21,0.544
152,1.16,0.005,0.21,0.423
153,1.36,0.005,0.21,0.386
154,1.29,-0.004,-0.15,0.649
155,1.62,-0.005,-0.23,0.633
156,1.45,0.001,0.038,0.862
157,1.58,-0.005,-0.21,0.68
158,1.33,-0.004,-0.148,0.68
159,1.15,0.0,0.0,0.948
160,1.21,0.002,0.074,0.762
161,1.16,0.006,0.231,0.288
162,1.02,0.005,0.21,0.269
163,0.96,0.005,0.204,0.435
164,1.05,0.003,0.132,0.588
165,0.93,0.006,0.231,0.862
166,0.96,0.003,0.13,0.914
167,0.98,0.001,0.05,0.633
168,0.96,-0.003,-0.12,0.983
169,0.96,0.002,0.082,0.845
170,0.89,0.0,0.0,0.965
171,0.82,0.003,0.134,0.762
172,0.82,0.007,0.284,0.502
173,0.79,0.006,0.252,0.558
174,0.91,0.009,0.394,0.544
175,0.87,0.007,0.28,0.633
176,0.81,0.004,0.18,0.374
177,0.75,0.004,0.186,0.41
178,0.75,0.004,0.178,0.398
179,0.68,0.002,0.082,0.544
180,0.65,0.003,0.134,0.298
181,0.74,0.002,0.105,0.558
182,0.82,0.0,0.0,0.983
183,0.66,-0.003,-0.144,0.488
184,0.62,0.0,0.016,0.729
185,0.68,0.004,0.165,0.544
186,0.63,0.001,0.048,0.931
187,0.57,0.001,0.038,0.828
188,0.65,0.006,0.244,0.488
189,0.59,0.006,0.24,0.298
190,0.52,0.004,0.158,0.474
191,0.48,0.004,0.148,0.329
192,0.51,0.003,0.124,0.558
193,0.48,0.003,0.128,0.573
194,0.48,0.004,0.148,0.423
195,0.54,0.0,0.0,0.983
196,0.45,-0.0,-0.012,0.862
197,0.44,0.001,0.056,1.0
