,mean,slp,chg,pvalue
01-01,2.582,0.032,1.365,0.121
01-02,2.486,0.026,1.096,0.049
01-03,2.432,0.021,0.891,0.041
01-04,2.377,0.027,1.116,0.026
01-05,2.786,0.017,0.695,0.127
01-06,2.678,0.018,0.768,0.18
01-07,2.488,0.028,1.195,0.105
01-08,2.348,0.027,1.153,0.033
01-09,2.149,0.029,1.216,0.035
01-10,2.077,0.037,1.537,0.003
01-11,2.212,0.032,1.334,0.023
01-12,2.368,0.049,2.045,0.017
01-13,2.31,0.05,2.083,0.004
01-14,2.322,0.052,2.177,0.033
01-15,2.34,0.05,2.096,0.075
01-16,2.306,0.046,1.93,0.033
01-17,2.2,0.04,1.68,0.071
01-18,2.198,0.037,1.575,0.049
01-19,2.294,0.034,1.445,0.041
01-20,2.206,0.027,1.113,0.239
01-21,2.06,0.021,0.865,0.345
01-22,1.972,0.022,0.927,0.204
01-23,1.972,0.022,0.926,0.116
01-24,2.066,0.026,1.105,0.11
01-25,2.181,0.041,1.709,0.025
01-26,2.066,0.036,1.506,0.121
01-27,1.973,0.033,1.4,0.116
01-28,1.882,0.032,1.355,0.058
01-29,2.018,0.027,1.155,0.052
01-30,1.968,0.027,1.143,0.049
01-31,1.81,0.03,1.26,0.013
02-01,1.808,0.028,1.172,0.026
02-02,1.821,0.021,0.89,0.204
02-03,1.797,0.017,0.727,0.666
02-04,1.778,0.018,0.757,0.861
02-05,1.796,0.016,0.68,0.584
02-06,1.826,0.016,0.693,0.492
02-07,1.716,0.016,0.653,0.435
02-08,1.718,0.017,0.717,0.357
02-09,1.719,0.019,0.788,0.188
02-10,1.688,0.017,0.727,0.196
02-11,1.656,0.016,0.684,0.735
02-12,1.744,0.013,0.565,0.807
02-13,1.677,0.007,0.3,0.935
02-14,1.618,0.008,0.319,0.954
02-15,1.676,0.005,0.217,0.972
02-16,1.646,0.005,0.215,0.718
02-17,1.68,0.01,0.42,0.537
02-18,1.571,0.011,0.462,0.507
02-19,1.673,0.013,0.542,0.435
02-20,1.701,0.011,0.456,0.954
02-21,1.94,0.02,0.84,0.701
02-22,1.92,0.02,0.856,0.568
02-23,1.904,0.015,0.615,0.701
02-24,1.93,0.011,0.447,0.861
02-25,1.864,0.014,0.58,0.861
02-26,1.763,0.013,0.529,0.23
02-27,1.821,0.011,0.466,0.139
02-28,1.795,0.015,0.63,0.334
03-01,1.768,0.018,0.737,0.3
03-02,1.742,0.012,0.499,0.382
03-03,1.711,0.01,0.439,0.435
03-04,1.712,0.012,0.519,0.537
03-05,1.985,0.005,0.218,0.507
03-06,2.065,0.005,0.2,0.522
03-07,1.958,0.009,0.367,0.666
