,mean,slp,chg,pvalue
0,0.684,0.004,0.177,0.188
1,0.654,0.003,0.145,0.334
2,0.653,0.003,0.14,0.268
3,0.653,0.003,0.126,0.3
4,0.653,0.003,0.14,0.249
5,0.653,0.003,0.126,0.166
6,0.683,0.003,0.14,0.204
7,0.654,0.003,0.145,0.173
8,0.623,0.003,0.126,0.258
9,0.622,0.003,0.105,0.408
10,0.622,0.003,0.115,0.334
11,0.633,0.003,0.124,0.289
12,0.632,0.003,0.111,0.408
13,0.652,0.002,0.096,0.449
14,0.622,0.003,0.105,0.37
15,0.622,0.002,0.091,0.37
16,0.621,0.002,0.071,0.463
17,0.592,0.002,0.069,0.408
18,0.581,0.001,0.038,0.492
19,0.591,0.001,0.056,0.408
20,0.592,0.002,0.07,0.435
21,0.592,0.002,0.09,0.322
22,0.592,0.002,0.074,0.449
23,0.592,0.002,0.078,0.322
24,0.592,0.002,0.09,0.239
25,0.572,0.002,0.096,0.204
26,0.572,0.002,0.084,0.204
27,0.572,0.002,0.079,0.334
28,0.57,0.001,0.031,0.616
29,0.57,0.0,0.0,0.898
30,0.57,0.0,0.0,0.935
31,0.54,0.0,0.0,0.926
32,0.54,0.0,0.0,0.861
33,0.54,0.0,0.0,0.972
34,0.54,0.0,0.0,1.0
35,0.54,0.0,0.0,0.916
36,0.55,0.0,0.0,0.816
37,0.57,-0.0,-0.008,0.753
38,0.529,-0.001,-0.044,0.616
39,0.538,-0.002,-0.066,0.421
40,0.539,-0.001,-0.056,0.395
41,0.559,-0.001,-0.044,0.584
42,0.558,-0.001,-0.055,0.584
43,0.538,-0.002,-0.067,0.477
44,0.518,-0.002,-0.078,0.463
45,0.508,-0.002,-0.101,0.345
46,0.538,-0.003,-0.105,0.188
47,0.537,-0.003,-0.116,0.221
48,0.537,-0.003,-0.136,0.249
49,0.588,-0.002,-0.08,0.666
50,0.568,-0.002,-0.099,0.584
51,0.578,-0.002,-0.095,0.289
52,0.568,-0.003,-0.107,0.18
53,0.568,-0.002,-0.103,0.213
54,0.568,-0.002,-0.105,0.268
55,0.567,-0.003,-0.118,0.204
56,0.567,-0.003,-0.124,0.116
57,0.567,-0.003,-0.136,0.152
58,0.537,-0.003,-0.126,0.127
59,0.537,-0.003,-0.14,0.127
60,0.566,-0.004,-0.163,0.139
61,0.536,-0.004,-0.164,0.116
62,0.536,-0.004,-0.168,0.091
63,0.526,-0.004,-0.158,0.087
64,0.566,-0.004,-0.166,0.058
65,0.568,-0.002,-0.103,0.258
66,0.588,-0.002,-0.09,0.395
67,0.609,-0.001,-0.041,0.408
68,0.609,-0.0,-0.015,0.616
69,0.62,0.0,0.0,0.816
70,0.62,-0.0,-0.014,0.6
71,0.681,0.001,0.026,0.289
72,0.7,0.0,0.006,0.23
73,0.702,0.002,0.072,0.357
74,0.682,0.002,0.074,0.357
75,0.716,0.006,0.257,0.1
76,0.726,0.006,0.261,0.11
77,0.726,0.006,0.263,0.108
78,0.743,0.003,0.14,0.23
79,0.743,0.003,0.13,0.249
80,0.762,0.002,0.065,0.435
81,0.82,0.0,0.0,0.522
82,0.772,0.001,0.057,0.65
83,0.849,-0.001,-0.046,0.861
84,1.027,-0.003,-0.112,0.991
85,1.246,-0.004,-0.16,0.701
86,1.436,-0.003,-0.133,0.683
87,1.638,-0.001,-0.061,0.584
88,1.648,-0.002,-0.103,0.701
89,1.696,-0.004,-0.149,1.0
90,1.63,-0.011,-0.453,0.825
91,1.832,-0.008,-0.332,0.807
92,1.939,-0.011,-0.454,0.492
93,1.962,-0.018,-0.769,0.23
94,2.12,-0.029,-1.227,0.039
95,2.423,-0.037,-1.535,0.049
96,2.244,-0.037,-1.541,0.037
97,2.571,-0.029,-1.218,0.075
98,2.503,-0.017,-0.718,0.249
99,2.679,-0.021,-0.876,0.221
100,3.204,-0.026,-1.088,0.463
101,2.848,-0.013,-0.531,0.449
102,2.664,-0.027,-1.113,0.23
103,3.078,-0.032,-1.323,0.121
104,3.654,-0.025,-1.057,0.3
105,4.656,-0.014,-0.588,0.753
106,4.426,-0.014,-0.6,0.789
107,4.104,-0.026,-1.092,0.771
108,4.762,-0.048,-2.006,0.552
109,3.75,-0.039,-1.657,0.701
110,3.65,-0.029,-1.237,0.683
111,4.077,-0.024,-0.995,0.807
112,4.478,-0.082,-3.425,0.166
113,4.377,-0.093,-3.903,0.268
114,3.988,-0.062,-2.612,0.463
115,4.197,-0.023,-0.976,0.916
116,3.383,-0.037,-1.552,0.753
117,4.145,-0.045,-1.874,0.568
118,3.032,-0.028,-1.176,0.753
119,3.13,-0.01,-0.42,0.935
120,2.69,0.001,0.027,0.991
121,2.151,0.001,0.03,0.753
122,2.11,0.01,0.441,0.395
123,2.084,0.004,0.16,0.477
124,2.008,-0.002,-0.1,0.666
125,1.866,-0.004,-0.183,0.825
126,1.728,-0.002,-0.069,0.807
127,1.67,0.0,0.0,0.435
128,1.596,0.006,0.266,0.23
129,1.541,0.011,0.478,0.18
130,1.539,0.009,0.374,0.159
131,1.537,0.007,0.294,0.421
132,1.503,0.003,0.128,0.435
133,1.346,0.006,0.26,0.249
134,1.588,0.008,0.321,0.221
135,1.438,0.007,0.313,0.279
136,1.34,0.01,0.411,0.133
137,1.276,0.007,0.273,0.249
138,1.197,0.007,0.292,0.249
139,1.11,0.009,0.385,0.221
140,1.142,0.012,0.521,0.139
141,1.142,0.012,0.5,0.166
142,1.066,0.006,0.25,0.421
143,1.023,0.003,0.13,0.421
144,1.341,0.011,0.448,0.204
145,1.23,0.01,0.411,0.188
146,1.088,0.008,0.321,0.279
147,1.027,0.007,0.306,0.152
148,0.939,0.009,0.378,0.188
149,0.971,0.001,0.059,0.88
