,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.04244999999999988,-82.09829999999975,0.08676057117588454,1.0,31.0,1.783,0.581,1.91,3.693
01-02,0.032477619047619054,-62.49637238095239,0.12494881685497083,0.0,31.0,1.364,0.487,1.777,3.141
01-03,0.022639999999999993,-42.990529999999985,0.2844114676220473,0.0,31.0,0.951,0.355,1.814,2.765
01-04,0.016845238095238097,-31.430114761904765,0.3723653021980269,0.0,31.0,0.707,0.264,1.907,2.614
01-05,0.007221379310344825,-12.426920344827582,0.802761791874143,0.0,31.0,0.303,0.111,1.864,2.167
01-06,0.0027211538461538497,-3.549690769230776,0.8865048064138312,0.0,31.0,0.115,0.043,1.835,1.95
01-07,0.008490000000000008,-15.010320000000014,0.7212260985001633,0.0,31.0,0.357,0.133,1.791,2.148
01-08,0.01058173913043479,-19.28029782608697,0.5924901808547871,0.0,31.0,0.444,0.153,1.661,2.105
01-09,0.012198275862068966,-22.56876206896552,0.6946868300138667,0.0,31.0,0.512,0.165,1.572,2.084
01-10,0.015192631578947369,-28.596107368421055,0.6427431760684212,0.0,31.0,0.638,0.221,1.47,2.108
01-11,0.034195833333333335,-66.26209166666668,0.12494881685497083,0.0,31.0,1.437,0.479,1.411,2.848
01-12,0.05306249999999999,-103.79732499999999,0.012498629719276622,2.0,31.0,2.229,0.603,1.213,3.442
01-13,0.040044500000000004,-77.89603300000002,0.038493604971814754,2.0,31.0,1.682,0.426,1.352,3.034
01-14,0.04042857142857142,-78.8599714285714,0.08039114754218035,1.0,31.0,1.698,0.439,1.148,2.846
01-15,0.037733333333333396,-73.2819066666668,0.15349848843685354,0.0,31.0,1.585,0.454,1.392,2.977
01-16,0.04110238095238096,-79.72244761904763,0.15349848843685354,0.0,31.0,1.726,0.549,1.619,3.345
01-17,0.03207333333333336,-61.87700666666673,0.16404343214420547,0.0,31.0,1.347,0.441,1.596,2.943
01-18,0.024998333333333334,-47.69021666666667,0.3723653021980269,0.0,31.0,1.05,0.322,1.781,2.831
01-19,0.017294444444444453,-32.41073222222224,0.6685166224807093,0.0,31.0,0.726,0.241,1.815,2.541
01-20,0.009383684210526301,-16.761196315789444,0.9147523390847367,0.0,31.0,0.394,0.143,1.809,2.203
01-21,0.007310833333333322,-12.766601666666643,0.802761791874143,0.0,31.0,0.307,0.111,1.702,2.009
01-22,0.006991764705882351,-12.124718823529408,0.9431079616717606,0.0,31.0,0.294,0.111,1.712,2.006
01-23,0.00719291666666666,-12.41827583333332,0.9715358738879936,0.0,31.0,0.302,0.101,1.817,2.119
01-24,0.008085714285714283,-13.943814285714279,1.0,0.0,31.0,0.339,0.109,2.058,2.397
01-25,0.018009090909090905,-33.957427272727266,0.4977975765265772,0.0,31.0,0.756,0.263,1.683,2.439
01-26,0.01929545454545455,-36.74883636363637,0.2686642304239091,0.0,31.0,0.81,0.311,1.437,2.247
01-27,0.011320000000000007,-20.845780000000016,0.4324504235358999,0.0,31.0,0.476,0.188,1.556,2.032
01-28,0.009004545454545461,-16.257063636363647,0.3353389634847317,0.0,31.0,0.378,0.156,1.563,1.941
01-29,0.019512105263157897,-37.124237894736844,0.2535263593015791,0.0,31.0,0.82,0.343,1.49,2.31
01-30,0.02439190476190475,-46.939458095238074,0.3723653021980269,0.0,31.0,1.025,0.387,1.332,2.357
01-31,0.021769230769230728,-41.70984615384607,0.3353389634847317,0.0,31.0,0.915,0.347,1.371,2.286
02-01,0.027061874999999985,-52.25488874999997,0.3007717594347785,0.0,31.0,1.136,0.449,1.301,2.437
02-02,0.020753333333333342,-39.76904666666668,0.4324504235358999,0.0,31.0,0.871,0.36,1.302,2.173
02-03,0.020658999999999983,-39.430955999999966,0.31774734769908775,0.0,31.0,0.868,0.357,1.453,2.321
02-04,0.025470000000000017,-49.17408000000003,0.21171183194124232,0.0,31.0,1.07,0.426,1.231,2.301
02-05,0.023946153846153846,-46.19213076923077,0.2535263593015791,0.0,31.0,1.006,0.403,1.197,2.203
02-06,0.0222155,-42.701587,0.2844114676220473,0.0,31.0,0.933,0.344,1.263,2.196
02-07,0.02780058823529413,-53.7109029411765,0.15349848843685354,0.0,31.0,1.168,0.427,1.306,2.474
02-08,0.03458888888888861,-67.2411144444439,0.10071962676451429,0.0,31.0,1.453,0.486,1.21,2.663
02-09,0.02234210526315789,-42.59745789473683,0.3007717594347785,0.0,31.0,0.938,0.299,1.618,2.556
02-10,0.017841304347826097,-33.76436086956524,0.7212260985001633,0.0,31.0,0.749,0.211,1.544,2.293
02-11,0.015093333333333328,-28.10661666666666,0.8584007529637274,0.0,31.0,0.634,0.18,1.763,2.397
02-12,0.014642173913043479,-27.243794782608695,0.9715358738879936,0.0,31.0,0.615,0.183,1.733,2.348
02-13,0.013892727272727258,-25.72109818181815,0.7752944295177846,0.0,31.0,0.583,0.189,1.773,2.356
02-14,0.015093333333333328,-28.228306666666658,0.617392769071009,0.0,31.0,0.634,0.225,1.641,2.275
02-15,0.010548181818181785,-19.05207454545448,0.6685166224807093,0.0,31.0,0.443,0.156,1.823,2.266
02-16,0.008150399999999997,-14.270897599999993,0.9431079616717606,0.0,31.0,0.342,0.109,1.859,2.201
02-17,0.004468421052631577,-6.872431578947365,0.9431079616717606,0.0,31.0,0.187,0.053,1.971,2.158
02-18,0.00525571428571429,-8.498894285714295,0.8584007529637274,0.0,31.0,0.221,0.052,1.902,2.123
02-19,0.0017226086956521735,-1.3180417391304338,0.41182433473249125,0.0,31.0,0.072,0.017,2.091,2.163
02-20,0.0,2.1791,0.5206932698330875,0.0,31.0,0.0,0.0,2.179,2.179
02-21,-0.028300000000000006,58.807400000000015,0.3007717594347785,-0.0,31.0,-1.189,-0.246,2.802,1.613
02-22,-0.06333809523809525,129.21106190476192,0.03527027770400415,-2.0,31.0,-2.66,-0.568,3.865,1.205
02-23,-0.052826666666666654,108.22297333333331,0.045695472216719324,-2.0,31.0,-2.219,-0.503,3.679,1.46
02-24,-0.023946153846153857,50.69183076923079,0.17512514633807807,-0.0,31.0,-1.005,-0.251,3.302,2.297
02-25,-0.01226333333333333,27.08498666666666,0.45366236627030876,-0.0,31.0,-0.515,-0.129,2.816,2.301
02-26,-0.0070749999999999424,16.821519999999886,0.4977975765265772,-0.0,31.0,-0.297,-0.079,2.82,2.523
02-27,0.004716666666666665,-6.71653333333333,0.5441196833389506,0.0,31.0,0.198,0.05,2.618,2.816
02-28,-0.00047166666666668505,3.7705033333333704,0.6946868300138667,-0.0,31.0,-0.02,-0.005,2.837,2.817
03-01,0.051883333333333316,-100.48386666666663,0.568058623631595,0.0,31.0,2.179,0.499,2.193,4.372
