,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.10612499999999991,-207.00034999999983,0.10071962676451429,0.0,31.0,4.457,0.774,3.021,7.478
01-02,0.09433333333333334,-183.54436666666666,0.08039114754218035,1.0,31.0,3.962,0.699,3.141,7.103
01-03,0.08867333333333335,-172.3715266666667,0.06352953541982798,1.0,31.0,3.724,0.663,3.113,6.837
01-04,0.08631499999999999,-167.66901,0.04970274086760851,2.0,31.0,3.626,0.646,3.148,6.774
01-05,0.09004545454545458,-175.05093636363642,0.06879172817146428,1.0,31.0,3.782,0.676,3.149,6.931
01-06,0.08773,-170.51882,0.11641261541028025,0.0,31.0,3.685,0.663,3.099,6.784
01-07,0.08207,-159.17618,0.13396533563924473,0.0,31.0,3.447,0.626,3.24,6.687
01-08,0.08914499999999999,-173.28373,0.1434770815195705,0.0,31.0,3.744,0.693,3.134,6.878
01-09,0.08294827586206896,-160.9557620689655,0.17512514633807807,0.0,31.0,3.484,0.664,3.199,6.683
01-10,0.07596315789473683,-147.05573684210523,0.11641261541028025,0.0,31.0,3.191,0.626,3.275,6.466
01-11,0.0797545454545455,-154.55916363636373,0.05860441886618495,1.0,31.0,3.35,0.67,3.275,6.625
01-12,0.08207,-159.37428,0.06352953541982798,1.0,31.0,3.447,0.697,3.042,6.489
01-13,0.0771818181818182,-149.7121454545455,0.07440691359805185,1.0,31.0,3.241,0.666,3.031,6.272
01-14,0.07641,-148.34294000000003,0.04970274086760851,2.0,31.0,3.21,0.668,2.872,6.082
01-15,0.06702631578947367,-129.66017368421052,0.06352953541982798,1.0,31.0,2.815,0.596,2.985,5.8
01-16,0.06792000000000002,-131.38558000000006,0.07440691359805185,1.0,31.0,2.853,0.613,3.028,5.881
01-17,0.07075,-137.05689999999998,0.05400065135336596,1.0,31.0,2.972,0.65,2.957,5.929
01-18,0.06603333333333335,-127.7650666666667,0.07440691359805185,1.0,31.0,2.773,0.612,2.915,5.688
01-19,0.053904761904761914,-103.66559523809526,0.1434770815195705,0.0,31.0,2.264,0.503,3.012,5.276
01-20,0.058089473684210545,-112.03821052631582,0.12494881685497083,0.0,31.0,2.44,0.547,2.921,5.361
01-21,0.04905333333333332,-94.02014666666663,0.1434770815195705,0.0,31.0,2.061,0.473,3.056,5.117
01-22,0.041705263157894745,-79.36809473684211,0.15349848843685354,0.0,31.0,1.751,0.41,3.167,4.918
01-23,0.042835909090909084,-81.45280272727271,0.18675613776082578,0.0,31.0,1.8,0.421,3.319,5.119
01-24,0.03961999999999999,-75.12517999999999,0.21171183194124232,0.0,31.0,1.664,0.392,3.283,4.947
01-25,0.03773333333333332,-71.39146666666664,0.16404343214420547,0.0,31.0,1.585,0.372,3.283,4.868
01-26,0.041034999999999974,-78.03158999999995,0.1434770815195705,0.0,31.0,1.723,0.402,3.177,4.9
01-27,0.04447142857142859,-84.79892857142862,0.17512514633807807,0.0,31.0,1.868,0.435,3.21,5.078
01-28,0.04527999999999999,-86.43951999999997,0.13396533563924473,0.0,31.0,1.901,0.448,3.17,5.071
01-29,0.042450000000000015,-80.79650000000002,0.1434770815195705,0.0,31.0,1.783,0.424,3.212,4.995
01-30,0.04447142857142859,-84.85552857142861,0.17512514633807807,0.0,31.0,1.868,0.45,3.153,5.021
01-31,0.048881818181818186,-93.73474545454546,0.12494881685497083,0.0,31.0,2.053,0.497,3.002,5.055
02-01,0.048881818181818144,-93.79134545454538,0.13396533563924473,0.0,31.0,2.053,0.503,2.946,4.999
02-02,0.04494705882352941,-86.00203529411763,0.13396533563924473,0.0,31.0,1.888,0.465,2.948,4.836
