,mean,slp,chg,pvalue
01-01,4.424,-0.046,-1.92,0.239
01-02,4.312,-0.048,-2.01,0.221
01-03,4.42,-0.049,-2.079,0.173
01-04,4.28,-0.05,-2.115,0.159
01-05,4.147,-0.043,-1.794,0.239
01-06,4.058,-0.042,-1.76,0.173
01-07,4.036,-0.044,-1.846,0.173
01-08,4.104,-0.026,-1.081,0.357
01-09,3.992,-0.027,-1.153,0.322
01-10,3.754,-0.036,-1.499,0.268
01-11,3.616,-0.035,-1.461,0.311
01-12,3.493,-0.017,-0.714,0.463
01-13,4.223,-0.017,-0.718,0.633
01-14,4.011,-0.009,-0.395,0.666
01-15,4.532,0.002,0.09,0.65
01-16,4.535,0.005,0.218,0.65
01-17,4.28,0.01,0.414,0.735
01-18,4.24,0.001,0.023,0.633
01-19,4.22,-0.019,-0.807,0.492
01-20,4.148,-0.042,-1.781,0.6
01-21,4.252,-0.048,-2.024,0.395
01-22,4.216,-0.024,-1.019,0.666
01-23,4.138,-0.022,-0.919,0.666
01-24,4.23,-0.009,-0.397,0.807
01-25,4.366,-0.025,-1.033,0.825
01-26,4.389,-0.021,-0.878,0.789
01-27,3.936,-0.024,-1.0,0.683
01-28,3.715,-0.025,-1.054,0.568
01-29,3.848,-0.032,-1.346,0.421
01-30,5.514,-0.036,-1.51,0.133
01-31,5.401,-0.029,-1.206,0.221
02-01,5.587,-0.043,-1.802,0.173
02-02,5.434,-0.056,-2.36,0.121
02-03,5.362,-0.068,-2.852,0.083
02-04,5.18,-0.06,-2.499,0.039
02-05,5.01,-0.06,-2.513,0.044
02-06,4.798,-0.042,-1.783,0.188
02-07,4.665,-0.035,-1.468,0.173
02-08,4.521,-0.039,-1.646,0.121
02-09,4.523,-0.037,-1.548,0.121
02-10,4.609,-0.031,-1.304,0.127
02-11,5.256,-0.034,-1.409,0.322
02-12,5.554,-0.026,-1.092,0.771
02-13,5.814,-0.016,-0.686,0.807
02-14,5.853,-0.037,-1.536,0.584
02-15,6.611,-0.129,-5.413,0.133
02-16,6.75,-0.16,-6.737,0.046
02-17,6.278,-0.142,-5.972,0.071
02-18,6.612,-0.148,-6.225,0.064
02-19,6.14,-0.171,-7.171,0.041
02-20,6.312,-0.168,-7.073,0.075
02-21,8.808,-0.191,-8.037,0.071
02-22,8.388,-0.213,-8.935,0.055
02-23,7.942,-0.207,-8.711,0.031
02-24,7.832,-0.148,-6.209,0.249
02-25,7.506,-0.134,-5.62,0.492
02-26,8.424,-0.126,-5.295,0.507
02-27,7.534,-0.137,-5.735,0.268
02-28,7.158,-0.142,-5.985,0.221
03-01,6.825,-0.135,-5.656,0.18
03-02,6.604,-0.135,-5.683,0.121
03-03,6.745,-0.135,-5.67,0.18
03-04,6.44,-0.15,-6.289,0.173
03-05,6.236,-0.134,-5.614,0.173
03-06,6.052,-0.119,-4.997,0.204
03-07,6.647,-0.143,-5.994,0.116
03-08,7.278,-0.131,-5.517,0.11
03-09,7.307,-0.102,-4.303,0.249
03-10,7.754,-0.086,-3.601,0.258
03-11,7.303,-0.087,-3.658,0.23
03-12,7.845,-0.105,-4.398,0.213
03-13,7.407,-0.093,-3.916,0.249
03-14,8.748,-0.021,-0.897,0.898
03-15,8.22,-0.041,-1.707,0.537
03-16,8.057,-0.033,-1.372,0.6
03-17,8.037,-0.053,-2.228,0.537
03-18,7.399,-0.071,-2.988,0.6
03-19,7.566,-0.074,-3.129,0.507
03-20,7.566,-0.043,-1.817,0.701
03-21,8.577,-0.023,-0.968,0.825
03-22,8.189,-0.021,-0.892,0.972
03-23,7.764,-0.046,-1.919,0.916
03-24,7.703,-0.047,-1.99,0.735
03-25,8.062,-0.028,-1.176,1.0
03-26,7.877,0.007,0.306,0.753
03-27,8.535,0.045,1.878,0.357
03-28,10.32,0.079,3.337,0.221
03-29,10.89,0.02,0.828,0.843
03-30,9.546,-0.024,-1.029,0.843
03-31,9.18,-0.02,-0.823,0.898
04-01,9.412,-0.038,-1.592,0.825
04-02,9.306,-0.064,-2.688,0.477
04-03,9.544,-0.077,-3.223,0.463
04-04,9.668,-0.122,-5.13,0.268
04-05,9.031,-0.109,-4.582,0.507
04-06,9.869,-0.091,-3.822,0.435
04-07,9.361,-0.089,-3.744,0.311
04-08,8.933,-0.097,-4.064,0.23
04-09,8.591,-0.099,-4.14,0.239
04-10,8.232,-0.089,-3.721,0.204
04-11,7.944,-0.176,-7.409,0.239
04-12,7.741,-0.159,-6.69,0.258
04-13,7.329,-0.14,-5.893,0.357
04-14,8.554,-0.105,-4.425,0.584
04-15,8.281,-0.069,-2.904,0.616
04-16,7.786,-0.054,-2.249,0.88
04-17,7.359,-0.051,-2.142,0.88
04-18,7.251,-0.049,-2.06,0.584
04-19,7.251,-0.049,-2.074,0.552
04-20,7.412,-0.028,-1.197,0.88
04-21,6.992,-0.028,-1.183,1.0
04-22,7.36,-0.03,-1.271,0.916
04-23,7.22,-0.02,-0.821,0.935
04-24,7.555,-0.005,-0.222,0.861
04-25,7.54,0.01,0.414,0.477
04-26,7.275,0.005,0.204,0.435
04-27,6.958,-0.002,-0.092,0.196
04-28,6.559,-0.011,-0.47,0.701
04-29,6.49,-0.02,-0.852,0.972
04-30,8.23,0.08,3.369,0.188
05-01,8.15,0.06,2.508,0.37
05-02,8.605,0.085,3.57,0.395
05-03,7.899,0.059,2.482,0.23
05-04,7.174,0.044,1.84,0.268
05-05,6.457,0.037,1.546,0.268
05-06,6.444,0.024,1.025,0.408
05-07,6.341,0.03,1.263,0.435
05-08,5.839,0.039,1.642,0.258
05-09,7.748,0.048,1.999,0.213
05-10,7.115,0.065,2.73,0.166
05-11,6.782,0.072,3.011,0.133
05-12,6.398,0.058,2.419,0.087
05-13,7.406,0.046,1.911,0.127
05-14,9.078,0.019,0.783,0.435
05-15,7.088,0.018,0.756,0.683
05-16,6.618,0.028,1.176,0.584
05-17,7.471,0.061,2.546,0.311
05-18,6.466,0.045,1.911,0.37
05-19,6.132,0.022,0.918,0.789
05-20,5.706,0.016,0.676,0.382
05-21,5.371,0.051,2.142,0.289
05-22,5.518,0.028,1.158,0.322
05-23,5.21,0.03,1.268,0.408
05-24,5.649,0.099,4.152,0.096
05-25,5.74,0.11,4.636,0.058
05-26,6.021,0.111,4.654,0.061
