,mean,slp,chg,pvalue
0,25.856,0.386,16.229,0.289
1,24.553,0.492,20.669,0.11
2,23.146,0.506,21.233,0.188
3,25.696,0.256,10.733,0.935
4,23.668,0.288,12.085,0.771
5,23.003,0.283,11.876,0.666
6,22.668,0.108,4.542,0.6
7,26.111,0.021,0.88,0.701
8,24.098,0.067,2.835,0.65
9,20.273,0.093,3.89,0.683
10,22.237,0.188,7.877,0.568
11,20.618,0.128,5.38,0.584
12,22.05,0.091,3.801,0.771
13,21.694,0.135,5.653,0.701
14,18.22,0.08,3.375,0.807
15,16.06,0.041,1.709,0.898
16,17.25,0.02,0.828,0.935
17,16.419,-0.051,-2.13,0.771
18,20.741,-0.119,-4.996,0.552
19,24.354,-0.776,-32.58,0.322
20,23.86,-0.56,-23.522,0.311
21,28.464,-0.116,-4.856,0.972
22,46.972,-0.288,-12.092,0.753
23,45.988,-0.712,-29.904,0.357
24,38.118,-0.652,-27.398,0.463
25,54.152,-0.188,-7.883,0.771
26,51.394,-0.116,-4.865,0.861
27,47.462,-0.368,-15.442,0.88
28,37.634,-0.566,-23.783,0.492
29,30.894,-0.516,-21.672,0.435
30,26.876,-0.493,-20.719,0.408
31,23.056,-0.374,-15.714,0.127
32,20.84,-0.33,-13.849,0.061
33,32.188,-0.352,-14.763,0.268
34,33.868,-0.092,-3.872,0.789
35,30.382,0.101,4.261,0.568
36,35.442,0.352,14.791,0.435
37,33.25,0.14,5.861,0.382
38,27.661,0.211,8.846,0.357
39,43.086,0.066,2.785,0.616
40,38.198,-0.002,-0.067,0.954
41,38.326,-0.445,-18.673,0.568
42,40.173,-0.297,-12.478,0.584
43,43.768,-0.093,-3.905,0.753
44,27.259,0.039,1.638,0.972
45,37.922,0.002,0.063,0.771
46,55.05,-0.13,-5.464,0.6
47,49.838,0.028,1.176,0.789
48,46.196,0.066,2.779,0.683
49,31.134,0.004,0.168,0.825
50,32.92,0.09,3.795,0.735
51,35.038,0.228,9.59,0.435
52,47.155,0.745,31.29,0.258
53,52.683,0.893,37.52,0.127
54,40.13,0.79,33.192,0.127
55,36.86,0.639,26.857,0.083
56,44.474,0.894,37.552,0.046
57,48.936,0.546,22.928,0.23
58,71.576,0.256,10.762,0.507
59,50.668,0.007,0.315,0.991
60,46.904,-0.077,-3.223,0.616
61,52.628,-0.012,-0.493,0.753
62,49.73,0.21,8.801,0.991
63,49.287,-0.232,-9.755,0.395
64,47.46,-0.369,-15.507,0.633
65,54.213,-0.407,-17.075,0.701
66,55.877,-0.443,-18.606,0.753
67,52.842,-0.648,-27.197,0.552
68,53.146,-0.344,-14.437,0.935
69,52.926,0.566,23.776,0.196
70,51.896,0.956,40.131,0.159
71,32.759,0.779,32.716,0.159
72,42.012,0.973,40.851,0.1
73,39.724,0.954,40.059,0.091
74,31.714,0.863,36.263,0.049
75,28.493,0.613,25.765,0.139
76,28.247,0.517,21.726,0.421
77,30.868,0.309,12.971,0.735
78,28.405,0.105,4.412,0.666
79,25.613,0.033,1.4,0.537
80,28.832,-0.038,-1.579,0.6
81,29.257,-0.173,-7.27,0.552
82,31.292,-0.117,-4.933,0.843
83,34.992,-0.098,-4.126,0.935
84,31.839,0.139,5.854,0.616
85,27.592,0.081,3.419,0.701
86,25.117,0.016,0.691,0.633
87,24.762,0.002,0.078,0.843
88,20.819,-0.121,-5.088,0.507
89,22.882,-0.099,-4.145,0.584
90,23.004,-0.057,-2.383,0.807
91,27.795,-0.085,-3.566,0.6
92,30.174,-0.106,-4.458,0.807
93,31.662,-0.318,-13.363,0.701
94,36.548,-0.523,-21.947,0.408
95,35.4,-0.541,-22.709,0.334
96,36.781,-0.009,-0.384,0.807
97,36.778,0.268,11.271,0.239
98,33.792,0.402,16.88,0.188
99,29.942,0.512,21.494,0.121
100,29.067,0.487,20.464,0.02
101,33.106,0.566,23.776,0.052
102,22.41,0.419,17.611,0.02
103,23.941,0.422,17.709,0.046
104,22.65,0.35,14.693,0.159
105,20.202,0.251,10.561,0.311
106,20.113,0.363,15.242,0.127
107,19.136,0.206,8.64,0.204
108,20.927,0.037,1.56,0.382
109,26.991,-0.009,-0.384,0.683
110,20.266,0.036,1.531,0.861
111,16.594,0.014,0.594,0.954
112,14.9,0.07,2.944,0.771
113,18.839,0.109,4.558,0.898
114,18.259,0.149,6.248,0.477
115,17.065,0.025,1.054,0.683
116,23.968,-0.002,-0.09,0.616
117,22.052,0.002,0.082,0.991
118,21.426,0.036,1.529,0.935
119,16.579,0.049,2.052,0.898
120,13.702,0.032,1.353,0.633
121,12.718,0.068,2.841,0.807
122,13.002,0.101,4.263,0.552
123,13.792,0.062,2.596,0.718
124,13.515,0.105,4.424,0.395
125,12.461,0.041,1.728,0.633
126,12.537,0.027,1.136,0.807
127,10.336,0.036,1.493,0.568
128,9.944,0.044,1.85,0.65
129,9.317,0.037,1.571,0.825
130,7.876,0.036,1.51,0.861
131,8.798,-0.002,-0.097,0.991
132,8.512,0.022,0.909,0.65
133,7.993,0.043,1.823,0.552
134,7.479,0.039,1.642,0.584
135,8.818,0.048,1.997,0.552
136,8.829,0.059,2.48,0.898
137,8.954,0.064,2.703,0.771
138,7.84,0.06,2.511,0.991
139,7.155,0.055,2.291,0.735
140,6.572,0.062,2.608,0.568
141,6.099,0.039,1.638,0.843
142,5.932,-0.008,-0.353,0.753
143,5.822,-0.008,-0.34,0.916
144,5.898,-0.013,-0.535,0.735
145,5.088,-0.033,-1.369,0.322
146,5.476,-0.043,-1.817,0.1
147,5.349,-0.031,-1.292,0.345
148,5.369,-0.041,-1.73,0.258
149,5.346,-0.034,-1.438,0.435
150,5.109,-0.041,-1.73,0.421
151,7.955,-0.025,-1.064,0.843
152,6.771,-0.049,-2.052,0.477
153,6.608,-0.072,-3.045,0.65
154,6.557,-0.093,-3.899,0.268
155,7.426,-0.074,-3.108,0.3
156,6.978,-0.011,-0.473,0.789
157,6.898,0.048,2.022,0.204
158,6.445,0.045,1.894,0.345
159,6.046,0.046,1.947,0.408
160,5.511,0.051,2.146,0.633
161,5.58,0.03,1.276,0.616
162,6.528,0.018,0.758,0.807
163,7.55,-0.01,-0.408,0.807
164,6.351,-0.019,-0.79,1.0
165,6.468,-0.012,-0.525,0.789
166,5.148,-0.003,-0.123,0.753
167,5.096,0.006,0.264,0.552
168,4.861,-0.009,-0.386,0.991
169,5.031,-0.009,-0.372,0.807
170,4.816,0.005,0.231,0.825
171,4.099,-0.001,-0.048,0.935
172,3.655,0.005,0.216,0.753
173,3.454,0.004,0.16,0.735
174,3.31,0.0,0.0,0.735
175,3.348,0.007,0.313,0.735
176,4.079,-0.001,-0.027,0.753
177,3.683,0.003,0.136,0.88
178,3.865,-0.015,-0.651,0.735
179,3.556,-0.014,-0.586,0.753
180,3.942,-0.019,-0.787,0.789
181,4.193,-0.027,-1.13,0.954
182,3.996,-0.024,-1.029,0.843
183,3.67,-0.009,-0.387,0.935
184,3.952,-0.008,-0.336,0.861
185,3.956,-0.004,-0.165,0.861
186,3.618,-0.002,-0.077,0.735
187,3.716,0.007,0.277,0.789
188,3.756,0.017,0.695,0.279
189,4.285,0.015,0.638,0.289
190,3.802,0.013,0.537,0.408
191,4.302,0.032,1.346,0.121
192,4.994,0.044,1.863,0.139
193,4.542,0.042,1.78,0.055
194,4.752,0.021,0.893,0.37
195,4.526,0.026,1.099,0.289
196,4.398,0.038,1.587,0.196
197,4.424,0.013,0.561,0.507
198,4.287,0.017,0.718,0.507
199,4.334,0.034,1.414,0.204
200,4.608,0.028,1.182,0.268
201,4.295,0.025,1.056,0.213
202,4.273,0.033,1.386,0.152
203,4.291,0.021,0.88,0.395
204,4.578,0.018,0.739,0.382
205,4.457,0.017,0.712,0.322
206,4.097,0.017,0.706,0.258
207,4.677,0.006,0.271,0.552
208,4.476,0.006,0.233,0.633
209,4.1,0.001,0.041,0.735
210,4.136,0.005,0.217,0.568
211,4.336,0.006,0.243,0.552
212,3.79,0.0,0.0,0.735
213,3.686,0.006,0.248,0.683
214,3.854,0.005,0.193,0.616
215,3.504,-0.005,-0.227,0.88
216,3.38,-0.02,-0.84,0.633
217,3.431,-0.019,-0.79,0.666
218,3.668,-0.012,-0.487,0.972
219,4.046,-0.004,-0.155,0.898
220,3.369,-0.001,-0.028,0.771
221,3.567,-0.003,-0.116,0.701
222,3.742,0.002,0.102,0.718
223,4.006,0.017,0.707,0.345
224,4.385,0.025,1.058,0.121
225,3.944,0.034,1.434,0.064
226,4.069,0.05,2.087,0.031
227,3.606,0.037,1.537,0.23
228,3.598,0.027,1.151,0.322
229,3.735,0.025,1.044,0.492
230,3.617,0.027,1.136,0.322
231,3.237,0.037,1.554,0.221
232,3.432,0.032,1.35,0.345
233,3.604,0.034,1.434,0.173
234,3.337,0.027,1.144,0.139
235,2.989,0.019,0.81,0.196
236,2.924,0.014,0.592,0.382
237,2.918,0.008,0.34,0.683
238,2.826,-0.004,-0.181,0.843
239,2.626,-0.004,-0.152,0.972
240,2.516,-0.004,-0.155,0.88
241,2.69,0.0,0.0,0.6
242,2.682,0.012,0.508,0.268
243,2.73,0.01,0.414,0.477
244,2.894,0.005,0.191,0.492
245,2.917,0.007,0.3,0.421
246,2.855,-0.005,-0.208,0.584
247,3.072,0.011,0.473,0.537
248,2.95,0.01,0.426,0.477
249,2.921,0.011,0.466,0.421
250,2.903,0.013,0.554,0.3
251,2.674,0.014,0.598,0.268
252,2.615,0.015,0.622,0.289
253,2.53,0.02,0.85,0.173
254,2.676,0.015,0.637,0.268
255,2.98,0.01,0.436,0.584
256,2.822,0.011,0.481,0.322
257,2.678,0.018,0.756,0.152
258,2.726,0.006,0.267,0.463
259,2.664,0.003,0.139,0.683
260,2.585,0.004,0.187,0.65
261,2.483,0.003,0.12,0.616
262,2.388,0.007,0.315,0.221
263,2.534,0.015,0.617,0.116
264,2.612,0.012,0.508,0.289
265,2.438,0.008,0.34,0.408
266,2.638,0.008,0.329,0.463
