,mean,slp,chg,pvalue
01-01,0.54,0.0,0.006,0.628
01-02,0.54,0.0,0.0,0.468
01-03,0.51,0.0,0.0,0.586
01-04,0.528,0.002,0.075,0.595
01-05,0.54,0.0,0.0,0.952
01-06,0.52,0.003,0.125,0.333
01-07,0.561,0.004,0.16,0.226
01-08,0.575,0.003,0.144,0.236
01-09,0.558,0.002,0.097,0.397
01-10,0.544,0.003,0.105,0.236
01-11,0.544,0.003,0.107,0.183
01-12,0.542,0.001,0.05,0.255
01-13,0.541,0.0,0.016,0.514
01-14,0.525,0.0,0.0,0.971
01-15,0.52,0.0,0.0,0.637
01-16,0.543,0.002,0.082,0.208
01-17,0.56,0.003,0.127,0.11
01-18,0.576,0.003,0.147,0.056
01-19,0.548,0.002,0.09,0.127
01-20,0.542,0.002,0.077,0.122
01-21,0.538,0.002,0.067,0.147
01-22,0.537,0.002,0.07,0.183
01-23,0.541,0.001,0.028,0.266
01-24,0.54,0.0,0.0,0.717
01-25,0.516,0.001,0.032,0.345
01-26,0.511,0.001,0.028,0.483
01-27,0.528,0.002,0.077,0.236
01-28,0.518,0.002,0.072,0.175
01-29,0.511,0.001,0.042,0.266
01-30,0.511,0.001,0.032,0.529
01-31,0.542,0.001,0.041,0.175
02-01,0.531,0.001,0.024,0.333
02-02,0.54,0.0,0.0,0.717
02-03,0.516,0.001,0.041,0.246
02-04,0.514,0.003,0.112,0.056
02-05,0.516,0.004,0.183,0.003
02-06,0.516,0.004,0.153,0.01
02-07,0.508,0.002,0.09,0.047
02-08,0.515,0.003,0.142,0.04
02-09,0.514,0.003,0.108,0.029
02-10,0.514,0.002,0.101,0.059
02-11,0.513,0.002,0.078,0.116
02-12,0.542,0.001,0.054,0.095
02-13,0.532,0.002,0.079,0.208
02-14,0.533,0.002,0.07,0.333
02-15,0.537,0.001,0.056,0.358
02-16,0.542,0.001,0.039,0.453
02-17,0.54,0.0,0.007,0.611
02-18,0.542,0.001,0.047,0.411
02-19,0.542,0.001,0.052,0.321
02-20,0.542,0.001,0.045,0.699
02-21,0.54,0.0,0.0,0.837
02-22,0.54,0.0,0.0,0.62
02-23,0.515,0.0,0.0,0.961
02-24,0.52,0.0,0.0,0.646
02-25,0.535,0.0,0.0,0.646
02-26,0.52,0.0,0.0,0.809
02-27,0.535,0.0,0.0,1.0
02-28,0.517,0.001,0.052,0.529
03-01,0.525,0.0,0.0,0.865
03-02,0.532,0.001,0.06,0.384
03-03,0.534,0.002,0.087,0.183
03-04,0.512,0.001,0.031,0.439
03-05,0.536,0.001,0.023,0.483
03-06,0.541,0.001,0.028,0.371
03-07,0.52,0.0,0.013,0.628
03-08,0.52,0.0,0.0,0.744
03-09,0.53,0.0,0.0,0.981
03-10,0.54,0.0,0.0,0.809
03-11,0.54,0.0,0.0,0.699
03-12,0.54,0.0,0.0,0.611
03-13,0.54,0.0,0.0,0.981
03-14,0.555,0.0,0.0,0.875
03-15,0.57,0.0,0.0,0.699
03-16,0.566,0.001,0.045,0.545
03-17,0.542,0.001,0.041,0.468
03-18,0.535,0.0,0.0,0.506
03-19,0.54,0.0,0.0,0.708
03-20,0.545,0.0,0.0,1.0
03-21,0.55,0.0,0.015,0.646
03-22,0.536,0.001,0.032,0.809
03-23,0.572,0.001,0.046,0.529
03-24,0.592,0.001,0.062,0.411
03-25,0.572,0.001,0.052,0.411
03-26,0.562,0.002,0.067,0.439
03-27,0.542,0.002,0.067,0.345
03-28,0.552,0.002,0.067,0.266
03-29,0.538,0.002,0.097,0.31
03-30,0.548,0.003,0.105,0.236
03-31,0.573,0.002,0.076,0.345
04-01,0.578,0.002,0.089,0.276
04-02,0.582,0.002,0.071,0.345
04-03,0.574,0.002,0.103,0.31
04-04,0.574,0.002,0.099,0.345
04-05,0.594,0.003,0.118,0.147
04-06,0.594,0.003,0.109,0.183
04-07,0.603,0.002,0.09,0.371
04-08,0.624,0.003,0.126,0.153
04-09,0.612,0.005,0.19,0.056
04-10,0.628,0.006,0.232,0.016
04-11,0.634,0.006,0.237,0.029
04-12,0.633,0.005,0.219,0.07
04-13,0.627,0.005,0.21,0.047
04-14,0.658,0.005,0.21,0.082
04-15,0.648,0.002,0.091,0.371
04-16,0.655,0.0,0.0,0.904
04-17,0.684,-0.001,-0.032,0.847
04-18,0.707,-0.002,-0.088,0.498
04-19,0.747,-0.002,-0.09,0.498
04-20,0.738,-0.001,-0.043,0.735
04-21,0.79,0.0,0.0,0.923
04-22,0.899,0.003,0.12,0.611
04-23,0.94,0.003,0.145,0.828
04-24,1.054,0.003,0.116,0.942
04-25,1.042,0.001,0.045,0.904
04-26,1.041,0.001,0.026,0.981
04-27,1.042,-0.002,-0.08,0.923
04-28,1.126,-0.003,-0.129,0.904
04-29,1.124,-0.004,-0.18,0.611
04-30,1.122,-0.005,-0.211,0.411
05-01,1.12,-0.007,-0.284,0.498
05-02,1.148,-0.008,-0.334,0.646
05-03,1.154,-0.007,-0.298,0.699
05-04,1.166,-0.006,-0.254,0.717
05-05,1.3,-0.007,-0.291,0.828
05-06,1.552,-0.002,-0.071,0.828
05-07,1.6,0.0,0.0,0.646
05-08,1.474,0.003,0.118,0.397
05-09,1.477,0.005,0.196,0.483
05-10,1.52,0.01,0.42,0.397
05-11,1.577,0.014,0.606,0.384
05-12,1.794,0.016,0.664,0.333
05-13,1.89,0.02,0.855,0.266
05-14,1.875,0.02,0.85,0.298
05-15,2.082,0.018,0.739,0.276
05-16,2.328,0.016,0.655,0.255
05-17,2.636,0.024,1.014,0.276
05-18,2.99,0.03,1.239,0.147
05-19,3.064,0.042,1.779,0.031
05-20,3.262,0.035,1.469,0.066
05-21,3.548,0.025,1.068,0.255
05-22,3.71,0.03,1.266,0.168
05-23,3.648,0.015,0.635,0.345
05-24,3.94,0.003,0.13,0.561
05-25,4.147,-0.002,-0.084,0.772
05-26,4.45,0.007,0.297,0.681
05-27,4.462,0.011,0.461,0.498
05-28,4.553,0.015,0.65,0.468
05-29,4.716,0.024,1.027,0.397
05-30,4.928,0.029,1.202,0.663
05-31,4.262,0.031,1.299,0.514
06-01,4.964,0.046,1.944,0.371
06-02,5.102,0.045,1.89,0.276
06-03,5.952,0.044,1.859,0.134
06-04,5.96,0.04,1.672,0.2
06-05,6.044,0.039,1.65,0.287
06-06,5.994,0.036,1.515,0.345
06-07,5.224,0.049,2.063,0.266
06-08,4.722,0.028,1.176,0.514
