,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.005225852272727274,-9.509965767045458,0.5945442759036266,0.0,40.0,0.219,0.22,0.832,1.051
01-02,0.006339605734767029,-11.721652060931909,0.1466059857808104,0.0,40.0,0.267,0.263,0.824,1.091
01-03,0.008996421052631574,-17.045447473684202,0.03746484761409774,2.0,40.0,0.378,0.369,0.758,1.136
01-04,0.008489999999999998,-16.019214999999996,0.062473751784394294,1.0,40.0,0.357,0.348,0.782,1.139
01-05,0.005267965367965371,-9.622428787878794,0.29818612881587514,0.0,40.0,0.221,0.217,0.803,1.024
01-06,0.008851440217391301,-16.755703274456515,0.05292901699473074,1.0,40.0,0.372,0.353,0.761,1.133
01-07,0.010290909090909088,-19.59144681818181,0.014542818527063961,2.0,40.0,0.432,0.402,0.774,1.206
01-08,0.011320000000000007,-21.689120000000017,0.033250159743253516,2.0,40.0,0.476,0.447,0.713,1.189
01-09,0.008880809523809522,-16.757797833333328,0.055965286351284727,1.0,40.0,0.373,0.351,0.817,1.19
01-10,0.005949431818181817,-10.913589488636362,0.19139541400462035,0.0,40.0,0.25,0.237,0.86,1.11
01-11,0.0038032804232804203,-6.58205592592592,0.30956401229803676,0.0,40.0,0.159,0.155,0.945,1.104
01-12,0.0060673484848484845,-11.149245946969696,0.1678813518323119,0.0,40.0,0.255,0.252,0.858,1.113
01-13,0.006446111111111109,-11.920353055555552,0.1466059857808104,0.0,40.0,0.27,0.262,0.837,1.107
01-14,0.0040428571428571414,-7.103299999999996,0.32122506421997343,0.0,40.0,0.169,0.164,0.898,1.067
01-15,0.003283525641025637,-5.571625993589736,0.3453965562420982,0.0,40.0,0.138,0.135,0.926,1.064
01-16,0.008750453296703296,-16.553880913461537,0.029447973353321055,2.0,40.0,0.368,0.363,0.763,1.131
01-17,0.010884615384615395,-20.762403846153866,0.001956222240311112,3.0,40.0,0.457,0.439,0.778,1.235
01-18,0.014150000000000005,-27.27412500000001,0.00037585632812242586,3.0,40.0,0.594,0.546,0.729,1.323
01-19,0.015785111111111125,-30.556044555555584,0.0007062937732942309,3.0,40.0,0.663,0.601,0.683,1.346
01-20,0.015165897435897437,-29.304396025641026,0.0009179303584785359,3.0,40.0,0.637,0.586,0.709,1.346
01-21,0.014208958333333386,-27.40610322916677,0.0001768130730297468,3.0,40.0,0.597,0.565,0.713,1.31
01-22,0.012577777777777783,-24.146188888888897,0.0008049736643449545,3.0,40.0,0.529,0.515,0.745,1.274
