,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.5974444444444447,-1158.0988888888892,0.09949985377978687,1.0,43.0,25.092,0.532,24.244,49.336
01-02,0.5754333333333337,-1112.6616666666675,0.09090696836106038,1.0,43.0,24.168,0.506,26.121,50.289
01-03,0.4634125,-886.9219999999999,0.14644317557278397,0.0,43.0,19.464,0.401,30.171,49.635
01-04,0.44362162162162166,-844.5102432432433,0.27848056798213805,0.0,43.0,18.632,0.379,33.417,52.049
01-05,0.39796875,-754.3365,0.42257215707244233,0.0,43.0,16.714,0.337,33.244,49.958
01-06,0.2947916666666666,-548.2653333333332,0.3741826491069973,0.0,43.0,12.382,0.248,35.127,47.509
01-07,0.24526666666666644,-449.7813333333329,0.4744436456632575,0.0,43.0,10.302,0.203,35.601,45.903
01-08,0.19686956521739032,-351.28913043478065,0.7125218881022106,0.0,43.0,8.268,0.16,38.316,46.584
01-09,0.12863636363636355,-216.52072727272707,0.8794050603461727,0.0,43.0,5.402,0.103,38.051,43.453
01-10,0.09433333333333323,-147.91466666666645,1.0,0.0,43.0,3.962,0.074,38.771,42.733
01-11,0.018866666666666514,2.452666666666971,0.9136991092503179,0.0,43.0,0.792,0.015,39.79,40.582
01-12,-0.041163636363636354,123.07927272727271,0.7947886866284579,-0.0,43.0,-1.728,-0.032,41.616,39.888
01-13,-0.056599999999999845,154.8009999999997,0.7615493074182684,-0.0,43.0,-2.378,-0.044,42.79,40.412
01-14,-0.02476250000000002,92.54100000000004,0.9654228872862332,-0.0,43.0,-1.04,-0.019,43.536,42.496
01-15,0.03878148148148149,-33.69796296296298,1.0,0.0,43.0,1.628,0.03,43.051,44.679
01-16,0.03490333333333335,-25.65866666666669,0.9827073827546051,0.0,43.0,1.466,0.027,43.415,44.881
01-17,0.01572222222222229,11.288555555555416,0.8965279189482995,0.0,43.0,0.66,0.012,42.403,43.063
01-18,0.0,42.45,0.8453357931297272,0.0,43.0,0.0,0.0,42.45,42.45
01-19,0.036913043478261034,-31.659086956522067,0.7615493074182684,0.0,43.0,1.55,0.03,41.392,42.942
01-20,0.05345555555555558,-62.76311111111116,0.6804707785321866,0.0,43.0,2.246,0.043,43.025,45.271
01-21,0.054423076923076893,-62.717153846153785,0.7947886866284579,0.0,43.0,2.286,0.044,44.986,47.272
01-22,-0.012577777777777807,73.83155555555561,0.9654228872862332,-0.0,43.0,-0.528,-0.01,48.94,48.412
01-23,-0.047756249999999945,143.0564999999999,0.8623384168158528,-0.0,43.0,-2.006,-0.039,48.547,46.541
01-24,-0.09681578947368408,243.72257894736816,0.7781182480506512,-0.0,43.0,-4.066,-0.077,52.124,48.058
01-25,-0.18192857142857172,413.9481428571434,0.6029278873524366,-0.0,43.0,-7.641,-0.141,53.911,46.27
01-26,-0.15565000000000007,359.69300000000015,0.8623384168158528,-0.0,43.0,-6.538,-0.118,51.662,45.124
01-27,-0.12829333333333348,306.3946666666669,0.8453357931297272,-0.0,43.0,-5.388,-0.095,52.502,47.114
01-28,-0.16979999999999934,388.8419999999987,0.7615493074182684,-0.0,43.0,-7.132,-0.123,52.808,45.676
01-29,-0.17384285714285713,395.79571428571427,0.8453357931297272,-0.0,43.0,-7.302,-0.125,51.761,44.459
01-30,-0.18456521739130455,418.3724347826091,0.6964285776954346,-0.0,43.0,-7.752,-0.133,53.118,45.366
01-31,-0.19071739130434776,432.09178260869555,0.7615493074182684,-0.0,43.0,-8.01,-0.139,54.662,46.652
02-01,-0.18636585365853672,422.8227073170734,0.9136991092503179,-0.0,43.0,-7.828,-0.138,54.005,46.177
02-02,-0.1311463414634147,312.3836829268294,0.8623384168158528,-0.0,43.0,-5.508,-0.098,52.845,47.337
02-03,-0.15848000000000012,369.88100000000026,0.8794050603461727,-0.0,43.0,-6.656,-0.12,56.249,49.593
02-04,-0.08613043478260876,222.91786956521753,0.9827073827546051,-0.0,43.0,-3.618,-0.065,52.466,48.848
02-05,-0.032653846153846026,112.85169230769205,0.8623384168158528,-0.0,43.0,-1.372,-0.024,48.23,46.858
02-06,-0.014150000000000062,75.56100000000012,0.8453357931297272,-0.0,43.0,-0.594,-0.01,47.558,46.964
02-07,0.07256410256410252,-98.43320512820503,0.930910680164664,0.0,43.0,3.048,0.053,45.171,48.219
02-08,0.07782499999999981,-111.21899999999962,0.9654228872862332,0.0,43.0,3.268,0.056,42.797,46.065
02-09,0.09728124999999999,-149.28249999999997,0.930910680164664,0.0,43.0,4.086,0.069,43.237,47.323
02-10,0.08192105263157912,-117.14710526315822,0.8115533673850392,0.0,43.0,3.44,0.059,44.975,48.415
02-11,0.06791999999999973,-88.86199999999945,0.930910680164664,0.0,43.0,2.852,0.049,45.552,48.404
02-12,0.026885000000000048,-7.3580000000000965,0.9481546239300995,0.0,43.0,1.13,0.02,45.847,46.977
02-13,0.014894736842104956,15.77352631579009,0.930910680164664,0.0,43.0,0.626,0.011,45.25,45.876
02-14,0.01572222222222229,13.552555555555418,0.7615493074182684,0.0,43.0,0.66,0.012,44.667,45.327
02-15,0.06658823529411773,-87.04747058823546,0.8965279189482995,0.0,43.0,2.796,0.049,44.731,47.527
02-16,-0.03144444444444458,109.30088888888915,0.930910680164664,-0.0,43.0,-1.32,-0.023,47.072,45.752
02-17,-0.059578947368420565,163.30589473684114,1.0,-0.0,43.0,-2.502,-0.043,45.399,42.897
02-18,-0.10426315789473656,250.4103157894731,0.8623384168158528,-0.0,43.0,-4.38,-0.072,44.074,39.694
02-19,-0.11073913043478248,264.21126086956497,0.8115533673850392,-0.0,43.0,-4.652,-0.074,45.059,40.407
02-20,-0.12836071428571433,299.17142857142863,0.8453357931297272,-0.0,43.0,-5.392,-0.084,45.146,39.754
02-21,-0.12863636363636421,300.28872727272847,0.7615493074182684,-0.0,43.0,-5.402,-0.084,45.717,40.315
02-22,-0.15059642857142855,344.7748571428571,0.648986688212116,-0.0,43.0,-6.326,-0.099,46.745,40.419
02-23,-0.1929545454545455,431.472090909091,0.48793753671895557,-0.0,43.0,-8.104,-0.127,49.615,41.511
02-24,-0.275281818181818,597.258636363636,0.3741826491069973,-0.0,43.0,-11.562,-0.184,52.476,40.914
02-25,-0.2829999999999999,611.2799999999997,0.6181176400135011,-0.0,43.0,-11.886,-0.193,51.223,39.337
02-26,-0.21179354838709688,468.8670967741938,0.7947886866284579,-0.0,43.0,-8.896,-0.146,49.728,40.832
02-27,-0.16171428571428542,370.4065714285708,0.8794050603461727,-0.0,43.0,-6.792,-0.112,50.374,43.582
02-28,-0.15722222222222212,362.83744444444426,0.8623384168158528,-0.0,43.0,-6.604,-0.11,51.695,45.091
03-01,-0.14150000000000063,331.6760000000013,0.8623384168158528,-0.0,43.0,-5.943,-0.098,51.648,45.705
03-02,-0.07382608695652175,200.2901739130435,0.8794050603461727,-0.0,43.0,-3.1,-0.051,54.188,51.088
03-03,-0.12128571428571415,294.9264285714283,1.0,-0.0,43.0,-5.094,-0.082,54.902,49.808
