,mean,slp,chg,pvalue
0,3.4,0.016,0.672,0.448
1,3.4,0.023,0.98,0.146
2,3.68,0.011,0.446,0.351
3,3.23,-0.008,-0.346,0.474
4,3.45,-0.008,-0.315,0.862
5,3.4,0.0,0.0,0.828
6,3.23,-0.012,-0.51,0.948
7,3.11,-0.008,-0.356,0.879
8,3.06,0.002,0.082,0.573
9,3.23,0.004,0.158,0.461
10,3.4,0.032,1.344,0.135
11,3.31,0.022,0.94,0.242
12,3.25,0.022,0.924,0.351
13,3.68,0.021,0.9,0.288
14,3.4,0.015,0.648,0.461
15,3.28,0.012,0.494,0.41
16,3.23,0.028,1.184,0.179
17,3.76,0.002,0.08,1.0
18,3.62,0.001,0.04,1.0
19,3.42,-0.013,-0.56,0.914
20,4.3,-0.039,-1.634,0.308
21,3.48,-0.009,-0.38,0.965
22,4.05,0.011,0.472,0.502
23,3.82,0.034,1.42,0.119
24,3.88,0.031,1.304,0.135
25,3.62,0.038,1.614,0.054
26,3.4,0.031,1.3,0.119
27,3.23,0.029,1.238,0.135
28,3.06,0.023,0.958,0.141
29,3.14,0.024,1.002,0.135
30,3.25,0.011,0.442,0.398
31,3.25,0.014,0.604,0.68
32,3.59,0.003,0.114,0.778
33,3.4,0.011,0.472,0.665
34,3.57,0.01,0.438,0.665
35,3.54,0.018,0.752,0.573
36,3.4,0.021,0.886,0.146
37,3.28,0.027,1.155,0.049
38,3.06,0.024,0.992,0.072
39,2.91,0.022,0.908,0.109
40,2.83,0.014,0.584,0.398
41,2.83,0.005,0.188,0.558
42,2.83,0.013,0.54,0.573
43,2.91,0.01,0.44,0.474
44,3.11,0.006,0.254,0.948
45,3.17,0.007,0.28,0.745
46,3.57,-0.011,-0.454,0.573
47,3.34,-0.016,-0.678,0.448
48,3.91,-0.016,-0.668,0.762
49,3.96,-0.014,-0.6,0.729
50,3.65,-0.011,-0.476,0.948
51,3.82,-0.013,-0.536,0.618
52,4.13,-0.012,-0.508,0.965
53,4.44,-0.04,-1.68,0.278
54,4.1,-0.033,-1.365,0.448
55,3.88,-0.024,-0.994,0.461
56,3.71,-0.02,-0.84,0.448
57,3.59,-0.031,-1.306,0.423
58,4.5,-0.028,-1.196,0.329
59,4.41,0.0,0.0,1.0
60,3.85,-0.003,-0.12,0.897
61,4.08,-0.002,-0.064,0.713
62,4.02,-0.013,-0.536,0.603
63,3.96,-0.055,-2.31,0.095
