,mean,slp,chg,pvalue
0,0.461,0.006,0.234,0.615
1,0.449,0.004,0.18,0.753
2,0.387,0.004,0.148,0.88
3,0.426,0.003,0.126,0.88
4,0.377,0.003,0.14,0.96
5,0.359,0.005,0.194,0.9
6,0.362,0.006,0.246,0.744
7,0.381,0.006,0.236,0.86
8,0.409,0.004,0.186,0.94
9,0.428,0.004,0.183,0.821
10,0.35,0.005,0.191,0.86
11,0.314,0.002,0.097,0.88
12,0.344,0.002,0.097,0.86
13,0.397,0.004,0.152,1.0
14,0.48,0.005,0.21,0.821
15,0.518,0.004,0.164,0.821
16,0.55,0.005,0.227,0.651
17,0.624,0.007,0.305,0.669
18,0.636,0.008,0.325,0.58
19,0.617,0.008,0.35,0.451
20,0.716,0.008,0.343,0.451
21,0.722,0.006,0.263,0.706
22,0.722,0.006,0.249,0.633
23,0.78,0.005,0.219,0.725
24,0.722,0.006,0.252,0.801
25,0.721,0.005,0.226,0.841
26,0.723,0.006,0.264,0.706
27,0.806,0.008,0.333,0.706
28,0.73,0.01,0.42,0.436
29,0.736,0.012,0.525,0.352
30,0.848,0.014,0.595,0.2
31,0.938,0.014,0.573,0.209
32,0.972,0.021,0.893,0.074
33,0.975,0.022,0.938,0.056
34,0.958,0.024,1.012,0.047
35,0.89,0.02,0.84,0.044
36,0.862,0.021,0.893,0.07
37,0.898,0.024,1.001,0.053
38,0.868,0.024,1.015,0.05
39,0.897,0.023,0.98,0.074
40,0.919,0.024,1.02,0.113
41,1.012,0.026,1.099,0.092
42,1.0,0.025,1.037,0.05
43,0.774,0.022,0.915,0.131
44,0.834,0.022,0.945,0.131
45,0.958,0.024,1.015,0.167
46,1.094,0.022,0.935,0.218
47,1.228,0.019,0.798,0.407
48,1.268,0.019,0.8,0.379
49,1.262,0.021,0.875,0.339
50,1.294,0.023,0.945,0.303
51,1.228,0.019,0.789,0.744
52,1.226,0.018,0.756,0.546
53,1.368,0.019,0.798,0.365
54,1.307,0.019,0.78,0.597
55,1.872,0.016,0.672,0.98
56,1.87,0.01,0.42,0.744
57,1.818,0.004,0.157,0.513
58,1.964,0.002,0.084,0.365
59,2.103,0.007,0.28,0.546
60,2.13,0.005,0.229,0.633
61,2.18,0.0,0.0,0.58
62,2.122,0.001,0.051,0.669
63,2.398,0.004,0.168,0.782
64,2.282,0.011,0.471,0.94
65,2.105,0.007,0.31,0.782
66,2.251,-0.004,-0.18,0.744
67,2.839,0.004,0.186,0.841
68,3.94,-0.01,-0.42,0.98
69,3.646,-0.017,-0.729,0.633
70,3.812,-0.034,-1.421,0.53
71,4.071,-0.029,-1.236,0.563
72,3.614,-0.033,-1.38,0.436
73,3.654,-0.043,-1.797,0.58
74,3.472,-0.034,-1.433,0.744
75,3.153,-0.038,-1.614,0.58
76,2.858,-0.041,-1.727,0.421
77,3.007,-0.051,-2.156,0.407
78,3.002,-0.054,-2.26,0.303
79,3.02,-0.045,-1.881,0.237
80,2.917,-0.057,-2.38,0.227
81,2.584,-0.053,-2.22,0.339
82,2.656,-0.042,-1.76,0.782
83,2.509,-0.04,-1.7,0.633
84,2.816,-0.047,-1.967,0.421
85,2.473,-0.039,-1.62,0.451
86,2.464,-0.028,-1.187,0.633
87,2.33,-0.025,-1.056,0.687
88,2.708,-0.021,-0.878,0.841
89,2.741,-0.004,-0.186,0.98
90,2.612,-0.004,-0.17,1.0
91,2.472,-0.004,-0.155,0.821
92,2.377,-0.016,-0.69,0.763
93,2.628,-0.031,-1.285,0.687
94,2.85,-0.03,-1.26,0.687
95,2.766,-0.032,-1.359,0.725
96,2.258,-0.036,-1.505,0.92
97,2.031,-0.024,-1.02,0.451
98,2.036,-0.017,-0.72,0.669
99,2.178,-0.011,-0.453,0.841
