,mean,slp,chg,pvalue
0,1.046,0.006,0.271,0.188
1,1.104,0.005,0.195,0.382
2,1.108,0.008,0.315,0.334
3,1.106,0.005,0.227,0.666
4,1.132,0.002,0.074,0.861
5,0.964,0.003,0.135,0.633
6,1.024,0.004,0.157,0.357
7,1.052,0.002,0.086,0.477
8,1.02,0.0,0.019,0.6
9,1.032,0.003,0.105,0.463
10,1.051,0.001,0.054,0.633
11,1.063,0.003,0.138,0.552
12,1.126,0.006,0.254,0.37
13,1.067,0.007,0.288,0.173
14,1.116,0.006,0.266,0.213
15,1.257,0.007,0.297,0.152
16,1.138,0.008,0.338,0.166
17,1.228,0.008,0.343,0.067
18,1.199,0.009,0.37,0.173
19,1.216,0.005,0.215,0.289
20,1.192,0.003,0.113,0.463
21,1.132,0.002,0.08,0.568
22,1.05,0.0,0.006,0.6
23,1.296,0.006,0.244,0.268
24,1.223,0.002,0.091,0.507
25,1.19,0.0,0.0,0.6
26,1.17,-0.001,-0.029,0.701
27,1.163,0.003,0.124,0.552
28,1.134,0.005,0.197,0.213
29,1.084,0.004,0.172,0.249
30,1.052,0.002,0.068,0.522
31,1.07,0.001,0.023,0.735
32,1.12,-0.0,-0.014,0.807
33,1.168,-0.002,-0.092,1.0
34,1.148,-0.002,-0.096,0.916
35,1.193,0.003,0.126,0.537
36,1.104,0.004,0.164,0.522
37,1.1,0.0,0.015,0.753
38,1.163,0.003,0.11,0.477
39,1.224,0.004,0.17,0.449
40,1.133,0.003,0.122,0.477
41,1.195,0.005,0.199,0.449
42,1.19,0.0,0.0,0.972
43,1.214,0.004,0.157,0.6
44,1.256,0.005,0.227,0.435
45,1.256,0.006,0.248,0.522
46,1.274,0.004,0.164,0.507
47,1.223,0.003,0.118,0.683
48,1.254,0.004,0.162,0.449
49,1.294,0.004,0.158,0.6
50,1.328,-0.002,-0.075,0.771
51,1.316,-0.003,-0.137,0.898
52,1.296,-0.005,-0.195,0.718
53,1.268,-0.003,-0.113,0.935
54,1.244,-0.006,-0.244,0.861
55,1.25,-0.001,-0.025,0.972
56,1.192,0.003,0.105,0.552
57,1.204,0.004,0.176,0.435
58,1.133,0.003,0.14,0.463
59,1.228,0.007,0.309,0.395
60,1.216,0.006,0.231,0.633
61,1.164,0.004,0.183,0.492
62,1.132,0.002,0.103,0.584
63,1.187,-0.003,-0.116,0.916
64,1.286,-0.004,-0.164,0.843
65,1.586,-0.003,-0.129,0.807
66,1.67,-0.0,-0.013,0.861
67,1.444,0.004,0.166,0.507
68,1.328,0.008,0.336,0.382
69,1.395,0.005,0.226,0.449
70,1.392,0.002,0.101,0.492
71,1.36,0.0,0.0,0.771
72,1.471,0.001,0.03,0.861
73,1.615,0.005,0.206,0.735
74,1.503,0.003,0.143,0.522
75,1.534,0.004,0.168,0.421
76,1.526,-0.005,-0.191,0.916
77,1.512,-0.008,-0.332,0.666
78,1.465,-0.005,-0.224,0.898
79,1.58,-0.0,-0.021,0.807
80,1.67,0.0,0.0,0.492
81,1.54,0.0,0.012,0.735
82,1.501,0.001,0.023,0.88
