,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.022370476190476205,47.061552380952406,0.448081548716583,-0.0,43.0,-0.939,-0.16,2.79,1.851
01-02,-0.020618571428571424,43.614342857142844,0.5016358122745783,-0.0,43.0,-0.866,-0.174,2.81,1.944
01-03,-0.023347500000000004,49.07220000000001,0.3187451826272518,-0.0,43.0,-0.98,-0.212,2.867,1.887
01-04,-0.02102285714285717,44.42291428571434,0.20870397233082194,-0.0,43.0,-0.883,-0.134,2.819,1.936
01-05,-0.016413999999999995,35.17689999999999,0.3187451826272518,-0.0,43.0,-0.69,-0.092,2.694,2.004
01-06,-0.015918749999999995,34.52599999999999,0.4101432374855567,-0.0,43.0,-0.669,-0.103,3.023,2.354
01-07,-0.024982068965517235,52.879037931034475,0.648986688212116,-0.0,43.0,-1.05,-0.159,3.44,2.39
01-08,-0.02442736842105265,51.6564368421053,0.5730643403857183,-0.0,43.0,-1.026,-0.104,3.315,2.289
01-09,-0.01991884615384615,42.5544923076923,0.5584004547635599,-0.0,43.0,-0.836,-0.112,3.135,2.299
01-10,-0.019574166666666653,41.78023333333331,0.6646547813082151,-0.0,43.0,-0.822,-0.134,3.043,2.221
01-11,-0.016575714285714267,35.75502857142853,0.6964285776954346,-0.0,43.0,-0.696,-0.106,2.952,2.256
01-12,-0.017451666666666643,37.57202333333329,0.6181176400135011,-0.0,43.0,-0.733,-0.117,3.035,2.302
01-13,-0.01981000000000001,42.450000000000024,0.5879084322109032,-0.0,43.0,-0.832,-0.139,3.246,2.414
01-14,-0.021168399999999997,45.08189999999999,0.39793422470267026,-0.0,43.0,-0.889,-0.163,3.19,2.301
01-15,-0.018112,38.89269,0.448081548716583,-0.0,43.0,-0.761,-0.137,3.049,2.288
01-16,-0.01603666666666666,34.74202333333332,0.7450889812709389,-0.0,43.0,-0.673,-0.112,3.005,2.332
01-17,-0.014527333333333321,31.723356666666643,1.0,-0.0,43.0,-0.61,-0.104,2.974,2.364
01-18,-0.015632380952380946,33.92213190476189,0.5296315348267777,-0.0,43.0,-0.657,-0.072,2.986,2.329
01-19,-0.014149999999999996,31.016799999999993,0.5296315348267777,-0.0,43.0,-0.594,-0.065,3.014,2.42
01-20,-0.014149999999999996,31.03094999999999,0.4744436456632575,-0.0,43.0,-0.594,-0.091,3.028,2.434
01-21,-0.011454761904761896,25.60085380952379,0.7947886866284579,-0.0,43.0,-0.481,-0.086,2.932,2.451
01-22,-0.01186774193548386,26.46926387096772,0.8453357931297272,-0.0,43.0,-0.498,-0.069,2.983,2.485
01-23,-0.013363888888888878,29.455897777777757,0.7615493074182684,-0.0,43.0,-0.562,-0.097,3.009,2.447
01-24,-0.014527333333333321,31.839386666666645,0.9481546239300995,-0.0,43.0,-0.61,-0.116,3.09,2.48
01-25,-0.012415483870967739,27.632667741935478,0.8965279189482995,-0.0,43.0,-0.521,-0.105,3.062,2.541
01-26,-0.009402903225806445,21.570716451612892,0.7125218881022106,-0.0,43.0,-0.395,-0.077,2.962,2.567
01-27,-0.00981066666666665,22.5362333333333,0.7450889812709389,-0.0,43.0,-0.412,-0.069,3.121,2.709
01-28,-0.006738095238095247,16.475990476190493,0.8623384168158528,-0.0,43.0,-0.283,-0.037,3.141,2.858
01-29,-0.00943333333333333,21.80986666666666,0.930910680164664,-0.0,43.0,-0.396,-0.05,3.141,2.745
01-30,-0.0072119354838709624,17.508570967741925,0.7947886866284579,-0.0,43.0,-0.303,-0.049,3.236,2.933
01-31,-0.010107142857142854,23.327285714285708,0.8115533673850392,-0.0,43.0,-0.424,-0.058,3.325,2.901
02-01,-0.014149999999999885,31.41299999999977,0.9136991092503179,-0.0,43.0,-0.594,-0.09,3.41,2.816
02-02,-0.012128571428571424,27.31354285714285,1.0,-0.0,43.0,-0.509,-0.09,3.311,2.802
02-03,-0.01617142857142844,35.31435714285688,0.9481546239300995,-0.0,43.0,-0.679,-0.128,3.311,2.632
02-04,-0.020067272727272722,43.02114545454544,0.828404904759906,-0.0,43.0,-0.843,-0.151,3.308,2.465
02-05,-0.015731470588235288,34.71744117647057,0.930910680164664,-0.0,43.0,-0.661,-0.122,3.585,2.924
02-06,-0.013234411764705882,29.751623529411763,0.9654228872862332,-0.0,43.0,-0.556,-0.108,3.561,3.005
02-07,-0.013506818181818182,30.239836363636364,0.9481546239300995,-0.0,43.0,-0.567,-0.114,3.51,2.943
02-08,-0.013852105263157884,30.87381052631577,0.9136991092503179,-0.0,43.0,-0.581,-0.12,3.46,2.879
02-09,-0.020554736842105258,44.363973684210514,0.8453357931297272,-0.0,43.0,-0.863,-0.168,3.686,2.823
02-10,-0.01886666666666666,40.90293333333332,0.6646547813082151,-0.0,43.0,-0.793,-0.142,3.566,2.773
02-11,-0.02109636363636361,45.36232727272722,0.7287442378062505,-0.0,43.0,-0.886,-0.132,3.613,2.727
02-12,-0.019918846153846145,43.00729230769229,0.7125218881022106,-0.0,43.0,-0.837,-0.052,3.588,2.751
02-13,-0.020517499999999966,44.11969999999994,0.8623384168158528,-0.0,43.0,-0.862,-0.064,3.516,2.654
02-14,-0.04528000000000001,93.84280000000001,0.5879084322109032,-0.0,43.0,-1.902,-0.136,4.234,2.332
02-15,-0.0512729411764706,106.0267823529412,0.20096328781426642,-0.0,43.0,-2.154,-0.154,4.558,2.404
02-16,-0.06210277777777779,127.74305555555557,0.5879084322109032,-0.0,43.0,-2.609,-0.201,4.842,2.233
02-17,-0.057732000000000006,119.2279,0.7781182480506512,-0.0,43.0,-2.424,-0.203,4.976,2.552
02-18,-0.05631699999999999,116.45449999999998,0.7781182480506512,-0.0,43.0,-2.365,-0.23,5.003,2.638
02-19,-0.06185571428571431,127.73002857142863,0.39793422470267026,-0.0,43.0,-2.598,-0.238,5.318,2.72
02-20,-0.059834285714285694,123.8003714285714,0.1861143787191537,-0.0,43.0,-2.513,-0.149,5.388,2.875
02-21,-0.054618999999999994,113.5679,0.21665846771152952,-0.0,43.0,-2.294,-0.149,5.477,3.183
02-22,-0.061954054054054075,128.35120810810815,0.233217008256964,-0.0,43.0,-2.602,-0.237,5.744,3.142
02-23,-0.040458518518518526,85.36013703703705,0.5155350369501335,-0.0,43.0,-1.7,-0.158,5.293,3.593
02-24,-0.04924200000000001,102.89880000000001,0.4352190017892559,-0.0,43.0,-2.068,-0.196,5.449,3.381
02-25,-0.05158318181818183,107.46796363636365,0.2882065615900147,-0.0,43.0,-2.167,-0.248,5.385,3.218
02-26,-0.06226000000000001,128.76500000000001,0.17900133567214382,-0.0,43.0,-2.614,-0.316,5.552,2.938
02-27,-0.07232222222222223,148.94604444444448,0.1405125707499737,-0.0,43.0,-3.037,-0.394,5.82,2.783
02-28,-0.06917777777777762,142.99675555555524,0.15256341552303954,-0.0,43.0,-2.906,-0.389,6.094,3.188
03-01,-0.07149473684210529,147.48917368421058,0.172092480590194,-0.0,43.0,-3.003,-0.356,6.001,2.998
03-02,-0.06603333333333335,136.4814666666667,0.2597050690029892,-0.0,43.0,-2.774,-0.294,5.802,3.028
03-03,-0.07956653846153847,163.80257692307694,0.2882065615900147,-0.0,43.0,-3.341,-0.396,6.34,2.999
03-04,-0.0813625,167.90390000000002,0.27848056798213805,-0.0,43.0,-3.418,-0.381,6.888,3.47
03-05,-0.08301333333333324,172.7903666666665,0.27848056798213805,-0.0,43.0,-3.487,-0.403,8.507,5.02
03-06,-0.07923999999999998,164.87579999999997,0.30833848049191515,-0.0,43.0,-3.328,-0.377,8.06,4.732
03-07,-0.07358000000000002,153.47090000000003,0.30833848049191515,-0.0,43.0,-3.09,-0.347,7.856,4.766
03-08,-0.07405166666666663,154.64063333333326,0.233217008256964,-0.0,43.0,-3.11,-0.344,8.092,4.982
03-09,-0.06725411764705881,140.7625352941176,0.3187451826272518,-0.0,43.0,-2.825,-0.312,7.667,4.842
03-10,-0.08982173913043479,185.69967826086958,0.2689803649247009,-0.0,43.0,-3.772,-0.425,7.942,4.17
03-11,-0.10588916666666666,217.9760333333333,0.158876387923079,-0.0,43.0,-4.447,-0.499,8.421,3.974
03-12,-0.11673750000000001,239.8991,0.14644317557278397,-0.0,43.0,-4.903,-0.529,8.876,3.973
03-13,-0.08914499999999999,184.62919999999997,0.27848056798213805,-0.0,43.0,-3.744,-0.318,8.211,4.467
03-14,-0.11697333333333333,239.97456666666668,0.21665846771152952,-0.0,43.0,-4.913,-0.449,8.484,3.571
03-15,-0.09810666666666666,201.9582333333333,0.3187451826272518,-0.0,43.0,-4.12,-0.412,7.805,3.685
03-16,-0.09904999999999979,204.2410999999996,0.36264285850970546,-0.0,43.0,-4.16,-0.436,8.221,4.061
03-17,-0.09574833333333332,197.77926666666664,0.3741826491069973,-0.0,43.0,-4.021,-0.442,8.293,4.272
03-18,-0.08489999999999996,175.99769999999992,0.39793422470267026,-0.0,43.0,-3.566,-0.39,7.981,4.415
03-19,-0.062260000000000024,130.37810000000005,0.5155350369501335,-0.0,43.0,-2.615,-0.282,7.166,4.551
03-20,-0.056599999999999984,119.14299999999997,0.6029278873524366,-0.0,43.0,-2.378,-0.265,7.132,4.754
03-21,-0.05943,124.9445,0.5879084322109032,-0.0,43.0,-2.497,-0.293,7.333,4.836
03-22,-0.06509000000000001,136.09470000000002,0.5730643403857183,-0.0,43.0,-2.734,-0.33,7.282,4.548
03-23,-0.05583513513513514,117.78307027027029,0.5584004547635599,-0.0,43.0,-2.345,-0.287,7.285,4.94
03-24,-0.044336666666666615,94.78613333333323,0.6029278873524366,-0.0,43.0,-1.862,-0.229,7.044,5.182
03-25,-0.05317421052631579,112.00842105263158,0.5296315348267777,-0.0,43.0,-2.234,-0.274,6.777,4.543
03-26,-0.059295238095238054,124.27877619047611,0.5016358122745783,-0.0,43.0,-2.49,-0.309,6.933,4.443
03-27,-0.060844999999999996,127.29339999999999,0.3741826491069973,-0.0,43.0,-2.555,-0.298,6.881,4.326
03-28,-0.06553684210526309,136.84688421052618,0.4744436456632575,-0.0,43.0,-2.752,-0.322,7.149,4.397
03-29,-0.07184548387096776,149.60566774193552,0.3859468605971168,-0.0,43.0,-3.017,-0.356,7.423,4.406
03-30,-0.070184,145.97140000000002,0.35132852409266,-0.0,43.0,-2.947,-0.352,7.077,4.13
03-31,-0.056600000000000025,118.32230000000006,0.3741826491069973,-0.0,43.0,-2.377,-0.292,6.311,3.934
04-01,-0.050415925925925933,105.75605185185186,0.4352190017892559,-0.0,43.0,-2.118,-0.263,5.983,3.865
04-02,-0.04905333333333329,102.94596666666658,0.46115733267686343,-0.0,43.0,-2.06,-0.269,5.869,3.809
04-03,-0.04504416666666666,94.84273333333333,0.5155350369501335,-0.0,43.0,-1.892,-0.265,5.7,3.808
04-04,-0.04762682926829268,99.86655853658536,0.448081548716583,-0.0,43.0,-2.0,-0.292,5.613,3.613
04-05,-0.04622333333333334,97.03126666666668,0.48793753671895557,-0.0,43.0,-1.941,-0.279,5.555,3.614
