,mean,slp,chg,pvalue
0,3.719,-0.011,-0.446,0.352
1,3.748,-0.011,-0.473,0.393
2,3.705,-0.013,-0.526,0.379
3,3.702,-0.014,-0.597,0.421
4,3.675,-0.012,-0.52,0.407
5,3.658,-0.011,-0.464,0.393
6,3.653,-0.008,-0.354,0.451
7,3.657,-0.007,-0.28,0.481
8,3.649,-0.005,-0.217,0.513
9,3.648,-0.006,-0.263,0.497
10,3.64,-0.005,-0.223,0.466
11,3.59,-0.005,-0.21,0.436
12,3.57,-0.005,-0.21,0.436
13,3.564,-0.003,-0.113,0.436
14,3.556,-0.002,-0.087,0.451
15,3.536,-0.002,-0.095,0.407
16,3.504,-0.003,-0.126,0.436
17,3.483,-0.003,-0.14,0.436
18,3.46,-0.005,-0.2,0.436
19,3.47,-0.005,-0.21,0.407
20,3.489,-0.005,-0.228,0.407
21,3.512,-0.004,-0.153,0.393
22,3.523,-0.004,-0.15,0.421
23,3.546,-0.002,-0.077,0.421
24,3.558,-0.001,-0.057,0.407
25,3.548,-0.001,-0.051,0.407
26,3.52,0.0,0.0,0.451
27,3.498,-0.001,-0.025,0.466
28,3.45,-0.0,-0.019,0.451
29,3.403,0.002,0.07,0.53
30,3.35,0.0,0.0,0.513
31,3.309,-0.001,-0.028,0.481
32,3.256,-0.002,-0.078,0.451
33,3.218,-0.001,-0.038,0.497
34,3.18,0.0,0.0,0.466
35,3.147,-0.002,-0.07,0.451
36,3.147,-0.002,-0.07,0.451
37,3.148,-0.001,-0.057,0.497
38,3.12,-0.0,-0.013,0.53
39,3.096,-0.002,-0.084,0.481
40,3.095,-0.003,-0.106,0.481
41,3.058,-0.001,-0.042,0.513
42,3.052,0.001,0.031,0.58
43,3.032,0.002,0.063,0.58
44,3.023,0.001,0.062,0.615
45,3.026,0.003,0.124,0.633
46,3.002,0.001,0.038,0.58
47,2.99,0.0,0.0,0.58
48,3.019,-0.001,-0.03,0.563
49,3.034,-0.003,-0.133,0.53
50,3.022,-0.004,-0.155,0.53
51,3.013,-0.003,-0.14,0.481
52,2.991,-0.005,-0.194,0.451
53,2.986,-0.002,-0.075,0.513
54,2.988,-0.001,-0.053,0.546
55,2.988,-0.001,-0.042,0.513
56,2.997,-0.002,-0.07,0.497
57,2.986,-0.002,-0.093,0.451
58,2.994,-0.003,-0.111,0.451
59,2.974,-0.003,-0.131,0.497
60,2.972,-0.004,-0.163,0.451
61,2.944,-0.003,-0.117,0.466
62,2.964,-0.003,-0.135,0.436
63,2.984,-0.003,-0.131,0.466
64,2.994,-0.003,-0.117,0.513
65,2.988,-0.001,-0.049,0.53
66,2.918,-0.001,-0.053,0.546
67,2.878,-0.001,-0.049,0.563
68,2.848,-0.001,-0.049,0.53
69,2.808,-0.001,-0.025,0.497
70,2.878,-0.001,-0.053,0.513
71,2.904,-0.003,-0.124,0.407
72,2.904,-0.003,-0.111,0.421
73,2.883,-0.004,-0.146,0.421
74,2.813,-0.003,-0.14,0.407
75,2.843,-0.003,-0.14,0.407
76,2.806,-0.002,-0.099,0.451
77,2.746,-0.002,-0.099,0.481
78,2.732,-0.004,-0.157,0.466
79,2.721,-0.004,-0.18,0.436
80,2.731,-0.004,-0.19,0.451
81,2.732,-0.004,-0.153,0.481
82,2.726,-0.007,-0.285,0.421
83,2.737,-0.007,-0.28,0.436
84,2.729,-0.006,-0.241,0.466
85,2.719,-0.005,-0.226,0.451
86,2.73,-0.005,-0.191,0.497
87,2.758,-0.001,-0.047,0.513
88,2.744,-0.003,-0.117,0.481
89,2.736,-0.002,-0.084,0.421
