,mean,slp,chg,pvalue
0,1.63,0.023,0.96,0.015
1,1.39,0.025,1.05,0.005
2,1.34,0.024,1.02,0.002
3,1.39,0.026,1.096,0.012
4,1.36,0.024,1.015,0.012
5,1.27,0.024,1.022,0.007
6,1.27,0.022,0.93,0.011
7,1.19,0.021,0.896,0.004
8,1.15,0.02,0.852,0.007
9,1.08,0.021,0.875,0.003
10,1.22,0.022,0.92,0.008
11,1.22,0.029,1.2,0.014
12,1.13,0.029,1.2,0.007
13,1.07,0.027,1.126,0.032
14,0.96,0.023,0.952,0.036
15,0.94,0.021,0.864,0.02
16,0.99,0.019,0.814,0.014
17,0.96,0.017,0.726,0.022
18,0.97,0.014,0.584,0.076
19,0.93,0.011,0.456,0.165
20,0.91,0.009,0.392,0.027
21,0.85,0.009,0.392,0.022
22,0.85,0.011,0.46,0.042
23,1.05,0.011,0.458,0.165
24,1.15,0.011,0.462,0.153
25,1.13,0.012,0.526,0.308
26,1.08,0.012,0.494,0.114
27,0.99,0.012,0.504,0.119
28,0.93,0.013,0.536,0.119
29,1.02,0.014,0.585,0.091
30,0.96,0.014,0.57,0.114
31,1.02,0.012,0.49,0.135
32,1.08,0.0,0.0,0.68
33,1.14,-0.007,-0.29,0.931
34,1.19,-0.004,-0.18,0.812
35,1.19,0.0,0.0,0.965
36,1.22,0.003,0.105,0.729
37,1.04,0.006,0.272,0.351
38,0.91,0.006,0.246,0.41
39,0.89,0.007,0.286,0.34
40,0.96,0.008,0.34,0.363
41,0.93,0.009,0.374,0.41
42,0.93,0.01,0.42,0.26
43,0.88,0.01,0.42,0.386
44,0.83,0.008,0.336,0.488
45,0.99,0.007,0.31,0.68
46,1.07,0.009,0.37,0.588
47,0.93,0.009,0.368,0.488
48,0.9,0.012,0.495,0.269
49,1.05,0.01,0.42,0.448
50,0.96,0.006,0.234,0.68
51,1.13,-0.001,-0.052,0.461
52,1.08,0.003,0.14,0.845
53,1.05,0.002,0.098,0.948
54,1.19,-0.008,-0.324,0.862
55,1.08,-0.005,-0.23,0.897
56,0.99,-0.003,-0.14,0.914
57,1.05,0.007,0.288,0.363
58,1.16,0.009,0.368,0.398
59,1.25,0.008,0.344,0.386
60,1.13,0.002,0.098,0.649
61,1.25,0.007,0.308,0.435
62,1.19,0.007,0.29,0.461
63,1.25,0.0,0.0,0.713
64,1.22,0.003,0.132,0.516
65,1.13,-0.001,-0.028,0.588
66,1.4,-0.006,-0.273,1.0
67,1.5,-0.009,-0.382,0.931
68,1.45,-0.008,-0.336,0.845
69,1.68,0.001,0.042,0.828
70,2.05,0.006,0.252,0.603
71,1.94,0.008,0.324,0.558
72,1.96,0.007,0.308,0.386
73,1.9,0.004,0.176,0.729
74,1.92,0.004,0.178,0.488
75,1.79,0.0,0.0,0.812
76,1.75,-0.01,-0.42,0.129
77,1.7,-0.01,-0.42,0.217
