,mean,slp,chg,pvalue
01-01,103.3,1.489,62.526,0.159
01-02,89.71,1.178,49.47,0.159
01-03,89.71,1.593,66.886,0.013
01-04,87.45,1.804,75.77,0.019
01-05,82.92,1.915,80.45,0.079
01-06,103.3,1.311,55.042,0.153
01-07,93.39,0.898,37.716,0.225
01-08,78.67,0.537,22.556,0.319
01-09,68.49,0.765,32.124,0.209
01-10,71.03,1.207,50.696,0.095
01-11,74.71,1.954,82.084,0.032
01-12,68.77,2.157,90.616,0.011
01-13,80.09,2.83,118.86,0.006
01-14,80.66,2.537,106.56,0.009
01-15,71.32,1.928,80.955,0.017
01-16,63.96,1.592,66.858,0.013
01-17,71.32,1.776,74.6,0.012
01-18,69.05,1.981,83.21,0.011
01-19,77.82,2.033,85.374,0.007
01-20,84.33,1.811,76.062,0.017
01-21,87.45,1.477,62.028,0.046
01-22,93.67,1.01,42.42,0.179
01-23,93.39,0.965,40.542,0.329
01-24,87.73,0.749,31.476,0.398
01-25,84.9,0.956,40.162,0.201
01-26,89.71,1.006,42.264,0.129
01-27,79.81,0.893,37.51,0.172
01-28,76.98,0.753,31.64,0.159
01-29,69.05,0.816,34.268,0.242
01-30,72.45,0.909,38.182,0.269
01-31,73.58,0.807,33.908,0.288
02-01,76.69,0.872,36.63,0.179
02-02,88.86,0.505,21.225,0.573
02-03,86.6,0.45,18.916,0.812
02-04,87.73,0.101,4.244,0.649
02-05,90.56,0.442,18.572,1.0
02-06,83.2,0.672,28.244,0.474
02-07,78.39,0.869,36.482,0.386
02-08,77.54,1.072,45.016,0.251
02-09,86.03,1.415,59.43,0.072
02-10,75.84,1.634,68.622,0.076
02-11,92.82,1.173,49.26,0.319
02-12,97.64,0.809,33.96,0.502
02-13,90.56,0.829,34.83,0.53
02-14,84.9,0.645,27.078,0.68
02-15,90.84,0.472,19.81,0.778
02-16,99.62,0.212,8.908,0.897
02-17,99.62,0.042,1.784,0.862
02-18,96.5,0.283,11.886,0.812
02-19,92.54,0.15,6.314,0.544
02-20,94.52,0.077,3.246,0.588
02-21,106.69,-0.676,-28.396,0.448
02-22,132.73,-2.509,-105.378,0.119
02-23,123.67,-2.189,-91.958,0.225
02-24,131.88,-1.085,-45.552,0.588
02-25,121.97,-0.35,-14.72,0.778
02-26,114.33,0.424,17.815,0.288
02-27,108.39,1.641,68.936,0.119
02-28,106.12,1.871,78.586,0.056
03-01,106.69,2.207,92.708,0.007
03-02,114.33,2.264,95.072,0.009
03-03,113.77,3.131,131.486,0.003
03-04,116.03,2.869,120.516,0.005
03-05,134.71,1.132,47.558,0.159
03-06,127.35,0.187,7.84,0.488
03-07,125.37,0.07,2.94,0.603
03-08,140.65,0.101,4.228,0.618
03-09,135.84,0.528,22.176,0.423
03-10,141.22,1.727,72.544,0.129
03-11,159.89,2.025,85.034,0.129
03-12,150.27,1.965,82.512,0.119
03-13,147.73,1.352,56.794,0.278
03-14,138.95,1.478,62.066,0.298
03-15,144.05,1.751,73.552,0.179
03-16,140.93,1.521,63.892,0.242
03-17,148.29,1.222,51.336,0.308
03-18,129.05,1.698,71.308,0.298
03-19,135.84,1.539,64.628,0.242
03-20,133.29,1.449,60.85,0.288
03-21,141.22,1.203,50.516,0.573
03-22,123.67,1.031,43.29,0.948
03-23,125.37,0.92,38.619,1.0
03-24,112.35,0.829,34.8,0.329
03-25,106.69,0.875,36.73,0.269
03-26,120.28,1.227,51.52,0.398
03-27,114.33,1.455,61.11,0.319
03-28,110.94,2.035,85.486,0.046
03-29,123.39,2.587,108.66,0.009
03-30,133.29,2.304,96.78,0.104
03-31,130.18,1.97,82.756,0.109
04-01,133.58,1.415,59.422,0.308
04-02,148.86,0.601,25.252,0.573
04-03,137.54,1.005,42.189,0.398
04-04,139.8,0.163,6.834,0.665
04-05,121.69,0.012,0.508,0.665
04-06,132.44,0.308,12.928,0.558
04-07,119.14,0.462,19.386,0.544
04-08,144.05,1.2,50.4,0.329
04-09,142.92,0.908,38.154,0.298
04-10,148.57,0.269,11.298,0.762
04-11,164.14,0.3,12.588,0.845
04-12,153.1,0.224,9.394,0.665
04-13,159.89,-0.023,-0.98,0.649
04-14,152.25,-0.484,-20.34,0.965
04-15,147.16,-0.377,-15.838,0.948
04-16,149.42,-0.475,-19.944,0.983
04-17,124.8,-0.354,-14.858,0.965
04-18,125.37,-0.832,-34.958,0.696
04-19,118.86,-0.826,-34.708,0.845
04-20,119.14,-0.283,-11.892,0.488
04-21,125.09,-0.407,-17.088,0.603
04-22,122.26,-0.307,-12.88,0.948
04-23,118.01,-0.689,-28.924,0.225
04-24,103.86,-0.441,-18.53,0.516
04-25,96.5,-0.218,-9.144,0.983
04-26,91.13,-0.037,-1.568,0.386
04-27,90.84,0.337,14.166,0.319
04-28,89.43,0.404,16.98,0.209
04-29,81.79,1.046,43.918,0.029
04-30,89.43,1.223,51.358,0.024
05-01,103.86,1.302,54.684,0.065
05-02,101.6,0.931,39.114,0.269
05-03,101.88,1.121,47.088,0.141
05-04,114.05,1.196,50.224,0.153
05-05,107.26,1.345,56.49,0.056
05-06,95.09,1.152,48.39,0.095
05-07,85.75,0.738,30.99,0.278
05-08,91.69,0.282,11.83,0.68
05-09,84.9,0.6,25.212,0.308
05-10,82.64,0.85,35.7,0.119
05-11,83.2,1.056,44.366,0.095
05-12,90.56,1.389,58.342,0.079
05-13,100.18,1.161,48.772,0.225
05-14,105.56,1.13,47.46,0.146
05-15,88.58,1.009,42.392,0.435
05-16,92.82,0.952,39.976,0.34
05-17,109.24,0.622,26.124,0.516
05-18,105.28,0.619,26.018,0.68
05-19,99.33,1.08,45.38,0.461
05-20,97.35,1.081,45.42,0.53
05-21,94.52,1.041,43.708,0.603
05-22,121.411,1.133,47.565,0.251
05-23,103.58,0.865,36.336,0.298
05-24,106.41,0.392,16.476,0.745
05-25,89.99,0.189,7.928,0.745
05-26,81.5,-0.025,-1.07,0.914
05-27,80.09,0.055,2.304,0.68
05-28,84.62,-0.233,-9.764,0.931
05-29,75.28,-0.291,-12.202,0.862
05-30,79.52,-0.404,-16.98,0.828
05-31,80.09,-0.377,-15.846,0.713
06-01,78.959,0.071,2.975,0.897
06-02,75.56,0.103,4.334,0.845
06-03,92.82,0.472,19.82,0.778
06-04,84.33,0.574,24.104,0.573
06-05,89.43,0.707,29.715,0.461
06-06,87.16,0.189,7.934,0.762
06-07,87.16,-0.339,-14.258,0.795
06-08,87.16,-0.702,-29.494,0.516
