,mean,slp,chg,pvalue
0,1.49,0.021,0.902,0.217
1,1.899,0.018,0.777,0.288
2,1.47,0.012,0.5,0.153
3,1.39,0.006,0.242,0.488
4,1.24,0.005,0.225,0.618
5,1.22,0.0,0.018,0.862
6,1.08,0.0,0.014,0.965
7,1.25,0.001,0.056,0.879
8,1.16,0.004,0.168,0.778
9,1.42,0.024,0.998,0.193
10,1.4,0.021,0.872,0.363
11,1.53,0.018,0.738,0.319
12,1.53,0.01,0.42,0.745
13,1.39,0.004,0.168,0.983
14,1.3,0.0,0.0,0.862
15,1.33,0.01,0.42,0.516
16,1.42,0.002,0.063,0.948
17,1.45,-0.004,-0.168,0.618
18,1.42,-0.016,-0.668,0.461
19,1.25,-0.025,-1.03,0.34
20,1.56,-0.024,-1.024,0.319
21,1.91,-0.029,-1.23,0.298
22,1.81,-0.014,-0.568,0.603
23,1.61,-0.014,-0.595,0.53
24,1.92,0.003,0.126,0.558
25,1.67,-0.0,-0.015,1.0
26,1.58,0.002,0.086,0.795
27,1.64,0.001,0.03,0.745
28,1.56,0.011,0.474,0.862
29,1.47,0.006,0.234,0.745
30,1.36,0.005,0.19,0.948
31,1.58,-0.002,-0.092,0.588
32,1.61,-0.006,-0.252,0.633
33,1.47,-0.015,-0.616,0.34
34,1.4,-0.007,-0.3,0.488
35,1.39,0.0,0.0,0.965
36,1.51,-0.002,-0.1,0.53
37,1.47,0.003,0.105,1.0
38,1.36,-0.001,-0.032,0.914
39,1.27,-0.005,-0.21,0.618
40,2.02,-0.015,-0.624,0.251
41,1.71,-0.015,-0.644,0.26
42,1.98,-0.026,-1.084,0.153
43,2.32,-0.019,-0.794,0.242
44,2.46,-0.006,-0.252,0.778
45,2.38,-0.016,-0.672,0.502
46,2.2,-0.029,-1.236,0.251
47,1.96,-0.021,-0.9,0.363
48,1.86,-0.019,-0.808,0.233
49,1.7,-0.015,-0.62,0.351
50,1.66,-0.012,-0.496,0.423
51,1.61,-0.002,-0.064,0.897
52,2.12,-0.017,-0.7,0.461
53,2.32,-0.01,-0.408,0.516
54,2.29,0.003,0.116,0.762
55,2.08,-0.002,-0.094,0.965
56,2.26,-0.012,-0.526,0.965
57,2.03,-0.015,-0.61,0.965
58,2.07,-0.027,-1.12,0.141
59,2.03,-0.03,-1.26,0.146
60,1.92,-0.04,-1.68,0.186
61,2.46,-0.032,-1.34,0.308
62,2.57,-0.082,-3.465,0.059
63,2.35,-0.061,-2.574,0.099
64,1.95,-0.052,-2.174,0.072
65,2.24,-0.041,-1.726,0.129
66,2.41,-0.02,-0.828,0.588
67,2.21,-0.009,-0.374,0.931
68,2.04,0.01,0.434,0.745
69,1.92,0.018,0.752,0.516
70,1.95,0.007,0.28,0.897
71,1.78,0.013,0.564,0.603
72,1.99,0.012,0.49,0.914
73,1.64,0.014,0.578,0.897
74,1.91,0.016,0.668,0.603
75,1.87,0.004,0.176,0.461
76,2.04,-0.003,-0.106,0.879
77,2.29,-0.005,-0.21,1.0
78,2.12,-0.01,-0.44,0.812
79,1.83,-0.009,-0.362,0.68
80,1.78,-0.012,-0.483,0.696
81,1.67,-0.012,-0.52,0.351
82,2.26,0.0,0.0,0.862
83,2.32,0.02,0.856,0.201
84,2.26,0.033,1.368,0.024
85,2.18,0.027,1.156,0.049
86,2.2,0.018,0.744,0.201
87,2.34,0.005,0.21,0.603
88,2.38,-0.01,-0.42,0.983
89,2.15,-0.001,-0.044,0.729
90,1.98,-0.008,-0.334,0.983
91,1.87,-0.035,-1.488,0.374
92,1.95,-0.034,-1.44,0.41
93,2.29,-0.03,-1.28,0.41
94,2.07,-0.027,-1.12,0.474
95,2.01,-0.016,-0.682,0.696
96,1.95,-0.008,-0.357,0.862
