,mean,slp,chg,pvalue
01-01,1.17,0.017,0.7,0.026
01-02,1.164,0.019,0.789,0.016
01-03,1.128,0.018,0.773,0.008
01-04,1.087,0.018,0.758,0.003
01-05,1.076,0.017,0.724,0.008
01-06,1.061,0.017,0.722,0.006
01-07,1.011,0.017,0.724,0.005
01-08,0.992,0.018,0.743,0.002
01-09,0.956,0.018,0.735,0.002
01-10,0.927,0.018,0.735,0.002
01-11,0.97,0.017,0.719,0.007
01-12,0.952,0.018,0.735,0.005
01-13,0.984,0.019,0.803,0.003
01-14,1.071,0.021,0.868,0.001
01-15,1.051,0.021,0.864,0.001
01-16,1.019,0.019,0.806,0.0
01-17,0.982,0.018,0.765,0.0
01-18,0.951,0.017,0.73,0.0
01-19,0.999,0.016,0.672,0.002
01-20,0.954,0.016,0.674,0.004
01-21,0.933,0.015,0.646,0.003
01-22,0.882,0.015,0.612,0.005
01-23,0.883,0.015,0.644,0.009
01-24,0.938,0.016,0.663,0.012
01-25,0.944,0.016,0.666,0.006
01-26,0.934,0.016,0.689,0.002
01-27,0.93,0.016,0.688,0.002
01-28,0.905,0.017,0.7,0.001
01-29,0.885,0.017,0.694,0.0
01-30,0.87,0.017,0.713,0.0
01-31,0.861,0.017,0.72,0.0
02-01,0.859,0.016,0.677,0.0
02-02,0.834,0.016,0.676,0.0
02-03,0.804,0.016,0.676,0.0
02-04,0.789,0.016,0.672,0.0
02-05,0.768,0.015,0.639,0.0
02-06,0.752,0.015,0.629,0.0
02-07,0.738,0.015,0.644,0.0
02-08,0.717,0.015,0.616,0.0
02-09,0.712,0.015,0.614,0.0
02-10,0.702,0.014,0.607,0.0
02-11,0.698,0.015,0.629,0.0
02-12,0.676,0.014,0.594,0.0
02-13,0.661,0.014,0.586,0.0
02-14,0.68,0.013,0.556,0.0
02-15,0.69,0.013,0.55,0.0
02-16,0.69,0.013,0.537,0.0
02-17,0.678,0.012,0.508,0.0
02-18,0.676,0.011,0.473,0.001
02-19,0.662,0.011,0.465,0.001
02-20,0.715,0.01,0.42,0.003
02-21,0.72,0.011,0.443,0.01
02-22,0.726,0.01,0.435,0.013
02-23,0.758,0.012,0.51,0.01
02-24,0.753,0.012,0.498,0.026
