,mean,slp,chg,pvalue
0,9.24,0.081,3.415,0.387
1,9.128,0.095,3.983,0.196
2,9.622,0.096,4.013,0.16
3,9.594,0.078,3.255,0.189
4,9.346,0.081,3.407,0.257
5,9.184,0.078,3.274,0.307
6,8.825,0.071,2.974,0.212
7,8.482,0.075,3.151,0.124
8,8.126,0.073,3.057,0.141
9,8.107,0.093,3.903,0.094
10,8.396,0.113,4.731,0.067
11,8.956,0.162,6.825,0.036
12,8.81,0.2,8.4,0.009
13,8.234,0.238,9.984,0.002
14,8.248,0.236,9.9,0.001
15,8.26,0.211,8.877,0.001
16,8.395,0.209,8.794,0.001
17,8.548,0.197,8.273,0.002
18,9.481,0.171,7.2,0.009
19,9.57,0.15,6.3,0.034
20,9.285,0.121,5.097,0.118
21,8.662,0.116,4.863,0.071
22,8.457,0.114,4.778,0.103
23,8.336,0.112,4.687,0.074
24,8.688,0.127,5.337,0.061
25,8.45,0.132,5.525,0.044
26,8.34,0.119,5.017,0.044
27,8.028,0.116,4.863,0.055
28,7.561,0.112,4.71,0.04
29,7.33,0.11,4.62,0.055
30,7.57,0.1,4.2,0.044
31,7.417,0.104,4.378,0.047
32,7.422,0.104,4.362,0.03
33,7.544,0.098,4.116,0.086
34,7.34,0.099,4.178,0.154
35,6.917,0.104,4.36,0.078
36,6.736,0.113,4.753,0.058
37,6.48,0.11,4.62,0.036
38,6.398,0.107,4.48,0.019
39,6.351,0.102,4.284,0.017
40,6.498,0.097,4.069,0.02
41,6.322,0.095,4.005,0.029
42,6.338,0.076,3.204,0.067
43,6.021,0.062,2.612,0.16
44,6.281,0.044,1.845,0.465
45,6.427,0.045,1.876,0.552
46,6.294,0.047,1.965,0.508
47,6.348,0.047,1.96,0.598
48,6.242,0.045,1.891,0.598
49,6.224,0.047,1.955,0.537
50,6.16,0.05,2.1,0.779
51,6.464,0.059,2.46,0.849
52,6.332,0.055,2.293,0.814
53,6.277,0.033,1.4,0.973
54,6.456,0.031,1.293,0.937
55,7.171,0.042,1.764,0.866
56,7.3,0.04,1.694,0.493
57,7.214,0.048,2.037,0.351
58,7.389,0.057,2.397,0.229
59,7.179,0.068,2.87,0.229
60,6.995,0.05,2.082,0.508
61,7.478,0.027,1.12,0.711
62,7.592,0.034,1.428,0.582
63,7.495,0.03,1.26,0.537
64,7.568,0.037,1.533,0.661
65,7.324,0.029,1.225,0.745
66,8.833,0.026,1.092,0.711
67,9.682,0.024,1.002,0.661
68,10.515,0.03,1.26,0.522
69,11.536,0.074,3.095,0.296
70,11.248,0.097,4.095,0.189
71,12.312,0.123,5.145,0.212
72,12.467,0.133,5.6,0.229
73,12.604,0.109,4.581,0.317
74,12.946,0.093,3.885,0.307
75,12.832,0.065,2.717,0.412
76,12.575,0.05,2.1,0.375
77,12.218,0.036,1.512,0.552
78,11.848,-0.004,-0.168,0.629
79,12.026,-0.049,-2.04,0.629
80,13.918,-0.065,-2.743,0.919
81,14.055,-0.09,-3.78,0.955
82,13.733,-0.135,-5.689,0.762
83,14.363,-0.175,-7.35,0.425
84,15.614,-0.271,-11.367,0.238
85,17.245,-0.31,-13.02,0.094
86,18.016,-0.368,-15.464,0.017
87,19.224,-0.452,-18.997,0.015
88,21.734,-0.432,-18.126,0.038
89,21.982,-0.335,-14.083,0.082
90,24.462,-0.376,-15.8,0.094
91,26.162,-0.376,-15.812,0.099
92,26.969,-0.362,-15.185,0.247
93,27.703,-0.293,-12.32,0.286
94,29.164,-0.271,-11.365,0.328
95,28.934,-0.331,-13.893,0.296
96,29.287,-0.326,-13.688,0.317
97,28.676,-0.248,-10.422,0.582
98,28.7,-0.2,-8.4,0.661
99,28.893,-0.214,-9.0,0.582
100,28.657,-0.186,-7.8,0.412
101,28.767,-0.167,-7.0,0.452
102,28.645,-0.11,-4.62,0.694
103,27.823,-0.054,-2.262,0.849
104,26.649,-0.002,-0.102,0.919
105,26.487,-0.025,-1.05,0.973
106,27.15,0.0,0.0,0.919
107,25.29,-0.021,-0.875,1.0
108,23.786,-0.027,-1.145,0.973
109,22.678,-0.044,-1.867,0.902
110,22.1,0.0,0.0,0.919
111,21.958,0.015,0.646,0.902
112,20.496,-0.008,-0.332,1.0
113,19.208,0.015,0.646,0.762
114,17.654,0.008,0.35,0.884
115,16.271,0.043,1.8,0.831
116,16.016,0.031,1.309,0.902
117,15.05,0.0,0.0,0.937
118,14.672,-0.056,-2.343,0.711
119,14.119,-0.063,-2.64,0.711
120,16.514,0.029,1.2,0.779
121,15.807,0.114,4.798,0.4
122,13.755,0.11,4.62,0.375
123,13.2,0.1,4.216,0.34
124,12.491,0.081,3.422,0.425
125,12.182,0.062,2.625,0.479
126,11.071,0.041,1.74,0.508
127,10.802,0.004,0.188,0.728
128,10.499,-0.001,-0.06,0.849
129,10.022,-0.007,-0.289,0.937
130,9.877,-0.017,-0.7,0.955
131,9.932,-0.037,-1.565,0.645
132,9.239,-0.042,-1.772,0.645
133,9.209,-0.032,-1.327,0.796
134,8.575,-0.01,-0.42,0.849
135,8.476,0.022,0.945,0.537
136,7.826,0.033,1.365,0.257
137,7.706,0.012,0.525,0.4
138,7.556,-0.009,-0.362,0.537
139,6.975,-0.02,-0.84,0.814
140,6.845,-0.04,-1.664,0.779
141,6.176,-0.038,-1.592,0.814
142,5.622,-0.027,-1.114,0.919
143,5.43,-0.029,-1.235,0.919
144,5.482,-0.037,-1.575,0.796
145,4.865,-0.03,-1.26,0.884
146,4.496,-0.039,-1.622,0.884
147,4.712,-0.056,-2.356,0.629
148,4.67,-0.061,-2.565,0.465
149,4.377,-0.066,-2.765,0.508
150,4.305,-0.06,-2.52,0.552
151,3.998,-0.062,-2.625,0.493
152,3.826,-0.058,-2.455,0.613
153,3.755,-0.05,-2.112,0.745
154,3.796,-0.039,-1.626,0.779
155,3.611,-0.028,-1.168,0.465
156,3.762,-0.027,-1.133,0.613
157,3.303,-0.024,-0.99,0.598
158,3.268,-0.014,-0.594,0.779
159,3.066,-0.007,-0.303,0.991
160,3.226,-0.01,-0.405,0.567
161,3.168,-0.013,-0.545,0.375
162,3.005,0.001,0.022,0.567
163,3.159,0.018,0.746,0.34
164,3.162,0.023,0.955,0.266
165,3.22,0.029,1.217,0.286
166,3.065,0.02,0.84,0.537
167,2.71,0.011,0.465,0.522
168,2.6,0.009,0.367,0.779
169,2.458,0.005,0.211,0.796
170,2.335,0.001,0.033,0.866
171,2.328,-0.005,-0.191,0.884
172,2.512,-0.017,-0.7,0.452
173,2.42,-0.021,-0.87,0.307
174,2.331,-0.018,-0.744,0.582
175,2.194,-0.022,-0.912,0.425
176,1.99,-0.02,-0.858,0.493
177,1.908,-0.015,-0.629,0.567
178,1.957,-0.016,-0.67,0.694
179,1.769,-0.013,-0.54,0.937
180,1.602,-0.007,-0.285,0.973
181,1.52,-0.011,-0.448,0.955
182,1.411,-0.008,-0.336,0.694
183,1.781,-0.008,-0.342,0.629
184,1.688,-0.005,-0.219,0.613
185,1.578,-0.005,-0.191,0.779
186,1.413,-0.004,-0.188,0.849
187,1.282,-0.005,-0.223,0.831
188,1.316,-0.006,-0.255,0.745
189,1.308,-0.005,-0.199,0.849
190,1.134,-0.003,-0.125,0.884
191,1.098,-0.004,-0.155,0.831
192,0.988,-0.004,-0.168,0.779
193,0.938,-0.005,-0.211,0.814
194,0.942,-0.005,-0.219,0.831
195,0.942,-0.006,-0.256,0.973
196,0.948,-0.005,-0.201,0.884
197,0.938,-0.004,-0.18,0.902
198,0.902,-0.006,-0.238,0.796
