,mean,slp,chg,pvalue
0,0.914,0.004,0.155,1.0
1,0.952,0.003,0.117,0.898
2,0.908,-0.002,-0.091,0.345
3,1.024,-0.005,-0.225,0.463
4,1.188,-0.002,-0.072,0.6
5,1.1,0.0,0.0,0.552
6,0.954,0.004,0.158,0.935
7,0.937,0.007,0.288,0.683
8,1.09,0.01,0.42,0.522
9,1.36,0.0,0.0,0.861
10,1.243,0.003,0.122,0.843
11,1.138,0.008,0.328,0.666
12,1.09,0.01,0.42,0.477
13,1.194,0.004,0.178,0.88
14,1.079,-0.001,-0.028,0.345
15,1.168,-0.001,-0.053,0.718
16,1.055,0.005,0.214,0.972
17,1.416,0.026,1.081,0.1
18,1.25,0.03,1.252,0.022
19,1.15,0.019,0.815,0.02
20,0.925,0.015,0.626,0.025
21,0.82,0.01,0.41,0.133
22,0.886,0.006,0.27,0.735
23,0.864,0.005,0.195,0.972
24,0.968,0.008,0.333,0.735
25,0.944,0.004,0.154,0.972
26,0.9,0.0,0.014,0.789
27,0.781,0.001,0.048,1.0
28,0.82,0.009,0.397,0.334
29,0.939,0.009,0.394,0.492
30,0.876,0.006,0.263,0.666
31,0.934,0.004,0.17,0.972
32,0.912,0.003,0.123,0.935
33,0.762,0.002,0.1,0.492
34,0.828,0.008,0.333,0.449
35,0.967,0.007,0.292,0.268
36,1.02,0.01,0.402,0.1
37,0.901,0.011,0.443,0.083
38,0.825,0.006,0.233,0.279
39,0.882,0.002,0.078,0.477
40,0.773,0.003,0.128,0.507
41,0.763,0.003,0.14,0.268
42,0.866,-0.004,-0.157,0.972
43,0.982,-0.008,-0.326,0.771
44,0.901,-0.009,-0.378,0.537
45,1.092,-0.008,-0.338,0.584
46,1.16,-0.011,-0.447,0.221
47,1.17,-0.011,-0.455,0.37
48,1.135,-0.015,-0.62,0.279
49,1.132,-0.017,-0.733,0.239
50,1.082,-0.018,-0.746,0.116
51,1.222,-0.017,-0.729,0.152
52,1.252,-0.019,-0.785,0.067
53,1.12,-0.02,-0.84,0.018
54,1.092,-0.019,-0.781,0.02
55,0.994,-0.016,-0.683,0.064
56,0.984,-0.015,-0.637,0.049
57,0.95,-0.009,-0.395,0.408
58,0.884,-0.006,-0.263,0.507
59,0.893,-0.007,-0.304,0.334
60,0.834,-0.005,-0.227,0.357
61,0.985,-0.005,-0.204,0.789
62,1.196,-0.014,-0.582,0.258
63,1.066,-0.013,-0.567,0.258
64,0.972,-0.009,-0.373,0.507
65,0.9,-0.011,-0.445,0.268
66,0.903,-0.007,-0.311,0.537
67,1.126,-0.004,-0.151,0.972
68,1.167,-0.003,-0.122,0.935
69,1.082,0.002,0.067,0.916
70,1.366,0.006,0.231,0.735
71,1.26,0.01,0.441,0.537
72,1.32,0.01,0.403,0.435
73,1.264,0.015,0.623,0.173
74,1.082,0.012,0.516,0.173
75,1.007,0.007,0.294,0.357
76,1.024,0.004,0.181,0.477
77,1.104,0.004,0.174,0.552
78,1.077,0.007,0.298,0.552
79,1.158,0.008,0.334,0.507
80,0.999,0.009,0.39,0.311
81,0.984,0.004,0.163,0.898
82,1.088,0.008,0.342,0.322
83,1.087,0.007,0.294,0.537
84,1.0,0.01,0.406,0.258
85,1.124,0.014,0.592,0.046
86,1.099,0.019,0.79,0.006
87,1.007,0.017,0.7,0.035
88,1.024,0.014,0.582,0.159
89,1.112,0.012,0.512,0.159
90,1.19,0.009,0.391,0.289
91,1.196,0.006,0.257,0.477
92,1.036,0.006,0.262,0.522
93,1.068,0.008,0.319,0.421
94,1.118,0.007,0.311,0.258
95,1.06,0.01,0.42,0.322
96,1.121,0.011,0.466,0.159
97,1.276,0.006,0.267,0.449
98,1.289,-0.001,-0.033,0.718
99,1.22,0.0,0.0,0.861
100,1.324,-0.006,-0.233,0.807
101,1.213,-0.007,-0.294,0.825
102,1.327,-0.003,-0.136,0.954
103,1.339,-0.001,-0.032,0.825
104,1.212,0.003,0.121,0.666
105,1.252,0.002,0.101,0.522
106,1.17,0.0,0.015,0.683
107,1.082,0.002,0.08,0.449
108,1.195,0.005,0.21,0.196
109,1.085,0.005,0.21,0.23
110,1.022,0.003,0.105,0.552
111,0.986,-0.003,-0.143,0.972
112,0.938,-0.002,-0.08,0.954
113,0.981,0.001,0.046,0.65
114,1.033,0.003,0.126,0.552
115,0.91,0.0,0.0,0.88
116,0.88,0.0,0.0,0.88
117,0.969,-0.001,-0.05,0.991
118,1.039,-0.001,-0.029,0.916
119,0.988,-0.002,-0.084,0.991
120,0.995,-0.005,-0.206,0.522
121,0.882,-0.009,-0.361,0.258
122,0.873,-0.007,-0.306,0.289
123,0.896,-0.004,-0.181,0.753
124,0.888,-0.002,-0.103,0.972
125,0.826,-0.004,-0.177,0.972
126,0.812,-0.007,-0.315,0.435
127,0.793,-0.007,-0.296,0.463
128,0.745,-0.005,-0.21,0.65
129,0.765,-0.005,-0.21,0.753
130,0.758,-0.003,-0.107,0.701
131,0.736,-0.004,-0.173,0.522
132,0.784,-0.006,-0.248,0.279
133,0.782,-0.008,-0.355,0.133
134,0.752,-0.008,-0.328,0.105
135,0.753,-0.007,-0.308,0.173
136,0.756,-0.004,-0.162,0.492
137,0.736,-0.004,-0.178,0.421
138,0.674,-0.005,-0.219,0.311
139,0.645,-0.005,-0.229,0.239
140,0.646,-0.005,-0.207,0.279
141,0.708,-0.002,-0.082,0.633
142,0.711,0.001,0.048,0.861
143,0.679,-0.001,-0.05,0.935
144,0.676,-0.004,-0.149,0.382
145,0.635,-0.005,-0.21,0.334
146,0.615,-0.005,-0.189,0.345
147,0.588,-0.002,-0.092,0.771
148,0.647,-0.003,-0.128,0.807
149,0.616,-0.004,-0.153,0.683
150,0.707,-0.003,-0.122,0.435
151,0.646,-0.005,-0.191,0.3
152,0.619,-0.001,-0.046,0.492
153,0.568,-0.002,-0.069,0.421
154,0.565,-0.005,-0.21,0.127
155,0.555,-0.005,-0.19,0.133
156,0.6,-0.01,-0.403,0.037
157,0.552,-0.008,-0.349,0.029
158,0.504,-0.006,-0.263,0.044
159,0.466,-0.005,-0.191,0.173
160,0.487,-0.004,-0.147,0.258
161,0.458,-0.003,-0.107,0.382
162,0.436,-0.004,-0.168,0.213
163,0.516,-0.004,-0.185,0.239
164,0.506,-0.004,-0.18,0.23
165,0.488,-0.002,-0.099,0.334
166,0.48,-0.001,-0.025,0.552
167,0.5,0.0,0.014,0.771
168,0.468,-0.002,-0.076,0.584
169,0.439,-0.001,-0.038,0.477
170,0.426,-0.004,-0.147,0.258
171,0.397,-0.003,-0.138,0.166
172,0.377,-0.003,-0.126,0.11
173,0.356,-0.004,-0.147,0.152
174,0.398,-0.002,-0.09,0.507
175,0.368,-0.002,-0.086,0.322
176,0.38,-0.001,-0.037,0.568
177,0.39,0.0,0.015,0.88
178,0.38,0.0,0.0,0.771
179,0.37,-0.0,-0.015,0.718
180,0.34,-0.0,-0.021,0.701
181,0.308,-0.002,-0.09,0.507
182,0.287,-0.003,-0.12,0.382
183,0.307,-0.003,-0.14,0.23
184,0.277,-0.003,-0.13,0.127
185,0.277,-0.003,-0.132,0.052
186,0.258,-0.003,-0.115,0.096
187,0.248,-0.003,-0.113,0.079
188,0.228,-0.002,-0.069,0.152
189,0.249,-0.001,-0.056,0.3
190,0.238,-0.002,-0.082,0.139
191,0.218,-0.002,-0.077,0.139
192,0.218,-0.002,-0.089,0.152
193,0.218,-0.002,-0.077,0.075
194,0.198,-0.002,-0.09,0.058
195,0.188,-0.002,-0.073,0.067
196,0.178,-0.002,-0.091,0.031
197,0.168,-0.003,-0.105,0.014
