,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.1591875,-307.9606,0.022854883584979113,2.0,43.0,6.686,0.628,7.071,13.757
01-02,0.08559024390243902,-160.96418780487804,0.11862192122260584,0.0,43.0,3.595,0.328,8.419,12.014
01-03,0.07923999999999999,-149.3108,0.12920748707657004,0.0,43.0,3.328,0.277,7.505,10.833
01-04,0.08054615384615384,-150.50810769230768,0.13476842433139025,0.0,43.0,3.383,0.293,8.893,12.276
01-05,0.08975142857142861,-169.5695571428572,0.14644317557278397,0.0,43.0,3.769,0.343,8.049,11.818
01-06,0.086315,-163.4891,0.20870397233082194,0.0,43.0,3.626,0.352,7.328,10.954
01-07,0.09747777777777777,-187.34285555555556,0.20870397233082194,0.0,43.0,4.094,0.417,5.566,9.66
01-08,0.07277142857142849,-137.33585714285698,0.12920748707657004,0.0,43.0,3.056,0.302,6.679,9.735
01-09,0.06898124999999994,-129.1611999999999,0.10403298714422626,0.0,43.0,2.897,0.283,7.353,10.25
01-10,0.06791999999999998,-127.03869999999998,0.17900133567214382,0.0,43.0,2.853,0.265,7.375,10.228
01-11,0.07611724137931034,-143.74448275862065,0.158876387923079,0.0,43.0,3.196,0.293,6.892,10.088
01-12,0.0849,-161.1402,0.027047789995794602,2.0,43.0,3.566,0.343,6.877,10.443
01-13,0.08906176470588235,-169.54862941176472,0.024185036295084394,2.0,43.0,3.74,0.361,6.705,10.445
01-14,0.0970285714285714,-185.4539428571428,0.04856340764759537,2.0,43.0,4.075,0.394,6.566,10.641
01-15,0.10093666666666667,-193.12863333333334,0.059334618438994235,1.0,43.0,4.239,0.438,6.625,10.864
01-16,0.08490000000000004,-162.27220000000008,0.03844645177956907,2.0,43.0,3.566,0.393,5.745,9.311
01-17,0.056600000000000004,-104.71000000000001,0.1135904922785751,0.0,43.0,2.378,0.252,7.301,9.679
01-18,0.06521304347826087,-121.56818695652176,0.233217008256964,0.0,43.0,2.739,0.266,7.488,10.227
01-19,0.05145454545454536,-94.27759090909072,0.27848056798213805,0.0,43.0,2.161,0.203,7.551,9.712
01-20,0.05498285714285715,-101.22101428571432,0.4101432374855567,0.0,43.0,2.309,0.193,7.59,9.899
01-21,0.01672272727272722,-25.323354545454443,0.3741826491069973,0.0,43.0,0.702,0.052,7.771,8.473
01-22,0.009988235294117671,-11.543070588235345,0.3741826491069973,0.0,43.0,0.419,0.03,8.224,8.643
01-23,0.06946363636363628,-130.66367272727254,0.10872868488501819,0.0,43.0,2.917,0.222,6.805,9.722
01-24,0.06468571428571426,-120.82482857142853,0.07201763206645251,1.0,43.0,2.717,0.194,7.188,9.905
01-25,0.10926944444444446,-209.62438888888892,0.09090696836106038,1.0,43.0,4.589,0.338,6.62,11.209
01-26,0.07203636363636362,-134.36582727272724,0.12920748707657004,0.0,43.0,3.026,0.212,8.194,11.22
01-27,0.049524999999999965,-90.33359999999992,0.2506536089538405,0.0,43.0,2.08,0.15,7.676,9.756
01-28,0.044808333333333415,-81.83416666666682,0.233217008256964,0.0,43.0,1.881,0.148,6.842,8.723
01-29,0.022639999999999993,-37.55409999999999,0.32937921868675035,0.0,43.0,0.951,0.072,7.25,8.201
01-30,0.01414999999999944,-21.026899999998882,0.5439213911923737,0.0,43.0,0.594,0.047,6.976,7.57
01-31,-0.0007074999999999943,9.565399999999988,0.6964285776954346,-0.0,43.0,-0.029,-0.002,8.165,8.136
02-01,0.026584848484848485,-44.99099696969697,0.5016358122745783,0.0,43.0,1.117,0.097,7.62,8.737
02-02,0.04851428571428573,-88.70837142857147,0.172092480590194,0.0,43.0,2.038,0.201,7.301,9.339
