,mean,slp,chg,pvalue
01-01,10.02,0.211,8.876,0.051
01-02,8.49,0.163,6.854,0.027
01-03,9.25,0.17,7.124,0.011
01-04,9.03,0.137,5.76,0.034
01-05,9.71,0.135,5.67,0.037
01-06,9.34,0.171,7.182,0.049
01-07,8.04,0.128,5.355,0.091
01-08,7.98,0.123,5.17,0.065
01-09,7.41,0.162,6.796,0.019
01-10,6.99,0.182,7.65,0.003
01-11,6.96,0.185,7.758,0.002
01-12,7.64,0.331,13.912,0.0
01-13,7.67,0.356,14.94,0.001
01-14,6.96,0.243,10.206,0.044
01-15,8.46,0.196,8.216,0.059
01-16,8.8,0.256,10.752,0.007
01-17,7.3,0.247,10.388,0.001
01-18,9.14,0.216,9.088,0.026
01-19,8.55,0.188,7.884,0.015
01-20,7.5,0.162,6.788,0.011
01-21,8.8,0.13,5.474,0.036
01-22,8.07,0.091,3.834,0.062
01-23,6.71,0.11,4.608,0.099
01-24,7.02,0.14,5.88,0.014
01-25,9.03,0.118,4.966,0.062
01-26,7.78,0.131,5.512,0.076
01-27,7.87,0.132,5.556,0.027
01-28,7.87,0.109,4.594,0.027
01-29,7.24,0.103,4.34,0.042
01-30,6.37,0.105,4.402,0.032
01-31,6.23,0.081,3.42,0.069
02-01,7.5,0.081,3.39,0.135
02-02,7.05,0.04,1.658,0.68
02-03,8.97,0.027,1.144,0.713
02-04,7.95,0.047,1.98,0.649
02-05,7.9,0.048,2.036,0.713
02-06,7.36,0.065,2.73,0.251
02-07,6.93,0.082,3.452,0.109
02-08,6.91,0.123,5.152,0.027
02-09,6.34,0.121,5.1,0.037
02-10,6.82,0.123,5.176,0.065
02-11,6.82,0.063,2.638,0.448
02-12,6.34,0.091,3.826,0.298
02-13,5.94,0.068,2.835,0.474
02-14,5.97,0.063,2.66,0.516
02-15,5.91,0.114,4.788,0.059
02-16,7.44,0.095,3.996,0.26
02-17,7.3,0.056,2.362,1.0
02-18,7.3,0.083,3.465,0.665
02-19,7.92,0.074,3.104,0.931
02-20,8.18,0.024,1.026,0.319
02-21,8.97,-0.015,-0.618,0.079
02-22,8.66,-0.036,-1.491,0.069
02-23,11.26,-0.072,-3.034,0.363
02-24,10.53,-0.054,-2.288,0.319
02-25,11.32,-0.04,-1.695,0.502
02-26,9.62,-0.02,-0.84,0.762
02-27,9.34,0.029,1.2,0.573
02-28,9.31,0.07,2.926,0.374
03-01,9.65,0.092,3.85,0.251
03-02,9.51,0.099,4.138,0.172
03-03,9.76,0.102,4.305,0.153
03-04,11.01,0.089,3.724,0.146
03-05,10.67,0.067,2.812,0.269
03-06,10.36,0.085,3.586,0.172
03-07,11.8,0.085,3.562,0.363
03-08,12.2,-0.023,-0.954,0.862
03-09,12.25,0.011,0.476,0.633
03-10,12.71,0.098,4.104,0.225
03-11,14.83,0.137,5.74,0.193
03-12,17.66,0.197,8.26,0.146
03-13,17.46,0.16,6.72,0.146
03-14,19.13,0.139,5.846,0.26
03-15,18.59,0.249,10.44,0.095
03-16,16.33,0.156,6.552,0.146
03-17,14.77,0.152,6.396,0.165
03-18,15.11,0.106,4.446,0.461
03-19,17.43,0.06,2.52,0.812
03-20,16.33,0.04,1.68,0.983
03-21,15.79,0.084,3.528,0.41
03-22,17.23,0.094,3.948,0.558
03-23,17.09,-0.035,-1.45,0.713
03-24,18.96,-0.108,-4.546,0.363
03-25,20.52,-0.166,-6.988,0.386
03-26,23.52,-0.283,-11.9,0.193
03-27,21.11,-0.229,-9.624,0.308
03-28,19.81,-0.065,-2.71,0.845
03-29,20.23,-0.068,-2.856,0.649
03-30,20.29,0.068,2.844,0.812
03-31,23.26,0.056,2.352,0.897
04-01,22.5,0.025,1.05,0.351
04-02,20.52,0.058,2.415,0.914
04-03,21.03,-0.06,-2.52,0.544
04-04,21.93,-0.066,-2.754,0.544
04-05,20.97,-0.136,-5.72,0.502
04-06,17.35,-0.089,-3.744,0.363
04-07,17.35,-0.096,-4.018,0.461
04-08,18.79,-0.006,-0.254,0.983
04-09,21.17,-0.094,-3.96,0.573
04-10,18.45,-0.222,-9.31,0.308
04-11,20.6,-0.21,-8.82,0.225
04-12,21.31,-0.13,-5.46,0.68
04-13,22.39,-0.178,-7.455,0.68
04-14,19.13,-0.077,-3.22,0.745
04-15,19.58,-0.128,-5.384,0.729
04-16,19.67,-0.13,-5.44,0.544
04-17,19.64,-0.049,-2.04,0.983
04-18,18.76,-0.081,-3.398,0.729
04-19,16.95,-0.074,-3.104,0.845
04-20,15.82,0.038,1.576,0.897
04-21,13.78,0.095,3.996,0.474
04-22,14.63,0.101,4.26,0.516
04-23,13.73,0.113,4.752,0.363
04-24,14.74,0.095,4.006,0.308
04-25,15.25,0.041,1.704,0.931
04-26,13.78,0.076,3.184,0.68
04-27,11.77,0.109,4.592,0.374
04-28,13.61,0.09,3.78,0.435
04-29,14.72,0.015,0.65,0.914
04-30,13.41,0.03,1.276,0.983
05-01,11.91,0.09,3.78,0.745
05-02,11.43,0.109,4.592,0.319
05-03,10.95,0.103,4.318,0.186
05-04,11.07,0.122,5.144,0.242
05-05,11.38,0.166,6.96,0.083
05-06,9.59,0.114,4.77,0.179
05-07,9.2,0.102,4.3,0.135
05-08,9.03,0.138,5.79,0.119
05-09,9.03,0.136,5.728,0.104
05-10,8.35,0.13,5.46,0.153
05-11,8.74,0.095,3.976,0.363
05-12,9.06,0.111,4.672,0.603
05-13,8.01,0.13,5.46,0.423
05-14,8.01,0.117,4.92,0.269
05-15,9.37,0.15,6.3,0.114
05-16,9.59,0.198,8.306,0.065
05-17,10.53,0.201,8.46,0.104
05-18,9.45,0.153,6.426,0.083
05-19,8.21,0.129,5.43,0.153
05-20,8.26,0.068,2.864,0.398
05-21,8.26,0.027,1.14,0.914
