,mean,slp,chg,pvalue
01-01,3.65,-0.008,-0.328,0.618
01-02,3.68,-0.012,-0.494,0.603
01-03,3.31,0.013,0.528,0.696
01-04,3.28,0.006,0.252,0.983
01-05,3.45,-0.026,-1.076,0.091
01-06,3.99,-0.033,-1.368,0.374
01-07,3.79,-0.018,-0.762,0.573
01-08,4.47,-0.021,-0.868,0.488
01-09,4.44,-0.031,-1.292,0.242
01-10,3.88,0.006,0.254,0.862
01-11,3.88,0.011,0.454,0.516
01-12,3.45,0.005,0.21,0.879
01-13,3.57,-0.001,-0.06,1.0
01-14,3.71,0.012,0.504,0.696
01-15,3.42,0.018,0.76,0.233
01-16,3.03,0.006,0.236,0.34
01-17,3.34,0.025,1.05,0.217
01-18,3.34,0.034,1.448,0.017
01-19,3.03,0.013,0.538,0.398
01-20,3.11,0.011,0.476,0.269
01-21,3.11,0.012,0.484,0.435
01-22,3.08,0.01,0.408,0.729
01-23,3.11,0.027,1.14,0.114
01-24,3.08,0.023,0.98,0.083
01-25,3.06,0.009,0.368,0.488
01-26,3.11,0.013,0.536,0.448
01-27,2.86,0.005,0.21,0.618
01-28,2.73,0.002,0.078,0.278
01-29,2.66,0.01,0.42,0.298
01-30,2.53,0.008,0.322,0.828
01-31,2.6,0.021,0.864,0.087
02-01,2.58,0.011,0.448,0.41
02-02,2.46,0.01,0.408,0.269
02-03,2.52,-0.002,-0.094,0.516
02-04,2.52,-0.016,-0.654,0.065
02-05,2.46,-0.015,-0.63,0.059
02-06,2.38,-0.011,-0.474,0.079
02-07,2.41,0.003,0.112,0.983
02-08,2.34,0.01,0.42,0.588
02-09,2.53,-0.004,-0.184,0.242
02-10,2.38,-0.006,-0.244,0.269
02-11,2.49,0.002,0.082,0.931
02-12,2.42,0.006,0.262,0.68
02-13,2.24,0.0,0.014,0.68
02-14,2.34,0.012,0.514,0.461
02-15,2.54,-0.013,-0.532,0.319
02-16,2.39,-0.008,-0.336,0.603
02-17,2.34,0.0,0.016,0.745
02-18,2.29,0.007,0.31,0.603
02-19,2.52,-0.002,-0.09,0.983
02-20,2.4,-0.006,-0.256,0.363
02-21,2.35,-0.007,-0.306,0.448
02-22,2.26,-0.006,-0.262,0.633
02-23,2.18,-0.008,-0.342,0.217
02-24,2.12,-0.01,-0.4,0.193
02-25,2.07,-0.003,-0.12,0.544
02-26,2.12,-0.006,-0.266,0.488
02-27,1.95,-0.009,-0.384,0.41
02-28,2.04,-0.0,-0.02,0.729
03-01,1.98,-0.001,-0.02,0.474
03-02,1.84,0.004,0.15,0.862
03-03,1.87,0.0,0.02,0.914
03-04,2.12,-0.011,-0.48,0.179
03-05,2.04,-0.003,-0.118,0.474
03-06,1.91,-0.003,-0.14,0.308
03-07,2.15,0.003,0.146,0.983
03-08,2.08,0.001,0.024,0.879
03-09,2.19,-0.001,-0.05,0.845
03-10,2.04,0.001,0.04,0.862
03-11,1.9,0.004,0.158,0.897
03-12,1.89,-0.014,-0.588,0.153
03-13,1.95,-0.004,-0.168,0.729
03-14,1.95,-0.009,-0.37,0.329
03-15,2.06,-0.006,-0.27,0.398
03-16,1.98,-0.001,-0.034,0.603
03-17,1.95,-0.009,-0.36,0.217
03-18,1.95,-0.009,-0.394,0.502
03-19,1.87,0.0,0.012,0.179
03-20,1.7,0.004,0.184,0.26
03-21,1.58,0.007,0.306,0.269
03-22,1.67,0.009,0.386,0.179
