,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.021224999999999994,43.82537999999999,0.05647132973198765,-1.0,43.0,-0.891,-0.291,1.821,0.93
01-02,-0.018009090909090905,37.319981818181816,0.13476842433139025,-0.0,43.0,-0.756,-0.273,1.68,0.924
01-03,-0.017599062500000002,36.471625,0.4744436456632575,-0.0,43.0,-0.739,-0.235,1.643,0.904
01-04,-0.017472173913043478,36.23199782608696,0.5155350369501335,-0.0,43.0,-0.734,-0.214,1.655,0.921
01-05,-0.01542349999999999,32.17426999999998,0.4744436456632575,-0.0,43.0,-0.648,-0.273,1.651,1.003
01-06,-0.017146470588235294,35.59474117647059,0.20870397233082194,-0.0,43.0,-0.72,-0.305,1.662,0.942
01-07,-0.015722222222222217,32.746244444444436,0.2597050690029892,-0.0,43.0,-0.66,-0.099,1.632,0.972
01-08,-0.015347307692307691,31.959625384615382,0.1861143787191537,-0.0,43.0,-0.644,-0.137,1.587,0.943
01-09,-0.009720434782608693,20.827569565217388,0.7287442378062505,-0.0,43.0,-0.408,-0.19,1.591,1.183
01-10,0.0,1.5848,0.7615493074182684,0.0,43.0,0.0,0.0,1.585,1.585
01-11,0.007411904761904765,-13.32390952380953,0.5296315348267777,0.0,43.0,0.312,0.131,1.344,1.656
01-12,0.013476190476190471,-25.537380952380943,0.12920748707657004,0.0,43.0,0.566,0.221,1.132,1.698
01-13,-0.005064210526315788,11.693411052631577,0.828404904759906,-0.0,43.0,-0.212,-0.071,1.671,1.459
01-14,-0.006225999999999998,13.810399999999996,0.6029278873524366,-0.0,43.0,-0.261,-0.112,1.489,1.228
01-15,-0.006658823529411763,14.676047058823526,0.7287442378062505,-0.0,43.0,-0.279,-0.09,1.498,1.219
01-16,-0.009541142857142854,20.355785714285705,0.39793422470267026,-0.0,43.0,-0.401,-0.126,1.474,1.073
01-17,-0.009905000000000016,21.09765000000003,0.5584004547635599,-0.0,43.0,-0.416,-0.185,1.496,1.08
01-18,-0.010691111111111108,22.802882222222216,0.448081548716583,-0.0,43.0,-0.449,-0.109,1.645,1.196
01-19,-0.019986875,41.41988,0.09512571219316368,-1.0,43.0,-0.84,-0.099,1.866,1.026
01-20,-0.02425714285714285,49.9689057142857,0.053723997263216416,-1.0,43.0,-1.019,-0.155,1.964,0.945
01-21,-0.03102115384615385,63.4856076923077,0.010539001199870945,-2.0,43.0,-1.303,-0.329,2.095,0.792
01-22,-0.027099393939393937,55.58548787878787,0.05647132973198765,-1.0,43.0,-1.138,-0.438,1.956,0.818
01-23,-0.01206473684210526,25.58692368421052,0.4744436456632575,-0.0,43.0,-0.507,-0.161,1.711,1.204
01-24,-0.011705909090909088,24.855118181818174,0.5730643403857183,-0.0,43.0,-0.492,-0.173,1.689,1.197
01-25,-0.007074999999999984,15.53669999999997,0.8794050603461727,-0.0,43.0,-0.297,-0.095,1.535,1.238
01-26,-0.006973928571428569,15.249657142857139,0.8794050603461727,-0.0,43.0,-0.293,-0.087,1.448,1.155
01-27,-0.013543571428571429,28.388942857142858,0.2689803649247009,-0.0,43.0,-0.569,-0.115,1.586,1.017
01-28,-0.01238125000000001,26.092600000000022,0.6029278873524366,-0.0,43.0,-0.52,-0.123,1.59,1.07
01-29,-0.011222413793103448,23.922087586206896,0.4352190017892559,-0.0,43.0,-0.471,-0.16,1.713,1.242
01-30,-0.014150000000000003,29.757450000000006,0.2597050690029892,-0.0,43.0,-0.595,-0.171,1.755,1.16
01-31,-0.01768749999999998,36.798489999999966,0.1135904922785751,-0.0,43.0,-0.743,-0.339,1.795,1.052
02-01,-0.01509333333333334,31.71486666666668,0.24182473164655205,-0.0,43.0,-0.634,-0.269,1.845,1.211
02-02,-0.014150000000000051,29.743300000000104,0.16538510374217363,-0.0,43.0,-0.594,-0.25,1.74,1.146
02-03,-0.01687892857142857,35.20398714285714,0.09949985377978687,-1.0,43.0,-0.709,-0.405,1.801,1.092
02-04,-0.0220209375,45.371975000000006,0.08292122494939513,-1.0,43.0,-0.925,-0.435,1.793,0.868
02-05,-0.020067272727272725,41.436345454545446,0.20870397233082194,-0.0,43.0,-0.843,-0.224,1.723,0.88
02-06,-0.02397176470588235,49.2170294117647,0.1238264440291208,-0.0,43.0,-1.007,-0.218,1.777,0.77
02-07,-0.021225000000000008,43.695200000000014,0.004519902533204556,-3.0,43.0,-0.892,-0.251,1.691,0.799
02-08,-0.021578750000000008,44.42534000000001,0.011927761358750288,-2.0,43.0,-0.906,-0.26,1.721,0.815
02-09,-0.022020937500000004,45.28707500000001,0.016132660964059964,-2.0,43.0,-0.925,-0.292,1.708,0.783
02-10,-0.04091371428571428,83.35562857142857,0.006313823530166518,-3.0,43.0,-1.718,-0.545,2.387,0.669
02-11,-0.031130000000000005,64.06554000000001,0.043825662339098015,-2.0,43.0,-1.307,-0.266,2.459,1.152
02-12,-0.021532608695652176,44.67831739130435,0.2597050690029892,-0.0,43.0,-0.904,-0.227,2.065,1.161
02-13,-0.012678400000000024,27.020840000000046,0.5584004547635599,-0.0,43.0,-0.532,-0.136,1.93,1.398
02-14,-0.010612500000000025,22.668300000000052,0.3741826491069973,-0.0,43.0,-0.446,-0.16,1.666,1.22
02-15,-0.014149999999999885,29.74329999999977,0.27848056798213805,-0.0,43.0,-0.594,-0.289,1.74,1.146
02-16,-0.013583999999999995,28.84901999999999,0.34024045120657065,-0.0,43.0,-0.57,-0.252,1.966,1.396
02-17,-0.01589153846153846,33.33391692307692,0.4352190017892559,-0.0,43.0,-0.668,-0.256,1.885,1.217
