,mean,slp,chg,pvalue
0,0.02,0.0,0.0,0.494
1,0.01,0.0,0.0,0.871
2,0.01,0.0,0.0,1.0
3,0.01,0.0,0.0,0.957
4,0.02,0.0,0.0,0.948
5,0.02,0.0,0.0,0.602
6,0.02,0.0,0.0,0.745
7,0.02,0.0,0.0,0.888
8,0.02,0.0,0.0,0.72
9,0.02,0.0,0.0,0.712
10,0.02,0.0,0.0,0.362
11,0.02,0.0,0.0,0.501
12,0.02,0.0,0.0,0.588
13,0.02,0.0,0.0,0.558
14,0.02,0.0,0.0,0.72
15,0.03,0.0,0.0,0.879
16,0.04,0.0,0.0,0.82
17,0.02,0.0,0.0,0.82
18,0.02,0.0,0.0,0.633
19,0.02,0.0,0.0,0.429
20,0.04,0.0,0.0,0.435
21,0.04,0.0,0.0,0.374
22,0.03,0.0,0.0,0.468
23,0.03,0.0,0.0,0.345
24,0.03,0.0,0.0,0.283
25,0.03,-0.0,-0.01,0.217
26,0.02,0.0,0.0,0.334
27,0.04,0.0,0.0,0.461
28,0.04,0.0,0.0,0.704
29,0.03,0.0,0.0,0.573
30,0.02,0.0,0.0,0.551
31,0.03,0.0,0.0,0.551
32,0.03,0.0,0.0,0.551
33,0.02,0.0,0.0,0.313
34,0.02,-0.0,-0.01,0.278
35,0.04,-0.001,-0.046,0.205
36,0.04,-0.001,-0.036,0.165
37,0.04,-0.001,-0.028,0.319
38,0.04,-0.001,-0.026,0.288
39,0.04,-0.001,-0.046,0.138
40,0.05,-0.001,-0.056,0.059
41,0.04,-0.001,-0.046,0.087
42,0.03,-0.001,-0.036,0.217
43,0.03,-0.001,-0.036,0.225
44,0.03,-0.001,-0.03,0.201
45,0.03,-0.001,-0.026,0.351
46,0.03,-0.001,-0.034,0.119
47,0.03,-0.001,-0.04,0.135
48,0.05,-0.001,-0.03,0.298
49,0.04,-0.001,-0.036,0.618
50,0.04,-0.001,-0.036,0.41
51,0.04,-0.001,-0.03,0.633
52,0.05,-0.001,-0.032,0.544
53,0.03,-0.001,-0.032,0.146
54,0.03,-0.001,-0.032,0.221
55,0.03,-0.001,-0.036,0.079
56,0.08,-0.001,-0.046,0.603
57,0.06,-0.001,-0.046,0.179
58,0.04,-0.001,-0.046,0.159
59,0.05,-0.001,-0.042,0.233
60,0.05,-0.001,-0.042,0.225
61,0.07,-0.001,-0.05,0.119
62,0.07,-0.001,-0.052,0.049
63,0.07,-0.001,-0.045,0.141
64,0.07,-0.001,-0.046,0.097
65,0.06,-0.001,-0.05,0.087
66,0.06,-0.001,-0.05,0.197
67,0.06,-0.001,-0.042,0.201
68,0.07,-0.001,-0.026,0.363
69,0.06,-0.001,-0.032,0.298
70,0.06,-0.0,-0.016,0.488
71,0.08,-0.001,-0.022,0.319
72,0.08,-0.001,-0.032,0.146
73,0.08,-0.001,-0.042,0.124
74,0.1,-0.001,-0.034,0.398
75,0.1,-0.001,-0.056,0.665
76,0.09,-0.001,-0.048,0.931
77,0.08,-0.001,-0.05,0.879
78,0.15,-0.001,-0.034,0.386
79,0.11,-0.001,-0.04,0.278
80,0.08,-0.001,-0.05,0.298
81,0.07,-0.001,-0.06,0.26
82,0.08,-0.001,-0.046,0.298
83,0.09,-0.001,-0.042,0.26
84,0.08,-0.001,-0.036,0.193
85,0.09,-0.001,-0.042,0.201
86,0.12,-0.003,-0.106,0.091
87,0.11,-0.003,-0.124,0.022
88,0.16,-0.002,-0.084,0.183
89,0.1,-0.002,-0.07,0.209
90,0.09,-0.001,-0.052,0.153
91,0.07,-0.001,-0.032,0.618
92,0.08,-0.001,-0.04,0.269
93,0.07,-0.001,-0.048,0.159
94,0.06,-0.001,-0.044,0.153
95,0.07,-0.001,-0.032,0.363
96,0.12,-0.001,-0.036,0.217
97,0.1,-0.001,-0.032,0.26
98,0.12,-0.001,-0.038,0.26
99,0.09,-0.001,-0.04,0.351
100,0.08,-0.001,-0.034,0.269
101,0.08,0.0,0.0,0.713
102,0.08,-0.001,-0.052,0.288
103,0.14,-0.001,-0.052,0.217
104,0.09,-0.001,-0.044,0.329
105,0.08,-0.001,-0.034,0.34
106,0.07,-0.0,-0.021,0.558
