,mean,slp,chg,pvalue
0,1.47,-0.004,-0.186,0.179
1,1.5,-0.005,-0.21,0.225
2,1.5,-0.007,-0.29,0.129
3,1.53,-0.007,-0.292,0.091
4,1.5,-0.008,-0.33,0.059
5,1.5,-0.006,-0.262,0.135
6,1.501,-0.004,-0.175,0.351
7,1.5,-0.004,-0.168,0.363
8,1.5,-0.004,-0.164,0.233
9,1.47,-0.005,-0.194,0.135
10,1.5,-0.005,-0.222,0.159
11,1.47,-0.005,-0.198,0.242
12,1.5,-0.006,-0.245,0.141
13,1.5,-0.008,-0.32,0.069
14,1.501,-0.01,-0.441,0.015
15,1.5,-0.008,-0.324,0.032
16,1.5,-0.008,-0.315,0.056
17,1.5,-0.005,-0.198,0.159
18,1.47,-0.004,-0.172,0.288
19,1.49,-0.003,-0.14,0.423
20,1.42,-0.003,-0.11,0.544
21,1.44,-0.001,-0.062,0.603
22,1.5,-0.002,-0.098,0.53
23,1.5,-0.004,-0.176,0.225
24,1.48,-0.001,-0.052,0.461
25,1.47,-0.004,-0.162,0.159
26,1.47,-0.002,-0.09,0.233
27,1.49,-0.002,-0.098,0.179
28,1.47,-0.003,-0.124,0.251
29,1.44,-0.001,-0.028,0.665
30,1.47,0.0,0.0,0.68
31,1.44,0.0,0.02,0.862
32,1.44,0.0,0.01,0.983
33,1.44,0.002,0.084,0.618
34,1.42,0.0,0.0,0.713
35,1.42,0.0,0.0,0.745
36,1.44,0.001,0.028,0.965
37,1.48,0.0,0.0,0.672
38,1.5,0.002,0.066,0.812
39,1.47,-0.002,-0.07,0.374
40,1.43,-0.002,-0.074,0.319
41,1.47,-0.004,-0.148,0.159
42,1.47,-0.004,-0.15,0.209
43,1.44,-0.004,-0.168,0.293
44,1.5,-0.002,-0.1,0.251
45,1.42,-0.003,-0.114,0.233
46,1.47,-0.004,-0.18,0.233
47,1.53,-0.004,-0.184,0.099
48,1.53,-0.005,-0.198,0.091
49,1.44,-0.004,-0.186,0.146
50,1.47,-0.005,-0.21,0.146
51,1.5,-0.004,-0.184,0.26
52,1.5,-0.005,-0.22,0.141
53,1.5,-0.004,-0.186,0.186
54,1.47,-0.005,-0.19,0.114
55,1.47,-0.005,-0.21,0.095
56,1.53,-0.003,-0.14,0.269
57,1.481,-0.001,-0.035,0.516
58,1.47,-0.001,-0.058,0.374
59,1.54,-0.002,-0.078,0.363
60,1.53,-0.001,-0.042,0.603
61,1.53,-0.001,-0.05,0.778
62,1.52,0.0,0.0,0.931
63,1.54,-0.002,-0.094,0.544
64,1.53,0.0,0.0,0.812
65,1.53,0.003,0.105,0.474
66,1.58,0.002,0.084,0.618
67,1.6,-0.0,-0.014,0.965
68,1.7,-0.003,-0.122,0.544
69,1.72,-0.004,-0.175,0.502
