,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.004716666666666665,9.94273333333333,0.03188869217908574,-2.0,43.0,-0.198,-0.333,0.608,0.41
01-02,-0.003859090909090908,8.227581818181816,0.10403298714422626,-0.0,43.0,-0.162,-0.28,0.59,0.428
01-03,-0.004274275862068966,9.057951724137931,0.051089163163599904,-1.0,43.0,-0.179,-0.292,0.599,0.42
01-04,-0.006029130434782607,12.547850869565215,0.012681177779913178,-2.0,43.0,-0.253,-0.413,0.616,0.363
01-05,-0.005836874999999998,12.183149999999998,0.024185036295084394,-2.0,43.0,-0.245,-0.409,0.632,0.387
01-06,-0.00461736842105263,9.769606842105262,0.051089163163599904,-1.0,43.0,-0.194,-0.324,0.632,0.438
01-07,-0.003537499999999999,7.584399999999998,0.15256341552303954,-0.0,43.0,-0.149,-0.249,0.584,0.435
01-08,-0.0037733333333333507,8.084366666666702,0.12920748707657004,-0.0,43.0,-0.159,-0.258,0.617,0.458
01-09,-0.003930555555555554,8.42711111111111,0.04856340764759537,-2.0,43.0,-0.166,-0.262,0.649,0.483
01-10,-0.004136153846153849,8.838307692307698,0.05647132973198765,-1.0,43.0,-0.174,-0.277,0.653,0.479
01-11,-0.004116363636363635,8.827027272727271,0.03948427930446696,-2.0,43.0,-0.173,-0.27,0.681,0.508
01-12,-0.0062664285714285695,13.12149714285714,0.028585747200921663,-2.0,43.0,-0.263,-0.424,0.72,0.457
01-13,-0.007074999999999998,14.724489999999996,0.005910659277649888,-3.0,43.0,-0.297,-0.491,0.723,0.426
01-14,-0.008395666666666666,17.38563333333333,0.002242037056545465,-3.0,43.0,-0.353,-0.567,0.771,0.418
01-15,-0.008936842105263154,18.43968421052631,0.0003206572762544102,-3.0,43.0,-0.376,-0.599,0.754,0.378
01-16,-0.008618636363636361,17.789122727272723,0.0006666485740152162,-3.0,43.0,-0.362,-0.581,0.733,0.371
01-17,-0.007546666666666664,15.659333333333329,0.006741572299601595,-3.0,43.0,-0.316,-0.488,0.724,0.408
01-18,-0.006131666666666665,12.806693333333328,0.009295965078820245,-3.0,43.0,-0.257,-0.406,0.672,0.415
01-19,-0.004150666666666669,8.844693333333337,0.10872868488501819,-0.0,43.0,-0.175,-0.275,0.631,0.456
01-20,-0.003430303030303031,7.395476060606061,0.20096328781426642,-0.0,43.0,-0.144,-0.236,0.607,0.463
01-21,-0.004027307692307689,8.592315384615379,0.1135904922785751,-0.0,43.0,-0.169,-0.277,0.622,0.453
01-22,-0.0044218750000000005,9.35315,0.041607050718883265,-2.0,43.0,-0.185,-0.313,0.602,0.417
01-23,-0.0035375000000000024,7.584400000000005,0.13476842433139025,-0.0,43.0,-0.149,-0.25,0.584,0.435
01-24,-0.004116363636363635,8.78457727272727,0.053723997263216416,-1.0,43.0,-0.173,-0.277,0.638,0.465
01-25,-0.0037007692307692297,7.939238461538459,0.172092480590194,-0.0,43.0,-0.155,-0.249,0.615,0.46
01-26,-0.0033221739130434775,7.218837826086955,0.13476842433139025,-0.0,43.0,-0.139,-0.225,0.644,0.505
01-27,-0.0046558064516129,9.877612903225799,0.059334618438994235,-1.0,43.0,-0.196,-0.317,0.664,0.468
01-28,-0.003773333333333332,8.090026666666665,0.06865529995440767,-1.0,43.0,-0.159,-0.271,0.623,0.464
