,mean,slp,chg,pvalue
01-01,1.443,0.013,0.542,0.145
01-02,1.647,0.007,0.29,0.268
01-03,1.655,-0.005,-0.198,0.954
01-04,1.747,-0.003,-0.12,0.807
01-05,1.7,0.0,0.021,0.807
01-06,1.676,0.006,0.231,0.435
01-07,1.676,0.006,0.246,0.37
01-08,1.607,0.007,0.284,0.421
01-09,1.782,0.011,0.483,0.121
01-10,1.713,0.013,0.546,0.213
01-11,1.69,0.02,0.84,0.044
01-12,1.646,0.025,1.067,0.017
01-13,1.664,0.024,0.995,0.041
01-14,1.673,0.023,0.976,0.031
01-15,1.638,0.029,1.203,0.029
01-16,1.605,0.024,1.013,0.039
01-17,1.583,0.023,0.96,0.011
01-18,1.8,0.02,0.84,0.091
01-19,1.991,0.011,0.474,0.463
01-20,1.797,0.008,0.315,0.311
01-21,1.982,0.002,0.101,0.492
01-22,1.844,0.004,0.149,0.666
01-23,2.21,0.01,0.41,0.279
01-24,2.097,0.007,0.294,0.268
01-25,1.93,0.01,0.42,0.196
01-26,1.789,0.009,0.378,0.221
01-27,1.712,0.012,0.486,0.152
01-28,1.664,0.014,0.599,0.11
01-29,1.673,0.013,0.556,0.105
01-30,1.593,0.013,0.538,0.139
01-31,1.566,0.007,0.283,0.357
02-01,1.816,0.006,0.256,0.449
02-02,1.812,0.003,0.107,0.735
02-03,1.774,0.004,0.162,0.916
02-04,1.91,0.01,0.414,0.718
02-05,1.766,0.016,0.664,0.239
02-06,1.742,0.013,0.527,0.311
02-07,1.807,0.017,0.7,0.196
02-08,1.755,0.015,0.632,0.11
02-09,1.74,0.01,0.412,0.449
02-10,1.707,0.007,0.3,0.789
02-11,1.708,0.007,0.307,0.972
02-12,1.646,0.007,0.277,0.898
02-13,1.684,0.004,0.168,0.954
02-14,1.789,0.009,0.36,0.88
02-15,1.899,-0.001,-0.058,0.843
02-16,1.862,-0.008,-0.321,0.898
02-17,1.801,-0.009,-0.361,0.633
02-18,1.93,-0.01,-0.42,0.408
02-19,1.945,-0.005,-0.194,0.552
02-20,1.942,-0.008,-0.33,0.477
02-21,1.864,-0.006,-0.264,0.807
02-22,1.826,-0.004,-0.172,0.825
02-23,1.796,-0.014,-0.59,0.552
02-24,1.798,-0.012,-0.512,0.753
02-25,1.844,-0.006,-0.231,0.683
02-26,1.942,-0.008,-0.332,0.718
02-27,1.776,-0.004,-0.162,0.935
02-28,1.978,-0.002,-0.098,0.954
03-01,2.05,0.01,0.408,0.477
03-02,1.924,0.004,0.16,0.807
03-03,1.976,-0.005,-0.193,0.861
03-04,1.915,-0.005,-0.2,0.954
03-05,1.918,-0.002,-0.082,0.771
03-06,2.211,-0.009,-0.368,0.861
03-07,2.094,-0.017,-0.693,0.552
03-08,2.138,-0.012,-0.495,0.65
03-09,1.926,-0.004,-0.189,1.0
03-10,1.915,-0.004,-0.173,0.88
03-11,1.867,-0.003,-0.136,0.807
03-12,1.845,0.005,0.206,0.463
03-13,1.836,-0.004,-0.151,0.88
03-14,1.926,-0.003,-0.133,0.972
03-15,1.914,0.004,0.164,0.507
03-16,2.056,0.006,0.246,0.322
03-17,2.014,0.004,0.187,0.916
03-18,2.042,0.002,0.073,0.861
03-19,2.117,-0.003,-0.132,0.954
03-20,2.045,0.006,0.243,0.616
03-21,2.19,-0.009,-0.391,0.213
03-22,2.034,-0.006,-0.269,0.477
03-23,1.942,-0.008,-0.353,0.666
03-24,1.968,-0.002,-0.1,0.843
03-25,2.038,-0.003,-0.123,0.935
03-26,2.038,-0.002,-0.069,0.807
03-27,1.984,0.004,0.164,0.23
03-28,2.012,0.002,0.08,0.633
03-29,2.286,-0.004,-0.152,0.935
03-30,2.267,-0.013,-0.536,0.159
03-31,2.168,-0.002,-0.101,0.972
04-01,2.07,0.0,0.015,0.972
04-02,1.842,0.002,0.09,0.88
04-03,1.922,0.002,0.086,0.584
04-04,2.193,-0.007,-0.28,1.0
04-05,1.983,0.003,0.116,0.568
04-06,2.058,-0.002,-0.081,0.825
04-07,1.924,0.004,0.164,0.522
04-08,1.9,0.0,0.0,0.954
04-09,1.866,-0.004,-0.18,0.65
04-10,1.768,-0.002,-0.087,0.916
04-11,1.808,-0.002,-0.072,0.88
04-12,1.95,0.0,0.0,0.771
04-13,1.896,-0.003,-0.143,0.861
04-14,1.92,0.0,0.009,0.701
04-15,2.075,0.005,0.22,0.584
04-16,2.238,0.008,0.328,0.552
04-17,2.151,0.001,0.042,0.753
04-18,2.041,0.001,0.038,0.935
04-19,2.093,0.013,0.536,0.345
04-20,2.061,0.012,0.493,0.279
04-21,1.947,0.007,0.302,0.449
04-22,2.256,0.016,0.674,0.221
04-23,2.167,0.017,0.716,0.18
04-24,2.115,0.015,0.63,0.23
04-25,2.086,0.016,0.685,0.213
04-26,2.161,0.011,0.46,0.23
04-27,2.186,0.006,0.271,0.258
04-28,2.3,0.01,0.404,0.382
04-29,2.26,0.009,0.391,0.435
04-30,2.2,0.001,0.035,0.771
05-01,2.257,0.007,0.29,0.492
05-02,2.149,-0.001,-0.027,0.861
05-03,1.96,0.0,0.0,0.843
05-04,1.908,0.008,0.353,0.408
05-05,2.008,0.008,0.321,0.357
05-06,2.19,0.01,0.413,0.408
05-07,2.024,0.014,0.58,0.449
05-08,1.989,0.009,0.364,0.435
05-09,1.932,0.012,0.504,0.395
05-10,1.926,0.006,0.271,0.477
05-11,1.916,-0.005,-0.193,0.916
05-12,1.878,0.007,0.313,0.279
05-13,1.748,0.008,0.327,0.249
05-14,1.759,0.009,0.37,0.311
05-15,1.908,0.008,0.315,0.345
05-16,2.106,0.015,0.643,0.152
05-17,1.992,0.011,0.473,0.116
05-18,1.989,0.009,0.372,0.258
05-19,1.934,0.014,0.605,0.166
05-20,1.952,0.002,0.065,0.825
05-21,1.953,0.002,0.093,0.807
05-22,1.879,0.009,0.382,0.3
05-23,1.782,0.003,0.117,0.898
05-24,1.75,0.0,0.0,0.616
05-25,1.754,0.004,0.157,0.477
05-26,1.735,0.005,0.202,0.584
05-27,1.772,-0.008,-0.354,0.771
05-28,1.888,-0.012,-0.516,0.395
05-29,1.767,-0.003,-0.128,0.65
05-30,1.62,0.0,0.0,0.807
05-31,1.575,-0.005,-0.2,0.898
06-01,1.8,-0.0,-0.014,0.701
06-02,1.813,0.003,0.13,0.568
06-03,1.906,0.006,0.238,0.463
06-04,1.911,0.001,0.058,0.616
06-05,1.864,-0.006,-0.239,0.972
06-06,1.712,0.002,0.077,0.537
06-07,1.698,-0.002,-0.066,0.771
06-08,1.612,0.003,0.105,0.492
06-09,1.616,0.007,0.285,0.463
06-10,1.564,0.003,0.147,0.449
06-11,1.565,0.005,0.218,0.322
06-12,1.758,0.007,0.311,0.395
06-13,1.688,0.009,0.365,0.552
06-14,1.567,0.007,0.296,0.477
06-15,1.536,0.007,0.275,0.477
06-16,1.584,0.004,0.154,0.507
06-17,1.462,0.002,0.092,0.537
06-18,1.501,0.001,0.042,0.507
06-19,1.452,0.002,0.076,0.666
06-20,1.554,0.004,0.179,0.477
06-21,1.381,0.001,0.06,0.6
06-22,1.556,0.006,0.266,0.449
06-23,1.428,0.008,0.347,0.249
06-24,1.474,0.004,0.164,0.537
06-25,1.368,-0.002,-0.096,1.0
06-26,1.529,-0.001,-0.026,0.633
06-27,1.506,0.005,0.225,0.357
06-28,1.538,0.009,0.373,0.18
06-29,1.449,0.009,0.361,0.18
06-30,1.364,0.005,0.201,0.311
07-01,1.36,0.0,0.0,0.584
07-02,1.358,-0.002,-0.077,0.683
07-03,1.392,0.002,0.082,0.633
07-04,1.343,0.003,0.128,0.88
07-05,1.368,0.009,0.369,0.258
07-06,1.31,0.01,0.43,0.11
07-07,1.308,0.009,0.375,0.105
07-08,1.28,0.01,0.42,0.079
07-09,1.338,0.008,0.347,0.279
07-10,1.267,0.007,0.28,0.268
07-11,1.226,0.006,0.256,0.196
07-12,1.246,0.005,0.229,0.188
07-13,1.367,-0.003,-0.12,0.991
07-14,1.302,0.003,0.105,0.616
07-15,1.243,0.003,0.128,0.435
07-16,1.192,0.002,0.096,0.421
07-17,1.162,0.002,0.082,0.537
07-18,1.162,0.002,0.073,0.65
07-19,1.161,0.001,0.056,0.616
07-20,1.122,0.001,0.053,0.435
07-21,1.048,-0.002,-0.097,0.991
07-22,1.08,0.0,0.0,0.6
07-23,1.042,0.002,0.099,0.492
07-24,1.273,0.003,0.14,0.395
07-25,1.19,0.0,0.0,0.666
07-26,1.22,0.0,0.0,0.683
07-27,1.202,0.002,0.088,0.449
07-28,1.13,0.0,0.0,0.701
07-29,1.16,0.0,0.0,0.492
07-30,1.102,0.002,0.082,0.463
07-31,1.134,0.003,0.147,0.23
08-01,1.136,0.006,0.258,0.23
08-02,1.086,0.006,0.254,0.204
08-03,1.029,0.009,0.374,0.041
08-04,1.088,0.008,0.33,0.031
08-05,0.998,0.008,0.315,0.087
08-06,1.028,0.008,0.322,0.1
08-07,1.09,0.009,0.395,0.052
08-08,0.996,0.006,0.272,0.116
08-09,1.134,0.004,0.178,0.311
08-10,1.111,0.011,0.464,0.033
08-11,1.278,0.009,0.359,0.289
08-12,1.235,0.005,0.214,0.463
08-13,1.135,0.005,0.224,0.435
08-14,1.057,0.007,0.29,0.345
08-15,1.056,0.007,0.275,0.522
08-16,1.076,0.006,0.256,0.408
08-17,1.085,0.005,0.212,0.616
08-18,1.084,0.003,0.143,0.753
08-19,1.136,0.006,0.257,0.311
08-20,1.13,0.01,0.42,0.162
08-21,1.102,0.002,0.068,0.633
08-22,1.08,0.0,0.0,0.568
08-23,1.07,-0.001,-0.035,0.898
