,mean,slp,chg,pvalue
0,1.058,0.022,0.905,0.067
1,0.938,0.022,0.941,0.024
2,0.935,0.015,0.642,0.014
3,1.064,0.016,0.672,0.046
4,1.094,0.016,0.672,0.116
5,1.005,0.015,0.646,0.072
6,0.833,0.017,0.714,0.054
7,0.956,0.015,0.611,0.108
8,0.784,0.016,0.678,0.054
9,0.77,0.02,0.84,0.024
10,0.77,0.021,0.875,0.0
11,0.782,0.038,1.603,0.0
12,0.921,0.039,1.642,0.002
13,0.929,0.041,1.716,0.01
14,0.846,0.034,1.428,0.006
15,0.883,0.028,1.161,0.005
16,0.936,0.023,0.981,0.011
17,1.005,0.015,0.626,0.132
18,1.006,0.014,0.595,0.263
19,0.976,0.015,0.613,0.168
20,0.92,0.011,0.449,0.236
21,0.9,0.01,0.42,0.307
22,0.869,0.01,0.439,0.339
23,0.864,0.016,0.664,0.116
24,0.835,0.015,0.642,0.263
25,0.841,0.009,0.394,0.858
26,0.82,0.01,0.436,0.733
27,0.781,0.009,0.36,0.961
28,0.752,0.008,0.328,0.935
29,0.783,0.007,0.28,0.935
30,0.751,0.009,0.384,0.372
31,0.744,0.006,0.256,0.593
32,0.734,0.006,0.267,0.593
33,0.674,0.006,0.271,0.808
34,0.672,0.008,0.317,0.277
35,0.672,0.008,0.327,0.355
36,0.674,0.006,0.27,0.506
37,0.613,0.007,0.29,0.427
38,0.67,0.01,0.42,0.212
39,0.64,0.01,0.434,0.168
40,0.64,0.01,0.441,0.168
41,0.699,0.011,0.464,0.116
42,0.668,0.012,0.483,0.043
43,0.742,0.008,0.315,0.083
44,0.756,0.004,0.157,0.189
45,0.785,0.005,0.222,0.158
46,0.7,0.01,0.41,0.108
47,0.702,0.008,0.342,0.072
48,0.64,0.009,0.387,0.054
49,0.68,0.011,0.453,0.123
50,0.728,0.011,0.469,0.2
51,0.756,0.005,0.191,0.638
52,0.688,0.003,0.107,0.833
53,0.818,0.003,0.109,0.57
54,0.758,0.002,0.092,0.39
55,0.686,0.004,0.18,0.178
56,0.676,0.004,0.16,0.486
57,0.655,0.006,0.233,0.25
58,0.642,0.008,0.328,0.158
59,0.672,0.008,0.319,0.212
60,0.682,0.007,0.307,0.783
61,0.672,0.007,0.299,0.168
62,0.653,0.007,0.308,0.178
63,0.684,0.006,0.258,0.168
64,0.615,0.005,0.197,0.339
65,0.625,0.005,0.21,0.263
66,0.984,0.006,0.271,0.39
67,1.042,0.008,0.336,0.506
68,1.047,0.003,0.136,0.758
69,1.198,-0.008,-0.338,0.527
70,1.238,-0.008,-0.33,0.486
71,1.215,-0.005,-0.22,0.733
72,1.261,-0.011,-0.452,0.884
73,1.82,-0.01,-0.42,0.638
74,1.469,-0.009,-0.364,0.466
75,1.134,-0.004,-0.174,0.638
76,1.306,-0.007,-0.287,0.57
77,1.196,-0.006,-0.245,0.527
78,1.102,-0.001,-0.057,0.549
79,1.148,0.003,0.105,0.808
80,1.05,0.0,0.0,0.961
81,1.094,-0.003,-0.137,0.833
82,1.102,-0.011,-0.471,0.408
83,1.148,-0.019,-0.783,0.212
84,1.714,-0.044,-1.834,0.013
85,1.77,-0.07,-2.952,0.002
86,2.333,-0.103,-4.312,0.002
87,3.344,-0.114,-4.795,0.017
88,3.59,-0.079,-3.337,0.123
89,3.244,-0.044,-1.827,0.466
90,2.882,-0.052,-2.173,0.593
91,3.104,-0.024,-1.01,0.466
92,2.695,-0.005,-0.21,0.685
93,3.793,-0.003,-0.122,0.733
94,3.572,-0.031,-1.315,0.277
95,3.05,-0.081,-3.387,0.058
96,3.068,-0.069,-2.887,0.058
97,3.766,-0.026,-1.109,0.527
98,3.144,-0.004,-0.164,0.833
99,3.027,0.003,0.128,0.884
100,3.02,0.01,0.42,0.884
101,3.088,0.022,0.928,0.408
102,2.829,0.061,2.56,0.178
103,3.124,0.076,3.204,0.212
104,2.951,0.049,2.052,0.189
105,3.234,0.046,1.921,0.408
106,3.52,0.049,2.065,0.355
107,3.418,0.032,1.36,0.427
108,3.032,0.027,1.147,0.236
109,2.994,0.036,1.514,0.224
110,3.72,0.02,0.825,0.593
111,3.534,0.005,0.229,0.987
112,3.238,0.041,1.741,0.292
113,2.9,0.04,1.689,0.355
114,2.69,0.029,1.233,0.408
115,2.732,0.038,1.598,0.292
116,2.84,0.049,2.077,0.116
117,2.572,0.027,1.155,0.486
118,2.505,0.025,1.05,0.506
119,2.442,0.017,0.733,0.858
120,2.314,0.016,0.661,0.685
121,3.121,0.019,0.802,0.808
122,2.759,0.031,1.316,0.372
123,2.454,0.036,1.525,0.263
124,2.371,0.029,1.214,0.427
125,2.384,-0.005,-0.191,0.685
126,2.236,-0.017,-0.695,0.91
127,2.079,0.001,0.044,0.685
128,2.134,0.016,0.653,0.224
129,1.965,0.015,0.62,0.323
130,2.174,0.005,0.229,1.0
131,1.952,0.008,0.334,0.685
132,1.773,0.007,0.277,0.758
133,1.62,0.02,0.856,0.527
134,1.574,0.026,1.082,0.101
135,1.608,0.022,0.917,0.178
136,1.821,0.019,0.814,0.307
137,1.702,0.008,0.354,0.733
138,1.72,0.01,0.42,0.638
139,1.521,0.019,0.8,0.277
140,1.494,0.006,0.264,0.783
141,1.547,0.013,0.544,0.593
142,1.422,0.018,0.768,0.466
143,1.317,0.013,0.564,0.638
144,1.323,0.007,0.282,0.935
145,1.373,0.017,0.716,0.466
146,1.446,0.024,0.989,0.307
147,1.319,0.041,1.73,0.039
148,1.273,0.026,1.103,0.036
149,1.158,0.032,1.354,0.05
150,1.294,0.036,1.524,0.013
151,1.284,0.016,0.683,0.2
152,1.308,0.021,0.899,0.224
153,1.202,0.028,1.18,0.089
154,1.163,0.027,1.126,0.101
155,1.067,0.033,1.376,0.011
156,1.122,0.039,1.627,0.019
157,1.021,0.029,1.2,0.077
158,1.029,0.021,0.886,0.046
159,1.062,0.017,0.731,0.017
160,0.912,0.017,0.729,0.054
161,0.898,0.012,0.516,0.158
162,0.841,0.009,0.372,0.446
163,1.016,0.004,0.168,0.661
164,1.039,0.011,0.476,0.549
165,1.084,0.015,0.645,0.486
166,0.98,0.01,0.42,0.884
167,0.953,0.007,0.307,0.858
168,0.822,0.008,0.317,0.661
169,0.686,0.014,0.588,0.189
170,0.658,0.022,0.934,0.062
171,0.596,0.015,0.625,0.083
172,0.758,0.012,0.485,0.116
173,0.856,0.004,0.174,0.935
174,0.734,0.005,0.225,0.733
175,0.693,0.007,0.288,0.615
176,0.692,0.009,0.363,0.39
177,0.642,0.009,0.357,0.355
178,0.662,0.019,0.779,0.083
179,0.604,0.015,0.647,0.05
180,0.746,0.014,0.605,0.024
181,0.595,0.015,0.63,0.008
182,0.571,0.019,0.786,0.007
183,0.556,0.014,0.588,0.095
184,0.5,0.011,0.441,0.323
185,0.532,0.008,0.332,0.486
186,0.522,0.008,0.35,0.638
187,0.586,0.004,0.172,0.486
188,0.564,0.006,0.256,0.149
189,0.53,0.01,0.428,0.189
190,0.7,0.01,0.42,0.189
191,0.53,0.01,0.434,0.077
192,0.599,0.011,0.451,0.072
193,0.531,0.009,0.374,0.427
194,0.473,0.007,0.311,0.961
195,0.476,0.005,0.195,0.638
196,0.489,0.001,0.038,0.833
197,0.481,-0.001,-0.046,0.91
198,0.448,0.003,0.115,0.884
199,0.437,0.003,0.14,0.615
200,0.416,0.004,0.174,0.408
201,0.42,-0.0,-0.009,0.758
202,0.4,0.0,0.0,0.808
203,0.636,0.014,0.591,0.292
204,0.576,0.013,0.557,0.236
205,0.504,0.006,0.248,0.549
206,0.505,0.005,0.21,0.615
207,0.506,0.004,0.154,0.733
208,0.565,0.005,0.194,0.615
209,0.416,0.003,0.143,0.833
210,0.368,0.003,0.105,0.987
211,0.378,0.002,0.072,0.884
212,0.54,-0.0,-0.011,0.661
213,0.418,0.002,0.105,0.733
214,0.34,-0.001,-0.021,0.615
215,0.45,-0.0,-0.006,0.615
216,0.403,-0.003,-0.128,0.25
217,0.447,-0.007,-0.28,0.149
218,0.417,-0.007,-0.292,0.039
219,0.454,-0.004,-0.175,0.072
220,0.394,-0.004,-0.154,0.158
221,0.374,-0.004,-0.181,0.168
222,0.402,-0.003,-0.109,0.408
223,0.343,-0.003,-0.118,0.123
224,0.382,-0.003,-0.107,0.39
225,0.48,0.0,0.0,0.685
226,0.422,-0.002,-0.069,0.506
227,0.43,0.001,0.029,0.987
228,0.397,0.002,0.103,0.884
229,0.4,0.0,0.0,0.697
230,0.362,-0.002,-0.101,0.466
231,0.361,-0.001,-0.046,0.486
232,0.368,0.002,0.072,0.987
233,0.415,0.005,0.222,0.355
234,0.358,0.003,0.123,0.446
235,0.34,0.0,0.0,0.733
236,0.312,-0.003,-0.105,0.212
237,0.282,-0.002,-0.084,0.408
238,0.294,-0.003,-0.135,0.212
239,0.282,-0.002,-0.092,0.466
240,0.305,-0.005,-0.21,0.189
241,0.323,-0.003,-0.128,0.446
242,0.314,-0.005,-0.197,0.355
243,0.283,-0.003,-0.124,0.39
244,0.28,-0.001,-0.035,0.661
245,0.32,0.0,0.0,0.987
246,0.28,0.0,0.01,0.783
247,0.283,-0.003,-0.113,0.323
248,0.284,-0.005,-0.191,0.685
249,0.285,-0.005,-0.216,0.57
250,0.277,-0.008,-0.317,0.168
251,0.386,-0.006,-0.247,0.372
252,0.396,-0.006,-0.262,0.355
253,0.341,-0.001,-0.048,1.0
254,0.313,-0.003,-0.126,0.638
255,0.303,-0.003,-0.118,0.638
256,0.281,-0.001,-0.048,0.935
257,0.384,-0.004,-0.168,0.355
258,0.396,-0.006,-0.27,0.212
259,0.378,-0.007,-0.307,0.022
260,0.314,-0.005,-0.193,0.168
261,0.314,-0.004,-0.178,0.355
262,0.326,-0.006,-0.245,0.043
263,0.318,-0.008,-0.319,0.029
264,0.315,-0.005,-0.216,0.212
265,0.322,-0.012,-0.486,0.001
266,0.36,-0.01,-0.404,0.034
267,0.374,-0.014,-0.579,0.005
268,0.331,-0.012,-0.483,0.011
269,0.408,-0.018,-0.745,0.009
270,0.352,-0.012,-0.504,0.024
271,0.455,-0.015,-0.63,0.067
272,0.494,-0.014,-0.571,0.189
273,0.46,-0.01,-0.408,0.57
274,0.428,-0.008,-0.326,0.466
275,0.458,-0.008,-0.332,0.355
276,0.468,-0.007,-0.315,0.25
277,0.635,-0.015,-0.618,0.132
278,0.737,-0.027,-1.13,0.003
279,0.637,-0.017,-0.724,0.017
280,0.764,-0.004,-0.182,0.427
281,0.702,-0.001,-0.057,0.783
282,0.688,-0.008,-0.315,0.263
283,0.663,-0.013,-0.546,0.123
284,0.6,-0.01,-0.441,0.158
285,0.587,-0.017,-0.7,0.054
286,0.587,-0.017,-0.71,0.072
287,0.6,-0.02,-0.84,0.116
288,0.686,-0.016,-0.683,0.427
289,0.766,-0.006,-0.252,0.858
290,0.764,-0.004,-0.17,0.935
291,0.748,-0.009,-0.359,0.709
292,0.798,-0.007,-0.303,0.987
293,0.895,-0.015,-0.626,0.661
294,0.867,-0.017,-0.696,0.486
295,0.954,-0.014,-0.603,0.408
296,1.05,-0.01,-0.439,0.733
297,1.224,-0.014,-0.604,0.549
298,1.275,-0.005,-0.191,0.91
299,1.176,0.004,0.189,0.685
300,1.184,0.006,0.244,0.549
301,1.268,0.032,1.365,0.263
302,1.473,0.057,2.396,0.026
303,1.204,0.047,1.955,0.039
304,1.184,0.037,1.545,0.083
305,1.107,0.033,1.376,0.2
306,1.412,0.028,1.165,0.25
307,1.398,0.022,0.941,0.277
308,1.296,0.004,0.18,0.858
309,1.452,-0.002,-0.073,0.808
310,1.421,-0.001,-0.06,0.615
311,1.225,-0.005,-0.216,0.884
312,1.207,-0.017,-0.707,0.355
313,1.423,-0.033,-1.38,0.14
314,1.314,-0.034,-1.418,0.116
315,1.297,-0.028,-1.161,0.158
316,1.214,-0.024,-1.027,0.189
317,1.216,-0.026,-1.107,0.25
318,1.507,-0.027,-1.132,0.307
319,1.553,-0.024,-0.993,0.446
320,1.32,-0.02,-0.833,0.638
321,1.406,-0.026,-1.1,0.263
322,1.307,-0.017,-0.7,0.466
323,1.264,-0.004,-0.147,0.783
324,1.323,-0.013,-0.55,0.593
325,1.202,-0.013,-0.527,0.486
326,1.168,-0.018,-0.754,0.466
327,1.238,-0.018,-0.777,0.339
328,1.33,-0.01,-0.408,0.427
329,1.296,-0.017,-0.695,0.25
330,1.59,-0.01,-0.43,0.355
331,1.624,-0.014,-0.572,0.323
332,1.457,-0.017,-0.7,0.323
333,1.46,-0.009,-0.395,0.292
334,1.635,0.005,0.21,0.858
335,1.641,0.009,0.36,0.527
336,1.652,0.018,0.775,0.224
337,1.468,0.002,0.082,0.615
338,1.459,0.001,0.038,0.935
339,1.316,0.013,0.567,0.224
340,1.24,0.01,0.428,0.307
341,1.146,0.003,0.143,0.733
342,1.091,0.009,0.38,0.339
343,1.146,0.015,0.613,0.25
344,1.168,0.012,0.517,0.339
345,1.118,0.012,0.485,0.39
346,1.039,0.011,0.458,0.339
347,0.93,0.009,0.391,0.339
348,0.975,0.015,0.634,0.123
349,0.946,0.014,0.59,0.149
350,1.047,0.013,0.527,0.292
351,1.0,0.021,0.871,0.083
352,0.945,0.015,0.634,0.178
353,0.946,0.015,0.625,0.292
354,0.978,0.023,0.959,0.062
355,1.03,0.03,1.276,0.054
356,1.093,0.037,1.536,0.012
357,1.204,0.046,1.93,0.003
358,1.211,0.039,1.652,0.022
359,1.239,0.031,1.294,0.058
360,1.113,0.047,1.956,0.003
361,1.08,0.05,2.1,0.001
362,1.266,0.035,1.453,0.039
363,1.169,0.031,1.296,0.158
364,1.074,0.026,1.1,0.108
