,mean,slp,chg,pvalue
0,67.92,0.759,31.898,0.087
1,76.98,0.96,40.32,0.172
2,80.37,0.962,40.404,0.172
3,75.84,0.602,25.266,0.762
4,86.88,1.014,42.57,0.363
5,105.28,1.697,71.26,0.146
6,101.31,1.662,69.825,0.146
7,103.3,1.65,69.3,0.135
8,93.96,1.627,68.342,0.153
9,90.56,1.603,67.34,0.146
10,89.14,1.351,56.746,0.186
11,91.41,1.34,56.28,0.288
12,91.69,1.615,67.818,0.109
13,88.01,0.991,41.602,0.095
14,80.37,0.778,32.69,0.41
15,82.92,0.612,25.688,0.68
16,87.73,0.461,19.382,0.879
17,90.28,1.156,48.552,0.201
18,86.88,1.108,46.524,0.159
19,83.2,0.979,41.114,0.104
20,84.9,0.86,36.12,0.026
21,79.52,0.93,39.06,0.023
22,84.9,1.113,46.76,0.079
23,80.37,0.875,36.764,0.374
24,85.18,0.894,37.564,0.269
25,82.07,0.827,34.73,0.165
26,74.71,0.863,36.246,0.201
27,77.26,0.806,33.854,0.288
28,87.45,1.014,42.595,0.201
29,93.11,1.187,49.834,0.209
30,87.45,0.897,37.66,0.165
31,87.45,0.776,32.598,0.225
32,86.32,0.888,37.284,0.165
33,83.48,0.708,29.715,0.278
34,77.82,0.707,29.715,0.153
35,76.69,1.149,48.25,0.02
36,78.39,1.073,45.084,0.017
37,77.82,0.906,38.036,0.029
38,76.41,0.869,36.51,0.062
39,77.26,0.948,39.816,0.037
40,77.82,0.752,31.6,0.054
41,71.03,0.681,28.6,0.079
42,70.75,0.203,8.52,0.298
43,76.69,-0.113,-4.76,0.649
44,72.45,-0.038,-1.596,0.516
45,70.75,0.057,2.38,0.649
46,73.86,0.041,1.71,0.983
47,71.88,0.196,8.222,0.795
48,67.92,0.047,1.988,0.762
49,68.49,-0.029,-1.216,0.914
50,65.37,-0.043,-1.784,0.965
51,68.49,-0.271,-11.392,0.965
52,65.94,-0.009,-0.38,0.778
53,71.03,-0.191,-8.03,0.516
54,68.2,-0.403,-16.914,0.165
55,66.79,-0.513,-21.56,0.135
56,65.37,-0.768,-32.25,0.046
57,63.39,-0.809,-33.96,0.026
58,67.64,-0.765,-32.124,0.013
59,66.22,-0.578,-24.256,0.059
60,65.37,-0.553,-23.234,0.076
61,71.6,-0.437,-18.348,0.269
62,74.99,-0.402,-16.868,0.488
63,73.3,-0.622,-26.124,0.537
64,73.3,-0.616,-25.868,0.398
65,73.01,-0.632,-26.558,0.288
66,69.33,-0.655,-27.522,0.298
67,69.33,-0.905,-38.01,0.225
68,79.24,-0.888,-37.308,0.308
69,94.52,-0.927,-38.954,0.435
70,84.33,-0.632,-26.558,0.448
71,87.16,-0.601,-25.252,0.308
72,95.37,0.039,1.622,0.745
73,93.39,0.142,5.964,0.965
74,93.67,0.48,20.172,0.68
75,83.77,0.33,13.86,0.965
76,85.75,0.233,9.784,0.516
77,78.39,0.194,8.164,0.544
78,76.13,0.073,3.048,0.573
79,80.09,0.142,5.946,0.862
80,85.47,0.168,7.062,0.618
81,80.66,0.031,1.306,0.862
82,77.26,0.23,9.676,0.544
83,79.52,0.323,13.58,0.242
84,75.28,0.295,12.372,0.398
85,80.94,0.381,15.992,0.26
86,79.81,0.687,28.86,0.146
87,89.71,0.958,40.224,0.032
88,92.54,1.132,47.55,0.034
89,90.84,0.849,35.654,0.172
90,93.11,0.888,37.308,0.091
91,93.11,0.872,36.646,0.172
92,91.69,0.425,17.83,0.618
93,91.98,0.425,17.85,0.423
94,89.43,0.231,9.692,0.633
95,88.58,0.228,9.596,0.778
96,88.3,0.462,19.418,0.588
97,104.14,0.588,24.684,0.488
98,102.16,0.566,23.772,0.374
99,101.31,0.536,22.504,0.269
100,94.8,0.749,31.446,0.159
101,106.97,0.461,19.366,0.618
102,108.96,0.354,14.858,0.649
103,110.65,0.34,14.28,0.649
104,108.67,0.11,4.62,1.0
105,106.12,-0.049,-2.056,0.68
106,112.07,0.201,8.444,0.633
107,119.14,0.4,16.8,0.897
108,122.82,0.718,30.176,0.502
109,121.97,0.943,39.62,0.398
110,129.61,1.011,42.45,0.288
111,121.69,0.85,35.7,0.618
112,137.26,0.623,26.152,0.633
113,133.01,0.705,29.61,0.649
114,135.27,0.849,35.656,0.242
115,125.65,0.99,41.592,0.114
116,131.88,0.525,22.066,0.386
117,148.01,-0.518,-21.77,0.812
118,146.03,-0.802,-33.67,0.53
119,150.84,-0.793,-33.306,0.68
120,151.4,-0.488,-20.486,0.778
121,138.1,-0.637,-26.74,0.516
122,159.33,0.095,3.976,0.633
123,144.61,0.577,24.22,0.374
124,163.01,0.533,22.384,0.209
125,146.88,0.894,37.534,0.165
126,148.57,0.95,39.9,0.172
127,164.14,1.048,44.01,0.153
128,149.14,1.32,55.44,0.079
129,140.08,1.132,47.536,0.124
130,145.74,1.318,55.348,0.186
131,155.65,1.213,50.928,0.26
132,161.03,0.916,38.468,0.251
133,167.54,1.253,52.62,0.091
134,173.76,1.953,82.016,0.026
135,176.31,2.049,86.072,0.016
136,208.57,2.547,106.978,0.014
137,185.65,2.099,88.148,0.039
138,189.33,0.929,39.008,0.233
139,187.35,0.53,22.278,0.502
