,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.003622399999999999,-5.884588799999998,0.5820690716517367,0.0,42.0,0.152,0.095,1.284,1.436
01-02,0.001886666666666666,-2.4083299999999994,0.6291146665070553,0.0,42.0,0.08,0.051,1.325,1.405
01-03,0.004353846153846153,-7.429185384615383,0.4383374552726653,0.0,42.0,0.183,0.118,1.187,1.37
01-04,0.003773333333333327,-6.342029999999987,0.4517264720866896,0.0,42.0,0.159,0.104,1.125,1.284
01-05,0.003537499999999999,-5.843596249999997,0.3995666898442778,0.0,42.0,0.149,0.1,1.157,1.306
01-06,0.0038143478260869506,-6.380173478260858,0.4383374552726653,0.0,42.0,0.161,0.11,1.168,1.329
01-07,0.00516782608695653,-9.066643260869581,0.41225516799167616,0.0,42.0,0.218,0.151,1.16,1.378
01-08,0.004447142857142872,-7.632712142857173,0.3995666898442778,0.0,42.0,0.187,0.131,1.168,1.355
01-09,0.005188333333333332,-9.092082499999997,0.24731745742367428,0.0,42.0,0.218,0.154,1.176,1.394
01-10,0.006313076923076924,-11.321197307692309,0.17412614678904337,0.0,42.0,0.266,0.191,1.172,1.438
01-11,0.005659999999999998,-10.012539999999998,0.2043665291857466,0.0,42.0,0.237,0.171,1.189,1.426
01-12,0.0050311111111111095,-8.773471666666662,0.24731745742367428,0.0,42.0,0.211,0.153,1.183,1.394
01-13,0.003537499999999999,-5.801146249999998,0.27593433728642713,0.0,42.0,0.148,0.109,1.2,1.348
01-14,0.0006658823529411763,-0.07349676470588218,0.4383374552726653,0.0,42.0,0.028,0.021,1.244,1.272
01-15,0.0,1.2452,0.5820690716517367,0.0,42.0,0.0,0.0,1.245,1.245
01-16,-0.0021769230769230594,5.583807692307658,0.910564557126583,-0.0,42.0,-0.092,-0.068,1.276,1.184
01-17,-0.001489473684210526,4.212082631578946,0.6777161122500928,-0.0,42.0,-0.062,-0.046,1.264,1.202
01-18,-0.0034303030303030227,8.075790909090895,0.761689952058004,-0.0,42.0,-0.144,-0.108,1.287,1.143
01-19,-0.003601818181818174,8.39043545454544,0.6942324524938992,-0.0,42.0,-0.151,-0.114,1.262,1.111
01-20,-0.0028300000000000187,6.804735000000037,0.7276974359007813,-0.0,42.0,-0.119,-0.091,1.204,1.085
01-21,-0.003012580645161293,7.183955000000005,0.6942324524938992,-0.0,42.0,-0.126,-0.096,1.222,1.096
01-22,-0.0045280000000000094,10.24233600000002,0.8135330043961142,-0.0,42.0,-0.19,-0.145,1.281,1.091
01-23,-0.0018866666666666513,4.96098999999997,0.5820690716517367,-0.0,42.0,-0.079,-0.06,1.227,1.148
01-24,-0.0021769230769230763,5.527207692307691,0.5516478210183582,-0.0,42.0,-0.091,-0.07,1.219,1.128
01-25,-0.0016293939393939355,4.404123181818174,0.4791861756075628,-0.0,42.0,-0.069,-0.054,1.18,1.111
01-26,0.0,1.1602999999999999,0.4932503912028541,0.0,42.0,0.0,0.0,1.16,1.16
01-27,0.0,1.1886,0.5367357981091128,0.0,42.0,0.0,0.0,1.189,1.189
