,mean,slp,chg,pvalue
0,12.635,0.105,4.398,0.005
1,12.715,0.105,4.4,0.003
2,12.639,0.101,4.26,0.004
3,12.649,0.091,3.826,0.007
4,12.645,0.094,3.961,0.004
5,12.645,0.094,3.961,0.003
6,12.609,0.101,4.234,0.002
7,12.374,0.106,4.462,0.002
8,12.339,0.111,4.656,0.003
9,12.354,0.096,4.042,0.004
10,12.067,0.103,4.305,0.007
11,12.296,0.105,4.393,0.004
12,12.341,0.109,4.588,0.002
13,12.319,0.101,4.23,0.007
14,12.076,0.094,3.958,0.015
15,12.082,0.088,3.702,0.009
16,12.08,0.09,3.795,0.007
17,12.099,0.071,2.961,0.01
18,12.118,0.052,2.198,0.07
19,12.11,0.059,2.481,0.051
20,11.804,0.086,3.61,0.02
21,11.807,0.083,3.49,0.009
22,12.08,0.09,3.797,0.015
23,12.354,0.096,4.03,0.006
24,12.336,0.114,4.774,0.001
25,12.045,0.125,5.254,0.0
26,11.766,0.124,5.196,0.0
27,11.474,0.126,5.277,0.0
28,11.772,0.118,4.941,0.0
29,11.772,0.118,4.935,0.001
30,11.68,0.119,5.017,0.0
31,11.802,0.088,3.707,0.005
32,12.38,0.07,2.949,0.013
33,11.82,0.07,2.961,0.009
34,11.826,0.064,2.672,0.012
35,11.816,0.073,3.075,0.023
36,11.722,0.078,3.266,0.016
37,11.713,0.087,3.66,0.03
38,11.812,0.078,3.286,0.015
39,12.108,0.062,2.617,0.124
40,11.834,0.056,2.36,0.282
41,12.372,0.078,3.257,0.153
42,12.078,0.092,3.852,0.051
43,12.698,0.092,3.883,0.105
44,12.708,0.081,3.405,0.045
45,12.368,0.083,3.467,0.048
46,12.568,0.112,4.7,0.048
47,12.343,0.107,4.515,0.042
48,12.071,0.099,4.152,0.023
49,12.356,0.094,3.944,0.028
50,12.66,0.081,3.391,0.025
51,12.661,0.079,3.324,0.03
52,12.666,0.094,3.938,0.079
53,12.721,0.1,4.187,0.025
54,12.93,0.09,3.786,0.042
55,12.684,0.076,3.209,0.062
56,12.629,0.081,3.406,0.051
57,12.548,0.072,3.032,0.079
58,12.662,0.048,2.006,0.196
59,14.343,0.087,3.646,0.099
60,14.756,0.074,3.087,0.145
61,14.709,0.011,0.476,0.577
62,14.09,0.0,0.0,0.634
63,13.933,0.017,0.698,0.614
64,14.103,0.047,1.98,0.361
65,15.028,0.032,1.337,0.215
66,15.123,0.047,1.986,0.205
67,15.827,0.053,2.218,0.391
68,17.943,0.027,1.134,0.881
69,18.043,0.067,2.83,0.577
70,19.582,0.058,2.444,0.376
71,19.356,0.084,3.53,0.124
72,18.35,0.05,2.109,0.282
73,17.664,0.056,2.331,0.334
74,19.608,0.062,2.613,0.558
75,21.156,0.014,0.582,0.859
76,20.824,0.006,0.256,0.754
77,17.546,0.084,3.535,0.205
78,17.537,0.123,5.166,0.079
79,17.317,0.113,4.756,0.153
80,17.498,0.102,4.295,0.27
81,17.195,0.065,2.722,0.391
82,19.278,-0.008,-0.323,0.989
83,19.027,-0.037,-1.552,0.558
84,19.286,-0.096,-4.018,0.438
85,19.198,-0.038,-1.603,0.505
86,19.324,0.036,1.499,0.796
87,19.09,0.041,1.715,0.673
88,18.834,0.066,2.774,0.422
89,18.984,0.116,4.863,0.215
90,19.066,0.203,8.545,0.131
91,19.505,0.195,8.198,0.084
92,18.662,0.157,6.609,0.079
93,17.504,0.125,5.263,0.105
94,17.484,0.117,4.901,0.079
95,17.632,0.108,4.534,0.094
96,17.728,0.131,5.511,0.058
97,17.754,0.155,6.523,0.042
98,18.53,0.15,6.3,0.178
99,18.441,0.149,6.274,0.178
100,18.216,0.154,6.468,0.111
101,17.255,0.144,6.069,0.084
102,18.11,0.17,7.14,0.079
103,19.082,0.187,7.875,0.058
104,18.189,0.181,7.592,0.07
105,17.76,0.151,6.323,0.124
106,19.504,0.166,6.953,0.153
107,18.579,0.151,6.338,0.062
108,17.893,0.137,5.76,0.099
109,18.015,0.155,6.512,0.066
110,18.424,0.195,8.201,0.035
111,18.403,0.187,7.84,0.062
112,18.211,0.129,5.418,0.178
113,17.379,0.081,3.406,0.27
114,17.242,0.078,3.282,0.406
115,17.626,0.094,3.967,0.236
116,17.628,0.092,3.857,0.347
117,17.56,0.1,4.213,0.361
118,17.324,0.075,3.163,0.614
119,17.168,0.063,2.635,0.577
120,17.469,0.081,3.416,0.391
121,17.758,0.103,4.315,0.169
122,17.234,0.145,6.105,0.066
123,17.564,0.156,6.562,0.066
124,16.779,0.171,7.18,0.124
125,16.379,0.181,7.594,0.079
126,16.054,0.136,5.73,0.099
127,16.47,0.14,5.876,0.079
128,17.736,0.154,6.461,0.066
129,17.991,0.179,7.514,0.058
130,17.764,0.176,7.375,0.045
131,16.992,0.159,6.657,0.055
132,17.526,0.163,6.857,0.051
133,17.26,0.2,8.388,0.037
134,16.734,0.166,6.991,0.026
135,17.521,0.139,5.846,0.032
136,17.74,0.121,5.063,0.048
137,17.114,0.116,4.893,0.045
138,17.952,0.078,3.272,0.105
139,17.01,0.05,2.116,0.236
140,16.438,0.063,2.631,0.307
141,15.733,0.087,3.665,0.27
142,15.499,0.091,3.838,0.153
143,15.829,0.101,4.224,0.124
144,15.88,0.11,4.637,0.124
145,15.979,0.071,2.978,0.236
146,16.192,0.078,3.26,0.376
147,16.022,0.108,4.534,0.079
148,15.311,0.138,5.805,0.035
149,15.603,0.157,6.608,0.028
150,15.677,0.143,5.998,0.037
151,16.253,0.137,5.762,0.037
152,15.628,0.162,6.783,0.023
153,15.768,0.161,6.777,0.025
154,15.317,0.163,6.842,0.025
155,14.849,0.181,7.583,0.012
156,14.875,0.185,7.768,0.007
157,15.375,0.165,6.946,0.01
158,16.119,0.151,6.342,0.03
159,15.768,0.162,6.812,0.055
160,15.256,0.193,8.127,0.015
161,16.501,0.199,8.379,0.014
162,15.938,0.193,8.097,0.014
163,16.118,0.213,8.931,0.009
164,15.07,0.21,8.801,0.015
165,15.204,0.165,6.947,0.017
166,14.772,0.228,9.56,0.004
167,14.822,0.238,10.007,0.021
168,15.064,0.186,7.805,0.084
169,14.755,0.185,7.77,0.153
170,13.96,0.19,7.98,0.153
171,13.92,0.199,8.365,0.131
172,14.113,0.267,11.196,0.051
173,15.292,0.299,12.543,0.035
174,15.912,0.278,11.678,0.03
175,15.068,0.241,10.127,0.025
176,14.714,0.227,9.519,0.01
177,14.714,0.227,9.515,0.009
178,15.29,0.19,7.969,0.02
179,16.01,0.15,6.279,0.169
180,14.648,0.152,6.363,0.153
181,14.576,0.144,6.055,0.178
182,14.679,0.151,6.346,0.138
183,14.209,0.141,5.914,0.117
184,15.52,0.16,6.735,0.048
185,15.351,0.159,6.676,0.058
186,15.24,0.18,7.575,0.026
187,14.895,0.185,7.774,0.026
188,14.68,0.18,7.554,0.02
189,14.478,0.152,6.389,0.058
190,14.309,0.151,6.334,0.084
191,13.936,0.134,5.643,0.089
192,13.725,0.145,6.086,0.089
193,13.797,0.123,5.17,0.094
194,13.843,0.137,5.76,0.111
195,13.687,0.153,6.416,0.058
196,13.18,0.15,6.286,0.055
197,13.622,0.159,6.665,0.035
198,14.048,0.163,6.831,0.04
199,14.453,0.147,6.156,0.04
200,14.18,0.14,5.889,0.025
201,14.294,0.136,5.714,0.079
202,14.364,0.157,6.587,0.017
203,13.932,0.188,7.877,0.005
204,14.087,0.203,8.509,0.005
205,14.526,0.134,5.624,0.074
206,14.262,0.138,5.808,0.058
207,14.784,0.126,5.279,0.105
208,14.314,0.146,6.128,0.07
209,14.367,0.153,6.428,0.045
210,14.268,0.132,5.563,0.042
211,13.874,0.106,4.459,0.084
212,13.953,0.087,3.638,0.131
213,13.551,0.089,3.736,0.089
214,13.494,0.116,4.863,0.045
215,13.447,0.133,5.586,0.035
216,13.856,0.125,5.249,0.025
217,13.817,0.133,5.586,0.042
218,13.568,0.132,5.533,0.058
219,13.404,0.095,3.999,0.04
220,13.618,0.082,3.464,0.138
221,13.442,0.059,2.465,0.236
222,13.274,0.056,2.36,0.422
223,13.408,0.092,3.874,0.161
224,12.887,0.103,4.332,0.099
225,13.26,0.101,4.223,0.117
226,13.044,0.115,4.847,0.099
227,13.029,0.1,4.211,0.131
228,13.163,0.107,4.488,0.124
229,13.594,0.106,4.46,0.131
230,13.427,0.133,5.596,0.079
231,13.145,0.125,5.248,0.145
232,13.61,0.14,5.899,0.131
233,14.384,0.136,5.71,0.045
234,14.584,0.136,5.727,0.04
235,13.895,0.174,7.317,0.03
236,14.136,0.124,5.21,0.037
237,14.236,0.114,4.797,0.055
238,14.107,0.103,4.312,0.145
239,13.914,0.096,4.011,0.124
240,13.582,0.118,4.97,0.099
241,13.547,0.123,5.176,0.032
242,13.696,0.145,6.073,0.014
243,13.283,0.157,6.588,0.035
244,13.324,0.116,4.88,0.074
245,13.222,0.108,4.55,0.105
246,13.074,0.146,6.149,0.028
247,13.122,0.148,6.23,0.055
248,12.97,0.131,5.481,0.066
249,12.888,0.132,5.527,0.094
250,12.544,0.136,5.73,0.062
251,12.94,0.16,6.733,0.021
252,13.077,0.193,8.1,0.017
253,12.965,0.165,6.92,0.045
254,13.057,0.163,6.85,0.058
255,12.86,0.16,6.703,0.02
256,12.92,0.13,5.452,0.023
257,13.63,0.119,5.005,0.045
258,13.988,0.102,4.294,0.099
259,13.712,0.099,4.139,0.111
260,13.535,0.104,4.389,0.169
261,13.559,0.111,4.658,0.124
262,13.36,0.08,3.36,0.099
263,13.883,0.097,4.072,0.023
264,14.168,0.092,3.866,0.131
265,14.363,0.067,2.808,0.307
266,13.226,0.044,1.842,0.391
267,12.948,0.042,1.76,0.361
268,12.701,0.059,2.49,0.361
269,12.662,0.078,3.266,0.225
270,12.59,0.119,5.015,0.131
271,12.628,0.112,4.69,0.111
272,12.734,0.116,4.893,0.062
273,12.854,0.137,5.741,0.037
274,12.818,0.142,5.982,0.016
275,13.036,0.155,6.501,0.035
276,13.178,0.152,6.37,0.032
277,14.078,0.153,6.415,0.026
278,14.438,0.162,6.815,0.037
279,15.014,0.156,6.567,0.025
280,14.906,0.154,6.47,0.018
281,14.088,0.142,5.955,0.012
282,13.738,0.132,5.548,0.017
283,13.527,0.143,6.016,0.028
284,13.406,0.124,5.194,0.028
285,13.274,0.116,4.883,0.042
286,13.764,0.136,5.707,0.013
287,14.325,0.194,8.161,0.003
288,14.275,0.185,7.778,0.001
289,14.01,0.169,7.113,0.002
