,mean,slp,chg,pvalue
0,9.464,-0.004,-0.183,0.637
1,9.554,-0.004,-0.168,0.576
2,9.705,0.007,0.284,0.227
3,9.772,0.008,0.342,0.159
4,9.691,0.011,0.444,0.065
5,9.536,0.014,0.601,0.052
6,9.301,0.024,1.002,0.005
7,9.746,0.024,0.995,0.006
8,9.877,0.011,0.474,0.015
9,9.545,0.0,0.0,0.972
10,9.694,-0.014,-0.579,0.014
11,9.581,-0.016,-0.676,0.004
12,9.464,-0.014,-0.6,0.004
13,9.477,-0.005,-0.216,0.18
14,9.431,0.004,0.164,0.48
15,9.346,0.004,0.149,0.317
16,9.21,0.007,0.28,0.099
17,9.199,0.023,0.946,0.0
18,9.123,0.025,1.06,0.0
19,9.059,0.019,0.816,0.0
20,8.956,0.014,0.582,0.032
21,8.884,0.006,0.248,0.153
22,8.915,0.007,0.276,0.211
23,8.811,0.014,0.569,0.009
24,8.706,0.02,0.853,0.0
25,8.799,0.013,0.54,0.03
26,8.872,-0.005,-0.224,0.322
27,8.642,-0.012,-0.515,0.066
28,8.593,-0.008,-0.332,0.26
29,8.602,0.005,0.207,0.762
30,8.708,-0.008,-0.321,0.49
31,8.7,-0.004,-0.159,0.644
32,8.605,0.01,0.42,0.324
33,8.462,0.021,0.885,0.009
34,8.446,0.027,1.137,0.005
35,8.617,0.018,0.758,0.026
36,8.576,0.017,0.711,0.013
37,8.416,0.017,0.733,0.035
38,8.494,0.013,0.528,0.14
39,8.293,0.012,0.506,0.099
40,8.118,0.019,0.784,0.011
41,8.126,0.004,0.166,0.386
42,8.66,-0.003,-0.136,0.449
43,8.736,0.001,0.036,0.877
44,8.428,-0.001,-0.056,0.789
45,8.593,0.006,0.245,0.495
46,8.488,0.005,0.227,0.369
47,8.404,-0.0,-0.017,1.0
48,8.32,0.003,0.132,0.617
49,8.221,0.001,0.032,0.971
50,8.182,0.001,0.045,0.783
51,8.045,0.0,0.0,1.0
52,7.932,-0.005,-0.218,0.259
53,7.889,0.002,0.102,0.576
54,7.656,-0.003,-0.114,0.462
55,7.877,-0.002,-0.088,0.597
56,7.999,-0.0,-0.017,0.859
57,7.954,-0.001,-0.028,0.946
58,8.034,-0.001,-0.026,0.937
59,7.783,0.005,0.213,0.335
60,8.036,0.021,0.87,0.001
61,7.954,0.016,0.678,0.065
62,7.855,0.013,0.56,0.05
63,7.866,0.017,0.715,0.003
64,7.97,0.017,0.713,0.005
65,7.912,0.027,1.155,0.0
66,8.0,0.026,1.112,0.0
67,8.099,0.019,0.81,0.0
68,8.2,0.02,0.84,0.01
69,8.212,0.022,0.909,0.0
70,8.23,0.017,0.717,0.0
71,8.418,0.015,0.645,0.0
72,8.348,0.015,0.641,0.0
73,8.286,0.014,0.588,0.005
74,8.194,0.016,0.676,0.001
75,8.238,0.012,0.517,0.011
76,7.92,0.01,0.42,0.006
77,7.948,0.016,0.659,0.004
78,8.108,0.022,0.909,0.0
79,8.179,0.029,1.238,0.0
80,8.117,0.018,0.754,0.0
81,8.074,0.02,0.823,0.0
82,8.144,0.013,0.53,0.002
83,8.04,0.02,0.859,0.0
84,8.171,0.024,0.993,0.0
85,8.206,0.02,0.851,0.0
86,7.904,0.029,1.236,0.0
87,7.895,0.023,0.965,0.0
88,7.864,0.029,1.226,0.0
89,8.055,0.033,1.398,0.0
90,8.32,0.037,1.536,0.0
91,8.386,0.034,1.439,0.0
92,8.416,0.034,1.445,0.0
93,8.302,0.041,1.719,0.0
94,8.456,0.035,1.451,0.0
95,8.552,0.031,1.299,0.0
96,8.486,0.037,1.572,0.0
97,8.448,0.038,1.603,0.0
98,8.576,0.037,1.564,0.0
99,8.586,0.041,1.723,0.0
100,8.631,0.041,1.717,0.0
101,8.82,0.043,1.814,0.0
102,8.829,0.046,1.92,0.0
103,8.886,0.041,1.72,0.0
104,8.83,0.03,1.265,0.0
105,8.99,0.017,0.713,0.052
106,9.207,-0.002,-0.086,0.715
107,9.208,-0.004,-0.179,0.839
108,9.566,-0.006,-0.271,0.679
109,9.94,0.003,0.138,0.744
110,10.4,0.0,0.0,0.948
111,10.835,-0.01,-0.42,0.48
112,11.08,-0.013,-0.549,0.559
113,11.571,-0.019,-0.81,0.619
114,11.401,0.0,0.009,0.899
115,11.314,0.009,0.394,0.516
116,12.288,0.025,1.051,0.314
117,12.843,0.029,1.213,0.215
118,14.07,0.046,1.949,0.108
119,13.58,0.02,0.84,0.489
120,13.481,-0.013,-0.54,0.694
121,14.436,-0.01,-0.403,0.905
122,15.405,0.003,0.138,0.929
123,16.5,0.0,0.0,0.933
124,16.574,-0.018,-0.743,0.753
125,16.504,-0.03,-1.273,0.671
126,16.47,-0.053,-2.236,0.291
127,17.545,-0.07,-2.925,0.386
128,18.51,-0.06,-2.501,0.513
129,19.066,-0.023,-0.954,0.711
130,20.534,-0.011,-0.461,0.977
131,23.291,0.027,1.148,0.778
132,26.554,0.069,2.916,0.37
133,27.903,0.102,4.284,0.336
134,31.212,0.174,7.327,0.157
135,33.24,0.293,12.301,0.016
136,35.561,0.307,12.9,0.008
137,43.027,0.384,16.148,0.001
138,46.3,0.533,22.4,0.0
139,47.459,0.54,22.662,0.0
140,47.052,0.502,21.066,0.003
141,51.734,0.523,21.95,0.032
142,51.14,0.427,17.928,0.054
143,53.516,0.277,11.648,0.373
144,64.07,0.147,6.162,0.575
145,76.597,-0.169,-7.086,0.417
146,78.498,-0.535,-22.453,0.057
147,78.188,-0.475,-19.95,0.052
148,80.816,-0.389,-16.339,0.019
149,86.326,-0.116,-4.878,0.541
150,89.936,-0.276,-11.581,0.297
151,91.482,-0.012,-0.511,1.0
152,99.332,-0.146,-6.129,0.689
153,107.3,-0.133,-5.601,0.586
154,98.854,-0.13,-5.475,0.435
155,109.34,0.227,9.535,0.161
156,114.922,0.282,11.833,0.024
157,116.643,0.428,17.985,0.008
158,109.532,0.021,0.875,0.77
159,107.934,0.289,12.125,0.226
160,111.885,0.256,10.77,0.357
161,112.175,-0.217,-9.112,0.397
162,111.772,-0.485,-20.382,0.015
163,109.585,-0.61,-25.624,0.0
164,119.536,-0.31,-13.0,0.003
165,113.615,-0.257,-10.776,0.2
166,112.154,-0.564,-23.686,0.0
167,120.799,-0.467,-19.632,0.0
168,126.144,-0.238,-9.975,0.377
169,118.292,-0.139,-5.841,0.367
170,115.234,0.156,6.569,0.504
171,116.874,0.583,24.47,0.046
172,116.0,1.0,42.0,0.0
173,117.834,1.223,51.346,0.0
174,120.642,0.761,31.978,0.0
175,116.05,0.7,29.4,0.0
176,111.21,0.474,19.888,0.006
177,108.087,0.058,2.432,0.606
178,110.155,0.104,4.35,0.526
179,108.939,0.293,12.3,0.117
180,107.311,0.207,8.7,0.26
181,114.084,0.056,2.333,0.636
182,107.233,0.155,6.531,0.364
183,106.0,0.0,0.0,1.0
184,100.862,-0.092,-3.866,0.516
185,98.616,-0.123,-5.175,0.441
186,104.092,-0.272,-11.433,0.041
187,109.51,0.006,0.263,0.863
188,103.0,0.0,0.0,1.0
189,101.522,0.015,0.612,0.878
190,98.992,0.161,6.757,0.451
191,96.618,0.145,6.108,0.286
192,94.5,0.0,0.0,0.978
193,91.155,-0.096,-4.045,0.584
194,90.851,-0.066,-2.774,0.588
195,88.243,-0.038,-1.604,0.615
196,87.365,0.11,4.62,0.267
197,83.953,0.069,2.888,0.427
198,86.082,0.121,5.077,0.249
199,88.399,0.133,5.568,0.072
200,87.919,0.113,4.726,0.325
201,86.068,-0.121,-5.091,0.283
202,83.702,-0.265,-11.133,0.012
203,81.134,-0.277,-11.635,0.001
204,83.601,-0.166,-6.96,0.004
205,78.649,-0.234,-9.813,0.002
206,73.347,-0.235,-9.886,0.0
207,73.984,-0.244,-10.25,0.001
208,73.83,-0.28,-11.765,0.0
