,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.033016666666666666,-59.15643333333334,0.17444389542528826,0.0,43.0,1.386,0.13,6.184,7.57
01-02,0.09004545454545454,-171.8556090909091,0.0048447592786535765,3.0,43.0,3.782,0.329,6.344,10.126
01-03,0.05224615384615397,-95.71930769230794,0.026888448128552955,2.0,43.0,2.194,0.184,7.676,9.87
01-04,0.03335357142857144,-58.61334285714289,0.06610876198076165,1.0,43.0,1.401,0.114,7.393,8.794
01-05,0.056600000000000004,-105.50240000000001,0.042635937871813745,2.0,43.0,2.377,0.182,6.509,8.886
01-06,0.028300000000000065,-48.50620000000013,0.36761757455513244,0.0,43.0,1.189,0.093,7.499,8.688
01-07,0.020581818181818177,-34.00373636363635,0.6122616164929977,0.0,43.0,0.864,0.07,6.728,7.592
01-08,0.011319999999999997,-15.819699999999994,0.783419295947662,0.0,43.0,0.475,0.041,6.583,7.058
01-09,-0.01435214285714286,38.184785714285724,0.546895117224893,-0.0,43.0,-0.603,-0.055,9.782,9.179
01-10,-0.015238461538461551,39.787623076923104,0.5395778681920935,-0.0,43.0,-0.64,-0.054,9.631,8.991
01-11,-0.035375000000000045,79.18340000000009,0.1345090670257334,-0.0,43.0,-1.485,-0.12,9.176,7.691
01-12,-0.07874782608695652,164.93855217391302,0.0039154633192795,-3.0,43.0,-3.308,-0.277,9.097,5.789
01-13,-0.032492592592592594,74.4939851851852,0.1660199783978773,-0.0,43.0,-1.365,-0.119,10.191,8.826
01-14,0.014716000000000005,-20.659000000000013,0.4313436082416904,0.0,43.0,0.618,0.048,8.464,9.082
01-15,0.07277142857142857,-137.27925714285715,0.003174993433243456,3.0,43.0,3.057,0.228,6.735,9.792
01-16,0.08725833333333337,-165.68706666666674,0.004186161283625811,3.0,43.0,3.665,0.29,6.997,10.662
01-17,0.1312090909090909,-253.41878181818177,0.00031758323989272697,3.0,43.0,5.511,0.408,6.244,11.755
01-18,0.1540777777777778,-298.8165555555556,2.3352250252184348e-05,3.0,43.0,6.472,0.49,6.103,12.575
01-19,0.08489999999999998,-160.68739999999994,0.0003390994784684409,3.0,43.0,3.565,0.269,7.33,10.895
01-20,0.07337037037037036,-137.62814074074075,0.13292605268917712,0.0,43.0,3.081,0.244,7.572,10.653
01-21,0.06174545454545457,-112.73690909090914,0.04428195397703649,2.0,43.0,2.594,0.215,9.457,12.051
01-22,0.0849,-159.3573,0.0059865965364835905,3.0,43.0,3.566,0.3,8.66,12.226
01-23,0.0797545454545455,-150.65119090909099,0.012248664516859575,2.0,43.0,3.35,0.291,7.183,10.533
01-24,0.10926944444444445,-210.04888888888888,0.016381739907945114,2.0,43.0,4.59,0.391,6.195,10.785
01-25,0.1430722222222222,-276.3809444444444,0.0022633186176013176,3.0,43.0,6.009,0.464,6.759,12.768
01-26,0.15767142857142855,-305.26805714285706,9.163634729958403e-05,3.0,43.0,6.622,0.467,6.764,13.386
01-27,0.18748749999999997,-366.23029999999994,0.0003246979768822822,3.0,43.0,7.875,0.574,4.807,12.682
01-28,0.16036666666666669,-313.1489333333334,0.0018255648389848833,3.0,43.0,6.735,0.496,4.217,10.952
01-29,0.16851363636363637,-329.47117272727274,5.584397547342412e-05,3.0,43.0,7.078,0.558,4.017,11.095
01-30,0.210404347826087,-411.356495652174,1.0205170042354439e-11,3.0,43.0,8.837,0.708,5.034,13.871
01-31,0.1874875,-365.0417,4.805045250577678e-13,3.0,43.0,7.875,0.658,5.996,13.871
02-01,0.12431785714285717,-238.70241428571435,4.6164276420013195e-05,3.0,43.0,5.221,0.432,7.323,12.544
02-02,0.1132,-216.9761,0.0010824546694594428,3.0,43.0,4.754,0.401,7.047,11.801
02-03,0.0875952380952381,-167.2098761904762,0.004891511095411083,3.0,43.0,3.679,0.313,6.141,9.82
02-04,0.07000526315789468,-132.00162631578937,0.016445308612637044,2.0,43.0,2.94,0.246,6.539,9.479
02-05,0.05511052631578944,-103.25925263157889,0.02182637999796344,2.0,43.0,2.315,0.198,5.804,8.119
02-06,0.046492857142857016,-85.57111428571405,0.0977781840088976,1.0,43.0,1.953,0.17,6.438,8.391
02-07,0.03436428571428575,-61.568671428571506,0.39783415274630585,0.0,43.0,1.444,0.121,6.438,7.882
02-08,0.02358333333333332,-40.60106666666665,0.398859627429925,0.0,43.0,0.991,0.088,6.07,7.061
02-09,0.02425714285714266,-42.03358571428532,0.11626968333644627,0.0,43.0,1.019,0.105,5.971,6.99
02-10,0.021641176470588164,-36.97145294117633,0.14130849647254817,0.0,43.0,0.909,0.103,5.856,6.765
02-11,0.05974444444444435,-113.4892888888887,0.000542298741830427,3.0,43.0,2.509,0.296,4.745,7.254
02-12,0.07997826086956518,-152.79662173913036,0.00013288232504926611,3.0,43.0,3.359,0.388,5.48,8.839
02-13,0.07075000000000009,-134.0288000000002,0.002115036419060523,3.0,43.0,2.972,0.321,5.985,8.957
02-14,0.05992941176470589,-111.59522352941178,0.015075336519380755,2.0,43.0,2.517,0.255,7.005,9.522
02-15,0.05006923076923077,-92.86536153846154,0.0865490687622581,1.0,43.0,2.103,0.206,6.222,8.325
02-16,0.03773333333333332,-68.36336666666664,0.22094344376352226,0.0,43.0,1.585,0.152,6.311,7.896
02-17,0.04042857142857138,-74.57454285714277,0.0591231152240157,1.0,43.0,1.698,0.177,5.434,7.132
02-18,0.003584666666666673,-1.3395333333333461,0.8723783145132304,0.0,43.0,0.15,0.016,5.755,5.905
02-19,-0.03584666666666661,78.23063333333323,0.09210087041172521,-1.0,43.0,-1.505,-0.163,7.29,5.785
02-20,-0.038440833333333334,83.13596666666666,0.3962146386378993,-0.0,43.0,-1.615,-0.173,7.062,5.447
02-21,-0.05231212121212122,111.27474242424243,0.29125792627242775,-0.0,43.0,-2.197,-0.233,7.749,5.552
02-22,-0.06839166666666667,143.49043333333336,0.13302273964902023,-0.0,43.0,-2.872,-0.318,8.143,5.271
02-23,-0.09918476190476191,204.42572380952384,2.6104717413488743e-05,-3.0,43.0,-4.166,-0.543,8.139,3.973
02-24,-0.0849000000000002,175.6864000000004,9.954067575290715e-05,-3.0,43.0,-3.566,-0.507,7.669,4.103
02-25,-0.0660333333333333,138.49076666666662,0.0008954698233070157,-3.0,43.0,-2.774,-0.402,7.811,5.037
02-26,-0.07874782608695653,164.45745217391305,5.588380368015677e-06,-3.0,43.0,-3.308,-0.448,8.616,5.308
02-27,-0.11228709677419361,231.02659354838724,0.0010070768762646676,-3.0,43.0,-4.716,-0.536,8.81,4.094
02-28,-0.0936076923076923,193.01688461538458,0.005628350931935477,-3.0,43.0,-3.931,-0.418,7.767,3.836
03-01,-0.09747777777777783,200.92685555555568,0.0011676261064470506,-3.0,43.0,-4.094,-0.439,8.018,3.924
03-02,-0.07318965517241381,151.8129103448276,0.0005923838484651611,-3.0,43.0,-3.074,-0.356,6.971,3.897
03-03,-0.07176071428571427,149.06822857142856,5.9005192655003924e-05,-3.0,43.0,-3.014,-0.365,7.054,4.04
03-04,-0.07880461538461538,162.81643076923075,5.318377471752456e-08,-3.0,43.0,-3.31,-0.408,6.862,3.552
03-05,-0.07601694444444444,157.01468888888888,1.922626007067052e-05,-3.0,43.0,-3.193,-0.387,6.577,3.384
03-06,-0.05255714285714319,110.09508571428638,0.0026689324147792792,-3.0,43.0,-2.208,-0.258,6.085,3.877
03-07,-0.05167826086956522,108.19582173913045,0.0058134556561246775,-3.0,43.0,-2.171,-0.256,5.925,3.754
03-08,-0.044508181818181815,93.88396363636363,0.05286212525249567,-1.0,43.0,-1.869,-0.231,5.802,3.933
03-09,-0.0617245945945946,128.6846891891892,0.0011243608446873665,-3.0,43.0,-2.593,-0.323,6.532,3.939
03-10,-0.052089687499999995,109.726175,0.0027070318163717744,-3.0,43.0,-2.188,-0.272,6.641,4.453
03-11,-0.053770000000000005,113.2,0.00022409054508720772,-3.0,43.0,-2.258,-0.268,6.789,4.531
03-12,-0.06872857142857138,144.27744285714274,0.0003779758782971321,-3.0,43.0,-2.887,-0.318,8.264,5.377
03-13,-0.05290869565217391,113.14709130434782,0.02796865324783515,-2.0,43.0,-2.222,-0.225,8.441,6.219
03-14,-0.031227586206896543,69.53017241379308,0.38207233946262287,-0.0,43.0,-1.312,-0.131,7.731,6.419
03-15,-0.009988235294117671,27.136370588235344,0.7115074582683467,-0.0,43.0,-0.42,-0.044,7.37,6.95
03-16,-0.009988235294117645,27.02317058823529,0.6976078683377436,-0.0,43.0,-0.419,-0.045,7.256,6.837
03-17,-0.005477419354838708,18.426038709677414,0.5248807368473971,-0.0,43.0,-0.23,-0.027,7.586,7.356
03-18,-0.029715000000000026,67.04270000000005,0.02583630677501869,-2.0,43.0,-1.248,-0.156,8.237,6.989
03-19,-0.04879310344827588,104.23670689655177,0.009562968112996728,-3.0,43.0,-2.049,-0.258,7.675,5.626
03-20,-0.05660000000000002,119.68070000000003,0.013480353678102519,-2.0,43.0,-2.377,-0.303,7.669,5.292
03-21,-0.06165357142857143,129.36334285714287,0.027368512371169995,-2.0,43.0,-2.59,-0.337,7.351,4.761
03-22,-0.07357999999999996,152.76339999999993,0.0057820983582821395,-3.0,43.0,-3.091,-0.409,7.149,4.058
03-23,-0.049525,104.7666,0.0732135493038677,-1.0,43.0,-2.08,-0.281,6.757,4.677
03-24,-0.026531250000000006,58.694200000000016,0.06316011166655522,-1.0,43.0,-1.114,-0.156,6.189,5.075
03-25,-0.03301666666666663,72.59893333333326,0.0072500018186469894,-3.0,43.0,-1.387,-0.185,7.259,5.872
03-26,-0.02910857142857142,64.55634285714285,0.05954157573558283,-1.0,43.0,-1.222,-0.16,6.95,5.728
03-27,-0.016508333333333347,39.412466666666695,0.09525306197712591,-1.0,43.0,-0.693,-0.087,6.742,6.049
03-28,-0.014150000000000032,34.41280000000006,0.06235512291176426,-1.0,43.0,-0.594,-0.072,6.41,5.816
03-29,-0.014150000000000062,34.63920000000012,0.3175341702651222,-0.0,43.0,-0.594,-0.07,6.636,6.042
03-30,-0.016171428571428583,38.93675714285717,0.29823618385227313,-0.0,43.0,-0.68,-0.08,6.934,6.254
03-31,-0.036385714285714243,79.78982857142849,0.14621508721021703,-0.0,43.0,-1.528,-0.163,7.782,6.254
04-01,-0.04075199999999999,89.28649999999999,0.07160562589428454,-1.0,43.0,-1.711,-0.174,8.638,6.927
04-02,-0.047166666666666725,101.97433333333345,0.21791913605579327,-0.0,43.0,-1.982,-0.177,8.632,6.65
04-03,-0.03962000000000003,86.85270000000007,0.41840326350826995,-0.0,43.0,-1.664,-0.163,8.445,6.781
04-04,-0.04867600000000003,105.50240000000007,0.2550053568558259,-0.0,43.0,-2.045,-0.224,9.173,7.128
04-05,-0.06095384615384615,130.68069230769228,0.06492455089221849,-1.0,43.0,-2.56,-0.287,10.053,7.493
04-06,-0.07216499999999999,152.45209999999997,0.000490311810231292,-3.0,43.0,-3.031,-0.343,9.638,6.607
04-07,-0.06872857142857144,145.4377428571429,0.0013784980364841548,-3.0,43.0,-2.887,-0.316,9.424,6.537
04-08,-0.04851428571428557,105.46197142857113,0.0029134703222926106,-3.0,43.0,-2.037,-0.213,9.452,7.415
04-09,-0.010376666666666642,28.847133333333282,0.49372042758308,-0.0,43.0,-0.436,-0.045,8.312,7.876
04-10,0.024903999999999975,-41.96889999999995,0.33956448361482616,0.0,43.0,1.046,0.109,7.316,8.362
04-11,0.027289285714285714,-47.107371428571426,0.16534433608639887,0.0,43.0,1.146,0.122,6.898,8.044
04-12,0.03483076923076922,-61.48283846153845,0.16920224237449855,0.0,43.0,1.463,0.152,7.447,8.91
04-13,0.03930555555555563,-70.97011111111125,0.23640162677358756,0.0,43.0,1.65,0.166,6.816,8.466
04-14,0.03537499999999971,-63.13729999999943,0.26011100648214525,0.0,43.0,1.486,0.156,6.87,8.356
04-15,0.006792000000000016,-6.056200000000032,0.839237325065529,0.0,43.0,0.285,0.03,7.385,7.67
04-16,-0.007718181818181836,23.162263636363672,0.7154135341998848,-0.0,43.0,-0.324,-0.033,7.888,7.564
04-17,-0.006738095238095225,21.23039047619045,0.7841074339114471,-0.0,43.0,-0.283,-0.029,7.896,7.613
04-18,0.03133214285714286,-54.17428571428571,0.2305495057118283,0.0,43.0,1.316,0.124,7.832,9.148
04-19,0.054578571428571365,-99.02574285714272,0.03970987599045572,2.0,43.0,2.293,0.211,8.985,11.278
04-20,0.0504478260869565,-90.14165217391299,0.15711254008334663,0.0,43.0,2.118,0.186,9.695,11.813
04-21,0.04447142857142859,-78.21715714285719,0.17036358861042022,0.0,43.0,1.868,0.153,9.792,11.66
04-22,0.054423076923076956,-97.86575384615391,0.1678862796129461,0.0,43.0,2.285,0.192,9.838,12.123
04-23,0.07292692307692303,-135.69414615384605,0.03496792867009324,2.0,43.0,3.063,0.267,8.628,11.691
04-24,0.058486666666666604,-107.04003333333321,0.0004872944071758756,3.0,43.0,2.457,0.219,8.705,11.162
04-25,0.05917272727272727,-108.94985454545454,0.00011903200847540596,3.0,43.0,2.485,0.231,8.153,10.638
