,mean,slp,chg,pvalue
0,3.25,0.032,1.35,0.007
1,3.65,0.013,0.55,0.647
2,3.59,0.019,0.814,0.275
3,3.74,0.016,0.682,0.413
4,3.57,0.028,1.176,0.049
5,3.31,0.029,1.239,0.0
6,3.25,0.011,0.462,0.153
7,4.05,0.0,0.0,1.0
8,3.31,0.009,0.374,0.435
9,3.2,0.006,0.252,0.615
10,3.85,0.002,0.07,0.904
11,3.62,0.004,0.17,0.729
12,3.91,0.001,0.044,0.964
13,3.4,0.009,0.392,0.361
14,2.89,0.01,0.42,0.24
15,3.31,0.018,0.756,0.018
16,3.45,0.01,0.42,0.229
17,3.74,0.005,0.224,0.274
18,3.76,-0.002,-0.076,0.896
19,3.71,-0.02,-0.84,0.033
20,3.37,-0.024,-1.006,0.053
21,3.42,0.002,0.076,0.825
22,3.82,0.013,0.54,0.439
23,4.58,0.013,0.554,0.319
24,4.05,-0.003,-0.124,0.748
25,3.79,-0.015,-0.63,0.2
26,4.02,-0.014,-0.608,0.069
27,4.3,-0.024,-1.012,0.154
28,3.76,-0.018,-0.746,0.379
29,4.08,-0.021,-0.892,0.046
30,3.85,-0.03,-1.26,0.001
31,3.65,-0.026,-1.078,0.005
32,3.79,-0.025,-1.04,0.012
33,3.45,-0.028,-1.182,0.128
34,3.34,-0.026,-1.09,0.103
35,3.51,-0.022,-0.936,0.064
36,3.91,-0.047,-1.966,0.014
37,4.61,-0.034,-1.428,0.053
38,3.99,-0.003,-0.112,0.915
39,3.57,-0.015,-0.622,0.469
40,3.76,-0.039,-1.648,0.016
41,4.13,-0.045,-1.904,0.012
42,4.24,-0.021,-0.868,0.13
43,4.22,-0.005,-0.23,0.779
44,4.22,0.013,0.53,0.559
45,4.05,-0.005,-0.19,0.667
46,4.16,0.015,0.63,0.194
47,4.13,0.002,0.078,0.847
48,3.68,-0.002,-0.07,0.887
49,3.65,0.0,0.0,0.98
50,3.51,0.003,0.14,0.902
51,3.93,-0.006,-0.258,0.812
52,4.73,-0.008,-0.33,0.618
53,4.411,-0.001,-0.021,0.94
54,4.58,0.009,0.398,0.638
55,4.3,-0.002,-0.1,0.822
56,3.99,0.016,0.66,0.261
57,4.1,-0.009,-0.36,0.33
58,4.24,-0.027,-1.124,0.001
59,4.05,-0.027,-1.12,0.025
60,3.96,-0.018,-0.766,0.135
61,4.22,-0.027,-1.152,0.115
62,4.41,-0.014,-0.574,0.516
63,4.16,-0.036,-1.498,0.151
64,4.16,-0.064,-2.706,0.045
65,4.13,-0.056,-2.332,0.049
66,3.99,-0.066,-2.754,0.0
67,3.91,-0.064,-2.7,0.0
68,3.65,-0.046,-1.948,0.003
69,3.54,-0.039,-1.648,0.003
