,mean,slp,chg,pvalue
0,4.687,0.023,0.98,0.129
1,5.104,0.046,1.952,0.224
2,5.116,0.051,2.142,0.302
3,6.02,-0.02,-0.84,0.633
4,4.889,0.008,0.324,0.762
5,4.746,-0.019,-0.805,0.633
6,4.652,-0.023,-0.966,0.62
7,4.273,-0.008,-0.346,0.713
8,4.343,0.004,0.18,0.869
9,4.545,0.066,2.782,0.009
10,4.354,0.056,2.365,0.036
11,4.371,0.04,1.666,0.122
12,4.515,0.011,0.476,0.695
13,4.482,-0.003,-0.129,0.852
14,4.429,-0.017,-0.72,0.59
15,4.058,-0.002,-0.077,1.0
16,5.21,-0.085,-3.57,0.215
17,5.59,-0.11,-4.62,0.026
18,5.552,-0.108,-4.536,0.055
19,5.382,-0.121,-5.062,0.021
20,5.233,-0.091,-3.808,0.0
21,5.818,-0.019,-0.813,0.696
22,6.824,-0.008,-0.357,1.0
23,6.584,-0.046,-1.932,0.334
24,6.06,0.0,0.0,1.0
25,5.72,-0.085,-3.57,0.065
26,5.476,-0.054,-2.268,0.212
27,5.38,-0.05,-2.1,0.202
28,5.909,-0.062,-2.614,0.011
29,5.29,-0.035,-1.477,0.032
30,4.982,-0.043,-1.813,0.064
31,4.676,-0.029,-1.218,0.614
32,5.134,-0.031,-1.302,0.582
33,5.41,-0.08,-3.36,0.383
34,5.196,-0.069,-2.893,0.062
35,4.824,-0.061,-2.567,0.014
36,5.138,-0.059,-2.498,0.064
37,5.104,0.019,0.8,0.185
38,4.773,0.017,0.7,0.467
39,4.551,0.015,0.62,0.547
40,4.528,0.028,1.176,0.18
41,5.216,0.026,1.085,0.244
42,5.212,0.019,0.813,0.36
43,5.496,0.006,0.252,0.919
44,6.211,0.017,0.724,0.614
45,6.86,-0.103,-4.311,0.265
46,6.14,-0.085,-3.57,0.101
47,5.495,-0.029,-1.208,0.224
48,5.28,-0.018,-0.735,0.553
49,6.382,-0.003,-0.126,0.741
50,6.413,-0.018,-0.77,0.74
51,6.826,0.084,3.513,0.332
52,6.655,0.021,0.892,0.756
53,7.077,0.028,1.19,0.775
