,mean,slp,chg,pvalue
01-01,0.07,0.0,0.0,0.464
01-02,0.07,0.0,0.0,0.246
01-03,0.07,0.0,0.0,0.136
01-04,0.07,0.0,0.0,0.023
01-05,0.07,0.0,0.0,0.026
01-06,0.07,0.0,0.0,0.007
01-07,0.07,0.0,0.0,0.008
01-08,0.07,0.0,0.0,0.048
01-09,0.07,0.0,0.0,0.077
01-10,0.07,0.0,0.0,0.109
01-11,0.07,0.0,0.0,0.324
01-12,0.07,0.0,0.014,0.023
01-13,0.07,0.0,0.014,0.026
01-14,0.07,0.0,0.0,0.097
01-15,0.07,0.0,0.0,0.604
01-16,0.07,0.0,0.0,0.59
01-17,0.07,0.0,0.0,0.891
01-18,0.07,0.0,0.0,0.931
01-19,0.07,0.0,0.0,0.984
01-20,0.07,0.0,0.0,0.952
01-21,0.06,0.0,0.0,0.984
01-22,0.06,0.0,0.0,0.917
01-23,0.07,0.0,0.0,0.838
01-24,0.07,0.0,0.0,0.797
01-25,0.07,0.0,0.0,0.98
01-26,0.07,0.0,0.0,1.0
01-27,0.07,0.0,0.0,0.959
01-28,0.07,0.0,0.0,0.631
01-29,0.07,0.0,0.0,0.71
01-30,0.07,0.0,0.0,0.841
01-31,0.06,0.0,0.0,0.949
02-01,0.06,0.0,0.0,1.0
02-02,0.06,0.0,0.0,0.563
02-03,0.06,0.0,0.0,0.706
02-04,0.06,0.0,0.0,0.595
02-05,0.06,0.0,0.0,0.716
02-06,0.06,0.0,0.0,0.511
02-07,0.06,0.0,0.0,0.546
02-08,0.06,0.0,0.0,0.97
02-09,0.06,0.0,0.0,0.845
02-10,0.06,0.0,0.0,0.389
02-11,0.06,0.0,0.0,0.498
02-12,0.06,0.0,0.0,0.25
02-13,0.06,0.0,0.0,0.317
02-14,0.06,0.0,0.0,0.273
02-15,0.06,0.0,0.0,0.464
02-16,0.06,0.0,0.0,0.811
02-17,0.06,0.0,0.0,0.754
02-18,0.06,0.0,0.0,0.33
02-19,0.06,0.0,0.0,0.169
02-20,0.06,0.0,0.0,0.187
02-21,0.06,0.0,0.0,0.175
02-22,0.06,-0.0,-0.017,0.047
02-23,0.06,0.0,0.0,0.185
02-24,0.06,-0.0,-0.006,0.141
02-25,0.06,-0.0,-0.014,0.089
02-26,0.06,-0.0,-0.019,0.022
02-27,0.06,-0.001,-0.021,0.007
02-28,0.06,-0.001,-0.025,0.002
03-01,0.06,-0.001,-0.025,0.0
03-02,0.061,-0.001,-0.028,0.0
03-03,0.06,-0.001,-0.029,0.0
03-04,0.06,-0.001,-0.029,0.0
03-05,0.061,-0.001,-0.028,0.0
03-06,0.06,-0.001,-0.031,0.0
03-07,0.061,-0.001,-0.032,0.0
03-08,0.061,-0.001,-0.038,0.0
03-09,0.061,-0.001,-0.036,0.0
03-10,0.061,-0.001,-0.038,0.0
03-11,0.071,-0.001,-0.034,0.0
03-12,0.061,-0.001,-0.036,0.0
03-13,0.06,-0.001,-0.039,0.0
03-14,0.071,-0.001,-0.034,0.001
03-15,0.07,-0.001,-0.035,0.001
03-16,0.071,-0.001,-0.038,0.0
03-17,0.071,-0.001,-0.034,0.0
03-18,0.07,-0.001,-0.031,0.001
