,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.01474999374999999,36.56286255937498,0.5442871500781223,-0.0,40.0,-0.62,-0.066,7.373,6.753
01-02,-0.010889426201923055,28.807518364543228,0.6577482700207529,-0.0,40.0,-0.457,-0.044,7.257,6.8
01-03,-0.024605263706140364,55.873619566721516,0.5316199503734733,-0.0,40.0,-1.034,-0.095,7.18,6.146
01-04,-0.0317857285714286,69.82377875000006,0.08114811370569441,-1.0,40.0,-1.335,-0.117,6.92,5.585
01-05,-0.02486840855263149,55.849514342434034,0.17289975344560848,-0.0,40.0,-1.045,-0.092,6.635,5.59
01-06,-0.03468750312500002,75.55297499531254,0.08454966560648458,-1.0,40.0,-1.456,-0.095,6.906,5.45
01-07,-0.04772078519480521,101.8849891118182,0.02672997248064779,-2.0,40.0,-2.005,-0.144,7.446,5.441
01-08,-0.05232142857142857,111.20937499999998,0.07141262767995138,-1.0,40.0,-2.197,-0.202,7.665,5.468
01-09,-0.07242857142857143,152.51349985,0.0035361574315901922,-3.0,40.0,-3.042,-0.276,9.177,6.135
01-10,-0.08040724660633486,167.97388254276024,0.0112353067217279,-2.0,40.0,-3.377,-0.318,8.848,5.471
01-11,-0.09622023809523812,198.9411458333334,0.0004816600233441548,-3.0,40.0,-4.041,-0.267,8.521,4.48
01-12,-0.21083335833333336,428.8654667291667,9.141523271694041e-08,-3.0,40.0,-8.855,-0.545,11.626,2.771
01-13,-0.09437500000000001,196.63343760000004,0.0018660749951147082,-3.0,40.0,-3.963,-0.286,9.865,5.902
01-14,-0.05474137375478927,118.25063534894636,0.1351569216221744,-0.0,40.0,-2.299,-0.17,9.917,7.618
01-15,-0.015751884962406,40.44514174736839,0.6576342475848642,-0.0,40.0,-0.661,-0.05,9.272,8.611
01-16,-0.015316194268774699,38.819413796146236,0.4756942408431839,-0.0,40.0,-0.644,-0.059,8.509,7.865
01-17,-0.012077294685990331,32.23147367995168,0.7113539251606957,-0.0,40.0,-0.508,-0.049,8.331,7.823
01-18,0.014615400000000004,-20.908876700000008,0.6626238895305947,0.0,40.0,0.614,0.062,8.015,8.629
01-19,-0.007863635303030296,24.000475003106047,0.7536624528038838,-0.0,40.0,-0.33,-0.032,8.438,8.108
01-20,-0.0541428642857143,116.42951417500004,0.09390270531694189,-1.0,40.0,-2.274,-0.236,9.281,7.007
01-21,-0.012857147991071427,34.030009810156244,0.3920747660183137,-0.0,40.0,-0.54,-0.058,8.586,8.046
01-22,-0.0023563173371647602,12.474100298323773,0.9554939133596245,-0.0,40.0,-0.099,-0.008,7.811,7.712
01-23,-0.008642535595776775,25.207107338159883,0.7656791597515016,-0.0,40.0,-0.363,-0.025,8.104,7.741
01-24,-0.01076164390681002,29.462145047759826,0.78779676649958,-0.0,40.0,-0.452,-0.027,8.165,7.713
01-25,-0.010217381400966178,28.42443682983091,0.9774779824542015,-0.0,40.0,-0.429,-0.027,8.204,7.775
