,mean,slp,chg,pvalue
01-01,9.148,-0.085,-3.563,0.146
01-02,8.756,-0.022,-0.943,0.865
01-03,11.032,-0.012,-0.502,0.891
01-04,9.966,-0.022,-0.941,0.224
01-05,13.795,0.063,2.662,0.346
01-06,10.54,0.133,5.606,0.018
01-07,10.998,0.199,8.348,0.0
01-08,18.441,0.328,13.755,0.0
01-09,17.787,0.358,15.036,0.0
01-10,16.441,0.027,1.152,0.877
01-11,13.481,0.021,0.866,0.678
01-12,14.335,0.09,3.78,0.11
01-13,14.6,0.167,7.009,0.022
01-14,15.612,0.142,5.951,0.041
01-15,13.586,0.124,5.197,0.188
01-16,14.054,0.236,9.912,0.015
01-17,18.062,0.574,24.129,0.0
01-18,17.142,0.661,27.78,0.0
01-19,14.833,0.388,16.316,0.0
01-20,12.694,0.196,8.23,0.0
01-21,12.719,0.246,10.34,0.038
01-22,13.088,0.225,9.458,0.003
01-23,11.775,0.183,7.696,0.001
01-24,12.307,0.171,7.196,0.0
01-25,13.995,0.197,8.258,0.0
01-26,11.134,0.156,6.569,0.001
01-27,10.008,0.109,4.579,0.031
01-28,11.274,0.016,0.683,0.834
01-29,13.097,0.065,2.712,0.409
01-30,15.62,0.046,1.943,0.699
01-31,12.286,0.024,1.029,0.662
02-01,11.104,0.002,0.1,0.933
02-02,10.48,-0.047,-1.973,0.433
02-03,10.247,-0.036,-1.491,0.735
02-04,9.669,0.02,0.82,0.531
02-05,14.634,0.19,7.973,0.002
02-06,14.569,0.213,8.936,0.076
02-07,11.906,0.138,5.785,0.046
02-08,11.923,0.115,4.85,0.014
02-09,10.972,0.048,2.016,0.531
02-10,10.102,0.055,2.3,0.462
02-11,10.068,-0.015,-0.624,0.915
02-12,11.181,-0.012,-0.518,0.836
02-13,11.578,-0.281,-11.818,0.017
02-14,12.119,-0.121,-5.068,0.143
02-15,12.038,-0.008,-0.344,0.983
02-16,12.436,0.057,2.391,0.543
02-17,14.164,-0.057,-2.406,0.66
02-18,14.482,-0.212,-8.885,0.089
02-19,12.458,-0.294,-12.355,0.038
02-20,9.852,-0.199,-8.367,0.098
02-21,9.714,-0.194,-8.142,0.036
02-22,10.514,-0.158,-6.62,0.016
02-23,9.22,-0.143,-6.017,0.019
02-24,8.978,-0.204,-8.579,0.002
02-25,10.332,-0.245,-10.3,0.0
02-26,9.608,-0.232,-9.73,0.001
02-27,9.546,-0.292,-12.285,0.0
02-28,8.853,-0.202,-8.465,0.0
03-01,9.542,-0.132,-5.546,0.0
03-02,9.334,-0.084,-3.539,0.014
03-03,11.482,-0.045,-1.885,0.442
03-04,10.952,-0.132,-5.535,0.088
03-05,10.236,-0.11,-4.611,0.134
03-06,10.462,-0.159,-6.679,0.001
03-07,9.582,-0.182,-7.65,0.003
03-08,10.116,-0.223,-9.357,0.0
03-09,11.918,-0.154,-6.485,0.001
03-10,13.909,-0.127,-5.346,0.072
03-11,14.903,-0.065,-2.712,0.308
03-12,14.257,0.171,7.198,0.004
03-13,14.256,0.171,7.174,0.035
03-14,16.082,0.288,12.104,0.015
03-15,14.718,0.279,11.717,0.012
03-16,11.953,0.202,8.484,0.017
03-17,13.386,0.057,2.387,0.003
03-18,12.112,0.041,1.717,0.47
03-19,11.167,0.112,4.69,0.004
03-20,12.509,0.139,5.85,0.018
03-21,15.146,0.131,5.505,0.004
03-22,16.595,0.263,11.06,0.0
03-23,13.792,0.095,3.971,0.026
03-24,12.08,0.087,3.647,0.136
03-25,11.51,0.107,4.491,0.064
03-26,13.604,0.102,4.293,0.001
03-27,13.66,0.173,7.276,0.003
03-28,14.091,0.227,9.546,0.0
03-29,13.206,0.271,11.364,0.059
03-30,13.93,0.287,12.035,0.004
03-31,16.022,0.249,10.439,0.0
04-01,14.596,0.163,6.861,0.0
04-02,13.867,0.045,1.878,0.529
04-03,14.038,0.025,1.049,0.649
04-04,13.164,0.076,3.179,0.102
04-05,14.896,0.098,4.107,0.215
04-06,16.213,0.142,5.968,0.137
04-07,17.838,0.325,13.657,0.001
04-08,18.159,0.339,14.254,0.0
04-09,17.117,0.178,7.455,0.001
04-10,19.819,0.179,7.534,0.026
04-11,20.044,0.129,5.43,0.004
04-12,18.684,0.056,2.352,0.259
04-13,19.374,-0.017,-0.72,0.652
04-14,18.052,-0.099,-4.14,0.102
04-15,16.184,-0.277,-11.637,0.0
04-16,18.895,-0.203,-8.542,0.008
04-17,19.806,-0.096,-4.038,0.222
04-18,19.132,-0.012,-0.489,0.895
04-19,17.972,-0.052,-2.184,0.563
04-20,21.533,0.022,0.922,0.699
04-21,20.124,-0.017,-0.713,0.565
04-22,19.72,-0.087,-3.638,0.046
04-23,20.088,-0.074,-3.115,0.124
04-24,19.721,-0.02,-0.824,0.632
04-25,18.25,0.1,4.2,0.084
04-26,17.718,0.112,4.696,0.173
