,mean,slp,chg,pvalue
01-01,1.304,0.004,0.172,0.123
01-02,1.354,0.004,0.164,0.283
01-03,1.324,0.003,0.143,0.446
01-04,1.352,0.002,0.103,0.588
01-05,1.313,0.003,0.126,0.345
01-06,1.384,0.004,0.156,0.264
01-07,1.374,0.004,0.181,0.152
01-08,1.315,0.005,0.21,0.26
01-09,1.335,0.005,0.21,0.166
01-10,1.366,0.006,0.246,0.063
01-11,1.355,0.005,0.21,0.09
01-12,1.334,0.004,0.151,0.185
01-13,1.362,0.002,0.08,0.337
01-14,1.35,0.0,0.006,0.745
01-15,1.32,0.0,0.019,0.868
01-16,1.301,0.001,0.054,0.493
01-17,1.301,0.001,0.04,0.567
01-18,1.303,0.003,0.14,0.26
01-19,1.316,0.006,0.265,0.008
01-20,1.327,0.007,0.294,0.009
01-21,1.335,0.005,0.21,0.062
01-22,1.337,0.007,0.276,0.029
01-23,1.326,0.007,0.277,0.016
01-24,1.336,0.006,0.254,0.029
01-25,1.325,0.005,0.2,0.018
01-26,1.326,0.006,0.254,0.004
01-27,1.325,0.005,0.21,0.05
01-28,1.336,0.005,0.223,0.04
01-29,1.328,0.008,0.326,0.018
01-30,1.308,0.008,0.323,0.014
01-31,1.26,0.01,0.42,0.001
02-01,1.202,0.011,0.471,0.001
02-02,1.291,0.011,0.458,0.0
02-03,1.28,0.011,0.443,0.0
02-04,1.26,0.01,0.432,0.0
02-05,1.26,0.01,0.405,0.001
02-06,1.28,0.01,0.411,0.0
02-07,1.268,0.009,0.365,0.001
02-08,1.247,0.007,0.292,0.008
02-09,1.247,0.007,0.308,0.006
02-10,1.216,0.007,0.279,0.02
02-11,1.228,0.007,0.315,0.008
02-12,1.246,0.006,0.259,0.053
02-13,1.254,0.005,0.193,0.211
02-14,1.274,0.004,0.168,0.268
02-15,1.253,0.004,0.159,0.425
02-16,1.254,0.004,0.181,0.281
02-17,1.214,0.004,0.176,0.193
02-18,1.252,0.003,0.123,0.528
02-19,1.252,0.002,0.068,0.628
02-20,1.222,0.002,0.082,0.635
02-21,1.252,0.001,0.057,0.789
02-22,1.262,0.002,0.065,0.772
02-23,1.3,0.001,0.031,0.627
02-24,1.3,-0.0,-0.006,0.922
02-25,1.328,-0.001,-0.049,0.74
02-26,1.379,-0.001,-0.034,0.605
02-27,1.308,-0.001,-0.057,0.759
02-28,1.279,-0.001,-0.046,0.847
03-01,1.34,0.0,0.0,1.0
03-02,1.291,0.001,0.03,0.741
03-03,1.299,-0.001,-0.042,0.702
03-04,1.32,0.0,0.0,0.935
03-05,1.3,-0.0,-0.007,0.939
03-06,1.331,0.001,0.046,0.805
03-07,1.37,0.001,0.025,0.947
03-08,1.35,-0.0,-0.007,0.906
03-09,1.37,0.0,0.0,1.0
03-10,1.372,0.002,0.07,0.546
03-11,1.384,0.004,0.163,0.249
03-12,1.392,0.002,0.084,0.488
03-13,1.405,0.005,0.21,0.102
03-14,1.394,0.004,0.151,0.272
03-15,1.372,0.002,0.084,0.555
03-16,1.352,0.002,0.101,0.54
03-17,1.444,0.003,0.137,0.391
03-18,1.443,0.003,0.124,0.249
03-19,1.473,0.003,0.123,0.269
03-20,1.506,0.005,0.213,0.174
03-21,1.567,0.007,0.294,0.046
03-22,1.517,0.007,0.298,0.041
03-23,1.59,0.01,0.42,0.008
03-24,1.568,0.009,0.367,0.013
03-25,1.58,0.009,0.385,0.002
03-26,1.56,0.009,0.389,0.003
03-27,1.568,0.008,0.353,0.025
03-28,1.568,0.008,0.35,0.05
03-29,1.558,0.009,0.365,0.049
03-30,1.547,0.008,0.325,0.061
03-31,1.562,0.011,0.481,0.048
04-01,1.572,0.012,0.522,0.058
04-02,1.772,0.012,0.523,0.13
