,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.0008729830645161293,2.1460931359677424,0.3995515086446715,-0.0,41.0,-0.036,-0.074,0.418,0.382
01-02,-0.0013279573596176818,3.0485867518757463,0.357766345901408,-0.0,41.0,-0.056,-0.117,0.421,0.365
01-03,-0.0006181813181818181,1.6187444450454542,0.38222968018147996,-0.0,41.0,-0.026,-0.055,0.395,0.369
01-04,-0.0012361112499999988,2.8439863887499977,0.16544320056384842,-0.0,41.0,-0.052,-0.113,0.398,0.346
01-05,-0.0008877420967741932,2.1495964514516124,0.26785152435518134,-0.0,41.0,-0.038,-0.083,0.393,0.355
01-06,-0.0008444445833333332,2.073044712083333,0.3057525459681245,-0.0,41.0,-0.036,-0.08,0.402,0.366
01-07,-0.0010184619384615372,2.410905414984613,0.23827933294934844,-0.0,41.0,-0.042,-0.091,0.395,0.353
01-08,-0.0017119813709677422,3.7922507605645164,0.17602138528290334,-0.0,41.0,-0.072,-0.151,0.404,0.332
01-09,-0.0012840505017921158,2.936816953082439,0.24620132916530268,-0.0,41.0,-0.054,-0.111,0.396,0.342
01-10,-0.002082207207207208,4.5443322072072085,0.04470758516815421,-2.0,41.0,-0.088,-0.185,0.424,0.336
01-11,-0.0022916667361111125,4.951041805486114,0.014955974465970412,-2.0,41.0,-0.096,-0.208,0.416,0.32
01-12,-0.0027638891666666677,5.901014434166669,0.010015236714059572,-2.0,41.0,-0.116,-0.254,0.431,0.315
01-13,-0.002436950439882698,5.2434639393255145,0.004479356346663854,-3.0,41.0,-0.103,-0.229,0.421,0.318
01-14,-0.0021730767948717963,4.70898052294872,0.035374172261540826,-2.0,41.0,-0.091,-0.204,0.408,0.317
01-15,-0.0016153846153846158,3.5991538461538473,0.11191607274719728,-0.0,41.0,-0.068,-0.155,0.402,0.334
01-16,-0.0012948715000000001,2.9534481385,0.27569594353523974,-0.0,41.0,-0.054,-0.122,0.391,0.337
01-17,-0.0012916654166666686,2.9470391779166705,0.3654322753759305,-0.0,41.0,-0.054,-0.121,0.391,0.337
01-18,-0.00145192266025641,3.2623934078525636,0.20076376256332384,-0.0,41.0,-0.061,-0.135,0.389,0.328
01-19,-0.001258334916666667,2.8694114984166674,0.220528722094246,-0.0,41.0,-0.053,-0.115,0.379,0.326
01-20,-0.0019145448272727275,4.187175119718182,0.09660441302413902,-1.0,41.0,-0.08,-0.173,0.398,0.318
01-21,-0.0017340069612794603,3.819279905597641,0.09832876879621688,-1.0,41.0,-0.073,-0.158,0.388,0.315
01-22,-0.0017284217789473675,3.799115146115788,0.04538493900317131,-2.0,41.0,-0.073,-0.157,0.379,0.306
01-23,-0.002124998750000001,4.589872511250001,0.081367053241858,-1.0,41.0,-0.089,-0.193,0.384,0.295
01-24,-0.0022175924074074064,4.782967212407405,0.04917078743323855,-2.0,41.0,-0.093,-0.202,0.394,0.301
01-25,-0.0023000001666666657,4.935700333166665,0.027496791597406922,-2.0,41.0,-0.097,-0.212,0.384,0.287
01-26,-0.002083333645833332,4.47658396802083,0.013813707584012347,-2.0,41.0,-0.088,-0.196,0.354,0.266
01-27,-0.0024913797327586204,5.297268085784482,0.008471990432796339,-3.0,41.0,-0.105,-0.237,0.367,0.262
01-28,-0.0025499997083333332,5.423449426958333,0.010924719083813317,-2.0,41.0,-0.107,-0.247,0.377,0.27
01-29,-0.002581177607758621,5.491774027909483,0.014948740494387547,-2.0,41.0,-0.109,-0.256,0.384,0.275
01-30,-0.0021999979999999973,4.7357960019999945,0.013814991444803804,-2.0,41.0,-0.092,-0.221,0.382,0.29
01-31,-0.002203917926267282,4.741631934608297,0.03963209529416134,-2.0,41.0,-0.092,-0.225,0.38,0.288
02-01,-0.0021697798132427858,4.699389836672329,0.013712006945217237,-2.0,41.0,-0.091,-0.222,0.405,0.314
02-02,-0.002228757875816994,4.803286983758171,0.036655033483325994,-2.0,41.0,-0.094,-0.234,0.393,0.299
02-03,-0.0021805559259259256,4.692931285925925,0.026477537499745907,-2.0,41.0,-0.092,-0.236,0.378,0.286
02-04,-0.002218254166666667,4.751290079166667,0.0056822861815619685,-3.0,41.0,-0.093,-0.241,0.361,0.268
02-05,-0.002658333541666666,5.6280087597916655,0.00170561400046787,-3.0,41.0,-0.111,-0.287,0.367,0.256
02-06,-0.002802144512670566,5.8974868808284615,0.000778774369157631,-3.0,41.0,-0.118,-0.305,0.352,0.234
02-07,-0.002973684019138757,6.236394354258375,0.0007088528785681447,-3.0,41.0,-0.124,-0.312,0.351,0.227
02-08,-0.0025431029471982758,5.392662781449354,0.0044499779686153484,-3.0,41.0,-0.107,-0.26,0.36,0.253
02-09,-0.0022777785185185196,4.8602792685185205,0.025003287032919097,-2.0,41.0,-0.096,-0.229,0.353,0.257
02-10,-0.002477270227272724,5.262063184318175,0.026895327027230964,-2.0,41.0,-0.104,-0.243,0.36,0.256
02-11,-0.0026966913327205883,5.696685964108456,0.02604162604583915,-2.0,41.0,-0.113,-0.261,0.36,0.247
02-12,-0.00291589827764977,6.14788066702189,0.01693496781976278,-2.0,41.0,-0.122,-0.279,0.377,0.255
02-13,-0.002970588249525617,6.244205900801709,0.02128891695448476,-2.0,41.0,-0.124,-0.279,0.365,0.241
02-14,-0.0026261343920145185,5.563642659637022,0.02483646814861684,-2.0,41.0,-0.111,-0.249,0.367,0.256
02-15,-0.0024078335483870977,5.122259253225808,0.046280008138186224,-2.0,41.0,-0.101,-0.23,0.357,0.256
02-16,-0.0026087966898148147,5.522984582939815,0.0401763576582308,-2.0,41.0,-0.109,-0.251,0.36,0.251
02-17,-0.0026136358422459904,5.529658058649734,0.041789084758674155,-2.0,41.0,-0.109,-0.253,0.357,0.248
02-18,-0.002814814074074076,5.937813324074078,0.017362030260053674,-2.0,41.0,-0.118,-0.276,0.367,0.249
02-19,-0.002891666138888889,6.089440601638889,0.015472340521624828,-2.0,41.0,-0.122,-0.287,0.367,0.245
02-20,-0.0031464285714285726,6.615710724285716,0.022463893485749065,-2.0,41.0,-0.132,-0.311,0.389,0.257
02-21,-0.003250000909090906,6.813751817272721,0.019686128467229613,-2.0,41.0,-0.137,-0.324,0.382,0.245
02-22,-0.0034270832291666666,7.182739365104167,0.009165630756313492,-3.0,41.0,-0.144,-0.343,0.401,0.257
02-23,-0.00399999729166667,8.340994586041674,0.004110303104979174,-3.0,41.0,-0.168,-0.401,0.425,0.257
02-24,-0.004381944444444445,9.119506954444445,0.00012226750230115435,-3.0,41.0,-0.184,-0.436,0.448,0.264
02-25,-0.0045694438657407415,9.489318277615743,1.5322655011473785e-06,-3.0,41.0,-0.192,-0.462,0.446,0.254
02-26,-0.00498214251231527,10.282302892118226,3.950319116263756e-06,-3.0,41.0,-0.21,-0.513,0.423,0.213
02-27,-0.005166666458333332,10.62816626020833,2.3137545830387296e-06,-3.0,41.0,-0.217,-0.535,0.403,0.186
02-28,-0.00544949606060606,11.214542635151513,9.174158654978726e-08,-3.0,41.0,-0.229,-0.568,0.43,0.201
