,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,0.0,0.0735799999999999,0.9763253671593821,0.0,39.0,0.0,0.0,0.074,0.074
01-02,9.728124999999993e-05,-0.10881349999999995,0.7631688877086342,0.0,39.0,0.004,0.009,0.084,0.088
01-03,0.0,0.083485,1.0,0.0,39.0,0.0,0.0,0.083,0.083
01-04,-0.00012970833333333728,0.3414866666666745,0.38304376203322965,-0.0,39.0,-0.006,-0.023,0.085,0.079
01-05,0.0,0.090843,0.9747929361375427,0.0,39.0,0.0,0.0,0.091,0.091
01-06,0.00016803124999999696,-0.24804949999999393,0.5332141116678875,0.0,39.0,0.008,0.032,0.084,0.092
01-07,0.0,0.09905,1.0,0.0,39.0,0.0,0.0,0.099,0.099
01-08,-4.921739130434787e-05,0.19295678260869575,0.8787382393552865,-0.0,39.0,-0.003,-0.006,0.096,0.093
01-09,0.00020917391304347386,-0.31363782608694774,0.7646979298836674,0.0,39.0,0.009,0.016,0.1,0.109
01-10,0.0004116363636363552,-0.7213927272727103,0.6616081946813412,0.0,39.0,0.018,0.056,0.093,0.111
01-11,0.0,0.097352,1.0,0.0,39.0,0.0,0.0,0.097,0.097
01-12,-0.00013476190476189944,0.36291380952379876,0.9212252450808152,-0.0,39.0,-0.005,-0.02,0.096,0.091
01-13,0.00014715999999999617,-0.19809999999999234,0.8374516616100907,0.0,39.0,0.006,0.027,0.093,0.099
01-14,0.0,0.091692,0.972381453973169,0.0,39.0,0.0,0.0,0.092,0.092
01-15,-0.00031444444444444434,0.7251088888888887,0.5536665372816372,-0.0,39.0,-0.013,-0.058,0.103,0.09
01-16,0.0,0.116879,0.9566507078676161,0.0,39.0,0.0,0.0,0.117,0.117
01-17,0.00021561904761904319,-0.30388809523808635,0.6632930084081967,0.0,39.0,0.009,0.031,0.123,0.132
01-18,0.0003360625000000004,-0.5504350000000009,0.684089094994736,0.0,39.0,0.014,0.057,0.115,0.129
01-19,0.00043123809523810025,-0.7436161904762005,0.5986214518976092,0.0,39.0,0.018,0.081,0.11,0.128
01-20,0.0012304347826086928,-2.3139925652173856,0.20415869715146462,0.0,39.0,0.052,0.228,0.121,0.173
01-21,0.0012304347826086928,-2.2890885652173854,0.0792185237325469,1.0,39.0,0.052,0.224,0.146,0.198
01-22,0.0009004545454545401,-1.6325240909090803,0.16642660750000582,0.0,39.0,0.038,0.174,0.149,0.187
01-23,0.0004921739130434781,-0.8117178260869563,0.6267595934350878,0.0,39.0,0.021,0.094,0.162,0.183
01-24,8.61304347826087e-05,0.009425130434782575,0.8132117525342375,0.0,39.0,0.003,0.013,0.18,0.183
01-25,0.00026531250000000686,-0.3616740000000137,0.7527685081687621,0.0,39.0,0.012,0.054,0.163,0.175
01-26,0.0003254499999999952,-0.4949669999999904,0.44938125246727667,0.0,39.0,0.014,0.065,0.149,0.163
01-27,0.00036790000000000016,-0.5744900000000004,0.5888165166086012,0.0,39.0,0.015,0.071,0.154,0.169
01-28,0.0007277142857142839,-1.302325571428568,0.25493085288030226,0.0,39.0,0.03,0.143,0.138,0.168
01-29,0.0015848000000000001,-3.0139500000000004,0.028104806752061506,2.0,39.0,0.067,0.326,0.122,0.189
01-30,0.0015407777777777778,-2.9343955555555556,0.07593152106561085,1.0,39.0,0.065,0.276,0.115,0.18
01-31,0.0015918750000000065,-3.0439480000000128,0.023417375187170908,2.0,39.0,0.067,0.311,0.106,0.173
02-01,0.0014554285714285643,-2.7696401428571287,0.0388985636143615,2.0,39.0,0.061,0.284,0.111,0.172
02-02,0.0018311764705882347,-3.5256639411764694,0.01773306322608237,2.0,39.0,0.077,0.305,0.098,0.175
02-03,0.002138222222222222,-4.145981444444444,0.0013910595075818932,3.0,39.0,0.089,0.377,0.086,0.175
02-04,0.002304428571428586,-4.479243142857173,0.0006145103757966286,3.0,39.0,0.097,0.425,0.081,0.178
02-05,0.0020871249999999944,-4.042937999999989,0.013878039894491101,2.0,39.0,0.088,0.226,0.087,0.175
02-06,0.0021769230769230733,-4.194517153846146,0.012845928209913815,2.0,39.0,0.091,0.309,0.114,0.205
02-07,0.0023831578947368383,-4.610382789473676,0.07698094250360965,1.0,39.0,0.1,0.304,0.106,0.206
02-08,0.0026708124999999944,-5.185974999999989,0.059569653706477155,1.0,39.0,0.112,0.251,0.1,0.212
02-09,0.0038571851851851853,-7.549664370370371,0.030410585289281755,2.0,39.0,0.162,0.264,0.084,0.246
02-10,0.0039402307692307775,-7.710661538461555,0.011673298242323105,2.0,39.0,0.166,0.354,0.087,0.253
02-11,0.0037878461538461534,-7.405892307692306,0.011013733605835796,2.0,39.0,0.159,0.477,0.09,0.249
02-12,0.0030321428571428574,-5.8944857142857146,0.02336934127366752,2.0,39.0,0.127,0.461,0.106,0.233
02-13,0.0026278571428571423,-4.9950712857142845,0.1201680563030827,0.0,39.0,0.111,0.375,0.205,0.316
02-14,0.0018866666666666734,-3.515803333333347,0.3053327042227547,0.0,39.0,0.079,0.224,0.218,0.297
