,mean,slp,chg,pvalue
01-01,0.31,-0.004,-0.186,0.047
01-02,0.32,-0.003,-0.14,0.031
01-03,0.37,-0.005,-0.226,0.055
01-04,0.4,-0.004,-0.168,0.191
01-05,0.54,-0.004,-0.152,0.405
01-06,0.79,0.001,0.026,0.85
01-07,0.59,-0.002,-0.094,0.173
01-08,0.79,-0.005,-0.21,0.213
01-09,0.65,-0.003,-0.128,0.272
01-10,0.57,-0.003,-0.14,0.022
01-11,0.66,-0.009,-0.385,0.006
01-12,0.48,-0.01,-0.42,0.002
01-13,0.55,-0.008,-0.314,0.022
01-14,0.46,-0.01,-0.399,0.042
01-15,0.42,-0.008,-0.324,0.028
01-16,0.651,-0.007,-0.273,0.036
01-17,0.66,-0.008,-0.348,0.055
01-18,0.82,-0.004,-0.158,0.162
01-19,0.79,-0.002,-0.094,0.39
01-20,0.65,-0.002,-0.098,0.516
01-21,0.59,-0.001,-0.063,0.446
01-22,0.57,-0.003,-0.126,0.172
01-23,0.57,-0.003,-0.136,0.321
01-24,0.57,-0.003,-0.128,0.427
01-25,0.6,-0.002,-0.09,0.642
01-26,0.62,-0.0,-0.016,0.861
01-27,0.9,-0.006,-0.262,0.364
01-28,0.79,-0.004,-0.176,0.399
01-29,0.72,-0.004,-0.154,0.501
01-30,0.71,-0.007,-0.312,0.215
01-31,0.59,-0.01,-0.42,0.105
02-01,0.59,-0.007,-0.28,0.128
02-02,0.57,-0.004,-0.147,0.22
02-03,0.57,-0.003,-0.13,0.281
02-04,0.55,-0.003,-0.116,0.368
02-05,0.52,-0.002,-0.076,0.664
02-06,0.5,-0.001,-0.046,0.506
02-07,0.59,0.001,0.046,0.535
02-08,0.74,-0.002,-0.063,0.735
02-09,0.82,-0.002,-0.096,0.5
02-10,0.96,-0.001,-0.054,0.812
02-11,0.79,-0.003,-0.134,0.235
02-12,0.8,-0.008,-0.336,0.122
02-13,0.9,-0.028,-1.164,0.0
02-14,0.86,-0.025,-1.07,0.0
02-15,1.03,-0.025,-1.062,0.0
02-16,1.14,-0.041,-1.732,0.0
02-17,1.25,-0.051,-2.134,0.001
02-18,1.24,-0.035,-1.47,0.008
02-19,1.23,-0.035,-1.456,0.034
02-20,1.19,-0.033,-1.374,0.0
02-21,1.3,-0.034,-1.424,0.0
02-22,1.33,-0.037,-1.564,0.0
02-23,1.3,-0.03,-1.26,0.011
02-24,1.28,-0.024,-1.024,0.017
02-25,1.64,-0.014,-0.598,0.07
02-26,1.47,-0.015,-0.642,0.047
02-27,1.42,-0.008,-0.33,0.281
02-28,1.25,-0.008,-0.344,0.085
03-01,1.52,-0.009,-0.388,0.267
03-02,1.3,-0.007,-0.28,0.455
03-03,1.44,-0.012,-0.514,0.043
03-04,1.32,-0.012,-0.52,0.011
03-05,1.75,-0.012,-0.525,0.003
03-06,1.56,-0.016,-0.656,0.184
03-07,1.5,-0.012,-0.502,0.123
03-08,1.42,-0.014,-0.572,0.0
03-09,1.36,-0.016,-0.654,0.005
03-10,1.43,-0.021,-0.885,0.002
03-11,1.31,-0.023,-0.952,0.0
03-12,1.23,-0.019,-0.818,0.0
03-13,1.39,-0.031,-1.284,0.0
03-14,1.25,-0.013,-0.56,0.003
03-15,1.25,-0.013,-0.556,0.004
03-16,1.22,-0.016,-0.654,0.068
03-17,1.22,-0.023,-0.972,0.0
03-18,1.19,-0.024,-0.99,0.001
03-19,1.33,-0.018,-0.756,0.0
03-20,1.19,-0.02,-0.858,0.0
03-21,1.05,-0.023,-0.972,0.0
03-22,1.1,-0.017,-0.724,0.0
03-23,1.03,-0.014,-0.59,0.001
03-24,1.73,-0.016,-0.654,0.0
03-25,1.67,-0.015,-0.63,0.028
03-26,1.58,-0.019,-0.782,0.0
03-27,1.56,-0.036,-1.528,0.0
03-28,1.49,-0.026,-1.092,0.001
03-29,1.33,-0.028,-1.18,0.0
03-30,1.08,-0.024,-0.99,0.0
03-31,0.93,-0.02,-0.84,0.012
04-01,1.05,-0.017,-0.718,0.01
04-02,0.85,-0.015,-0.636,0.007
04-03,0.77,-0.015,-0.609,0.01
04-04,0.76,-0.01,-0.438,0.001
04-05,0.85,-0.008,-0.315,0.035
04-06,0.79,-0.008,-0.332,0.033
04-07,0.82,-0.0,-0.016,0.807
04-08,0.71,-0.001,-0.02,0.885
04-09,0.68,-0.002,-0.1,0.513
04-10,0.65,-0.003,-0.132,0.232
04-11,0.62,-0.003,-0.108,0.525
04-12,0.67,-0.001,-0.052,0.755
04-13,0.6,-0.001,-0.034,0.881
04-14,0.54,-0.0,-0.02,0.805
04-15,0.51,-0.002,-0.07,0.652
04-16,0.51,-0.001,-0.05,0.691
04-17,0.54,-0.001,-0.058,0.67
04-18,0.5,-0.002,-0.096,0.452
04-19,0.55,-0.004,-0.172,0.112
04-20,0.53,-0.004,-0.18,0.077
04-21,0.45,-0.003,-0.114,0.158
04-22,0.45,-0.002,-0.096,0.266
04-23,0.51,-0.004,-0.186,0.024
04-24,0.42,-0.005,-0.21,0.008
04-25,0.48,-0.004,-0.158,0.052
04-26,0.48,-0.003,-0.114,0.13
04-27,0.45,-0.003,-0.132,0.077
