,mean,slp,chg,pvalue
0,2.906,0.012,0.514,0.086
1,2.829,0.018,0.756,0.091
2,2.784,0.017,0.718,0.059
3,2.8,0.021,0.875,0.005
4,2.711,0.022,0.934,0.001
5,2.563,0.025,1.05,0.0
6,2.499,0.029,1.2,0.0
7,2.588,0.025,1.051,0.0
8,2.564,0.028,1.172,0.001
9,2.533,0.027,1.12,0.001
10,2.532,0.024,1.004,0.001
11,2.562,0.024,1.028,0.0
12,2.546,0.023,0.953,0.001
13,2.515,0.02,0.84,0.0
14,2.534,0.018,0.766,0.002
15,2.498,0.017,0.719,0.003
16,2.562,0.024,1.012,0.002
17,2.587,0.023,0.98,0.001
18,2.562,0.023,0.955,0.0
19,2.512,0.024,1.02,0.0
20,2.527,0.024,1.008,0.0
21,2.552,0.025,1.061,0.0
22,2.557,0.023,0.986,0.0
23,2.622,0.025,1.029,0.0
24,2.612,0.022,0.945,0.0
25,2.613,0.026,1.098,0.0
26,2.628,0.025,1.039,0.0
27,2.624,0.027,1.149,0.0
28,2.644,0.029,1.2,0.0
29,2.674,0.029,1.239,0.0
30,2.674,0.029,1.235,0.0
31,2.604,0.027,1.131,0.0
32,2.564,0.028,1.176,0.0
33,2.579,0.028,1.17,0.0
34,2.604,0.028,1.16,0.0
35,2.604,0.028,1.184,0.0
36,2.589,0.028,1.19,0.0
37,2.654,0.028,1.194,0.0
38,2.699,0.029,1.2,0.0
39,2.73,0.03,1.245,0.0
40,2.73,0.029,1.23,0.0
41,2.734,0.029,1.215,0.0
42,2.824,0.029,1.198,0.0
43,2.859,0.028,1.172,0.0
44,2.858,0.026,1.11,0.0
45,2.874,0.027,1.155,0.0
46,2.843,0.026,1.112,0.0
47,2.788,0.027,1.134,0.0
48,2.889,0.027,1.14,0.0
49,2.923,0.027,1.12,0.0
50,3.027,0.025,1.036,0.0
51,3.107,0.024,1.02,0.0
52,3.138,0.025,1.069,0.0
53,3.178,0.027,1.127,0.0
54,3.192,0.024,1.028,0.0
55,3.122,0.025,1.069,0.0
56,3.336,0.024,0.993,0.0
57,3.22,0.021,0.875,0.002
58,3.26,0.021,0.868,0.002
59,3.42,0.019,0.811,0.007
60,3.408,0.016,0.691,0.024
61,3.548,0.016,0.66,0.026
62,3.659,0.018,0.758,0.029
63,3.8,0.02,0.824,0.008
64,3.72,0.022,0.905,0.012
65,3.706,0.022,0.91,0.011
66,3.706,0.022,0.928,0.031
67,3.971,0.021,0.9,0.076
68,4.179,0.018,0.764,0.112
69,4.179,0.017,0.72,0.132
70,4.25,0.021,0.877,0.058
71,4.297,0.026,1.085,0.031
72,4.544,0.028,1.19,0.007
73,4.852,0.026,1.073,0.026
74,5.008,0.027,1.12,0.004
75,5.081,0.032,1.35,0.006
76,5.323,0.036,1.508,0.013
77,5.307,0.034,1.44,0.037
78,5.353,0.035,1.486,0.039
79,5.338,0.037,1.575,0.056
80,5.684,0.047,1.963,0.019
81,6.272,0.064,2.682,0.003
82,6.592,0.083,3.493,0.0
83,6.975,0.09,3.78,0.0
84,6.933,0.085,3.57,0.0
85,6.102,0.065,2.72,0.0
86,7.123,0.094,3.967,0.0
87,7.015,0.08,3.36,0.0
88,7.058,0.085,3.557,0.0
89,7.111,0.082,3.446,0.0
90,7.694,0.108,4.515,0.0
91,8.28,0.12,5.04,0.0
92,9.222,0.134,5.648,0.0
93,9.487,0.124,5.208,0.0
94,10.808,0.115,4.83,0.005
95,10.979,0.138,5.794,0.002
96,12.502,0.125,5.265,0.0
97,13.074,0.138,5.796,0.001
98,12.519,0.168,7.056,0.0
99,11.633,0.177,7.42,0.0
100,11.28,0.181,7.613,0.0
101,12.34,0.17,7.14,0.0
102,13.338,0.156,6.54,0.0
103,12.761,0.132,5.544,0.0
104,12.852,0.085,3.563,0.011
105,14.062,0.055,2.296,0.173
106,14.025,0.0,0.0,0.947
107,13.314,-0.024,-0.995,0.407
108,13.77,-0.049,-2.061,0.279
109,16.601,-0.027,-1.14,0.757
110,17.388,-0.033,-1.375,0.649
111,18.247,-0.066,-2.792,0.601
112,20.741,-0.089,-3.72,0.513
113,22.025,-0.161,-6.762,0.221
114,26.542,-0.235,-9.879,0.078
115,27.524,-0.163,-6.855,0.191
116,24.06,-0.131,-5.505,0.176
117,24.563,-0.163,-6.847,0.155
118,25.428,-0.143,-6.02,0.278
119,26.339,-0.132,-5.55,0.153
120,23.732,-0.137,-5.74,0.192
121,23.16,-0.179,-7.532,0.2
122,23.119,-0.202,-8.484,0.057
123,21.924,-0.192,-8.058,0.179
124,22.115,-0.14,-5.866,0.264
125,21.606,-0.138,-5.81,0.461
126,23.646,-0.089,-3.727,0.685
127,23.968,-0.006,-0.235,0.942
128,22.935,0.05,2.1,0.777
129,22.251,0.041,1.736,0.789
130,21.919,-0.053,-2.212,0.729
131,21.705,-0.03,-1.26,0.828
132,22.676,-0.008,-0.336,0.963
133,22.425,-0.01,-0.4,0.935
134,23.02,0.061,2.553,0.708
135,23.521,0.152,6.388,0.41
136,25.0,0.17,7.14,0.435
137,25.864,0.087,3.671,0.581
138,26.272,0.105,4.403,0.605
139,27.465,0.14,5.88,0.442
140,29.944,0.168,7.035,0.345
141,30.911,0.123,5.152,0.259
142,30.584,0.038,1.605,0.839
143,29.278,-0.024,-1.02,0.891
144,29.537,-0.075,-3.164,0.428
145,30.364,-0.122,-5.134,0.298
146,31.754,-0.173,-7.257,0.129
147,34.284,-0.201,-8.46,0.106
148,34.593,-0.153,-6.44,0.164
149,34.736,-0.147,-6.177,0.178
150,35.16,-0.15,-6.313,0.241
151,37.285,-0.141,-5.904,0.388
152,34.53,0.0,0.0,1.0
153,34.228,-0.034,-1.442,1.0
154,33.198,0.167,7.007,0.07
155,33.226,0.232,9.736,0.02
156,35.897,0.193,8.12,0.069
157,40.745,0.27,11.32,0.046
158,43.695,0.23,9.66,0.151
159,43.356,0.112,4.685,0.352
160,44.818,-0.073,-3.08,0.841
161,45.118,-0.044,-1.831,0.826
162,44.595,0.05,2.1,0.777
163,40.509,0.079,3.3,0.687
164,36.866,0.152,6.397,0.447
165,36.526,0.031,1.283,0.824
166,35.088,-0.015,-0.647,0.918
167,37.886,-0.069,-2.893,0.659
168,38.288,-0.113,-4.76,0.445
169,39.569,-0.102,-4.284,0.585
170,38.692,-0.166,-6.966,0.269
171,37.834,-0.181,-7.599,0.243
172,33.936,-0.048,-2.016,0.614
173,30.67,-0.071,-2.963,0.578
174,29.084,-0.133,-5.586,0.417
175,26.902,-0.117,-4.929,0.232
176,26.282,-0.155,-6.523,0.091
177,25.316,-0.228,-9.593,0.102
178,23.238,-0.255,-10.71,0.057
179,20.86,-0.301,-12.643,0.01
180,21.016,-0.278,-11.692,0.004
181,20.027,-0.216,-9.06,0.004
182,22.067,-0.265,-11.146,0.015
183,18.539,-0.252,-10.594,0.014
184,17.43,-0.26,-10.937,0.009
185,17.569,-0.242,-10.174,0.005
186,16.564,-0.153,-6.415,0.028
187,14.92,-0.099,-4.177,0.309
188,15.872,-0.066,-2.756,0.393
189,17.69,-0.108,-4.547,0.109
190,17.786,-0.108,-4.544,0.088
191,16.981,-0.147,-6.184,0.019
192,16.267,-0.126,-5.286,0.041
193,15.271,-0.168,-7.058,0.001
194,14.164,-0.172,-7.208,0.0
195,13.544,-0.142,-5.946,0.0
196,13.004,-0.092,-3.875,0.016
197,13.298,-0.093,-3.906,0.019
198,13.386,-0.149,-6.257,0.0
199,12.914,-0.181,-7.597,0.0
200,11.621,-0.168,-7.046,0.0
201,12.131,-0.188,-7.908,0.0
202,11.481,-0.159,-6.664,0.0
203,11.023,-0.143,-6.02,0.003
204,11.318,-0.143,-5.991,0.007
