,mean,slp,chg,pvalue
01-01,0.27,0.0,0.0,0.545
01-02,0.31,0.0,0.017,0.517
01-03,0.281,0.001,0.026,0.527
01-04,0.321,0.001,0.024,0.585
01-05,0.32,0.0,0.0,0.849
01-06,0.31,0.0,0.0,0.935
01-07,0.32,0.0,0.0,0.769
01-08,0.36,0.0,0.0,0.979
01-09,0.37,0.0,0.0,0.895
01-10,0.399,-0.0,-0.016,0.632
01-11,0.419,-0.001,-0.026,0.589
01-12,0.418,-0.001,-0.047,0.533
01-13,0.418,-0.001,-0.04,0.666
01-14,0.471,-0.004,-0.18,0.278
01-15,0.467,-0.007,-0.28,0.169
01-16,0.463,-0.009,-0.358,0.149
01-17,0.456,-0.007,-0.289,0.25
01-18,0.573,-0.009,-0.36,0.174
01-19,0.552,-0.009,-0.387,0.16
01-20,0.637,-0.007,-0.28,0.201
01-21,0.652,-0.009,-0.367,0.194
01-22,0.8,-0.01,-0.42,0.198
01-23,0.799,-0.011,-0.448,0.146
01-24,0.934,-0.013,-0.531,0.124
01-25,0.97,-0.01,-0.42,0.215
01-26,0.966,-0.012,-0.513,0.19
01-27,0.996,-0.007,-0.3,0.389
01-28,0.97,-0.005,-0.21,0.463
01-29,1.073,-0.003,-0.14,0.433
01-30,1.015,-0.002,-0.106,0.596
01-31,1.036,-0.002,-0.084,0.602
02-01,0.996,-0.002,-0.084,0.581
02-02,0.958,-0.001,-0.047,0.713
02-03,1.05,0.0,0.0,0.971
02-04,1.07,0.0,0.0,0.97
02-05,0.942,0.001,0.029,0.709
02-06,0.853,0.001,0.06,0.552
02-07,0.822,0.001,0.053,0.614
02-08,1.023,0.001,0.06,0.552
02-09,0.96,0.0,0.0,0.84
02-10,0.913,0.002,0.066,0.633
02-11,0.853,0.002,0.066,0.652
02-12,0.762,0.001,0.042,0.762
02-13,0.882,0.001,0.038,0.789
02-14,0.712,0.001,0.053,0.748
02-15,0.682,0.001,0.035,0.827
02-16,0.64,0.0,0.0,1.0
02-17,0.59,0.0,0.0,1.0
02-18,0.55,0.0,0.0,0.909
02-19,0.477,-0.001,-0.06,0.435
02-20,0.426,-0.002,-0.095,0.272
02-21,0.474,-0.003,-0.122,0.146
02-22,0.502,-0.004,-0.149,0.062
02-23,0.512,-0.004,-0.157,0.061
02-24,0.461,-0.004,-0.18,0.053
02-25,0.413,-0.003,-0.14,0.137
02-26,0.416,-0.007,-0.305,0.046
02-27,0.896,-0.008,-0.315,0.065
02-28,0.986,-0.007,-0.294,0.023
03-01,0.97,-0.01,-0.42,0.006
03-02,0.92,-0.01,-0.42,0.002
03-03,0.853,-0.013,-0.56,0.001
03-04,0.77,-0.015,-0.62,0.0
03-05,0.69,-0.015,-0.63,0.0
03-06,0.628,-0.016,-0.663,0.0
03-07,0.543,-0.023,-0.98,0.001
03-08,0.687,-0.022,-0.91,0.013
03-09,0.678,-0.021,-0.893,0.017
03-10,0.674,-0.023,-0.96,0.022
03-11,0.653,-0.024,-0.988,0.012
03-12,0.663,-0.019,-0.787,0.014
03-13,0.66,-0.015,-0.63,0.009
03-14,0.678,-0.016,-0.683,0.002
03-15,0.73,-0.015,-0.649,0.001
03-16,0.731,-0.015,-0.616,0.0
03-17,0.62,-0.015,-0.63,0.0
03-18,0.56,-0.015,-0.63,0.001
03-19,0.476,-0.017,-0.731,0.003
03-20,0.48,-0.015,-0.63,0.01
03-21,0.517,-0.012,-0.49,0.007
03-22,0.614,-0.018,-0.745,0.001
03-23,0.636,-0.022,-0.926,0.0
03-24,0.669,-0.021,-0.864,0.0
03-25,0.596,-0.017,-0.723,0.0
03-26,0.52,-0.015,-0.623,0.001
03-27,0.45,-0.015,-0.63,0.002
03-28,0.521,-0.014,-0.606,0.006
03-29,0.57,-0.01,-0.42,0.015
03-30,0.608,-0.006,-0.252,0.044
03-31,0.472,-0.004,-0.168,0.062
04-01,0.372,-0.004,-0.166,0.018
04-02,0.423,-0.003,-0.14,0.032
04-03,0.322,-0.004,-0.165,0.005
04-04,0.284,-0.003,-0.12,0.01
04-05,0.414,-0.003,-0.12,0.01
04-06,0.535,-0.003,-0.108,0.033
04-07,0.565,-0.002,-0.096,0.015
04-08,0.716,-0.002,-0.086,0.061
04-09,0.616,-0.002,-0.084,0.072
04-10,0.526,-0.002,-0.075,0.063
04-11,0.457,-0.001,-0.058,0.099
04-12,0.378,-0.001,-0.049,0.116
04-13,0.338,-0.001,-0.04,0.098
04-14,0.298,-0.001,-0.035,0.103
04-15,0.249,-0.001,-0.022,0.182
04-16,0.209,-0.001,-0.022,0.187
04-17,0.17,0.0,0.0,0.172
04-18,0.15,0.0,0.0,0.278
04-19,0.14,0.0,0.0,0.404
04-20,0.14,0.0,0.0,0.652
04-21,0.13,0.0,0.0,0.51
04-22,0.1,0.0,0.0,0.408
04-23,0.08,0.0,0.0,0.397
04-24,0.07,0.0,0.0,0.37
04-25,0.07,0.0,0.0,0.373
04-26,0.08,0.0,0.0,0.079
04-27,0.1,0.0,0.0,0.099
04-28,0.09,0.0,0.0,0.014
04-29,0.07,0.0,0.0,0.008
04-30,0.05,0.0,0.0,0.023
05-01,0.05,0.0,0.0,0.065
05-02,0.04,0.0,0.0,0.046
05-03,0.03,0.0,0.0,0.04
05-04,0.03,0.0,0.0,0.125
05-05,0.03,0.0,0.0,0.509
05-06,0.03,0.0,0.0,0.946
05-07,0.05,0.0,0.0,0.972
05-08,0.04,0.0,0.0,0.456
05-09,0.03,0.0,0.0,0.001
05-10,0.03,0.0,0.0,0.0
05-11,0.03,0.0,0.0,0.012
05-12,0.02,0.0,0.0,0.1
05-13,0.01,0.0,0.0,0.316
05-14,0.02,0.0,0.0,0.358
05-15,0.02,0.0,0.0,0.474
05-16,0.02,0.0,0.0,0.46
05-17,0.02,0.0,0.0,0.52
05-18,0.01,0.0,0.0,0.516
05-19,0.01,0.0,0.0,0.503
05-20,0.01,0.0,0.0,0.393
05-21,0.01,0.0,0.0,0.36
05-22,0.01,0.0,0.0,0.272
05-23,0.01,0.0,0.0,0.114
05-24,0.0,0.0,0.0,0.13
05-25,0.0,0.0,0.0,0.152
05-26,0.0,0.0,0.0,0.31
05-27,0.0,0.0,0.0,0.318
05-28,0.0,0.0,0.0,0.168
05-29,0.0,0.0,0.0,0.15
05-30,0.0,0.0,0.0,0.242
05-31,0.0,0.0,0.0,0.261
06-01,0.0,0.0,0.0,0.31
06-02,0.01,0.0,0.0,0.174
06-03,0.01,0.0,0.0,0.198
06-04,0.01,0.0,0.0,0.139
06-05,0.01,0.0,0.0,0.25
06-06,0.02,0.0,0.0,0.571
06-07,0.01,0.0,0.0,0.968
06-08,0.01,0.0,0.0,0.513
06-09,0.02,0.0,0.0,0.243
06-10,0.02,0.0,0.0,0.04
06-11,0.021,0.001,0.024,0.022
06-12,0.011,0.001,0.022,0.015
06-13,0.022,0.001,0.031,0.011
06-14,0.032,0.001,0.025,0.016
06-15,0.05,0.0,0.021,0.05
06-16,0.052,0.001,0.035,0.034
06-17,0.044,0.002,0.084,0.025
06-18,0.045,0.002,0.106,0.035
06-19,0.034,0.002,0.09,0.035
06-20,0.033,0.001,0.06,0.035
