,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
01-01,-0.001128069444444443,2.4672608194444416,0.190903901038028,-0.0,41.0,-0.048,-0.025,0.235,0.187
01-02,-0.0012757822580645127,2.762538733870961,0.26085394673782303,-0.0,41.0,-0.054,-0.027,0.238,0.184
01-03,-0.0008511439393939393,1.9646267348484847,0.3329367316417491,-0.0,41.0,-0.036,-0.018,0.28,0.244
01-04,-0.0011267592592592592,2.518411759259259,0.2820894158823799,-0.0,41.0,-0.048,-0.025,0.289,0.241
01-05,-0.0012322291666666619,2.740566104166657,0.21277627121260378,-0.0,41.0,-0.052,-0.028,0.302,0.25
01-06,-0.0011421071428571446,2.551922178571432,0.23018662113877442,-0.0,41.0,-0.048,-0.027,0.292,0.244
01-07,-0.0013813095238095195,3.01876773809523,0.2233498638658289,-0.0,41.0,-0.058,-0.034,0.285,0.227
01-08,-0.001588164335664337,3.4237805069930096,0.16307648214473724,-0.0,41.0,-0.067,-0.04,0.281,0.214
01-09,-0.0018394999999999974,3.9460104999999945,0.18166695316565984,-0.0,41.0,-0.078,-0.047,0.306,0.228
01-10,-0.0022478285714285645,4.7707493142857,0.1259472857642827,-0.0,41.0,-0.094,-0.058,0.322,0.228
01-11,-0.0018866666666666754,4.023316666666684,0.10108745289036225,-0.0,41.0,-0.08,-0.05,0.29,0.21
01-12,-0.0033960000000000006,7.048964000000002,0.04060368305871975,-2.0,41.0,-0.142,-0.09,0.328,0.186
01-13,-0.0032820138888888864,6.900345763888884,0.03000122740793798,-2.0,41.0,-0.138,-0.09,0.405,0.267
01-14,-0.0038616023809523786,8.030643159523805,0.04171159269175151,-2.0,41.0,-0.163,-0.106,0.389,0.226
01-15,-0.003116930555555561,6.542044180555567,0.03851691473521002,-2.0,41.0,-0.131,-0.082,0.374,0.243
01-16,-0.003250398550724631,6.803186702898538,0.029952110597695203,-2.0,41.0,-0.137,-0.075,0.371,0.234
01-17,-0.00367409956709956,7.6303550346320215,0.03308824138021782,-2.0,41.0,-0.154,-0.083,0.359,0.205
01-18,-0.003983337301587297,8.225881265873006,0.032855759873327006,-2.0,41.0,-0.167,-0.093,0.343,0.176
01-19,-0.004089846491228063,8.430586135964896,0.0368203023586251,-2.0,41.0,-0.172,-0.1,0.337,0.165
01-20,-0.004269284897025169,8.808810509153314,0.022575556241106298,-2.0,41.0,-0.179,-0.108,0.36,0.181
01-21,-0.0069570833333333325,14.24680958333333,0.00667501246294866,-3.0,41.0,-0.292,-0.183,0.479,0.187
01-22,-0.006486876934984516,13.278566993034048,0.012300377926709904,-2.0,41.0,-0.272,-0.171,0.441,0.169
01-23,-0.004856022727272726,10.04678943181818,0.057644753395386994,-1.0,41.0,-0.204,-0.127,0.437,0.233
01-24,-0.0061805710526315755,12.666261534210518,0.029344502778906323,-2.0,41.0,-0.26,-0.161,0.435,0.175
01-25,-0.007322625000000001,14.977527375000001,0.008664545661684286,-3.0,41.0,-0.307,-0.197,0.486,0.179
01-26,-0.008788722222222219,17.879955722222217,0.004706878858298458,-3.0,41.0,-0.369,-0.246,0.487,0.118
01-27,-0.0075668449197860916,15.479872994652398,0.008464516537369127,-3.0,41.0,-0.318,-0.214,0.505,0.187
01-28,-0.007075000000000003,14.524975000000007,0.006278374514480767,-3.0,41.0,-0.298,-0.2,0.524,0.226
01-29,-0.003140684782608698,6.702728880434787,0.015270706531040235,-2.0,41.0,-0.132,-0.088,0.487,0.355
01-30,-0.0037714466666666675,8.020221886666668,0.0030404760380426943,-3.0,41.0,-0.159,-0.107,0.557,0.398
01-31,-0.004221731111111105,8.948640491111098,0.009419758290901914,-3.0,41.0,-0.177,-0.119,0.594,0.417
02-01,-0.003633473913043474,7.744414352173904,0.015965699492437313,-2.0,41.0,-0.153,-0.105,0.554,0.401
02-02,-0.0038445960144927517,8.16644743297101,0.006517559318699684,-3.0,41.0,-0.161,-0.112,0.558,0.397
02-03,-0.003192671554252193,6.834950436950134,0.009849374727976423,-3.0,41.0,-0.134,-0.088,0.517,0.383
02-04,-0.00134425,3.11165575,0.009822821070351928,-3.0,41.0,-0.056,-0.036,0.451,0.395
02-05,-0.0012231624649859968,2.8696017675070076,0.02991746938711315,-2.0,41.0,-0.051,-0.033,0.449,0.398
02-06,-0.001544708333333332,3.5689719583333304,0.02752588914436971,-2.0,41.0,-0.065,-0.043,0.512,0.447
02-07,-0.0017485357142857112,3.9764228928571366,0.007333460454006513,-3.0,41.0,-0.073,-0.047,0.516,0.443
02-08,-0.0037634035087719267,8.032443614035081,0.008286302167388238,-3.0,41.0,-0.158,-0.103,0.585,0.427
02-09,-0.0038582333333333336,8.222008433333334,0.010034419555590146,-2.0,41.0,-0.162,-0.106,0.587,0.425
02-10,-0.0036223999999999996,7.759067599999999,0.009018377703232217,-3.0,41.0,-0.152,-0.102,0.59,0.438
02-11,-0.005016818181818183,10.540849545454547,0.009519658708705636,-3.0,41.0,-0.211,-0.143,0.613,0.402
02-12,-0.004401394736842106,9.251188078947369,0.013280314288062867,-2.0,41.0,-0.185,-0.127,0.541,0.356
02-13,-0.0027211538461538454,5.835786538461537,0.07049879466108533,-1.0,41.0,-0.115,-0.076,0.451,0.336
02-14,-0.003249535087719295,6.8920206403508715,0.10609950879399843,-0.0,41.0,-0.136,-0.088,0.461,0.325
02-15,-0.0037153857142857138,7.851556042857142,0.10151957203285411,-0.0,41.0,-0.156,-0.102,0.499,0.343
02-16,-0.0042859605263157845,9.048735092105252,0.04533620918822989,-2.0,41.0,-0.18,-0.108,0.567,0.387
