,mean,slp,chg,pvalue
0,6.76,0.044,1.852,0.139
1,8.04,0.09,3.796,0.062
2,9.17,0.12,5.04,0.071
3,8.29,0.057,2.374,0.369
4,7.19,0.029,1.23,0.566
5,7.64,0.031,1.296,0.247
6,7.61,0.016,0.692,0.521
7,7.67,-0.006,-0.262,0.78
8,7.61,-0.016,-0.674,0.505
9,7.64,-0.016,-0.662,0.476
10,7.36,-0.007,-0.3,0.721
11,6.85,0.0,0.0,1.0
12,7.5,-0.013,-0.55,0.567
13,7.84,-0.01,-0.42,0.717
14,7.92,0.029,1.198,0.546
15,7.56,0.033,1.38,0.355
16,7.47,0.018,0.756,0.71
17,7.16,-0.031,-1.304,0.032
18,7.36,-0.052,-2.19,0.126
19,9.25,-0.085,-3.56,0.029
20,8.46,-0.107,-4.492,0.05
21,10.22,-0.044,-1.828,0.086
22,12.14,-0.04,-1.662,0.222
23,13.56,0.009,0.38,0.862
24,12.17,-0.009,-0.392,0.851
25,9.62,-0.016,-0.67,0.757
26,8.09,-0.018,-0.77,0.527
27,9.0,-0.002,-0.09,0.971
28,8.07,-0.002,-0.084,0.848
29,9.59,-0.001,-0.024,0.988
30,9.74,-0.027,-1.116,0.45
31,9.709,-0.021,-0.885,0.368
32,9.45,-0.026,-1.088,0.571
33,9.37,-0.06,-2.52,0.319
34,9.65,-0.044,-1.85,0.463
35,8.46,0.0,0.0,1.0
36,9.03,0.02,0.822,0.573
37,10.41,-0.01,-0.42,0.927
38,9.9,0.0,0.0,1.0
39,9.2,-0.008,-0.336,0.886
40,9.11,-0.088,-3.68,0.003
41,10.9,-0.09,-3.766,0.022
42,10.84,-0.012,-0.518,0.792
43,10.36,0.008,0.336,0.871
44,9.74,0.034,1.428,0.622
45,9.96,0.025,1.05,0.613
46,10.22,-0.012,-0.516,0.675
47,9.96,-0.019,-0.794,0.6
48,9.85,-0.031,-1.304,0.465
49,9.82,-0.006,-0.272,0.876
50,8.89,-0.044,-1.842,0.101
51,9.59,-0.076,-3.206,0.103
52,12.34,0.012,0.51,0.731
53,13.3,0.072,3.006,0.292
54,12.93,0.028,1.19,0.76
55,12.11,0.0,0.0,1.0
56,11.57,0.042,1.764,0.153
57,12.71,-0.021,-0.884,0.258
58,12.51,-0.06,-2.52,0.139
59,11.89,-0.041,-1.73,0.259
