,mean,slp,chg,pvalue
01-01,0.15,0.002,0.084,0.008
01-02,0.12,0.002,0.088,0.0
01-03,0.12,0.002,0.094,0.0
01-04,0.11,0.002,0.09,0.024
01-05,0.11,0.001,0.054,0.012
01-06,0.11,0.001,0.026,0.482
01-07,0.12,-0.0,-0.014,0.698
01-08,0.09,-0.001,-0.03,0.296
01-09,0.1,-0.001,-0.056,0.0
01-10,0.09,-0.002,-0.096,0.096
01-11,0.09,-0.001,-0.042,0.282
01-12,0.08,-0.0,-0.021,0.14
01-13,0.07,-0.001,-0.046,0.003
01-14,0.15,-0.002,-0.096,0.085
01-15,0.12,-0.002,-0.09,0.015
01-16,0.1,-0.002,-0.064,0.005
01-17,0.09,-0.001,-0.046,0.013
01-18,0.1,-0.001,-0.038,0.08
01-19,0.1,-0.001,-0.052,0.077
01-20,0.09,0.0,0.0,0.881
01-21,0.09,0.0,0.0,1.0
01-22,0.09,0.0,0.0,0.908
01-23,0.08,0.0,0.0,0.799
01-24,0.08,0.001,0.026,0.459
01-25,0.14,0.001,0.052,0.095
01-26,0.13,0.002,0.068,0.004
01-27,0.12,0.0,0.0,0.775
01-28,0.12,-0.001,-0.021,0.318
01-29,0.11,0.001,0.024,0.2
01-30,0.13,0.001,0.042,0.414
01-31,0.13,0.0,0.0,0.805
02-01,0.12,0.001,0.032,0.42
02-02,0.11,0.002,0.074,0.093
02-03,0.14,0.003,0.112,0.002
02-04,0.1,0.001,0.026,0.215
02-05,0.08,-0.0,-0.018,0.19
02-06,0.09,0.001,0.024,0.41
02-07,0.11,0.001,0.05,0.072
02-08,0.13,0.001,0.054,0.063
02-09,0.11,0.0,0.0,0.84
02-10,0.09,0.0,0.0,0.623
02-11,0.09,0.0,0.0,0.34
02-12,0.09,0.0,0.0,0.83
02-13,0.11,0.001,0.034,0.057
02-14,0.13,0.002,0.066,0.001
02-15,0.11,0.0,0.0,0.926
02-16,0.09,0.0,0.0,0.718
02-17,0.09,0.001,0.024,0.126
02-18,0.08,0.001,0.038,0.126
02-19,0.08,0.001,0.052,0.002
02-20,0.13,0.001,0.028,0.388
02-21,0.11,0.0,0.0,0.822
02-22,0.08,0.001,0.032,0.191
02-23,0.11,0.0,0.0,0.836
02-24,0.09,0.0,0.0,0.597
02-25,0.14,-0.001,-0.04,0.083
02-26,0.13,0.0,0.0,0.651
02-27,0.11,-0.002,-0.066,0.038
02-28,0.1,0.001,0.032,0.37
03-01,0.1,0.002,0.094,0.0
03-02,0.1,0.002,0.094,0.007
03-03,0.11,0.002,0.072,0.009
03-04,0.09,0.002,0.102,0.004
03-05,0.12,0.003,0.144,0.023
03-06,0.15,0.003,0.112,0.0
03-07,0.14,0.002,0.063,0.0
03-08,0.12,0.002,0.096,0.073
03-09,0.11,0.003,0.126,0.077
03-10,0.16,0.004,0.162,0.0
03-11,0.15,0.004,0.166,0.005
03-12,0.13,0.001,0.05,0.16
03-13,0.11,0.001,0.044,0.089
03-14,0.1,0.0,0.014,0.476
03-15,0.13,0.002,0.09,0.015
03-16,0.13,0.001,0.042,0.187
03-17,0.13,0.001,0.042,0.145
03-18,0.12,0.002,0.084,0.07
03-19,0.11,0.002,0.064,0.032
03-20,0.15,0.0,0.021,0.585
03-21,0.14,0.0,0.0,0.762
03-22,0.12,0.0,0.0,0.783
03-23,0.11,0.0,0.0,0.91
03-24,0.11,0.0,0.0,0.844
03-25,0.19,0.001,0.052,0.104
03-26,0.2,0.003,0.134,0.005
03-27,0.23,0.002,0.084,0.14
03-28,0.18,0.0,0.0,0.988
03-29,0.13,0.001,0.024,0.298
03-30,0.15,0.001,0.032,0.533
03-31,0.21,0.0,0.0,0.945
04-01,0.22,-0.002,-0.105,0.148
04-02,0.16,-0.003,-0.132,0.002
04-03,0.23,-0.005,-0.204,0.002
04-04,0.17,-0.003,-0.144,0.007
04-05,0.14,-0.003,-0.105,0.014
04-06,0.19,-0.001,-0.06,0.011
04-07,0.19,0.003,0.13,0.031
04-08,0.19,-0.001,-0.038,0.432
04-09,0.17,-0.001,-0.046,0.236
04-10,0.22,-0.002,-0.094,0.021
04-11,0.19,-0.003,-0.12,0.097
04-12,0.22,-0.001,-0.038,0.147
04-13,0.17,0.0,0.0,0.967
04-14,0.15,0.001,0.05,0.473
04-15,0.14,0.0,0.0,0.865
04-16,0.12,0.0,0.0,0.831
04-17,0.13,-0.001,-0.046,0.406
04-18,0.17,-0.001,-0.034,0.341
04-19,0.15,-0.001,-0.042,0.344
04-20,0.13,-0.001,-0.062,0.0
04-21,0.15,-0.002,-0.084,0.038
04-22,0.16,-0.001,-0.044,0.228
04-23,0.19,-0.002,-0.074,0.009
04-24,0.18,-0.004,-0.148,0.015
04-25,0.16,-0.004,-0.186,0.0
04-26,0.14,-0.002,-0.09,0.0
04-27,0.17,-0.002,-0.098,0.0
04-28,0.15,-0.001,-0.046,0.216
04-29,0.15,-0.001,-0.032,0.432
04-30,0.16,-0.001,-0.032,0.529
05-01,0.14,-0.001,-0.05,0.206
05-02,0.13,-0.002,-0.07,0.039
05-03,0.12,-0.002,-0.1,0.006
05-04,0.13,-0.002,-0.068,0.04
05-05,0.13,-0.001,-0.06,0.0
05-06,0.14,-0.002,-0.09,0.0
05-07,0.13,-0.002,-0.07,0.091
05-08,0.17,-0.002,-0.102,0.025
05-09,0.12,-0.003,-0.118,0.002
05-10,0.11,-0.001,-0.034,0.234
05-11,0.12,-0.0,-0.018,0.344
05-12,0.15,-0.001,-0.04,0.056
05-13,0.13,-0.001,-0.06,0.001
05-14,0.14,-0.001,-0.038,0.307
05-15,0.15,-0.001,-0.024,0.536
05-16,0.15,-0.002,-0.102,0.034
05-17,0.15,-0.003,-0.14,0.011
05-18,0.16,-0.002,-0.088,0.001
05-19,0.17,-0.001,-0.024,0.473
05-20,0.14,-0.001,-0.038,0.044
05-21,0.13,0.0,0.0,0.798
05-22,0.11,0.0,0.0,0.628
05-23,0.11,0.0,0.0,0.914
05-24,0.11,0.0,0.0,0.947
05-25,0.1,0.0,0.02,0.37
05-26,0.09,-0.001,-0.06,0.026
05-27,0.08,-0.001,-0.046,0.006
05-28,0.09,0.0,0.0,0.765
05-29,0.09,0.0,0.012,0.444
05-30,0.08,-0.0,-0.015,0.092
05-31,0.07,-0.0,-0.02,0.259
06-01,0.1,-0.001,-0.024,0.334
06-02,0.07,-0.0,-0.02,0.282
06-03,0.07,-0.0,-0.01,0.475
06-04,0.07,0.0,0.0,0.627
06-05,0.07,0.0,0.0,0.541
06-06,0.08,-0.0,-0.014,0.492
06-07,0.13,0.0,0.0,0.49
06-08,0.14,-0.0,-0.02,0.511
06-09,0.09,-0.0,-0.014,0.637
06-10,0.11,-0.001,-0.024,0.113
06-11,0.12,0.0,0.0,0.683
06-12,0.08,0.0,0.0,0.949
06-13,0.08,-0.0,-0.02,0.093
06-14,0.1,-0.001,-0.021,0.235
06-15,0.08,-0.001,-0.032,0.085
06-16,0.07,-0.002,-0.08,0.006
06-17,0.1,-0.002,-0.068,0.0
06-18,0.13,-0.002,-0.07,0.004
06-19,0.14,0.0,0.0,0.794
06-20,0.13,-0.0,-0.014,0.267
06-21,0.12,-0.0,-0.014,0.365
06-22,0.13,-0.001,-0.05,0.068
06-23,0.12,-0.001,-0.024,0.185
06-24,0.11,0.0,0.0,0.783
06-25,0.14,-0.001,-0.038,0.13
06-26,0.14,0.0,0.0,0.871
06-27,0.16,-0.001,-0.032,0.064
06-28,0.12,-0.001,-0.06,0.086
06-29,0.12,0.0,0.0,0.927
06-30,0.12,-0.001,-0.024,0.322
07-01,0.13,-0.001,-0.044,0.0
07-02,0.11,-0.001,-0.052,0.033
07-03,0.11,-0.0,-0.02,0.223
07-04,0.12,0.001,0.042,0.156
07-05,0.1,-0.001,-0.024,0.342
07-06,0.11,-0.001,-0.044,0.404
07-07,0.14,-0.002,-0.078,0.232
07-08,0.14,-0.003,-0.118,0.009
07-09,0.12,-0.002,-0.07,0.001
07-10,0.16,-0.002,-0.106,0.0
07-11,0.16,-0.002,-0.086,0.002
07-12,0.16,-0.002,-0.1,0.0
07-13,0.14,-0.002,-0.088,0.007
07-14,0.15,-0.001,-0.052,0.355
07-15,0.18,-0.002,-0.084,0.217
07-16,0.21,-0.0,-0.014,0.514
07-17,0.16,-0.0,-0.014,0.648
07-18,0.16,-0.004,-0.175,0.0
07-19,0.16,-0.001,-0.056,0.026
07-20,0.14,0.0,0.012,0.647
07-21,0.16,-0.003,-0.106,0.037
07-22,0.19,-0.002,-0.105,0.006
07-23,0.15,-0.001,-0.028,0.444
07-24,0.2,0.0,0.0,1.0
07-25,0.16,-0.003,-0.118,0.0
07-26,0.14,-0.002,-0.078,0.0
07-27,0.12,-0.001,-0.046,0.012
07-28,0.13,-0.001,-0.06,0.117
07-29,0.15,-0.002,-0.063,0.013
07-30,0.16,-0.001,-0.04,0.114
07-31,0.13,-0.001,-0.034,0.041
08-01,0.12,-0.002,-0.064,0.002
08-02,0.13,-0.001,-0.06,0.001
08-03,0.13,-0.004,-0.148,0.003
08-04,0.12,-0.004,-0.148,0.0
08-05,0.12,-0.004,-0.148,0.0
08-06,0.13,-0.0,-0.016,0.317
08-07,0.11,-0.002,-0.066,0.023
08-08,0.11,-0.001,-0.06,0.001
08-09,0.13,-0.002,-0.064,0.016
08-10,0.1,-0.002,-0.064,0.048
08-11,0.1,-0.002,-0.074,0.0
08-12,0.13,-0.002,-0.086,0.0
08-13,0.13,-0.003,-0.12,0.0
08-14,0.1,-0.003,-0.116,0.0
08-15,0.11,-0.001,-0.056,0.0
08-16,0.11,-0.003,-0.12,0.001
08-17,0.1,-0.003,-0.12,0.0
08-18,0.1,-0.002,-0.084,0.002
08-19,0.09,-0.002,-0.078,0.001
08-20,0.09,-0.002,-0.076,0.0
08-21,0.1,-0.001,-0.06,0.004
08-22,0.11,-0.0,-0.018,0.656
08-23,0.11,0.001,0.038,0.158
08-24,0.1,0.001,0.022,0.657
08-25,0.1,-0.0,-0.02,0.487
08-26,0.09,0.0,0.0,0.748
08-27,0.09,0.0,0.0,0.685
08-28,0.08,0.0,0.0,0.859
08-29,0.08,0.001,0.024,0.099
08-30,0.08,0.001,0.024,0.029
08-31,0.12,-0.001,-0.035,0.268
09-01,0.08,-0.001,-0.032,0.286
09-02,0.08,-0.0,-0.016,0.562
09-03,0.07,-0.0,-0.016,0.209
09-04,0.06,-0.001,-0.035,0.021
09-05,0.07,-0.001,-0.056,0.0
09-06,0.07,-0.002,-0.066,0.0
09-07,0.1,-0.001,-0.062,0.003
09-08,0.07,-0.001,-0.03,0.002
09-09,0.06,-0.001,-0.026,0.046
09-10,0.06,-0.001,-0.04,0.002
09-11,0.11,-0.003,-0.14,0.0
09-12,0.07,-0.002,-0.07,0.001
09-13,0.11,-0.001,-0.044,0.491
09-14,0.11,0.0,0.0,0.58
09-15,0.15,0.002,0.076,0.245
09-16,0.11,0.002,0.094,0.103
09-17,0.11,0.0,0.0,0.929
09-18,0.08,-0.0,-0.016,0.298
09-19,0.1,0.0,0.012,0.607
09-20,0.1,-0.0,-0.01,0.709
