,mean,slp,chg,pvalue
0,15.305,0.18,7.542,0.346
1,14.114,0.178,7.49,0.292
2,13.828,0.156,6.545,0.259
3,14.028,0.177,7.42,0.22
4,13.667,0.164,6.868,0.252
5,14.518,0.144,6.069,0.25
6,14.332,0.143,6.02,0.187
7,14.19,0.162,6.783,0.132
8,13.433,0.126,5.312,0.201
9,13.362,0.113,4.752,0.158
10,14.928,0.137,5.74,0.105
11,14.346,0.113,4.743,0.217
12,14.306,0.11,4.641,0.21
13,13.912,0.114,4.77,0.311
14,12.728,0.094,3.955,0.388
15,14.785,0.139,5.85,0.21
16,14.32,0.089,3.727,0.42
17,16.251,0.091,3.833,0.442
18,13.259,0.108,4.55,0.231
19,12.488,0.067,2.794,0.415
20,13.505,0.07,2.94,0.544
21,14.512,0.044,1.842,0.789
22,13.881,0.031,1.307,0.795
23,13.464,0.047,1.977,0.667
24,12.92,0.08,3.36,0.442
25,12.571,0.121,5.1,0.236
26,12.794,0.119,4.986,0.14
27,14.4,0.159,6.694,0.182
28,13.787,0.124,5.198,0.252
29,13.619,0.067,2.829,0.241
30,14.203,0.108,4.515,0.274
31,15.08,0.159,6.681,0.071
32,16.478,0.136,5.72,0.076
33,15.653,0.176,7.406,0.107
34,17.075,0.19,7.98,0.168
35,17.758,0.138,5.775,0.184
36,17.194,0.149,6.237,0.08
37,17.071,0.181,7.617,0.034
38,17.75,0.131,5.493,0.185
39,18.445,0.071,2.982,0.285
40,18.135,0.098,4.127,0.166
41,18.926,0.103,4.335,0.09
42,18.921,0.112,4.704,0.106
43,17.81,0.13,5.48,0.018
44,16.183,0.126,5.31,0.035
45,17.364,0.137,5.747,0.139
46,18.51,0.17,7.122,0.056
47,18.317,0.183,7.7,0.276
48,21.205,0.24,10.08,0.139
49,22.743,0.206,8.67,0.11
50,27.565,0.0,0.0,1.0
51,28.914,-0.183,-7.683,0.442
52,29.452,-0.245,-10.297,0.262
53,29.163,-0.264,-11.078,0.254
54,29.046,-0.208,-8.736,0.316
55,29.193,-0.194,-8.148,0.441
56,29.242,-0.094,-3.955,0.664
57,28.301,0.002,0.064,0.97
58,30.516,-0.098,-4.106,0.808
59,33.948,-0.025,-1.069,0.846
60,33.881,-0.158,-6.65,0.296
61,37.924,-0.282,-11.835,0.077
62,39.494,-0.544,-22.833,0.01
63,39.12,-0.43,-18.042,0.039
64,39.972,-0.435,-18.286,0.075
65,42.845,-0.35,-14.7,0.205
66,43.394,-0.374,-15.705,0.124
67,42.909,-0.212,-8.908,0.302
68,46.804,0.208,8.754,0.355
69,50.924,-0.033,-1.383,0.858
70,50.939,-0.282,-11.865,0.267
71,56.382,-0.435,-18.286,0.204
72,57.752,-0.247,-10.395,0.664
73,58.904,-0.212,-8.925,0.7
74,55.784,-0.221,-9.291,0.684
75,64.178,-0.404,-16.98,0.408
76,64.858,-0.466,-19.567,0.241
77,62.818,-0.582,-24.465,0.125
78,64.948,-0.566,-23.767,0.19
79,64.058,-0.373,-15.663,0.258
80,58.527,-0.397,-16.674,0.18
81,58.096,-0.409,-17.173,0.322
82,58.53,-0.381,-16.009,0.264
83,59.592,-0.246,-10.346,0.456
84,58.542,-0.076,-3.192,0.859
85,56.278,-0.084,-3.54,0.828
86,61.394,-0.033,-1.391,0.867
87,62.26,0.0,0.0,1.0
88,61.172,0.093,3.92,0.667
89,56.222,0.095,4.007,0.832
90,62.106,0.262,11.014,0.36
91,61.879,0.368,15.45,0.493
92,63.584,0.107,4.493,0.818
93,64.507,-0.035,-1.479,0.918
94,65.111,-0.238,-9.992,0.598
95,73.721,-0.566,-23.787,0.225
96,71.394,-0.692,-29.074,0.148
97,69.012,-0.646,-27.113,0.085
98,75.514,-0.663,-27.841,0.055
99,66.692,-0.477,-20.016,0.266
100,62.626,-0.398,-16.704,0.47
101,66.449,-0.393,-16.488,0.503
102,66.524,-0.252,-10.576,0.543
103,62.944,-0.051,-2.151,0.956
104,70.546,0.162,6.795,0.669
105,75.618,-0.173,-7.257,0.766
106,67.59,-0.09,-3.78,0.869
107,73.654,0.147,6.183,0.827
108,79.492,0.214,8.995,0.631
109,83.387,0.093,3.92,0.779
110,80.216,-0.028,-1.176,1.0
111,80.738,0.166,6.967,0.651
112,77.218,0.197,8.295,0.478
113,79.557,0.344,14.462,0.389
114,78.202,0.475,19.95,0.094
115,76.446,0.353,14.805,0.206
116,86.797,0.674,28.3,0.124
117,86.413,0.486,20.422,0.085
118,86.047,0.305,12.794,0.36
119,81.042,0.212,8.925,0.556
120,83.367,0.613,25.76,0.019
121,86.434,0.809,33.96,0.013
122,105.868,0.907,38.08,0.02
123,102.175,0.869,36.51,0.001
124,89.773,0.976,40.992,0.0
125,98.788,0.896,37.642,0.002
126,96.944,0.876,36.811,0.018
127,90.08,0.741,31.117,0.052
128,85.623,0.606,25.47,0.081
129,90.416,0.283,11.878,0.595
130,101.59,0.829,34.831,0.004
131,114.412,1.015,42.61,0.005
132,116.956,1.291,54.233,0.0
133,109.044,1.307,54.9,0.0
134,101.487,1.193,50.126,0.0
135,107.226,1.072,45.028,0.004
136,108.053,1.026,43.076,0.0
137,101.89,1.149,48.275,0.0
138,101.208,1.206,50.656,0.002
139,100.906,0.882,37.034,0.035
140,96.566,0.692,29.053,0.034
141,92.382,0.814,34.178,0.013
142,98.223,0.895,37.59,0.002
143,95.477,1.345,56.489,0.007
144,94.423,1.496,62.82,0.001
