,mean,slp,chg,pvalue
0,1.78,0.032,1.338,0.054
1,1.84,0.029,1.226,0.02
2,1.73,0.028,1.172,0.0
3,1.67,0.023,0.98,0.013
4,1.66,0.025,1.044,0.0
5,1.64,0.021,0.864,0.001
6,1.84,0.025,1.036,0.003
7,1.7,0.025,1.032,0.003
8,1.64,0.026,1.11,0.006
9,1.64,0.025,1.064,0.001
10,1.6,0.045,1.89,0.011
11,1.78,0.052,2.182,0.0
12,1.78,0.058,2.428,0.0
13,1.9,0.053,2.24,0.0
14,1.981,0.043,1.785,0.0
15,1.61,0.04,1.68,0.0
16,1.92,0.036,1.528,0.012
17,1.87,0.032,1.356,0.0
18,1.75,0.024,1.015,0.0
19,1.73,0.018,0.77,0.048
20,1.67,0.018,0.76,0.028
21,1.7,0.023,0.96,0.039
22,1.75,0.033,1.384,0.0
23,1.77,0.038,1.578,0.0
24,1.64,0.035,1.49,0.0
25,1.58,0.037,1.54,0.0
26,1.56,0.035,1.49,0.0
27,1.7,0.042,1.754,0.0
28,1.73,0.037,1.554,0.0
29,1.78,0.046,1.942,0.0
30,1.84,0.041,1.73,0.0
31,1.78,0.033,1.366,0.0
32,1.7,0.032,1.36,0.0
33,1.7,0.031,1.282,0.001
34,1.91,0.031,1.302,0.006
35,1.84,0.031,1.294,0.0
36,1.95,0.027,1.12,0.0
37,1.84,0.034,1.436,0.0
38,1.75,0.028,1.192,0.002
39,1.81,0.024,1.008,0.009
40,1.73,0.024,1.008,0.007
41,1.81,0.022,0.945,0.014
42,1.67,0.02,0.826,0.017
43,1.7,0.017,0.694,0.005
44,1.7,0.017,0.7,0.01
45,1.83,0.016,0.656,0.12
46,1.95,0.01,0.42,0.119
47,2.15,-0.006,-0.244,0.695
48,2.58,-0.015,-0.608,0.265
49,2.83,-0.005,-0.202,0.78
50,3.37,0.013,0.546,0.314
51,3.28,0.0,0.0,1.0
52,3.31,-0.004,-0.168,0.831
53,3.57,-0.013,-0.56,0.317
54,3.4,0.016,0.66,0.146
55,3.17,0.013,0.56,0.106
56,3.08,0.025,1.05,0.046
57,3.08,0.023,0.954,0.117
58,2.89,0.025,1.05,0.187
59,2.83,0.026,1.1,0.064
60,3.11,0.026,1.098,0.165
61,3.11,-0.008,-0.326,0.573
62,3.23,-0.011,-0.464,0.501
63,3.25,0.001,0.028,0.985
64,3.03,-0.004,-0.15,0.784
65,3.0,0.001,0.04,0.983
66,3.11,0.006,0.27,0.638
67,3.17,0.057,2.38,0.009
68,3.51,0.071,2.992,0.094
69,3.79,0.033,1.4,0.155
70,4.13,0.051,2.136,0.006
71,3.85,0.042,1.776,0.002
72,3.74,0.046,1.938,0.0
73,3.48,0.04,1.666,0.001
74,3.51,0.021,0.872,0.238
75,3.31,0.02,0.84,0.332
76,3.14,0.024,1.02,0.017
77,3.25,0.021,0.876,0.568
78,3.11,0.012,0.502,0.728
79,3.11,0.011,0.444,0.772
80,2.83,0.006,0.252,0.862
81,2.66,0.009,0.358,0.543
82,2.72,0.011,0.462,0.193
83,2.77,0.009,0.385,0.282
84,2.97,0.016,0.66,0.03
85,3.03,0.022,0.914,0.164
86,3.76,0.018,0.742,0.131
87,3.71,0.012,0.514,0.598
88,3.76,0.024,0.992,0.371
89,3.71,0.014,0.595,0.692
90,3.45,0.012,0.498,0.388
91,3.34,-0.001,-0.044,0.978
92,3.37,0.013,0.56,0.668
93,3.25,0.004,0.174,0.898
94,3.0,0.01,0.42,0.407
95,2.91,0.011,0.476,0.439
96,2.94,0.005,0.2,0.712
97,3.48,0.012,0.512,0.388
98,3.37,-0.005,-0.21,0.874
99,3.4,0.001,0.032,0.965
100,3.649,-0.001,-0.045,0.942
101,3.96,-0.037,-1.54,0.157
102,3.45,-0.036,-1.5,0.148
103,4.5,-0.039,-1.63,0.216
104,4.1,-0.067,-2.808,0.021
105,3.88,-0.063,-2.65,0.048
106,3.85,-0.048,-2.016,0.106
107,4.16,-0.032,-1.35,0.147
108,4.19,-0.032,-1.33,0.262
109,4.67,-0.023,-0.952,0.192
110,4.1,-0.03,-1.24,0.138
111,3.79,-0.027,-1.136,0.223
112,3.57,-0.023,-0.98,0.134
113,3.4,-0.004,-0.154,0.758
114,4.67,0.014,0.57,0.538
115,4.24,0.026,1.092,0.254
116,4.39,0.01,0.42,0.336
117,4.53,0.033,1.388,0.034
118,4.67,0.07,2.94,0.012
119,4.41,0.063,2.664,0.05
120,4.36,0.071,3.002,0.007
121,4.36,0.073,3.08,0.004
122,4.05,0.082,3.454,0.0
123,3.96,0.072,3.014,0.0
124,3.88,0.086,3.594,0.0
125,3.82,0.078,3.266,0.0
126,4.1,0.087,3.656,0.0
127,3.91,0.077,3.213,0.0
128,4.1,0.102,4.28,0.0
129,4.22,0.11,4.6,0.0
130,4.78,0.101,4.23,0.0
131,4.87,0.089,3.726,0.0
132,4.7,0.096,4.032,0.0
133,4.81,0.08,3.36,0.0
134,5.04,0.105,4.41,0.0
135,4.87,0.101,4.242,0.0
136,4.36,0.098,4.106,0.0
137,4.36,0.101,4.226,0.0
138,3.85,0.093,3.9,0.008
139,4.24,0.102,4.268,0.0
140,4.08,0.089,3.728,0.0
141,3.82,0.062,2.59,0.01
142,3.57,0.05,2.118,0.005
143,3.23,0.053,2.214,0.0
144,4.1,0.057,2.41,0.0
145,4.36,0.079,3.326,0.0
146,4.47,0.069,2.88,0.002
147,4.53,0.072,3.045,0.0
148,3.88,0.064,2.709,0.023
149,3.96,0.057,2.38,0.017
150,4.08,0.061,2.564,0.011
151,4.02,0.038,1.596,0.002
152,4.13,0.039,1.624,0.004
153,3.96,0.033,1.382,0.002
154,4.1,0.029,1.222,0.033
155,3.37,0.036,1.512,0.037
156,3.42,0.034,1.438,0.051
157,3.25,0.036,1.53,0.041
158,3.57,0.046,1.914,0.016
159,4.08,0.032,1.35,0.002
160,3.68,0.049,2.078,0.0
161,3.71,0.05,2.1,0.001
162,3.59,0.047,1.98,0.001
163,3.42,0.028,1.186,0.138
164,3.37,0.024,1.012,0.275
165,3.23,0.048,1.998,0.061
166,3.25,0.047,1.984,0.012
167,3.0,0.049,2.054,0.0
168,2.89,0.06,2.54,0.003
169,2.89,0.065,2.75,0.0
170,2.91,0.083,3.47,0.003
171,2.81,0.079,3.314,0.003
172,3.0,0.1,4.2,0.0
173,3.14,0.135,5.678,0.0
174,3.85,0.094,3.932,0.0
175,3.57,0.1,4.21,0.0
176,3.25,0.095,4.006,0.0
177,3.25,0.087,3.645,0.0
178,3.31,0.085,3.57,0.0
179,2.83,0.081,3.416,0.0
180,2.97,0.063,2.63,0.0
181,2.91,0.058,2.444,0.0
182,2.66,0.055,2.31,0.0
