,mean,slp,chg,pvalue
01-01,19.22,0.093,3.902,0.207
01-02,17.18,0.087,3.658,0.201
01-03,16.02,0.113,4.746,0.027
01-04,16.7,0.134,5.632,0.084
01-05,16.02,0.122,5.136,0.241
01-06,16.47,0.106,4.432,0.29
01-07,14.38,0.059,2.472,0.386
01-08,12.93,0.036,1.528,0.425
01-09,12.4,0.045,1.89,0.354
01-10,12.68,0.064,2.672,0.096
01-11,12.76,0.143,5.996,0.0
01-12,14.72,0.361,15.164,0.002
01-13,14.43,0.341,14.338,0.009
01-14,13.95,0.325,13.668,0.005
01-15,13.22,0.288,12.117,0.003
01-16,13.58,0.168,7.044,0.008
01-17,13.58,0.163,6.86,0.01
01-18,17.91,0.094,3.955,0.242
01-19,15.85,0.173,7.266,0.004
01-20,14.72,0.165,6.916,0.005
01-21,13.58,0.094,3.948,0.057
01-22,13.3,0.072,3.012,0.243
01-23,15.9,0.204,8.568,0.02
01-24,16.7,0.321,13.5,0.0
01-25,15.59,0.328,13.776,0.0
01-26,17.4,0.268,11.244,0.001
01-27,15.82,0.198,8.316,0.001
01-28,14.15,0.122,5.136,0.02
01-29,13.02,0.087,3.664,0.129
01-30,16.22,0.057,2.388,0.432
01-31,15.06,0.072,3.02,0.379
02-01,15.56,0.033,1.382,0.777
02-02,16.84,-0.071,-3.0,0.279
02-03,16.58,-0.048,-2.016,0.244
02-04,18.54,-0.067,-2.808,0.12
02-05,14.55,-0.02,-0.84,0.595
02-06,14.63,-0.008,-0.336,0.925
02-07,14.15,0.027,1.152,0.614
02-08,16.07,0.165,6.93,0.044
02-09,15.31,0.217,9.1,0.01
02-10,14.32,0.21,8.832,0.005
02-11,14.72,0.222,9.31,0.008
02-12,14.26,0.103,4.34,0.134
02-13,13.16,0.044,1.86,0.165
02-14,12.93,0.02,0.84,0.47
02-15,15.0,0.036,1.506,0.333
02-16,16.7,-0.035,-1.454,0.641
02-17,17.72,-0.028,-1.158,0.794
02-18,19.87,-0.052,-2.176,0.656
02-19,20.35,-0.143,-6.0,0.148
02-20,22.19,-0.204,-8.552,0.001
02-21,24.06,-0.066,-2.792,0.425
02-22,24.39,-0.354,-14.868,0.001
02-23,24.88,-0.432,-18.156,0.0
02-24,24.2,-0.52,-21.826,0.002
02-25,22.53,-0.325,-13.636,0.059
02-26,23.26,-0.022,-0.916,0.882
02-27,22.98,0.078,3.266,0.485
02-28,23.49,0.167,7.026,0.039
03-01,24.34,0.227,9.52,0.0
03-02,24.79,0.35,14.7,0.0
03-03,27.68,0.276,11.592,0.002
03-04,25.22,0.151,6.36,0.219
03-05,24.99,-0.033,-1.365,0.848
03-06,22.7,-0.087,-3.64,0.304
03-07,24.17,-0.173,-7.264,0.042
03-08,25.16,-0.177,-7.426,0.038
03-09,25.1,-0.227,-9.548,0.003
03-10,28.3,0.011,0.452,0.957
03-11,33.11,0.142,5.958,0.243
03-12,28.58,0.124,5.198,0.338
03-13,28.87,0.219,9.194,0.091
03-14,27.03,0.299,12.56,0.015
03-15,24.79,0.327,13.75,0.0
03-16,25.64,0.15,6.3,0.273
03-17,29.15,0.025,1.07,0.925
03-18,27.08,-0.137,-5.75,0.534
03-19,29.43,-0.048,-2.03,0.8
03-20,27.03,-0.032,-1.35,0.809
03-21,25.5,-0.051,-2.154,0.834
03-22,23.77,-0.088,-3.692,0.736
03-23,23.21,-0.109,-4.56,0.4
03-24,21.25,-0.087,-3.662,0.208
03-25,21.28,-0.115,-4.82,0.214
03-26,26.88,0.095,4.004,0.5
03-27,24.14,0.121,5.068,0.303
03-28,26.35,0.116,4.884,0.43
03-29,31.98,0.049,2.062,0.836
03-30,31.98,0.191,8.026,0.268
03-31,30.28,0.18,7.578,0.253
04-01,28.3,0.172,7.21,0.238
04-02,25.95,0.049,2.058,0.754
04-03,27.59,-0.051,-2.128,0.747
04-04,27.79,-0.065,-2.73,0.653
04-05,25.98,-0.159,-6.694,0.287
04-06,24.06,-0.145,-6.098,0.216
04-07,26.57,-0.077,-3.252,0.328
04-08,27.25,0.114,4.796,0.237
04-09,27.99,0.047,1.988,0.454
04-10,30.28,-0.092,-3.864,0.377
04-11,28.87,-0.154,-6.458,0.308
04-12,31.98,-0.203,-8.528,0.269
04-13,28.87,-0.21,-8.82,0.04
04-14,27.37,-0.283,-11.886,0.004
04-15,30.0,-0.424,-17.824,0.016
04-16,31.41,-0.51,-21.402,0.0
04-17,28.58,-0.485,-20.39,0.0
04-18,24.93,-0.391,-16.422,0.0
04-19,23.32,-0.257,-10.806,0.0
04-20,23.38,-0.116,-4.87,0.32
04-21,22.75,-0.09,-3.762,0.443
04-22,23.26,-0.048,-2.01,0.798
04-23,23.97,-0.051,-2.128,0.524
04-24,21.82,-0.047,-1.986,0.341
04-25,20.29,-0.03,-1.248,0.543
04-26,19.58,0.001,0.034,0.958
04-27,18.2,0.002,0.096,1.0
04-28,17.72,0.013,0.546,0.909
04-29,18.65,0.05,2.1,0.403
04-30,19.13,0.092,3.852,0.259
05-01,19.27,0.119,4.996,0.252
05-02,18.31,0.111,4.676,0.065
05-03,18.54,0.131,5.51,0.008
05-04,19.1,0.126,5.292,0.004
05-05,18.48,0.107,4.48,0.078
05-06,20.09,0.088,3.7,0.132
05-07,19.87,0.068,2.85,0.075
05-08,18.54,0.064,2.668,0.026
05-09,17.66,0.163,6.828,0.0
05-10,16.81,0.159,6.674,0.014
05-11,18.14,0.253,10.622,0.0
05-12,17.69,0.288,12.074,0.005
05-13,18.42,0.239,10.034,0.011
05-14,18.9,0.247,10.36,0.002
05-15,17.94,0.292,12.274,0.0
05-16,18.37,0.269,11.306,0.0
05-17,17.29,0.24,10.068,0.0
05-18,17.29,0.207,8.696,0.0
05-19,17.8,0.155,6.51,0.031
05-20,21.56,0.107,4.5,0.08
05-21,18.06,0.089,3.742,0.153
05-22,16.56,0.077,3.226,0.355
05-23,17.57,0.111,4.655,0.178
05-24,18.51,0.084,3.528,0.324
05-25,17.23,0.062,2.598,0.36
05-26,16.36,0.051,2.158,0.166
05-27,16.3,0.119,4.984,0.002
05-28,18.68,0.062,2.59,0.326
05-29,16.98,0.1,4.2,0.271
05-30,16.07,0.055,2.322,0.467
05-31,17.55,0.106,4.444,0.055
06-01,18.76,0.145,6.1,0.006
06-02,18.0,0.102,4.278,0.09
06-03,18.4,0.046,1.92,0.669
06-04,17.97,-0.021,-0.864,0.867
06-05,17.74,-0.014,-0.588,0.838
06-06,17.26,-0.003,-0.14,0.984
06-07,16.64,-0.023,-0.95,0.724
06-08,16.81,-0.019,-0.794,0.733
06-09,17.06,-0.067,-2.808,0.222
06-10,17.57,0.066,2.782,0.55
06-11,18.4,0.103,4.34,0.009
06-12,19.61,0.118,4.935,0.087
06-13,17.43,0.117,4.894,0.123
06-14,16.5,0.084,3.528,0.105
06-15,15.51,0.057,2.38,0.094
06-16,18.45,0.03,1.26,0.478
06-17,17.55,0.016,0.676,0.85
06-18,16.19,-0.025,-1.05,0.499
06-19,14.55,0.005,0.21,0.959
06-20,15.51,0.094,3.956,0.041
06-21,15.56,0.112,4.71,0.12
06-22,15.34,0.084,3.514,0.103
06-23,13.98,0.297,12.495,0.004
06-24,16.41,0.294,12.348,0.024
06-25,14.72,0.26,10.92,0.0
06-26,14.09,0.325,13.665,0.0
06-27,12.62,0.346,14.52,0.0
06-28,13.81,0.288,12.074,0.0
06-29,15.17,0.215,9.046,0.0
06-30,13.5,0.195,8.176,0.002
07-01,12.48,0.148,6.206,0.03
07-02,11.69,0.109,4.56,0.028
07-03,11.4,0.134,5.618,0.013
07-04,10.61,0.115,4.818,0.0
07-05,10.27,0.1,4.2,0.004
07-06,10.13,0.106,4.468,0.002
07-07,9.65,0.093,3.9,0.005
07-08,9.99,0.077,3.213,0.018
07-09,9.54,0.064,2.684,0.051
07-10,9.48,0.059,2.498,0.02
07-11,9.37,0.05,2.1,0.184
07-12,9.96,0.03,1.26,0.213
07-13,9.68,0.01,0.42,0.418
07-14,9.65,0.017,0.728,0.374
07-15,8.91,0.032,1.344,0.144
07-16,8.69,0.042,1.764,0.022
07-17,8.35,0.051,2.146,0.001
07-18,8.8,0.103,4.328,0.0
07-19,8.89,0.072,3.034,0.0
07-20,8.89,0.044,1.864,0.017
07-21,8.72,0.039,1.64,0.018
07-22,8.8,0.042,1.766,0.184
07-23,8.63,0.049,2.062,0.12
07-24,8.69,0.031,1.3,0.499
07-25,9.17,0.008,0.35,0.673
07-26,9.06,-0.009,-0.362,0.719
07-27,8.46,-0.042,-1.786,0.362
07-28,8.38,-0.018,-0.754,0.575
07-29,8.12,-0.037,-1.574,0.081
07-30,8.41,-0.05,-2.1,0.09
07-31,8.89,-0.065,-2.74,0.014
08-01,8.26,-0.055,-2.32,0.008
08-02,7.61,-0.05,-2.1,0.001
08-03,7.33,-0.015,-0.618,0.46
08-04,7.33,-0.001,-0.038,0.965
08-05,7.671,-0.011,-0.483,0.615
08-06,7.3,-0.014,-0.572,0.414
08-07,7.22,-0.009,-0.392,0.758
08-08,7.24,-0.009,-0.358,0.617
08-09,7.16,0.002,0.1,0.877
08-10,7.22,-0.004,-0.184,0.731
08-11,7.02,0.005,0.194,0.704
08-12,6.99,0.031,1.3,0.099
08-13,6.85,0.027,1.155,0.062
08-14,6.96,0.034,1.412,0.177
08-15,6.79,0.03,1.26,0.286
08-16,6.62,0.021,0.872,0.399
