,mean,slp,chg,pvalue
0,3.003,0.003,0.105,0.755
1,2.997,-0.003,-0.122,0.78
2,2.908,-0.002,-0.084,0.74
3,3.058,-0.002,-0.073,0.884
4,3.138,-0.002,-0.088,0.881
5,3.11,0.0,0.0,0.979
6,3.119,0.009,0.382,0.445
7,3.033,0.003,0.13,0.712
8,3.036,0.005,0.231,0.589
9,3.004,0.004,0.164,0.656
10,3.042,0.012,0.485,0.228
11,2.958,0.018,0.743,0.097
12,2.812,0.012,0.52,0.07
13,2.838,0.009,0.357,0.222
14,2.79,0.01,0.403,0.307
15,2.84,0.011,0.455,0.034
16,2.906,0.016,0.661,0.005
17,2.875,0.015,0.64,0.029
18,3.119,0.009,0.376,0.42
19,2.894,0.004,0.163,0.478
20,2.975,0.005,0.21,0.521
21,3.17,0.0,0.0,0.878
22,3.06,0.0,0.0,0.926
23,2.828,-0.002,-0.071,0.826
24,2.973,0.003,0.13,0.684
25,3.114,0.004,0.166,0.549
26,3.234,0.003,0.137,0.567
27,3.108,-0.001,-0.061,0.602
28,3.172,0.002,0.084,0.867
29,3.257,0.007,0.288,0.246
30,2.836,0.006,0.237,0.523
31,2.898,0.007,0.313,0.52
32,2.95,0.01,0.405,0.479
33,3.359,0.02,0.825,0.096
34,3.248,0.018,0.754,0.125
35,3.221,0.021,0.866,0.01
36,3.22,0.02,0.823,0.023
37,3.189,0.019,0.794,0.07
38,3.092,0.012,0.51,0.235
39,3.088,0.008,0.334,0.59
40,3.316,0.006,0.25,0.664
41,3.174,0.004,0.178,0.701
42,3.282,0.002,0.079,0.879
43,3.23,0.0,0.0,0.982
44,3.295,-0.015,-0.63,0.175
45,3.318,-0.022,-0.943,0.002
46,3.131,-0.009,-0.39,0.38
47,3.162,-0.008,-0.315,0.385
48,3.196,-0.004,-0.187,0.415
49,3.53,-0.01,-0.42,0.208
50,3.464,-0.017,-0.707,0.058
51,3.492,-0.018,-0.777,0.037
52,3.518,-0.022,-0.912,0.015
53,3.394,-0.026,-1.073,0.003
54,3.432,-0.019,-0.793,0.014
55,3.355,-0.015,-0.63,0.047
56,3.266,-0.015,-0.609,0.101
57,3.218,-0.012,-0.508,0.153
58,3.064,-0.015,-0.647,0.034
59,3.13,-0.01,-0.401,0.195
60,3.016,-0.014,-0.592,0.158
61,3.115,-0.025,-1.054,0.026
62,3.423,-0.027,-1.143,0.015
63,3.546,-0.024,-1.014,0.042
64,3.43,-0.021,-0.865,0.051
65,3.319,-0.021,-0.871,0.068
66,3.15,-0.02,-0.854,0.065
67,3.325,-0.015,-0.642,0.268
68,3.268,-0.012,-0.488,0.325
69,3.218,-0.012,-0.49,0.297
70,3.24,-0.01,-0.42,0.393
71,3.225,-0.005,-0.194,0.684
72,3.104,-0.005,-0.223,0.633
73,3.528,-0.012,-0.485,0.387
74,3.548,-0.022,-0.907,0.107
75,3.32,-0.021,-0.867,0.092
76,3.791,-0.029,-1.214,0.037
77,3.846,-0.034,-1.449,0.017
78,3.617,-0.033,-1.4,0.014
79,3.907,-0.023,-0.978,0.128
