,mean,slp,chg,pvalue
0,5.26,0.098,4.112,0.024
1,5.63,0.068,2.846,0.03
2,5.8,0.064,2.668,0.007
3,6.17,0.078,3.262,0.002
4,6.08,0.065,2.74,0.007
5,6.68,0.057,2.386,0.01
6,6.82,0.007,0.312,0.786
7,6.37,0.007,0.294,0.912
8,5.89,-0.011,-0.476,0.75
9,5.94,0.014,0.588,0.567
10,5.8,0.026,1.088,0.412
11,6.23,0.059,2.458,0.04
12,7.64,0.098,4.104,0.024
13,6.79,0.116,4.872,0.001
14,6.08,0.105,4.398,0.0
15,5.52,0.082,3.446,0.008
16,5.09,0.076,3.188,0.001
17,5.15,0.117,4.92,0.0
18,7.07,0.09,3.768,0.002
19,8.21,0.048,2.004,0.044
20,7.36,-0.025,-1.058,0.697
21,6.96,-0.093,-3.9,0.207
22,6.71,-0.076,-3.212,0.007
23,8.77,-0.045,-1.898,0.08
24,8.18,-0.036,-1.532,0.39
25,8.57,0.012,0.504,0.695
26,8.8,0.137,5.77,0.0
27,7.5,0.164,6.888,0.0
28,6.37,0.112,4.722,0.0
29,7.9,0.139,5.852,0.0
30,7.3,0.097,4.092,0.0
31,7.36,0.054,2.248,0.084
32,8.97,0.037,1.554,0.396
33,9.06,0.058,2.446,0.374
34,10.27,0.034,1.428,0.508
35,9.42,0.077,3.22,0.027
36,8.77,0.158,6.654,0.026
37,9.06,0.186,7.792,0.001
38,8.86,0.202,8.505,0.001
39,7.92,0.164,6.874,0.0
40,8.29,0.132,5.54,0.021
41,7.78,0.131,5.512,0.0
42,7.75,0.096,4.05,0.037
43,8.12,0.061,2.55,0.361
44,9.25,0.006,0.258,0.942
45,10.47,-0.033,-1.374,0.494
46,14.4,-0.149,-6.248,0.016
47,12.85,-0.157,-6.608,0.0
48,11.4,-0.112,-4.725,0.003
49,10.33,-0.122,-5.104,0.003
50,10.58,-0.099,-4.154,0.09
51,10.24,-0.157,-6.604,0.015
52,10.84,-0.135,-5.654,0.0
53,11.18,-0.042,-1.764,0.555
54,12.17,-0.001,-0.044,0.961
55,11.86,0.095,4.002,0.385
56,10.98,0.117,4.92,0.041
57,10.07,0.157,6.574,0.017
58,9.34,0.178,7.476,0.0
59,10.33,0.175,7.35,0.009
60,10.16,0.226,9.51,0.0
61,11.07,0.255,10.702,0.0
62,12.0,0.208,8.746,0.0
63,11.55,0.084,3.54,0.007
64,12.59,0.041,1.704,0.362
65,12.88,0.026,1.076,0.639
66,10.36,0.008,0.322,0.871
67,11.74,0.039,1.634,0.446
68,11.07,0.065,2.73,0.245
69,10.41,0.019,0.816,0.627
70,12.2,0.008,0.33,0.672
71,10.07,0.086,3.594,0.081
72,10.02,0.012,0.516,0.881
73,8.77,0.015,0.65,0.461
74,9.93,0.03,1.26,0.236
75,9.96,0.018,0.744,0.685
76,9.65,0.019,0.8,0.341
77,9.42,0.037,1.568,0.133
78,8.18,0.028,1.186,0.318
79,9.62,-0.015,-0.618,0.779
80,10.61,-0.051,-2.142,0.506
81,9.59,-0.103,-4.34,0.039
82,8.07,-0.091,-3.802,0.023
83,8.32,-0.085,-3.57,0.0
84,7.56,-0.024,-0.992,0.213
85,7.5,0.028,1.156,0.277
86,7.07,0.04,1.68,0.1
87,7.13,0.045,1.872,0.003
88,10.39,0.027,1.148,0.271
89,12.68,0.005,0.216,0.951
90,15.14,-0.042,-1.774,0.253
91,12.57,-0.071,-2.982,0.001
92,11.09,-0.047,-1.97,0.401
93,11.38,-0.04,-1.68,0.651
94,10.87,-0.044,-1.828,0.508
95,10.58,-0.056,-2.352,0.261
96,9.71,-0.055,-2.29,0.224
97,8.24,-0.058,-2.432,0.169
98,9.28,-0.031,-1.295,0.424
99,10.19,-0.061,-2.556,0.177
100,9.82,-0.034,-1.428,0.427
101,9.14,-0.017,-0.726,0.73
102,8.66,-0.017,-0.7,0.81
103,8.15,0.017,0.71,0.625
104,9.31,0.022,0.904,0.659
105,9.74,0.005,0.21,0.679
106,9.59,0.005,0.224,0.899
107,10.24,-0.034,-1.434,0.491
108,9.57,-0.073,-3.048,0.0
109,8.94,-0.012,-0.508,0.433
110,7.92,-0.006,-0.262,0.665
111,7.92,-0.056,-2.336,0.251
112,7.13,-0.028,-1.16,0.444
113,7.53,-0.011,-0.45,0.545
114,7.41,0.025,1.066,0.36
115,8.21,0.135,5.652,0.0
116,7.61,0.17,7.14,0.0
117,8.46,0.155,6.496,0.0
118,8.15,0.109,4.574,0.001
119,7.84,0.116,4.854,0.001
120,6.88,0.083,3.482,0.001
121,6.31,0.111,4.676,0.0
122,6.76,0.093,3.9,0.0
123,7.44,0.09,3.78,0.001
124,7.5,0.068,2.862,0.004
125,8.74,0.13,5.46,0.0
126,8.09,0.102,4.276,0.001
127,6.76,0.075,3.138,0.031
128,5.86,0.073,3.08,0.015
129,5.69,0.069,2.88,0.077
130,7.22,0.081,3.398,0.003
131,7.75,0.052,2.198,0.009
132,6.57,0.067,2.826,0.005
133,5.38,0.062,2.598,0.0
134,5.77,0.003,0.105,1.0
135,4.98,-0.003,-0.126,0.962
136,4.95,0.018,0.774,0.367
137,5.49,0.022,0.93,0.525
138,4.36,0.035,1.458,0.282
139,4.81,0.034,1.44,0.23
140,3.76,0.034,1.412,0.162
141,3.28,0.043,1.8,0.001
142,3.909,0.032,1.365,0.002
143,3.31,-0.02,-0.824,0.266
144,2.52,-0.013,-0.525,0.32
145,3.31,-0.004,-0.148,0.768
146,3.42,-0.005,-0.196,0.601
147,3.37,-0.018,-0.772,0.044
148,4.08,-0.0,-0.016,0.932
149,3.59,-0.004,-0.175,0.901
150,3.06,-0.008,-0.354,0.487
151,2.63,-0.016,-0.682,0.092
152,2.26,-0.017,-0.71,0.129
153,2.17,-0.016,-0.66,0.212
154,2.03,-0.013,-0.554,0.252
155,2.36,0.006,0.266,0.69
156,2.78,-0.009,-0.378,0.529
157,2.45,-0.017,-0.694,0.243
158,2.32,-0.016,-0.66,0.202
159,2.35,-0.02,-0.84,0.279
160,2.31,-0.044,-1.866,0.313
161,2.11,-0.026,-1.11,0.082
162,2.54,-0.014,-0.604,0.199
163,3.11,-0.001,-0.022,0.94
164,2.11,0.004,0.172,0.799
165,2.09,0.0,0.0,0.98
166,2.16,-0.004,-0.168,0.608
167,1.88,-0.0,-0.018,0.896
168,1.98,-0.009,-0.392,0.531
169,1.72,0.006,0.266,0.675
170,1.64,0.022,0.904,0.226
171,1.92,0.032,1.336,0.051
172,2.37,0.034,1.412,0.07
173,2.04,0.02,0.84,0.261
174,1.7,0.024,1.026,0.211
175,1.67,0.043,1.785,0.044
176,1.53,0.048,2.004,0.002
177,1.71,0.042,1.754,0.008
178,1.5,0.043,1.826,0.0
179,1.78,0.056,2.362,0.0
180,1.75,0.046,1.946,0.0
181,1.58,0.037,1.548,0.0
182,1.27,0.027,1.12,0.001
183,1.22,0.011,0.466,0.402
184,1.07,0.008,0.324,0.461
185,0.99,0.005,0.189,0.663
186,1.61,0.003,0.14,0.841
187,2.33,-0.005,-0.22,0.706
188,1.67,0.005,0.228,0.714
189,1.33,0.017,0.7,0.287
190,1.22,0.016,0.678,0.136
191,1.21,0.007,0.288,0.663
192,1.13,0.003,0.112,0.855
193,1.5,0.0,0.0,0.968
194,1.98,-0.001,-0.056,0.913
195,2.21,0.002,0.076,0.89
196,1.46,-0.0,-0.012,0.955
197,1.42,0.004,0.168,0.913
198,1.42,0.004,0.152,0.524
199,1.33,0.002,0.09,0.404
200,1.16,0.006,0.268,0.193
201,1.13,0.015,0.644,0.028
202,1.03,0.023,0.956,0.002
203,0.96,0.029,1.23,0.049
204,1.05,0.028,1.16,0.082
205,1.29,0.04,1.68,0.009
206,1.17,0.037,1.54,0.0
207,1.08,0.023,0.952,0.0
208,0.98,0.019,0.78,0.0
209,1.03,0.024,0.998,0.049
210,1.05,0.032,1.33,0.0
211,1.52,0.05,2.1,0.0
212,0.95,0.035,1.47,0.0
213,0.88,0.04,1.68,0.0
214,0.85,0.037,1.54,0.0
215,0.65,0.027,1.146,0.0
216,0.91,0.022,0.945,0.005
217,0.91,0.011,0.482,0.049
218,0.8,0.008,0.332,0.13
219,0.93,0.005,0.21,0.222
220,0.79,0.005,0.222,0.061
221,0.83,0.012,0.51,0.008
222,0.85,0.011,0.472,0.058
223,0.7,0.012,0.506,0.007
224,0.68,0.015,0.62,0.0
225,0.64,0.016,0.678,0.0
226,0.57,0.017,0.72,0.003
227,0.5,0.017,0.706,0.0
228,0.51,0.015,0.622,0.0
229,0.44,0.019,0.79,0.013
230,0.55,0.015,0.636,0.101
231,0.48,0.015,0.646,0.005
232,0.59,0.015,0.64,0.023
233,0.59,0.015,0.63,0.0
234,0.6,0.012,0.514,0.0
235,0.74,0.01,0.42,0.209
236,0.55,0.01,0.436,0.101
237,0.45,0.01,0.42,0.023
238,0.42,0.008,0.356,0.09
239,0.5,0.005,0.21,0.157
240,0.48,0.008,0.324,0.004
241,0.48,0.005,0.222,0.03
242,0.45,0.008,0.336,0.007
243,0.42,0.014,0.578,0.026
244,0.42,0.021,0.866,0.015
245,0.54,0.02,0.84,0.013
246,0.37,0.016,0.662,0.001
247,0.44,0.015,0.618,0.014
248,0.42,0.015,0.63,0.022
249,0.51,0.019,0.802,0.011
250,0.48,0.014,0.6,0.0
251,0.35,0.014,0.588,0.0
252,0.37,0.014,0.57,0.006
253,0.34,0.012,0.484,0.007
254,0.28,0.013,0.534,0.004
255,0.23,0.016,0.676,0.006
256,0.23,0.015,0.65,0.002
257,0.24,0.012,0.516,0.0
258,0.25,0.011,0.466,0.012
259,0.22,0.009,0.368,0.0
260,0.2,0.007,0.29,0.0
261,0.21,0.007,0.28,0.0
262,0.19,0.006,0.248,0.004
263,0.24,0.007,0.28,0.0
264,0.27,0.008,0.35,0.004
265,0.24,0.009,0.386,0.001
266,0.27,0.008,0.356,0.0
267,0.22,0.008,0.33,0.003
268,0.31,0.006,0.26,0.011
269,0.33,0.007,0.288,0.023
270,0.32,0.007,0.298,0.002
271,0.3,0.01,0.399,0.0
272,0.28,0.013,0.54,0.0
273,0.28,0.011,0.455,0.0
274,0.27,0.009,0.382,0.0
275,0.27,0.009,0.372,0.0
276,0.25,0.009,0.396,0.0
277,0.24,0.008,0.342,0.0
278,0.26,0.007,0.294,0.0
279,0.21,0.007,0.28,0.0
280,0.25,0.006,0.266,0.0
281,0.23,0.009,0.396,0.008
282,0.22,0.008,0.354,0.0
283,0.26,0.008,0.344,0.0
284,0.28,0.006,0.262,0.0
285,0.28,0.006,0.262,0.0
286,0.26,0.007,0.273,0.0
287,0.21,0.007,0.29,0.0
288,0.22,0.009,0.368,0.0
289,0.24,0.009,0.364,0.0
290,0.28,0.008,0.326,0.0
291,0.28,0.007,0.28,0.0
292,0.26,0.009,0.398,0.0
293,0.53,0.006,0.252,0.002
294,0.46,0.005,0.222,0.185
295,0.68,0.0,0.018,0.903
296,0.65,0.002,0.082,0.586
297,0.87,0.001,0.054,0.759
298,0.54,0.001,0.046,0.782
299,0.76,0.004,0.164,0.253
300,0.8,0.006,0.258,0.192
301,0.83,0.02,0.84,0.0
302,0.8,0.028,1.182,0.01
303,1.08,0.021,0.9,0.032
304,0.91,0.027,1.14,0.055
305,0.88,0.022,0.936,0.027
306,1.06,0.015,0.64,0.106
307,0.93,0.009,0.38,0.181
308,0.99,0.009,0.36,0.059
309,1.26,0.003,0.108,0.36
